u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,service,bridge,lanes,access,ref,junction,tunnel
42431306,42431309,0,46613687,True,West Drive,cycleway,20 mph,47.219,"LINESTRING (-73.9642199 40.7899921, -73.964161 40.7895698)",,,,,,,
42431309,42431311,0,46613687,True,West Drive,cycleway,20 mph,9.781,"LINESTRING (-73.964161 40.7895698, -73.964168 40.789482)",,,,,,,
42431311,42431313,0,46613687,True,West Drive,cycleway,20 mph,9.474,"LINESTRING (-73.964168 40.789482, -73.9641834 40.7893976)",,,,,,,
42431313,42431316,0,46613687,True,West Drive,cycleway,20 mph,12.819,"LINESTRING (-73.9641834 40.7893976, -73.9642221 40.7892861)",,,,,,,
42431316,42431320,0,46613687,True,West Drive,cycleway,20 mph,12.177,"LINESTRING (-73.9642221 40.7892861, -73.96427540000001 40.7891843)",,,,,,,
42431320,42431324,0,46613687,True,West Drive,cycleway,20 mph,13.211,"LINESTRING (-73.96427540000001 40.7891843, -73.9643543 40.7890816)",,,,,,,
42431324,42431326,0,46613687,True,West Drive,cycleway,20 mph,12.083,"LINESTRING (-73.9643543 40.7890816, -73.96444030000001 40.7889946)",,,,,,,
42431326,42431327,0,46613687,True,West Drive,cycleway,20 mph,12.646,"LINESTRING (-73.96444030000001 40.7889946, -73.9645452 40.7889132)",,,,,,,
42431327,42431330,0,46613687,True,West Drive,cycleway,20 mph,14.017,"LINESTRING (-73.9645452 40.7889132, -73.96467989999999 40.7888391)",,,,,,,
42431330,42431331,0,46613687,True,West Drive,cycleway,20 mph,14.388,"LINESTRING (-73.96467989999999 40.7888391, -73.9648316 40.7887795)",,,,,,,
42431331,42431346,0,46613687,True,West Drive,cycleway,20 mph,50.531,"LINESTRING (-73.9648316 40.7887795, -73.9653871 40.7886074)",,,,,,,
42431346,42431349,0,46613687,True,West Drive,cycleway,20 mph,17.366,"LINESTRING (-73.9653871 40.7886074, -73.9655759 40.7885445)",,,,,,,
42431349,42431353,0,46613687,True,West Drive,cycleway,20 mph,21.515,"LINESTRING (-73.9655759 40.7885445, -73.9658075 40.7884627)",,,,,,,
42431353,2057103256,0,46613687,True,West Drive,cycleway,20 mph,10.856,"LINESTRING (-73.9658075 40.7884627, -73.9659158 40.7884097)",,,,,,,
42431355,42431356,0,46613687,True,West Drive,cycleway,20 mph,21.639,"LINESTRING (-73.9660465 40.7883447, -73.96625779999999 40.7882339)",,,,,,,
42431356,42431360,0,46613687,True,West Drive,cycleway,20 mph,21.9,"LINESTRING (-73.96625779999999 40.7882339, -73.96644929999999 40.7881006)",,,,,,,
42431360,42431361,0,46613687,True,West Drive,cycleway,20 mph,16.833,"LINESTRING (-73.96644929999999 40.7881006, -73.96659099999999 40.7879938)",,,,,,,
42431361,2216999460,0,46613687,True,West Drive,cycleway,20 mph,9.621,"LINESTRING (-73.96659099999999 40.7879938, -73.9666703 40.7879315)",,,,,,,
42431363,3616582587,0,46613687,True,West Drive,cycleway,20 mph,24.731,"LINESTRING (-73.96669180000001 40.7879147, -73.9668688 40.7877372)",,,,,,,
42431373,4332540834,0,46613687,True,West Drive,cycleway,20 mph,15.904,"LINESTRING (-73.96754249999999 40.786271, -73.9675222 40.7861288)",,,,,,,
42431385,4332540826,0,318476041,True,West Drive,cycleway,20 mph,16.239,"LINESTRING (-73.9694889 40.7811979, -73.9695703 40.7810655)",,,,,,,
42431404,5300342125,0,318476041,True,West Drive,cycleway,20 mph,12.637,"LINESTRING (-73.9720669 40.778973, -73.97216330000001 40.7788859)",,,,,,,
42431413,248709595,0,689009144,True,West Drive,cycleway,20 mph,10.906,"LINESTRING (-73.9740887 40.7773876, -73.9741224 40.7772929)",,,,,,,
42431528,42430791,0,5672510,True,Morton Street,residential,20 mph,36.394,"LINESTRING (-74.0046246 40.7310034, -74.00422570000001 40.7311289)",,,,,,,
42431528,42431273,0,239988110,True,Bedford Street,residential,20 mph,65.687,"LINESTRING (-74.0046246 40.7310034, -74.0049377 40.7315444)",,,,,,,
42431531,4816151662,0,46610726,True,Barrow Street,residential,20 mph,49.878,"LINESTRING (-74.0051065 40.7318361, -74.0056551 40.7316676)",,,,,,,
42431531,42431536,0,239988110,True,Bedford Street,residential,20 mph,74.359,"LINESTRING (-74.0051065 40.7318361, -74.005461 40.7324485)",,,,,,,
42431536,42431797,0,46610725,True,Grove Street,residential,20 mph,135.912,"LINESTRING (-74.005461 40.7324485, -74.0039756 40.732925)",,,,,,,
42431536,339044224,0,239988110,True,Bedford Street,residential,20 mph,83.306,"LINESTRING (-74.005461 40.7324485, -74.0058581 40.7331346)",,,,,,,
42431797,529556011,0,46610725,True,Grove Street,residential,20 mph,3.072,"LINESTRING (-74.0039756 40.732925, -74.0039421 40.7329359)",,,,,,,
42431797,4679523599,0,492148703,True,Bleecker Street,residential,20 mph,65.179,"LINESTRING (-74.0039756 40.732925, -74.0036613 40.7323894)",,,,,,,
42431802,42431797,0,492148703,True,Bleecker Street,residential,20 mph,57.612,"LINESTRING (-74.0042514 40.7333991, -74.0039756 40.732925)",,,,,,,
42431802,4841945995,0,492148704,True,Christopher Street,residential,20 mph,10.46,"LINESTRING (-74.0042514 40.7333991, -74.0043727 40.7333791)",,,,,,,
42431804,6213204051,0,216959250,True,West 10th Street,residential,20 mph,2.788,"LINESTRING (-74.004561 40.73401, -74.00452850000001 40.7340147)",,,,,,,
42431804,4841945993,0,663797737,True,Bleecker Street,residential,20 mph,24.688,"LINESTRING (-74.004561 40.73401, -74.0044748 40.7337978)",,,,,,,
42431805,42436400,0,5672073,True,Charles Street,residential,20 mph,121.555,"LINESTRING (-74.00474579999999 40.7346517, -74.0061609 40.734439)",,,,,,,
42431805,42431804,0,663634122,True,Bleecker Street,residential,20 mph,73.033,"LINESTRING (-74.00474579999999 40.7346517, -74.004561 40.73401)",,,,,,,
42431812,6213204034,0,5673052,True,Perry Street,residential,20 mph,2.831,"LINESTRING (-74.0049302 40.7352971, -74.0048972 40.7353019)",,,,,,,
42431812,42431805,0,663634122,True,Bleecker Street,residential,20 mph,73.428,"LINESTRING (-74.0049302 40.7352971, -74.00474579999999 40.7346517)",,,,,,,
42431814,42436407,0,5671668,True,West 11th Street,residential,20 mph,69.088,"LINESTRING (-74.0051271 40.7359654, -74.0059318 40.735846)",,,,,,,
42431814,42431812,0,663634122,True,Bleecker Street,residential,20 mph,76.141,"LINESTRING (-74.0051271 40.7359654, -74.0049302 40.7352971)",,,,,,,
42431829,6213204061,0,663634122,True,Bleecker Street,residential,20 mph,10.825,"LINESTRING (-74.005352 40.736704, -74.005314 40.736611)",,,,,,,
42431831,1825739972,0,663634122,True,Bleecker Street,residential,20 mph,6.352,"LINESTRING (-74.0054231 40.7367882, -74.0053777 40.7367426)",,,,,,,
42432116,42423514,0,46116403,False,Broome Street,service,20 mph,63.845,"LINESTRING (-74.0077807 40.7245757, -74.007029 40.724504)",,,,,,,
42432211,6213315379,0,480112475,True,Jane Street,residential,20 mph,8.636,"LINESTRING (-74.0020342 40.7381296, -74.00213669999999 40.7381296)",,,,,,,
42433272,42430824,0,5673052,True,Perry Street,residential,20 mph,18.573,"LINESTRING (-74.00176159999999 40.7357626, -74.0015452 40.7357944)",,,,,,,
42433275,42449076,0,5671668,True,West 11th Street,residential,20 mph,135.601,"LINESTRING (-74.0019538 40.7364365, -74.00353320000001 40.7362021)",,,,,,,
42433275,42433272,0,46610734,True,Waverly Place,unclassified,20 mph,76.664,"LINESTRING (-74.0019538 40.7364365, -74.00176159999999 40.7357626)",,,,,,,
42433278,42432205,0,5670941,True,Bank Street,unclassified,20 mph,57.826,"LINESTRING (-74.00213599999999 40.737066, -74.001463 40.737168)",,,,,,,
42433278,42433275,0,46610734,True,Waverly Place,unclassified,20 mph,71.661,"LINESTRING (-74.00213599999999 40.737066, -74.0019538 40.7364365)",,,,,,,
42433861,2058919779,0,583505064,True,East Drive,cycleway,20 mph,56.951,"LINESTRING (-73.9555113 40.7962854, -73.9550784 40.796679)",,,,,,,
42434038,247225007,0,104336139,True,East Drive,cycleway,20 mph,34.573,"LINESTRING (-73.9547996 40.7943276, -73.9546194 40.794607)",,,,,,,
42434044,247225008,0,104336139,True,East Drive,cycleway,20 mph,33.116,"LINESTRING (-73.9539643 40.7950396, -73.9536006 40.7951531)",,,,,,,
42434050,2058919678,0,104336139,True,East Drive,cycleway,20 mph,20.391,"LINESTRING (-73.9542898 40.7959534, -73.9544952 40.7958562)",,,,,,,
42434148,4216045802,0,195743554,False,Avenue A,secondary,20 mph,6.969,"LINESTRING (-73.98309 40.726666, -73.98312989999999 40.7266111)",,,2,,,,
42434148,4216045852,0,584971532,False,Avenue A,secondary,20 mph,8.813,"LINESTRING (-73.98309 40.726666, -73.9830395 40.7267354)",,,2,,,,
42434215,4216045795,0,46582968,True,East 7th Street,residential,20 mph,9.841,"LINESTRING (-73.983535 40.726053, -73.983637 40.7260961)",,,1,,,,
42434215,4216045800,0,195743554,False,Avenue A,secondary,20 mph,8.883,"LINESTRING (-73.983535 40.726053, -73.98348420000001 40.726123)",,,2,,,,
