u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,service,bridge,lanes,access,ref,junction,tunnel
42442148,2216963709,0,31311318,False,Olmstead and Vaux Way,cycleway,20 mph,13.103,"LINESTRING (-73.9731688 40.77386, -73.9733008 40.7739224)",,,,,,,
42442148,2059303848,0,31311318,False,Olmstead and Vaux Way,cycleway,20 mph,15.295,"LINESTRING (-73.9731688 40.77386, -73.9729973 40.7738147)",,,,,,,
42442158,2059303845,0,31311318,False,Olmstead and Vaux Way,cycleway,20 mph,16.406,"LINESTRING (-73.97228939999999 40.7737965, -73.9724825 40.7737769)",,,,,,,
42442158,4257949422,0,31311318,False,Olmstead and Vaux Way,cycleway,20 mph,7.986,"LINESTRING (-73.97228939999999 40.7737965, -73.97219610000001 40.7738094)",,,,,,,
42442164,1490116233,0,31311318,False,Olmstead and Vaux Way,cycleway,20 mph,44.729,"LINESTRING (-73.9736667 40.7742446, -73.9740271 40.7745401)",,,,,,,
42442164,1490116227,0,31311318,False,Olmstead and Vaux Way,cycleway,20 mph,35.059,"LINESTRING (-73.9736667 40.7742446, -73.97340269999999 40.7740008)",,,,,,,
42442172,4331118557,0,689009144,True,West Drive,cycleway,20 mph,18.403,"LINESTRING (-73.9739976 40.7757074, -73.9739984 40.7755419)",,,,,,,
42442175,4332562568,0,31311318,False,Olmstead and Vaux Way,cycleway,20 mph,16.28,"LINESTRING (-73.97477859999999 40.7747384, -73.9745879 40.7747143)",,,,,,,
42442175,595703342,0,648888153,False,West Drive,cycleway,20 mph,12.767,"LINESTRING (-73.97477859999999 40.7747384, -73.9749278 40.774718)",,,,,,,
42443066,2947964867,0,685336387,True,East 105th Street,residential,20 mph,13.375,"LINESTRING (-73.9429284 40.7899429, -73.943067 40.7900017)",,,,,,,
42444827,5481937325,0,46608205,True,East 6th Street,residential,20 mph,27.056,"LINESTRING (-73.986176 40.726409, -73.9858955 40.7262906)",,,2,,,,
42444829,42444832,0,46608205,True,East 6th Street,residential,20 mph,223.843,"LINESTRING (-73.983958 40.725473, -73.98163700000001 40.724494)",,,2,,,,
42444829,4216045808,0,195743554,False,Avenue A,secondary,20 mph,66.008,"LINESTRING (-73.983958 40.725473, -73.98357919999999 40.7259926)",,,2,,,,
42444829,3316524008,0,195743554,False,Avenue A,secondary,20 mph,67.836,"LINESTRING (-73.983958 40.725473, -73.9843475 40.7249391)",,,2,,,,
42444832,42453177,0,5672621,False,Avenue B,secondary,20 mph,77.741,"LINESTRING (-73.98163700000001 40.724494, -73.982083 40.723882)",,,2,,,,
42444832,4216045828,0,813956617,False,Avenue B,secondary,20 mph,66.715,"LINESTRING (-73.98163700000001 40.724494, -73.9812514 40.725018)",,,2,yes,,,
42444832,5575804213,0,813956618,True,East 6th Street,residential,20 mph,106.396,"LINESTRING (-73.98163700000001 40.724494, -73.9805329 40.7240299)",,,2,,,,
42444833,42434233,0,5672646,False,Avenue C,secondary,20 mph,73.439,"LINESTRING (-73.9792659 40.7234973, -73.97884689999999 40.7240764)",,,2,,,,
42444833,42453158,0,5672646,False,Avenue C,secondary,20 mph,78.005,"LINESTRING (-73.9792659 40.7234973, -73.9797155 40.7228841)",,,2,,,,
42444833,42444835,0,813956618,True,East 6th Street,residential,20 mph,228.767,"LINESTRING (-73.9792659 40.7234973, -73.976893 40.722498)",,,2,,,,
42444835,4301308519,0,25167210,False,Avenue D,secondary,20 mph,9.166,"LINESTRING (-73.976893 40.722498, -73.97684099999999 40.7225704)",,,2,,,,
42444835,4161569138,0,397839400,False,Avenue D,secondary,20 mph,8.565,"LINESTRING (-73.976893 40.722498, -73.9769429 40.7224309)",,,2,,,,
42444835,4301308507,0,665503121,False,East 6th Street,residential,20 mph,9.113,"LINESTRING (-73.976893 40.722498, -73.9767981 40.7224587)",,,2,,,,
42444837,3884582051,0,665503121,False,East 6th Street,residential,20 mph,6.634,"LINESTRING (-73.97477050000001 40.7216193, -73.9748405 40.7216466)",,,2,,,,
42445387,3932847293,0,46139023,True,Tunnel Entrance Street,primary,20 mph,13.1,"LINESTRING (-73.975224 40.744505, -73.9751502 40.7446087)",,,3,,,,
42446547,5147808598,0,479642033,True,East 12th Street,residential,20 mph,77.246,"LINESTRING (-73.983536 40.7300191, -73.9827351 40.7296811)",,,,,,,
42446552,42446562,0,479642033,True,East 12th Street,residential,20 mph,224.329,"LINESTRING (-73.981325 40.729086, -73.978998 40.728106)",,,,,,,
42446552,42436944,0,584971531,False,Avenue A,secondary,20 mph,81.223,"LINESTRING (-73.981325 40.729086, -73.980858 40.729725)",,,2,,,,
