u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed,est_width,service,ref,junction
4856761371,6442715885,0,762972029,Gang Kurma II,residential,,False,3.935,"LINESTRING (106.8813212 -6.2986972, 106.8813568 -6.2986975)",3.5,1,,20,,,,
4856761376,6442715384,0,762972029,Gang Kurma II,residential,,False,2.063,"LINESTRING (106.8813963 -6.2987011, 106.8813783 -6.2986962)",3.5,1,,20,,,,
4856761376,6442715383,0,762972029,Gang Kurma II,residential,,False,2.805,"LINESTRING (106.8813963 -6.2987011, 106.8814065 -6.2987242)",3.5,1,,20,,,,
4856761381,6458117755,0,493800144,,residential,,False,3.96,"LINESTRING (106.8816209 -6.2988378, 106.8816566 -6.2988348)",3.5,1,,20,,,,
4856761381,4856761383,0,493800144,,residential,,False,22.243,"LINESTRING (106.8816209 -6.2988378, 106.8814244 -6.298881)",3.5,1,,20,,,,
4856761382,4856761390,0,493800144,,residential,,False,15.169,"LINESTRING (106.8816833 -6.2988385, 106.8817463 -6.2989597)",3.5,1,,20,,,,
4856761382,6458117755,0,493800144,,residential,,False,2.98,"LINESTRING (106.8816833 -6.2988385, 106.8816566 -6.2988348)",3.5,1,,20,,,,
4856761383,4856761385,0,493800124,,residential,,False,6.35,"LINESTRING (106.8814244 -6.298881, 106.8813727 -6.2989059)",3.5,1,,20,,,,
4856761383,4856761381,0,493800144,,residential,,False,22.243,"LINESTRING (106.8814244 -6.298881, 106.8816209 -6.2988378)",3.5,1,,20,,,,
4856761383,6442715383,0,762972029,Gang Kurma II,residential,,False,17.547,"LINESTRING (106.8814244 -6.298881, 106.8814065 -6.2987242)",3.5,1,,20,,,,
4856761385,4856761383,0,493800124,,residential,,False,6.35,"LINESTRING (106.8813727 -6.2989059, 106.8814244 -6.298881)",3.5,1,,20,,,,
4856761385,4856761386,0,493800124,,residential,,False,1.871,"LINESTRING (106.8813727 -6.2989059, 106.8813574 -6.2989131)",3.5,1,,20,,,,
4856761385,4856761396,0,493800151,,residential,,False,15.138,"LINESTRING (106.8813727 -6.2989059, 106.8814117 -6.2990364)",3.5,1,,20,,,,
4856761386,4856761385,0,493800124,,residential,,False,1.871,"LINESTRING (106.8813574 -6.2989131, 106.8813727 -6.2989059)",3.5,1,,20,,,,
4856761386,4856761388,0,493800124,,residential,,False,28.124,"LINESTRING (106.8813574 -6.2989131, 106.881116 -6.2989931)",3.5,1,,20,,,,
4856761388,4856761386,0,493800124,,residential,,False,28.124,"LINESTRING (106.881116 -6.2989931, 106.8813574 -6.2989131)",3.5,1,,20,,,,
4856761388,6442715380,0,493800124,,residential,,False,4.554,"LINESTRING (106.881116 -6.2989931, 106.8810752 -6.2989988)",3.5,1,,20,,,,
4856761388,4856761402,0,493800139,,residential,,False,36.755,"LINESTRING (106.881116 -6.2989931, 106.8811368 -6.299323)",3.5,1,,20,,,,
4856761389,6442715382,0,493800124,,residential,,False,8.238,"LINESTRING (106.8808994 -6.298987, 106.8809732 -6.2989974)",3.5,1,,20,,,,
4856761389,1682986223,0,493800124,,residential,,False,19.121,"LINESTRING (106.8808994 -6.298987, 106.8807264 -6.2989878)",3.5,1,,20,,,,
4856761390,4856761398,0,493800144,,residential,,False,21.352,"LINESTRING (106.8817463 -6.2989597, 106.8818295 -6.299133)",3.5,1,,20,,,,
4856761390,4856761382,0,493800144,,residential,,False,15.169,"LINESTRING (106.8817463 -6.2989597, 106.8816833 -6.2988385)",3.5,1,,20,,,,
4856761396,4856761403,0,493800151,,residential,,False,35.456,"LINESTRING (106.8814117 -6.2990364, 106.8815378 -6.2993296)",3.5,1,,20,,,,
4856761396,4856761385,0,493800151,,residential,,False,15.138,"LINESTRING (106.8814117 -6.2990364, 106.8813727 -6.2989059)",3.5,1,,20,,,,
4856761398,4856761390,0,493800144,,residential,,False,21.352,"LINESTRING (106.8818295 -6.299133, 106.8817463 -6.2989597)",3.5,1,,20,,,,
4856761402,4856761407,0,493800139,,residential,,False,8.691,"LINESTRING (106.8811368 -6.299323, 106.881147 -6.2994005)",3.5,1,,20,,,,
4856761402,4856761388,0,493800139,,residential,,False,36.755,"LINESTRING (106.8811368 -6.299323, 106.881116 -6.2989931)",3.5,1,,20,,,,
4856761403,4856761396,0,493800151,,residential,,False,35.456,"LINESTRING (106.8815378 -6.2993296, 106.8814117 -6.2990364)",3.5,1,,20,,,,
4856761407,4856761402,0,493800139,,residential,,False,8.691,"LINESTRING (106.881147 -6.2994005, 106.8811368 -6.299323)",3.5,1,,20,,,,
4856761414,4561712626,0,352600066,Jalan Dukuh V,residential,,False,43.388,"LINESTRING (106.8807091 -6.3007036, 106.88071 -6.3010938)",3,1,,20,,,,
4856761414,5504406353,0,352600066,Jalan Dukuh V,residential,,False,4.817,"LINESTRING (106.8807091 -6.3007036, 106.8807103 -6.3006603)",3,1,,20,,,,
4859710797,6330281120,0,494178947,,residential,,False,16.17,"LINESTRING (106.7487485 -6.1772751, 106.748735 -6.1771303)",3,1,,5,,,,
4859710797,4859710798,0,494178947,,residential,,False,25.796,"LINESTRING (106.7487485 -6.1772751, 106.7487766 -6.1775054)",3,1,,5,,,,
4859710798,4859710797,0,494178947,,residential,,False,25.796,"LINESTRING (106.7487766 -6.1775054, 106.7487485 -6.1772751)",3,1,,5,,,,
4871456819,4871457035,0,495385294,,living_street,,False,16.404,"LINESTRING (106.804724 -6.1608082, 106.804578 -6.1608345)",1.5,1,,5,,,,
4871456819,6478238409,0,495385294,,living_street,,False,4.168,"LINESTRING (106.804724 -6.1608082, 106.8047617 -6.1608076)",1.5,1,,5,,,,
4871456820,4970020564,0,495385294,,living_street,,False,5.7,"LINESTRING (106.8048461 -6.1608322, 106.8047965 -6.1608182)",1.5,1,,5,,,,
4871456820,4871457022,0,495385294,,living_street,,False,21.285,"LINESTRING (106.8048461 -6.1608322, 106.8048695 -6.1610222)",1.5,1,,5,,,,
4871457022,4871456820,0,495385294,,living_street,,False,21.285,"LINESTRING (106.8048695 -6.1610222, 106.8048461 -6.1608322)",1.5,1,,5,,,,
4871457022,4871559304,0,495385294,,living_street,,False,5.914,"LINESTRING (106.8048695 -6.1610222, 106.8048903 -6.1610712)",1.5,1,,5,,,,
4871457024,4871559304,0,495385294,,living_street,,False,12.887,"LINESTRING (106.8049299 -6.1611802, 106.8048903 -6.1610712)",1.5,1,,5,,,,
4871457024,4871457025,0,495385294,,living_street,,False,7.505,"LINESTRING (106.8049299 -6.1611802, 106.8049581 -6.1612416)",1.5,1,,5,,,,
4871457025,4871457024,0,495385294,,living_street,,False,7.505,"LINESTRING (106.8049581 -6.1612416, 106.8049299 -6.1611802)",1.5,1,,5,,,,
4871457025,4871457026,0,495385294,,living_street,,False,8.966,"LINESTRING (106.8049581 -6.1612416, 106.8049762 -6.1613202)",1.5,1,,5,,,,
4871457026,4871457025,0,495385294,,living_street,,False,8.966,"LINESTRING (106.8049762 -6.1613202, 106.8049581 -6.1612416)",1.5,1,,5,,,,
4871457026,4871457027,0,495385294,,living_street,,False,3.939,"LINESTRING (106.8049762 -6.1613202, 106.8049748 -6.1613556)",1.5,1,,5,,,,
4871457027,4871457026,0,495385294,,living_street,,False,3.939,"LINESTRING (106.8049748 -6.1613556, 106.8049762 -6.1613202)",1.5,1,,5,,,,
4871457027,4871457028,0,495385294,,living_street,,False,5.363,"LINESTRING (106.8049748 -6.1613556, 106.8049701 -6.1614036)",1.5,1,,5,,,,
4871457028,4871457027,0,495385294,,living_street,,False,5.363,"LINESTRING (106.8049701 -6.1614036, 106.8049748 -6.1613556)",1.5,1,,5,,,,
4871457028,4871457029,0,495385294,,living_street,,False,8.441,"LINESTRING (106.8049701 -6.1614036, 106.804977 -6.1614792)",1.5,1,,5,,,,
4871457029,4871457028,0,495385294,,living_street,,False,8.441,"LINESTRING (106.804977 -6.1614792, 106.8049701 -6.1614036)",1.5,1,,5,,,,
4871457029,4871457030,0,495385294,,living_street,,False,29.558,"LINESTRING (106.804977 -6.1614792, 106.8049901 -6.1617447)",1.5,1,,5,,,,
4871457030,4871457029,0,495385294,,living_street,,False,29.558,"LINESTRING (106.8049901 -6.1617447, 106.804977 -6.1614792)",1.5,1,,5,,,,
4871457035,4871456819,0,495385294,,living_street,,False,16.404,"LINESTRING (106.804578 -6.1608345, 106.804724 -6.1608082)",1.5,1,,5,,,,
4871514069,1691636865,0,156922087,Jalan Ks Tubun I,service,,True,11.507,"LINESTRING (106.8089935 -6.1872207, 106.8089117 -6.1872847)",4,1,,30,,,,
4871514070,7207376182,0,156922087,Jalan Ks Tubun I,service,,True,8.312,"LINESTRING (106.809074 -6.1870154, 106.8090713 -6.1870901)",4,1,,30,,,,
4871514122,1691636833,0,156922087,Jalan Ks Tubun I,service,,True,3.253,"LINESTRING (106.8090344 -6.1865224, 106.8090619 -6.1865328)",4,1,,30,,,,
4871559304,4871457022,0,495385294,,living_street,,False,5.914,"LINESTRING (106.8048903 -6.1610712, 106.8048695 -6.1610222)",1.5,1,,5,,,,
4871559304,4871457024,0,495385294,,living_street,,False,12.887,"LINESTRING (106.8048903 -6.1610712, 106.8049299 -6.1611802)",1.5,1,,5,,,,
4877553004,1691636867,0,688536587,Jalan Ks Tubun I,service,,False,47.023,"LINESTRING (106.8081049 -6.1867235, 106.8080206 -6.187138)",4,1,,30,,,,
4882603562,5498156183,0,572268547,,residential,,False,43.938,"LINESTRING (106.7270812 -6.2129542, 106.7270198 -6.2133446)",,,,10,,,,
