u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed
5461494446,322773082,0,567347760,,cycleway,,False,449.51199999999994,"LINESTRING (106.773583 -6.1160341, 106.7728548 -6.1157941, 106.772376 -6.1156181, 106.7715539 -6.1154061, 106.7712924 -6.1153767, 106.7710054 -6.1152901, 106.770418 -6.1152687, 106.7701095 -6.1151901, 106.7698507 -6.11503, 106.7699251 -6.114884)",,,,
5504237682,6773792336,0,722130445,Gang Bocor,cycleway,,False,191.559,"LINESTRING (106.9090213 -6.2462652, 106.9086375 -6.2462454, 106.9086425 -6.2461637, 106.9086201 -6.2461315, 106.9086418 -6.2458791, 106.9081213 -6.2458575, 106.9081641 -6.245411)",,,,
5671046434,6330926367,0,716015380,,cycleway,,False,33.196,"LINESTRING (106.7896756 -6.195893, 106.7896093 -6.1958969, 106.7896073 -6.1958039, 106.789467 -6.1958051)",,,,
6330727827,4763548658,0,483610868,Jalan Komplek TNI,cycleway,,False,8.911,"LINESTRING (106.8248085 -6.2312709, 106.8248676 -6.2312164)",1.5,1,,
6330926367,5671046434,0,716015380,,cycleway,,False,33.196,"LINESTRING (106.789467 -6.1958051, 106.7896073 -6.1958039, 106.7896093 -6.1958969, 106.7896756 -6.195893)",,,,
6437455722,6437600158,0,722130444,,cycleway,,False,96.327,"LINESTRING (106.9072728 -6.2464657, 106.9072892 -6.2464139, 106.9073391 -6.2463272, 106.9073864 -6.2462405, 106.9074637 -6.2461637, 106.9074861 -6.2460423, 106.907526 -6.2460249, 106.9075434 -6.2459903, 106.9075684 -6.2457772, 106.9076008 -6.2457574, 106.9076251 -6.245717)",,,,
6437600158,6437455722,0,722130444,,cycleway,,False,96.327,"LINESTRING (106.9076251 -6.245717, 106.9076008 -6.2457574, 106.9075684 -6.2457772, 106.9075434 -6.2459903, 106.907526 -6.2460249, 106.9074861 -6.2460423, 106.9074637 -6.2461637, 106.9073864 -6.2462405, 106.9073391 -6.2463272, 106.9072892 -6.2464139, 106.9072728 -6.2464657)",,,,
6728627764,1709782782,0,716015377,,cycleway,,False,31.34,"LINESTRING (106.7918027 -6.1983884, 106.7918806 -6.1981174)",1.5,,,
6728627767,4896584859,0,"[716015378, 688562051]",,cycleway,,False,89.67,"LINESTRING (106.7901245 -6.1957863, 106.7903719 -6.195787, 106.7906177 -6.1958137, 106.7905745 -6.1961254)",,,,
6728627770,6728627772,0,716015379,,cycleway,,False,63.229,"LINESTRING (106.7895536 -6.195235, 106.7898326 -6.1952481, 106.7900102 -6.1952516, 106.7901252 -6.1952538)",1.5,,,
