u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed,est_width,service,ref,junction
350995162,4961269260,0,31446026,Jalan Tamansari III,living_street,,False,289.709,"LINESTRING (106.8272725 -6.159314, 106.8270003 -6.159338, 106.8266623 -6.1593721, 106.8262546 -6.1593843, 106.8258858 -6.1594508, 106.8250872 -6.1596265, 106.8246906 -6.159717)",1.5,1,,10,,,,
350995194,4961524325,0,31446027,Jalan Tamansari I B,living_street,,False,14.425,"LINESTRING (106.8258398 -6.160595, 106.8259618 -6.160549)",1.5,1,,10,,,,
350995239,4961524400,0,31446028,Jalan Tamansari I A,living_street,,False,87.447,"LINESTRING (106.8262488 -6.1608282, 106.8263891 -6.1607913, 106.8264518 -6.1607797, 106.8266319 -6.1607373, 106.826872 -6.1607086, 106.827026 -6.1607276)",1.5,1,,10,,,,
352490820,4840935103,0,31502906,Jalan Lontar VII,residential,yes,False,112.55199999999999,"LINESTRING (106.8419578 -6.2180431, 106.8418933 -6.2184637, 106.8417947 -6.2190422)",3,1,,20,,,,
352503795,7229261568,0,"[159631702, 676064138, 557932658]",Jalan Subur Raya,residential,yes,False,210.12099999999998,"LINESTRING (106.8451545 -6.2186472, 106.8450754 -6.2186817, 106.8449873 -6.2187143, 106.8445867 -6.2188669, 106.8444261 -6.2189139, 106.8443421 -6.2189263, 106.8441398 -6.2189402, 106.8433057 -6.2190012)",,2,yes,30,,,,
352628815,2125267107,0,202560883,Jalan Lapangan Ros I,residential,yes,False,263.66,"LINESTRING (106.8524502 -6.223868, 106.8524842 -6.2238784, 106.8530768 -6.2240511, 106.8537177 -6.2242125, 106.8547573 -6.2244682)",4,1,,20,,,,
352628815,2125280907,0,202561677,Jalan Lapangan Ros II,residential,,False,169.60399999999998,"LINESTRING (106.8524502 -6.223868, 106.8525344 -6.2236589, 106.8525553 -6.2236357, 106.8525647 -6.2236324, 106.8525808 -6.223629, 106.8527457 -6.2236287, 106.8529179 -6.2236504, 106.8531423 -6.2237048, 106.853803 -6.223867)",4,1,,20,,,,
352628815,2125272370,0,490046624,Jalan Sederhana I,residential,yes,True,45.292,"LINESTRING (106.8524502 -6.223868, 106.8524413 -6.2238897, 106.8523395 -6.22426)",4,1,,20,,,,
352911712,352911721,0,"[31537013, 803281686]",Jalan Bekasi Timur II,residential,,False,153.411,"LINESTRING (106.87279 -6.2173753, 106.8731023 -6.2173643, 106.8734993 -6.2177643, 106.8735207 -6.2178122, 106.8735728 -6.2182639)",3,1,,10,,,,
352911715,352911717,0,31537011,Jalan Haji Yakub Saidi,residential,,False,195.52999999999997,"LINESTRING (106.8727992 -6.2177789, 106.872763 -6.2178029, 106.8723747 -6.2177999, 106.8719915 -6.2177901, 106.8716921 -6.2177824, 106.8714362 -6.217779, 106.8711001 -6.2177783, 106.8710381 -6.2177736)",4,2,,10,,,,
