u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed
317182311,4822370391,0,732422817,Gang Keselamatan 2,cycleway,yes,False,126.006,"LINESTRING (106.848373 -6.2233717, 106.8484129 -6.2222392)",,,,
322773082,5461494438,0,567347760,,cycleway,,False,18.2,"LINESTRING (106.7699251 -6.114884, 106.7698507 -6.11503)",,,,
1473672575,2871746706,0,133930155,Kalibata Timur 4,cycleway,,False,109.317,"LINESTRING (106.8493225 -6.2589477, 106.8493172 -6.2579646)",,,,
1473672579,2528925067,0,133930155,Kalibata Timur 4,cycleway,,False,39.921,"LINESTRING (106.8494395 -6.257139, 106.8494432 -6.25678)",,,,
1473672579,1695801316,0,133930155,Kalibata Timur 4,cycleway,,False,55.322,"LINESTRING (106.8494395 -6.257139, 106.8493071 -6.2576188)",,,,
1473672608,1473672626,0,133930155,Kalibata Timur 4,cycleway,,False,42.17,"LINESTRING (106.8497215 -6.2556977, 106.8496424 -6.2560687)",,,,
1473672626,1473672608,0,133930155,Kalibata Timur 4,cycleway,,False,42.17,"LINESTRING (106.8496424 -6.2560687, 106.8497215 -6.2556977)",,,,
1473672626,1695801301,0,133930155,Kalibata Timur 4,cycleway,,False,34.242,"LINESTRING (106.8496424 -6.2560687, 106.8495738 -6.256369)",,,,
1695801301,1473672626,0,133930155,Kalibata Timur 4,cycleway,,False,34.242,"LINESTRING (106.8495738 -6.256369, 106.8496424 -6.2560687)",,,,
1695801301,2528925067,0,133930155,Kalibata Timur 4,cycleway,,False,47.927,"LINESTRING (106.8495738 -6.256369, 106.8494432 -6.25678)",,,,
1695801316,1473672579,0,133930155,Kalibata Timur 4,cycleway,,False,55.322,"LINESTRING (106.8493071 -6.2576188, 106.8494395 -6.257139)",,,,
1695801316,2871746706,0,133930155,Kalibata Timur 4,cycleway,,False,38.467,"LINESTRING (106.8493071 -6.2576188, 106.8493172 -6.2579646)",,,,
1709782782,6728627764,0,716015377,,cycleway,,False,31.34,"LINESTRING (106.7918806 -6.1981174, 106.7918027 -6.1983884)",1.5,,,
