u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width,area,tunnel
263544316,2351748417,0,24313843,True,2,Calle 53B,tertiary,45.473,"LINESTRING (-74.07806119999999 4.643928, -74.0776584 4.6438502)",30,,,,,
263544323,5336886594,0,24313843,True,2,Calle 53B,tertiary,55.203,"LINESTRING (-74.0761589 4.6435606, -74.07566989999999 4.6434662)",30,,,,,
263544324,5301642408,0,24313843,True,2,Calle 53B,tertiary,32.388,"LINESTRING (-74.0766417 4.6436538, -74.0763548 4.6435984)",30,,,,,
263732478,263732407,0,675557366,False,2,Carrera 26,residential,119.465,"LINESTRING (-74.0763378 4.6360819, -74.0761335 4.6371368)",30,,,,,
263776630,1655448295,0,89759289,True,1,Transversal 25A,residential,40.259,"LINESTRING (-74.07603880000001 4.6354303, -74.07622360000001 4.635742)",,,,,,
263776814,5101150724,0,89725247,True,2,Transversal 17,tertiary,10.523,"LINESTRING (-74.0712066 4.6300918, -74.071113 4.6300759)",,,,,,
263776860,5087463868,0,675552252,True,2,Diagonal 40A,tertiary,18.999,"LINESTRING (-74.0672119 4.6273248, -74.0673822 4.6273443)",,,,,,
263776866,5087463853,0,675552252,True,2,Diagonal 40A,tertiary,31.59,"LINESTRING (-74.0676622 4.6274437, -74.0679105 4.6275832)",,,,,,
263776867,7560528661,0,89716908,True,2,Diagonal 40A,tertiary,4.347,"LINESTRING (-74.0686043 4.628082, -74.0686347 4.6281067)",30,,,,,
263776957,263776814,0,375277192,True,2,Diagonal 40A,tertiary,49.692,"LINESTRING (-74.0715122 4.6304188, -74.0712066 4.6300918)",30,,,,,
263776957,6331350519,0,24324760,True,1,Diagonal 40A Bis,tertiary,30.622,"LINESTRING (-74.0715122 4.6304188, -74.0712643 4.6302972)",,,,,,
263776990,264154286,0,677989004,True,2,Calle 36,tertiary,59.039,"LINESTRING (-74.0722243 4.625174, -74.0727476 4.6252732)",30,,,,,
263777109,7792593181,0,375277192,True,2,Diagonal 40A,tertiary,21.12,"LINESTRING (-74.0722952 4.6311001, -74.0721494 4.6309778)",30,,,,,
263777145,7785887077,0,24324772,True,2,Avenida Calle 32,secondary,51.668,"LINESTRING (-74.0742769 4.6203946, -74.0747327 4.6202971)",,,,,,
263777250,7792246250,0,24324772,True,2,Avenida Calle 32,secondary,21.087,"LINESTRING (-74.0705796 4.6205996, -74.0707476 4.6206886)",,,,,,
263777254,3889257203,0,24324772,True,2,Avenida Calle 32,secondary,11.019,"LINESTRING (-74.0711407 4.6208706, -74.07123609999999 4.6208985)",,,,,,
263777256,3868431154,0,24324772,True,2,Avenida Calle 32,secondary,13.056,"LINESTRING (-74.07170050000001 4.62097, -74.0718183 4.6209698)",,,,,,
