u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge
264154094,263777098,0,"[89725043, 734633045]",False,"['3', '2']",Calle 39,residential,247.19,"LINESTRING (-74.0705955 4.6270647, -74.071259 4.6271683, -74.07141350000001 4.6271926, -74.0718743 4.6272648, -74.0719137 4.627271, -74.0721202 4.6273035, -74.0722562 4.6273249, -74.07242479999999 4.6273506, -74.0727991 4.6274076)",30,
264157127,263732478,0,675557366,False,2,Carrera 26,residential,226.12900000000002,"LINESTRING (-74.0759824 4.6380842, -74.07613859999999 4.6371164, -74.0763378 4.6360819)",30,
264157393,264153896,0,"[24350867, 89725143]",False,2,"['Calle 39', 'Carrera 29']",residential,147.386,"LINESTRING (-74.0805203 4.6269161, -74.079364 4.6268443, -74.0793508 4.6270145)",,
283342319,310666620,0,89759450,True,2,Carrera 16,residential,176.593,"LINESTRING (-74.0662698 4.6525894, -74.0661738 4.6531593, -74.066075 4.6537171, -74.06600709999999 4.6540617, -74.0659629 4.6541432)",30,
283342319,5102158168,0,89875089,True,2,Calle 64,tertiary,274.36400000000003,"LINESTRING (-74.0662698 4.6525894, -74.0670703 4.6530953, -74.0678719 4.6535809, -74.0683725 4.6538915)",30,
311451454,311450297,0,"[89981340, 28357675, 89981388, 25312740]",True,"['1', '2']",Carrera 50,"['tertiary', 'residential']",885.3029999999999,"LINESTRING (-74.06174129999999 4.6882764, -74.06173250000001 4.6883364, -74.0616078 4.6891865, -74.0614909 4.6899325, -74.0612557 4.6913786, -74.0607103 4.6946198, -74.0604754 4.6960117, -74.06047049999999 4.6960408, -74.06046310000001 4.696135)",,
312655767,312656265,0,"[89875176, 734633048, 529528971]",True,"['3', '2']","['Calle 71A', 'Carrera 15']",residential,688.928,"LINESTRING (-74.0647819 4.6549436, -74.0646745 4.6556579, -74.0646387 4.6557412, -74.0646083 4.6558144, -74.0645214 4.6559376, -74.0640983 4.6566567, -74.0638072 4.6571096, -74.0635949 4.6574556, -74.0635821 4.6575391, -74.0633895 4.6586409, -74.0632445 4.6594379, -74.0636114 4.6596914, -74.0643814 4.6601952)",30,
312656265,4161703851,0,"[529528970, 40936938, 734633051, 72941556, 89890613, 89901752, 734633049, 89890523]",True,"['1', '4', '3', '2']","['Calle 71A', 'Calle 76', 'Carrera 20', 'Carrera 20C']","['tertiary', 'residential']",973.1370000000001,"LINESTRING (-74.0643814 4.6601952, -74.0651009 4.66068, -74.06502740000001 4.6608028, -74.0646844 4.6612924, -74.0646253 4.6613796, -74.064345 4.6619174, -74.06405169999999 4.6624675, -74.0636392 4.6632267, -74.06357749999999 4.6633235, -74.06353060000001 4.6633971, -74.0633414 4.6636873, -74.0630269 4.6641384, -74.0627473 4.6645634, -74.0624773 4.6650034, -74.0632708 4.6655106, -74.0633612 4.6655716, -74.06346910000001 4.6656378, -74.06423770000001 4.6661331, -74.0647798 4.6664885, -74.0648085 4.666533, -74.0648182 4.6665724)",30,
312656265,5102158168,0,734633047,True,3,Carrera 19,residential,830.392,"LINESTRING (-74.0643814 4.6601952, -74.0647945 4.659525, -74.0650837 4.6590948, -74.0653507 4.6586536, -74.0655192 4.6584231, -74.0656504 4.6582248, -74.06592430000001 4.657778, -74.0662087 4.657346, -74.0665072 4.6568972, -74.066733 4.6565652, -74.06691669999999 4.656291, -74.0672879 4.6556885, -74.0676749 4.6550783, -74.0682168 4.6542489, -74.06836370000001 4.6539959, -74.0683705 4.6539514, -74.0683725 4.6538915)",,
1039801525,264153902,0,"[658185537, 89725265]",False,3,Calle 39,residential,241.813,"LINESTRING (-74.07301320000001 4.6274371, -74.073724 4.6275319, -74.0743781 4.6276297, -74.0750999 4.6277385, -74.0751234 4.627742, -74.07517230000001 4.6277494)",,
