u,v,key,osmid,oneway,lanes,name,highway,length,geometry,access,bridge,width,maxspeed,tunnel,service,junction
41600998,1376419252,0,123419749,False,,,cycleway,32.196999999999996,"LINESTRING (-112.0766247 33.6321139, -112.0765543 33.6321219, -112.0765101 33.6321107, -112.0764712 33.6320727, -112.076443 33.6320303, -112.0764161 33.6319998, -112.0763961 33.6319912, -112.0763518 33.631989)",,,,,,,
41601019,1376419302,0,123421005,False,,,cycleway,236.24699999999999,"LINESTRING (-112.0784576 33.6280753, -112.0785049 33.6281204, -112.0785498 33.6281578, -112.0786793 33.6282271, -112.078806 33.6282633, -112.0788891 33.6282779, -112.0789716 33.6282831, -112.0790568 33.6282773, -112.0791708 33.6282527, -112.0792493 33.6282242, -112.0793719 33.6281623, -112.0795034 33.6280863, -112.0797877 33.6279289, -112.0798413 33.6278943, -112.0799701 33.6278395, -112.0802665 33.6277122, -112.0806976 33.6275347)",,,,,,,
41601159,1932337351,0,"[30122317, 290288878]",False,,,cycleway,51.181999999999995,"LINESTRING (-112.0781594 33.5029515, -112.0781674 33.5031039, -112.0781654 33.5033653, -112.0781441 33.5034081)",,,,,,,
41601225,5781898094,0,"[290288880, 30122315]",False,,,cycleway,34.733,"LINESTRING (-112.0781454 33.5039071, -112.0781092 33.503872, -112.0780836 33.5038149, -112.0780748 33.5036639, -112.0780657 33.5036105)",,,,,,,
41618784,962858605,0,82698998,False,,,cycleway,841.5439999999999,"LINESTRING (-112.0307804 33.631704, -112.0309874 33.6317413, -112.0313135 33.6318081, -112.0316613 33.6318659, -112.0318957 33.6319294, -112.0320628 33.6319748, -112.0323243 33.6320094, -112.0326232 33.6320747, -112.0330858 33.6322001, -112.0335236 33.6322918, -112.0338083 33.6322963, -112.0341639 33.6323609, -112.0344744 33.6324011, -112.0347212 33.632408, -112.0351507 33.6323983, -112.035581 33.6324309, -112.0360668 33.6323965, -112.0364472 33.6324111, -112.0368351 33.6324196, -112.0373561 33.6324332, -112.037838 33.6324233, -112.0383556 33.6324529, -112.0386697 33.6324881, -112.0389821 33.6325349, -112.0391686 33.6325871, -112.0393059 33.6326344, -112.0393606 33.6326219, -112.0394685 33.6326279, -112.0395627 33.6326349, -112.0396035 33.6326857, -112.0396867 33.6327159)",,,,,,,
41661317,755579380,0,146981639,False,,,cycleway,19.451999999999998,"LINESTRING (-112.0100831 33.6174944, -112.0099625 33.6174326, -112.0098973 33.6174152)",,,,,,,
41669464,1675871762,0,"[155230676, 30023731, 30023732, 23701718]",False,,,cycleway,594.025,"LINESTRING (-112.0870235 33.4606854, -112.086978 33.460724, -112.0869579 33.4607324, -112.0869211 33.4607073, -112.0869051 33.4606755, -112.0868817 33.4606264, -112.0868516 33.4606308, -112.086875 33.4606883, -112.0869169 33.46074, -112.0869706 33.4607712, -112.0870161 33.4607854, -112.0870684 33.4607926, -112.0869417 33.4616522, -112.0869977 33.4616576, -112.0870472 33.4616727, -112.0871179 33.4616995, -112.087165 33.4617215, -112.0872114 33.4617704, -112.0872388 33.4618107, -112.0872226 33.4618236, -112.0872029 33.4617941, -112.0871556 33.4617515, -112.08713 33.4617309, -112.0871073 33.4617219, -112.0870865 33.4617253, -112.087061 33.4617381, -112.0870024 33.4617624, -112.0869385 33.4617789, -112.086897 33.4617934, -112.0867538 33.4617945, -112.0848914 33.461799, -112.0847592 33.4617945, -112.0830785 33.4618058, -112.082909 33.4618083)",,yes,,,,,
41671519,2024698607,0,191909233,False,,,cycleway,4.961,"LINESTRING (-112.060824 33.5634357, -112.0608774 33.5634324)",,,,,,,
41691592,756207034,0,"[491819241, 821644770]",False,,,cycleway,404.105,"LINESTRING (-112.004612 33.6298996, -112.0046409 33.62995, -112.004651 33.6299745, -112.004646 33.6300103, -112.0045209 33.630371, -112.0044968 33.6304502, -112.0044548 33.6305061, -112.0043425 33.6306468, -112.0043016 33.6306998, -112.004256 33.630802, -112.0041608 33.6310041, -112.0041199 33.6311258, -112.0040334 33.6314653, -112.0039201 33.6319259, -112.0038376 33.6322463, -112.0037799 33.6325015, -112.0037397 33.6327415, -112.0037061 33.6333358, -112.0036958 33.6334023)",,,,,,,
41697623,257781573,0,23790057,False,,Dreamy Draw Bikeway,cycleway,43.788000000000004,"LINESTRING (-112.0195381 33.5727467, -112.0195834 33.5728419, -112.0197079 33.5731142)",,,,,,,
41702339,3878407882,0,384528224,False,,,cycleway,17.768,"LINESTRING (-112.1081664 33.5784005, -112.1082314 33.5783911, -112.1082538 33.5783893, -112.1082629 33.5783737, -112.1082709 33.5783377, -112.1082864 33.5783083)",,,,,,,
41731655,1601751460,0,146981613,False,,,cycleway,14.63,"LINESTRING (-112.0053389 33.6312004, -112.0051966 33.6311432)",,,,,,,
41758858,1641181603,0,151298205,False,,,cycleway,88.565,"LINESTRING (-111.9778929 33.5915842, -111.9778635 33.5915071, -111.9778129 33.5913876, -111.977796 33.5913556, -111.9777793 33.591332, -111.9777592 33.5913121, -111.9777143 33.5912803, -111.9776961 33.5912595, -111.9776887 33.591242, -111.9776892 33.5912178, -111.9776971 33.5911515, -111.977693 33.5911306, -111.9776857 33.591109, -111.9776621 33.5910695, -111.9776455 33.5910339, -111.9775743 33.590853)",,,,,,,
41765502,1601751379,0,146981642,False,,,cycleway,23.012,"LINESTRING (-112.0092905 33.6219717, -112.0092879 33.6220196, -112.0091341 33.6220232, -112.0091003 33.6220105)",,,,,,,
41767627,1641181490,0,151298202,False,,,cycleway,972.2509999999997,"LINESTRING (-111.9648709 33.5809128, -111.9648987 33.5808611, -111.9649402 33.5808345, -111.9649385 33.580768, -111.9649231 33.579846, -111.9649177 33.579782, -111.9648892 33.5797552, -111.9648551 33.5796909, -111.964752 33.5794468, -111.9646918 33.579308, -111.9646649 33.5792253, -111.9646788 33.5791812, -111.9647255 33.5791386, -111.96479 33.5791279, -111.9648397 33.5791326, -111.9648854 33.5791528, -111.9649343 33.5791896, -111.9649973 33.5792343, -111.9651051 33.5792877, -111.965293 33.5793551, -111.9656263 33.5794466, -111.9658583 33.5795471, -111.9659991 33.5796388, -111.9660863 33.5797259, -111.966219 33.5798555, -111.9664148 33.5800142, -111.9664685 33.5801024, -111.966506 33.5801784, -111.9666053 33.5802913, -111.9668668 33.5805493, -111.9669271 33.5806376, -111.9669942 33.5806968, -111.9670572 33.5807337, -111.9672235 33.580822, -111.9673228 33.5809035, -111.9674757 33.581089, -111.9675333 33.5811616, -111.9675601 33.5812219, -111.9676956 33.5815337, -111.9678015 33.5817538, -111.967884 33.5819346, -111.9679531 33.5820811, -111.9679853 33.5821783, -111.9680121 33.5823381, -111.9680376 33.5824398, -111.9685747 33.5831472, -111.9688509 33.5829556, -111.9689304 33.5828995, -111.969005 33.5828557, -111.9690711 33.5828912, -111.9691247 33.5829124, -111.9693219 33.5829287, -111.9695033 33.5829398, -111.9695771 33.582942, -111.9696428 33.5829543, -111.9697125 33.5829895, -111.9697762 33.5830403, -111.9698654 33.583123, -111.9700444 33.5832995)",,,,,,,
41770724,2024698556,0,191909239,False,,,cycleway,5.996,"LINESTRING (-112.0607674 33.5574377, -112.0608321 33.5574369)",,,,,,,
41786324,198369942,0,"[60719094, 19132573, 19132582, 31775551]",False,,Dreamy Draw Bikeway,cycleway,2812.802,"LINESTRING (-112.0396027 33.5570626, -112.0395227 33.5571811, -112.0395141 33.5572955, -112.0394454 33.5573956, -112.0393335 33.5574474, -112.0392345 33.5574443, -112.0391505 33.5574109, -112.0391103 33.5574048, -112.0390582 33.5574257, -112.0385765 33.5575639, -112.0385101 33.5576016, -112.038477 33.5576683, -112.0384693 33.5577325, -112.0385827 33.5579284, -112.0386621 33.5580666, -112.0386716 33.5581416, -112.0386669 33.5581899, -112.0386325 33.5582344, -112.0384963 33.5583241, -112.0377845 33.5586634, -112.0375528 33.5587956, -112.037502 33.5588213, -112.0374587 33.5588176, -112.037417 33.558813, -112.0373997 33.5588718, -112.0373486 33.5589176, -112.0370794 33.5590507, -112.0363387 33.5594365, -112.0355404 33.5597798, -112.0351542 33.5599371, -112.0348624 33.5599944, -112.0345019 33.5600158, -112.0316695 33.5602304, -112.0313261 33.5603091, -112.0310588 33.5603849, -112.0308185 33.5604779, -112.0306126 33.5605494, -112.0304509 33.5606219, -112.0300717 33.5608069, -112.0297112 33.5610858, -112.029428 33.5613504, -112.0291104 33.5617152, -112.0289044 33.5620943, -112.0287654 33.562383, -112.0286984 33.5625377, -112.0286298 33.5628166, -112.028501 33.5631313, -112.0284409 33.563271, -112.0284063 33.5633219, -112.0280899 33.5639753, -112.0279011 33.5643257, -112.0278393 33.5645215, -112.0278251 33.5646576, -112.02778 33.5648121, -112.0276865 33.5650362, -112.0272573 33.5659516, -112.0267943 33.5668675, -112.0266226 33.5672465, -112.0263308 33.5687341, -112.0262707 33.5688914, -112.0261677 33.569013, -112.0260154 33.5692237, -112.0250567 33.5702157, -112.0249161 33.5703306, -112.0247322 33.5704533, -112.0243272 33.5707316, -112.0239614 33.5710261, -112.0237136 33.5711603, -112.023273 33.5714717, -112.0228727 33.5716228, -112.0224055 33.5718143, -112.0220457 33.5720726, -112.0217493 33.5723337, -112.0215675 33.5724648, -112.021496 33.5724863, -112.0214403 33.5725098, -112.0203189 33.5729018, -112.0199705 33.5730223)",,yes,,,,,
41792316,1359710698,0,121462342,False,,,cycleway,477.575,"LINESTRING (-112.1298918 33.5712645, -112.1293091 33.5710679, -112.1289883 33.5709648, -112.1288505 33.5709293, -112.1286726 33.5709052, -112.1285302 33.5709061, -112.1284049 33.5709155, -112.128114 33.5709293, -112.1279465 33.5709269, -112.1277868 33.5709156, -112.1272573 33.5708509, -112.1269772 33.5708234, -112.1266985 33.5708382, -112.1265243 33.5708465, -112.1259559 33.5709322, -112.1258426 33.5709441, -112.1257208 33.5709436, -112.1256234 33.570925, -112.125203 33.5708424, -112.1248502 33.5708659)",,,,,,,
41800042,41800043,0,66534666,False,,North 20th Street,cycleway,122.928,"LINESTRING (-112.0394183 33.6185192, -112.0394295 33.6186679, -112.0394393 33.6188644, -112.0394604 33.6190222, -112.0394929 33.61947, -112.0394821 33.6195062, -112.0393824 33.619586)",permissive,,,,,,
41800043,41800042,0,66534666,False,,North 20th Street,cycleway,122.928,"LINESTRING (-112.0393824 33.619586, -112.0394821 33.6195062, -112.0394929 33.61947, -112.0394604 33.6190222, -112.0394393 33.6188644, -112.0394295 33.6186679, -112.0394183 33.6185192)",permissive,,,,,,
41808812,763001220,0,60947709,False,,,cycleway,56.126999999999995,"LINESTRING (-112.0073063 33.6233839, -112.0074034 33.623318, -112.0075853 33.6229473)",,,,,,,
41811934,391216586,0,100547847,False,,,cycleway,38.525,"LINESTRING (-112.0609315 33.5546417, -112.0613466 33.5546224)",,,,,,,
41834620,2090644362,0,198998283,False,,,cycleway,54.484,"LINESTRING (-112.0197923 33.3097639, -112.019923 33.3096807, -112.0200073 33.3096358, -112.020106 33.3095763, -112.0201714 33.3095484, -112.0202208 33.3095387, -112.0202963 33.3095472)",,,,,,,
41835024,2090644352,0,"[198998274, 198998268, 198998261]",False,,,cycleway,63.647999999999996,"LINESTRING (-112.0210109 33.3093804, -112.0208876 33.3094015, -112.0208019 33.3094306, -112.0207118 33.309444, -112.0204925 33.309444, -112.0203385 33.3094246)",,yes,,,,,
41868884,2090644173,0,"[198998272, 198998284, 198998262]",False,,,cycleway,85.445,"LINESTRING (-112.0223774 33.3067779, -112.0223102 33.3067434, -112.0222862 33.3067429, -112.0221747 33.3067312, -112.0220632 33.3067096, -112.0219923 33.306711, -112.0218956 33.3067513, -112.0218391 33.3067659, -112.021787 33.3067679, -112.0215598 33.3067502, -112.0214894 33.3067408)",,yes,,,,,
41879826,2024698597,0,191909236,False,,,cycleway,5.148,"LINESTRING (-112.0608108 33.5620401, -112.0608663 33.562038)",,,,,,,
41885477,2024698600,0,191909238,False,,,cycleway,4.64,"LINESTRING (-112.061056 33.5626818, -112.0610063 33.5626767)",,,,,,,
41891463,2024698575,0,191909225,False,,,cycleway,5.495,"LINESTRING (-112.0607785 33.5588419, -112.0608378 33.5588418)",,,,,,,
41916831,1601751445,0,146981609,False,,,cycleway,16.852,"LINESTRING (-112.0062623 33.6294827, -112.0060805 33.6294901)",,,,,,,
41996066,752196323,0,136940504,False,,,cycleway,418.754,"LINESTRING (-112.0218124 33.5861111, -112.0217797 33.5859899, -112.0217654 33.5859433, -112.0217558 33.5855438, -112.0217526 33.585143, -112.0217622 33.5850138, -112.0217885 33.5848979, -112.0218229 33.5847348, -112.0218301 33.5840496, -112.0218445 33.5834963, -112.0218493 33.5829223, -112.02189 33.5828324, -112.021892 33.5824547, -112.0218986 33.5823611)",,,,,,,
42029121,2458568084,0,34081803,False,,,cycleway,1928.7379999999998,"LINESTRING (-112.0739009 33.5621733, -112.0739961 33.5622507, -112.0740518 33.5623152, -112.0743202 33.56254, -112.0744707 33.5626461, -112.0747123 33.5628251, -112.0751665 33.563147, -112.0756382 33.5634894, -112.0761561 33.5638589, -112.0766119 33.564182, -112.0772419 33.5646461, -112.0773359 33.564712, -112.0773982 33.5647468, -112.077463 33.5647749, -112.0775237 33.5648297, -112.0775609 33.5648697, -112.0776329 33.5649559, -112.0776888 33.5650292, -112.0785039 33.5659462, -112.0796283 33.5671763, -112.0798 33.5673122, -112.0798858 33.5673694, -112.0800746 33.5674624, -112.0802463 33.5675339, -112.0804051 33.5675923, -112.0806284 33.5677149, -112.0810061 33.5678222, -112.0816326 33.568001, -112.0821648 33.568144, -112.0825433 33.5682556, -112.082757 33.5683157, -112.0830059 33.5683872, -112.0831862 33.5684372, -112.0833063 33.568473, -112.0835123 33.5684944, -112.0836496 33.5685087, -112.084568 33.5684658, -112.0860958 33.5683586, -112.0862503 33.5683586, -112.0863876 33.5683729, -112.0865078 33.5683872, -112.0867138 33.5684158, -112.0869112 33.5684587, -112.0899668 33.5691953, -112.0915463 33.5695429)",,,3.048,,,,
42191864,998437399,0,121196923,False,,,cycleway,674.7090000000001,"LINESTRING (-112.1442093 33.5782068, -112.1442672 33.578199, -112.1443462 33.5782092, -112.144495 33.5782563, -112.1445853 33.5783033, -112.1446763 33.5783683, -112.1496442 33.5815212, -112.1497128 33.5815825, -112.1497511 33.5816549, -112.1497706 33.5817235, -112.1497894 33.581812, -112.1497944 33.5819168)",,,,,,,
42235386,2024698569,0,191909237,False,,,cycleway,5.43,"LINESTRING (-112.0610345 33.5582127, -112.0609759 33.5582133)",,,,,,,
42235605,2314528192,0,222484128,False,,,cycleway,81.83900000000003,"LINESTRING (-112.0071434 33.298852, -112.0070395 33.2988857, -112.0069345 33.2988974, -112.0068509 33.2988897, -112.0068204 33.2988819, -112.0067831 33.2988639, -112.0067153 33.2988615, -112.0066912 33.2988714, -112.0066745 33.2988992, -112.0066654 33.2989645, -112.0066444 33.2990313, -112.0066053 33.299066, -112.0065538 33.2990698, -112.0064943 33.2990613, -112.0064525 33.2990613)",,,,,,,
42236021,2090644080,0,198998281,False,,,cycleway,56.306,"LINESTRING (-112.0212957 33.3054134, -112.0213701 33.3053991, -112.0214755 33.3053732, -112.0216019 33.3053191, -112.0217801 33.3052258, -112.021838 33.305197)",,,,,,,
