u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,junction,bridge,tunnel
41475024,41475021,0,5585441,False,,service,15 mph,25.224,"LINESTRING (-112.0780677 33.6436298, -112.07834 33.6436383)",2,parking_aisle,private,,,
41475028,41475031,0,5585441,False,,service,15 mph,23.751,"LINESTRING (-112.077777 33.6435393, -112.0776181 33.6433716)",2,parking_aisle,private,,,
41475028,41475024,0,5585441,False,,service,15 mph,28.73,"LINESTRING (-112.077777 33.6435393, -112.0780677 33.6436298)",2,parking_aisle,private,,,
41475031,2683008824,0,5585441,False,,service,15 mph,24.417,"LINESTRING (-112.0776181 33.6433716, -112.0775332 33.6431637)",2,parking_aisle,private,,,
41475031,41475028,0,5585441,False,,service,15 mph,23.751,"LINESTRING (-112.0776181 33.6433716, -112.077777 33.6435393)",2,parking_aisle,private,,,
41475033,7770862257,0,5585441,False,,service,15 mph,10.617,"LINESTRING (-112.0774559 33.6430747, -112.0773469 33.643045)",2,parking_aisle,private,,,
41475033,2683008824,0,5585441,False,,service,15 mph,12.212,"LINESTRING (-112.0774559 33.6430747, -112.0775332 33.6431637)",2,parking_aisle,private,,,
41475036,41336242,0,5573738,False,,service,15 mph,27.399,"LINESTRING (-112.0764761 33.6430565, -112.0764674 33.6428102)",2,parking_aisle,private,,,
41475036,2683008822,0,5585441,False,,service,15 mph,19.766,"LINESTRING (-112.0764761 33.6430565, -112.0762626 33.643054)",2,parking_aisle,private,,,
41475036,2683008821,0,5585441,False,,service,15 mph,31.984,"LINESTRING (-112.0764761 33.6430565, -112.0768216 33.6430539)",2,parking_aisle,private,,,
41475039,2683008822,0,5585441,False,,service,15 mph,18.862,"LINESTRING (-112.0760591 33.6430626, -112.0762626 33.643054)",2,parking_aisle,private,,,
41475039,2683008823,0,5585995,False,,service,15 mph,5.895,"LINESTRING (-112.0760591 33.6430626, -112.0760413 33.6431135)",2,parking_aisle,private,,,
41475039,2683008819,0,832343502,False,,service,15 mph,53.635,"LINESTRING (-112.0760591 33.6430626, -112.0759369 33.6425911)",2,parking_aisle,private,,,
41480778,2531979212,0,5585995,False,,service,15 mph,16.917,"LINESTRING (-112.0759847 33.6433457, -112.075893 33.6434773)",2,parking_aisle,private,,,
41480778,2683008823,0,5585995,False,,service,15 mph,26.346,"LINESTRING (-112.0759847 33.6433457, -112.0760413 33.6431135)",2,parking_aisle,private,,,
41480782,7132487879,0,5585995,False,,service,15 mph,6.704,"LINESTRING (-112.075786 33.6435168, -112.0757136 33.6435184)",2,parking_aisle,private,,,
41480782,2531979212,0,5585995,False,,service,15 mph,10.835,"LINESTRING (-112.075786 33.6435168, -112.075893 33.6434773)",2,parking_aisle,private,,,
41480783,7132495587,0,5585995,False,,service,15 mph,9.813,"LINESTRING (-112.0755883 33.6435211, -112.0754823 33.6435207)",2,parking_aisle,private,,,
41480783,7132487879,0,5585995,False,,service,15 mph,11.603,"LINESTRING (-112.0755883 33.6435211, -112.0757136 33.6435184)",2,parking_aisle,private,,,
41480785,41480787,0,5585995,False,,service,15 mph,14.952,"LINESTRING (-112.0754149 33.6435205, -112.0752767 33.6434509)",2,parking_aisle,private,,,
