u,v,key,osmid,oneway,name,highway,length,geometry,bridge,width,lanes,tunnel,maxspeed,junction,ref,access
35523879,3595777334,0,"[59504929, 114068007, 114067916, 59504944, 377655417]",False,,cycleway,231.65200000000002,"LINESTRING (19.0452358 47.49122, 19.0452608 47.4911816, 19.0453052 47.4911015, 19.0453192 47.4910763, 19.0455577 47.4906462, 19.0455999 47.4905882, 19.0456829 47.4905205, 19.0457757 47.4904551, 19.0459151 47.490402, 19.0460142 47.4903487, 19.0461172 47.490299, 19.0461767 47.4902879, 19.0462434 47.4902582, 19.04633 47.4901727, 19.0466604 47.489785, 19.046699 47.4897481, 19.0470648 47.4896842)",,,,yes,,,,
36688321,4011616814,0,24438880,False,,cycleway,73.46000000000001,"LINESTRING (18.9633321 47.5448083, 18.9633501 47.5448289, 18.9634022 47.5448156, 18.9634286 47.5448297, 18.9634888 47.5450055, 18.9635087 47.5450108, 18.9635168 47.5450106, 18.9635621 47.5450051, 18.9636135 47.5450007, 18.9636239 47.545, 18.9636388 47.5450032, 18.9637039 47.5452309, 18.9637849 47.5452568)",,,,,,,,
50558441,1316557219,0,112552843,False,,cycleway,52.461999999999996,"LINESTRING (19.0400229 47.5272732, 19.0400768 47.5272643, 19.0400832 47.5272634, 19.0401048 47.5272605, 19.040152 47.5272549, 19.0401995 47.5272517, 19.040243 47.5272468, 19.0402747 47.5272426, 19.0403226 47.5272259, 19.0403501 47.5272148, 19.0403749 47.527207, 19.0404029 47.5272017, 19.0404321 47.5272002, 19.0404899 47.527204, 19.0405349 47.5272024, 19.0405785 47.5271983, 19.0406285 47.5271884, 19.0406955 47.5271712)",,,,,,,,
50558465,321857955,0,"[131564166, 131564147, 695757975, 275355323, 275355325, 503803711]",False,Árpád híd,"['cycleway', 'path']",863.0559999999999,"LINESTRING (19.0431263 47.5404185, 19.0431147 47.5403548, 19.043243 47.5403184, 19.0434359 47.5402652, 19.0439782 47.5401266, 19.0456434 47.5397676, 19.0458372 47.5397258, 19.046042 47.5396651, 19.0460747 47.5396191, 19.0463182 47.5395032, 19.0463685 47.539481, 19.0464757 47.5394457, 19.0465821 47.5394127, 19.0466439 47.539396, 19.0475115 47.5391872, 19.0490954 47.5387994, 19.0506651 47.5384211, 19.0521832 47.5380544, 19.053729 47.5376943, 19.0537491 47.5377198)",yes,,,,,,,
50572317,3467369900,0,339515800,True,,cycleway,34.998,"LINESTRING (19.0767587 47.5069787, 19.0767462 47.5069263, 19.0767373 47.5068904, 19.0764582 47.5067671)",,,,,,,,
81240185,2014229382,0,"[37829657, 298687759]",False,,cycleway,166.512,"LINESTRING (19.0480788 47.5527073, 19.0479951 47.5527318, 19.048204 47.5533192, 19.0482799 47.5534302, 19.0486637 47.5540908)",,,,,,,,
81245657,81247728,0,"[406050080, 9928665]",False,,cycleway,352.99499999999995,"LINESTRING (19.074785 47.5610952, 19.0761645 47.5607111, 19.0769854 47.5604806, 19.0774244 47.5603556, 19.0775592 47.5603165, 19.0777741 47.560242, 19.0780588 47.5601381, 19.0781537 47.5600978, 19.0783609 47.5599982, 19.0786349 47.5598753, 19.0788262 47.5598307, 19.0789491 47.5598367, 19.0790544 47.5598649)",yes,,,,,,,
81245657,2949520330,0,10901843,False,,cycleway,185.41899999999998,"LINESTRING (19.074785 47.5610952, 19.0746917 47.56115, 19.0746032 47.5611891, 19.0745425 47.5612139, 19.0727796 47.561757, 19.072723 47.5617866, 19.0726841 47.5618162, 19.0726168 47.5618684)",,,,,,,,
81245657,3408656007,0,"[40726034, 40726035, 384591917]",False,Újpesti vasúti híd,cycleway,1014.0039999999999,"LINESTRING (19.074785 47.5610952, 19.07171 47.561958, 19.0695466 47.5625609, 19.0673818 47.5631587, 19.06312 47.5643225, 19.0623076 47.5645942)",yes,,,,,,,
81247728,1573119215,0,120723215,False,,cycleway,57.805,"LINESTRING (19.0790544 47.5598649, 19.0793184 47.560316, 19.0793374 47.5603484)",,,,,,,,
81247728,81245657,0,"[406050080, 9928665]",False,,cycleway,352.995,"LINESTRING (19.0790544 47.5598649, 19.0789491 47.5598367, 19.0788262 47.5598307, 19.0786349 47.5598753, 19.0783609 47.5599982, 19.0781537 47.5600978, 19.0780588 47.5601381, 19.0777741 47.560242, 19.0775592 47.5603165, 19.0774244 47.5603556, 19.0769854 47.5604806, 19.0761645 47.5607111, 19.074785 47.5610952)",yes,,,,,,,
81247728,294698200,0,"[406050081, 415860269]",False,,cycleway,94.62299999999999,"LINESTRING (19.0790544 47.5598649, 19.0792763 47.5597758, 19.0795095 47.5595419, 19.0795432 47.5593567, 19.0795652 47.5592188, 19.0795967 47.5591526)",,,,,,,,
84663800,2875089793,0,770826440,True,,cycleway,88.12699999999998,"LINESTRING (19.0245727 47.4689955, 19.0244142 47.4689874, 19.0242224 47.4689067, 19.024213 47.4688822, 19.0242281 47.468855, 19.0242764 47.468807, 19.0242962 47.4687822, 19.0243029 47.4687499, 19.0242956 47.4687005, 19.024283 47.4686399, 19.0242622 47.4685199, 19.024288 47.4683936)",,,,,,,,
84687274,2161160872,0,410055347,True,,cycleway,12.149,"LINESTRING (19.0704928 47.4319902, 19.0706264 47.4320516)",,,,,,,,
85910961,1509539384,0,137633449,False,,cycleway,522.2369999999999,"LINESTRING (19.0334317 47.4154618, 19.0336031 47.4148221, 19.0337749 47.4141374, 19.0337719 47.414107, 19.0337344 47.4140444, 19.0337323 47.4140135, 19.0337669 47.4138786, 19.0337803 47.4138263, 19.0338403 47.4135924, 19.033851 47.4135679, 19.0339382 47.413518, 19.0339503 47.4134953, 19.0341563 47.4127251, 19.0341714 47.4127274, 19.0342255 47.4127357, 19.034307 47.4127493, 19.034445 47.4127838, 19.0349245 47.4129646, 19.0363598 47.413543, 19.0363816 47.4135189, 19.0364241 47.4134719, 19.0364634 47.4134285, 19.0364985 47.4133898)",,,,,,,,
96923716,7641057499,0,818155180,False,,cycleway,8.509,"LINESTRING (19.0643704 47.5319186, 19.0644044 47.5319916)",,,,,,,,
