u,v,key,osmid,name,highway,maxspeed,access,oneway,length,geometry,lanes,service,width,bridge,tunnel,junction
122659207,6813416125,0,13387371,West Adams Gardens,service,15 mph,private,False,8.929,"LINESTRING (-118.2857237 34.0302951, -118.2857228 34.0303754)",,driveway,,,,
122662720,1783734636,0,166982283,Coons Road,service,15 mph,private,False,10.943,"LINESTRING (-118.2100495 34.1301731, -118.210025 34.1300768)",,,,,,
122662722,7786054172,0,166982283,Coons Road,service,15 mph,private,False,4.912,"LINESTRING (-118.20956 34.1296072, -118.2095248 34.129574)",,,,,,
122662722,7786054173,0,166982283,Coons Road,service,15 mph,private,False,6.53,"LINESTRING (-118.20956 34.1296072, -118.2096145 34.1296448)",,,,,,
122662725,2258955205,0,166982283,Coons Road,service,15 mph,private,False,10.168,"LINESTRING (-118.2088647 34.1274672, -118.2088216 34.127383)",,,,,,
122662725,7786136330,0,166982283,Coons Road,service,15 mph,private,False,9.255,"LINESTRING (-118.2088647 34.1274672, -118.2088898 34.1275478)",,,,,,
122662728,2258955171,0,166982283,Coons Road,service,15 mph,private,False,9.823,"LINESTRING (-118.2086588 34.1272264, -118.2085644 34.1271852)",,,,,,
122662728,2258955334,0,166982283,Coons Road,service,15 mph,private,False,10.825,"LINESTRING (-118.2086588 34.1272264, -118.2087472 34.1272906)",,,,,,
122662730,2258954848,0,166982283,Coons Road,service,15 mph,private,False,10.73,"LINESTRING (-118.2081658 34.1270202, -118.2082006 34.1269281)",,,,,,
122662730,2258955175,0,166982283,Coons Road,service,15 mph,private,False,4.476,"LINESTRING (-118.2081658 34.1270202, -118.2081933 34.1270534)",,,,,,
122662735,2258955007,0,166982283,Coons Road,service,15 mph,private,False,9.542,"LINESTRING (-118.2082779 34.1267806, -118.2083306 34.1267067)",,,,,,
122662735,2258954848,0,166982283,Coons Road,service,15 mph,private,False,17.878,"LINESTRING (-118.2082779 34.1267806, -118.2082006 34.1269281)",,,,,,
122662742,2258955218,0,166982283,Coons Road,service,15 mph,private,False,14.767,"LINESTRING (-118.2086838 34.1264463, -118.208791 34.1263475)",,,,,,
122662742,7786129771,0,166982283,Coons Road,service,15 mph,private,False,32.787,"LINESTRING (-118.2086838 34.1264463, -118.2084094 34.1266343)",,,,,,
122662744,2258955177,0,166982283,Coons Road,service,15 mph,private,False,11.412,"LINESTRING (-118.2088975 34.1262134, -118.2089507 34.1261207)",,,,,,
122662744,2258955218,0,166982283,Coons Road,service,15 mph,private,False,17.845,"LINESTRING (-118.2088975 34.1262134, -118.208791 34.1263475)",,,,,,
122662749,3701633391,0,166982283,Coons Road,service,15 mph,private,False,17.583,"LINESTRING (-118.2089822 34.1255975, -118.2090029 34.1254403)",,,,,,
122662749,7788174609,0,166982283,Coons Road,service,15 mph,private,False,20.994,"LINESTRING (-118.2089822 34.1255975, -118.2089835 34.1257863)",,,,,,
122662752,7786063653,0,166982283,Coons Road,service,15 mph,private,False,12.709,"LINESTRING (-118.2092414 34.1246369, -118.2092035 34.1247468)",,,,,,
122662752,2635793756,0,167273405,Range View Avenue,service,15 mph,private,False,38.375,"LINESTRING (-118.2092414 34.1246369, -118.2096457 34.1247211)",,,,,,
122662752,693969360,0,167273405,Range View Avenue,service,15 mph,private,False,11.173,"LINESTRING (-118.2092414 34.1246369, -118.2091235 34.124613)",,,,,,
122666485,5457938515,0,566831169,Loyola Boulevard,residential,15 mph,,True,10.59,"LINESTRING (-118.4167158 33.9658919, -118.4166458 33.9659674)",2,,,,,
122669091,7786063650,0,13295727,American Place,service,15 mph,,False,7.018,"LINESTRING (-118.2116591 34.1256381, -118.211634 34.1255785)",,,,,,
122669091,7786085418,0,55058309,Weller Road,service,15 mph,private,False,46.77,"LINESTRING (-118.2116591 34.1256381, -118.211187 34.1257936)",,,,,,
122669091,693968064,0,55058309,Weller Road,service,15 mph,private,False,43.847,"LINESTRING (-118.2116591 34.1256381, -118.2121051 34.1254996)",,,,,,
122679343,1496848635,0,13360723,Summit Vue Lane,living_street,5 mph,private,False,36.99,"LINESTRING (-118.6130489 34.180307, -118.6127156 34.1804931)",,,,,,
122679343,1496848629,0,13388759,Summit Vue Drive,residential,5 mph,private,False,19.423,"LINESTRING (-118.6130489 34.180307, -118.6129497 34.1801528)",,,,,,
122679343,7526783847,0,13388759,Summit Vue Drive,residential,5 mph,private,False,8.791,"LINESTRING (-118.6130489 34.180307, -118.6130889 34.1803788)",,,,,,
122684436,6664984602,0,464251572,North University Drive,unclassified,15 mph,permissive,False,63.307,"LINESTRING (-118.5275041 34.2427392, -118.5281928 34.2427425)",2,,,,,
122684436,2053235648,0,464251572,North University Drive,unclassified,15 mph,permissive,False,3.355,"LINESTRING (-118.5275041 34.2427392, -118.5274676 34.242739)",2,,,,,
122684438,6318553800,0,32678091,Etiwanda Avenue,unclassified,15 mph,permissive,False,7.028,"LINESTRING (-118.5317462 34.2427612, -118.5317472 34.2428244)",,,,,,
122684438,6318553802,0,32678116,West Universty Drive,residential,15 mph,permissive,False,7.973,"LINESTRING (-118.5317462 34.2427612, -118.5317457 34.2426895)",2,,,,,
122684438,6318553801,0,401258345,Plummer Street,unclassified,15 mph,,False,7.864,"LINESTRING (-118.5317462 34.2427612, -118.5318317 34.2427636)",,,,,,
122684438,6318553799,0,709151756,North University Drive,unclassified,15 mph,permissive,False,6.886,"LINESTRING (-118.5317462 34.2427612, -118.5316713 34.24276)",2,,,,,
