u,v,key,osmid,name,highway,maxspeed,access,oneway,length,geometry,lanes,service,width,bridge,tunnel,junction
122460324,1842889135,0,816941927,,service,15 mph,,False,3.384,"LINESTRING (-118.4186583 33.9695173, -118.4186759 33.9694906)",,,,,,
122460324,1842889136,0,816941927,,service,15 mph,,False,3.118,"LINESTRING (-118.4186583 33.9695173, -118.4186286 33.9695307)",,,,,,
122460326,7630962297,0,737813773,,service,15 mph,,False,7.48,"LINESTRING (-118.4188408 33.9682858, -118.4187985 33.9683432)",,,,,,
122472235,122472238,0,13267311,,residential,15 mph,,False,14.941,"LINESTRING (-118.4096059 34.1242891, -118.4096626 34.1241632)",,,,,,
122472235,1524852541,0,13292286,Franklin Canyon Drive,residential,15 mph,,False,19.646,"LINESTRING (-118.4096059 34.1242891, -118.4095495 34.1244595)",2,,,,,
122472238,1976276386,0,13267311,,residential,15 mph,,False,7.848,"LINESTRING (-118.4096626 34.1241632, -118.4097003 34.1240999)",,,,,,
122472238,122472235,0,13267311,,residential,15 mph,,False,14.941,"LINESTRING (-118.4096626 34.1241632, -118.4096059 34.1242891)",,,,,,
122472241,122472242,0,13267311,,residential,15 mph,,False,25.293,"LINESTRING (-118.4095135 34.1236836, -118.409536 34.1234569)",,,,,,
122472241,2510121843,0,13267311,,residential,15 mph,,False,4.109,"LINESTRING (-118.4095135 34.1236836, -118.4095301 34.1237179)",,,,,,
122472242,122472243,0,13267311,,residential,15 mph,,False,44.281,"LINESTRING (-118.409536 34.1234569, -118.4096291 34.1230662)",,,,,,
122472242,122472241,0,13267311,,residential,15 mph,,False,25.293,"LINESTRING (-118.409536 34.1234569, -118.4095135 34.1236836)",,,,,,
122472243,1976276362,0,13267311,,residential,15 mph,,False,9.565,"LINESTRING (-118.4096291 34.1230662, -118.4096634 34.122985)",,,,,,
122472243,122472242,0,13267311,,residential,15 mph,,False,44.281,"LINESTRING (-118.4096291 34.1230662, -118.409536 34.1234569)",,,,,,
122472245,1976276314,0,13267311,,residential,15 mph,,False,7.957,"LINESTRING (-118.40968 34.1229058, -118.4096571 34.1228368)",,,,,,
122472245,1976276362,0,13267311,,residential,15 mph,,False,8.938,"LINESTRING (-118.40968 34.1229058, -118.4096634 34.122985)",,,,,,
122474466,7621991496,0,13267622,,service,5 mph,,False,6.117,"LINESTRING (-118.4160793 33.9719869, -118.4160735 33.9720417)",,,,,,
122474466,5272719844,0,383830063,Ignatian Circle,residential,15 mph,,False,50.728,"LINESTRING (-118.4160793 33.9719869, -118.4166294 33.9719876)",2,,,,,
