u,v,key,osmid,highway,oneway,length,geometry,bridge,name,lanes,width,maxspeed,tunnel,access,service,area,ref
1832146170,6152137161,0,172295227,cycleway,False,108.237,"LINESTRING (-118.5915611 34.1885492, -118.5920092 34.1885467, -118.5925719 34.18854, -118.5927308 34.1885006)",,Metro Orange Line Bikeway,,,,,,,,
2384920966,4865480953,0,813336681,cycleway,False,43.977000000000004,"LINESTRING (-118.3721068 34.0262705, -118.3722676 34.026286, -118.3725811 34.026314)",,,,,,,,,,
4036646792,4036646793,0,401221667,primary,False,12.521,"LINESTRING (-118.5360928 34.2362238, -118.5360914 34.2363364)",,Reseda Boulevard,,,35 mph,,,,,
4036646793,4036646792,0,401221667,primary,False,12.521,"LINESTRING (-118.5360914 34.2363364, -118.5360928 34.2362238)",,Reseda Boulevard,,,35 mph,,,,,
4089390310,4089390311,0,406894553,cycleway,False,11.148,"LINESTRING (-118.5536877 34.1811948, -118.553659 34.1812922)",,,,,,,,,,
4089390310,1832146170,0,"[630102347, 630102350, 630890095, 630890096, 630096879, 630096880, 386445296, 386445295, 667517105, 668576125, 668576126]",cycleway,False,3643.8179999999993,"LINESTRING (-118.5536877 34.1811948, -118.5537233 34.1812218, -118.5620674 34.1840591, -118.5621255 34.184069, -118.5622475 34.1841078, -118.5623785 34.1841517, -118.5674682 34.1858862, -118.5674882 34.185893, -118.5676676 34.1859516, -118.5678108 34.186009, -118.5678304 34.1860191, -118.5678888 34.1860445, -118.5679556 34.1860629, -118.5680586 34.1860843, -118.5681334 34.1861059, -118.5697254 34.1866475, -118.569886 34.1866848, -118.5708282 34.1869996, -118.5708492 34.1870093, -118.5709695 34.1870613, -118.5710941 34.187119, -118.5711233 34.1871234, -118.5736377 34.187972, -118.5740616 34.1881074, -118.5743698 34.188194, -118.5747209 34.1882788, -118.5749668 34.1883331, -118.575506 34.1884289, -118.5758781 34.1884817, -118.5762324 34.188519, -118.5765226 34.1885409, -118.5770258 34.1885633, -118.5794848 34.1885663, -118.5795516 34.1885504, -118.5797036 34.1885437, -118.5798691 34.1885383, -118.5799543 34.1885497, -118.5882337 34.1885222, -118.5882968 34.1885332, -118.5884496 34.1885212, -118.5886243 34.1885031, -118.5886534 34.1885265, -118.5889012 34.1885291, -118.5891348 34.1885521, -118.5915611 34.1885492)",,Metro Orange Line Bikeway,,15',,,,,,
4089390310,4089390316,0,635328972,cycleway,False,33.719,"LINESTRING (-118.5536877 34.1811948, -118.5534884 34.1811352, -118.5533436 34.1810903)",,Metro Orange Line Bikeway,,15',,,,,,
4089390316,316730115,0,"[671008485, 671008486, 623055045, 669666760, 669666761, 701493514, 635328971, 701493516]",cycleway,False,3238.4409999999993,"LINESTRING (-118.5533436 34.1810903, -118.5532831 34.181078, -118.5531621 34.181026, -118.5524298 34.1807836, -118.5519004 34.180635, -118.5515163 34.1805398, -118.5510103 34.180441, -118.55059 34.1803748, -118.5501667 34.1803239, -118.5496073 34.1802815, -118.5489675 34.1802659, -118.5449658 34.1802929, -118.5449081 34.180282, -118.5447571 34.1802831, -118.5446188 34.1802856, -118.5445376 34.1802883, -118.5404405 34.180302, -118.5399873 34.1803895, -118.5399356 34.1803957, -118.5385059 34.1803916, -118.5369355 34.1803255, -118.5361836 34.1803323, -118.5361684 34.1803295, -118.5360158 34.1803118, -118.535895 34.1802991, -118.5358762 34.1802874, -118.5358586 34.1802766, -118.5347716 34.1802816, -118.5344223 34.180308, -118.5326143 34.1803114, -118.5307517 34.1803233, -118.5295871 34.1803307, -118.5275112 34.1803376, -118.5274567 34.1803165, -118.5272929 34.1803221, -118.5271411 34.1803272, -118.5271031 34.1803546, -118.522863 34.1803369, -118.5189412 34.1803392, -118.5188799 34.1803307, -118.5188252 34.1803104, -118.5186755 34.1802212, -118.518516 34.1802249, -118.5183769 34.1802283)",,Metro Orange Line Bikeway,,15',,,,,,
4089390316,4089390318,0,406894558,cycleway,False,7.086,"LINESTRING (-118.5533436 34.1810903, -118.5533216 34.181137, -118.5533213 34.1811506)",,,,,,,,,,
4089390316,4089390310,0,635328972,cycleway,False,33.719,"LINESTRING (-118.5533436 34.1810903, -118.5534884 34.1811352, -118.5536877 34.1811948)",,Metro Orange Line Bikeway,,15',,,,,,
4295030578,4295030577,0,430232360,cycleway,False,5.783,"LINESTRING (-118.5087589 34.1821495, -118.5087845 34.182102)",,,,,,,,,,
4295030578,4295030579,0,430232357,cycleway,False,184.04299999999998,"LINESTRING (-118.5087589 34.1821495, -118.5083391 34.1819807, -118.5082424 34.1819422, -118.5081888 34.1819123, -118.5081436 34.1818678, -118.5081086 34.1817981, -118.5080966 34.181723, -118.5081201 34.1816434, -118.5081636 34.1815829, -118.5082167 34.1815441, -118.5082934 34.1815153, -118.5083743 34.1815071, -118.5084763 34.1815207, -118.508606 34.1815696, -118.5090024 34.1817321)",,,,,,,,,,
4295030578,4295030579,1,430232357,cycleway,False,84.30899999999998,"LINESTRING (-118.5087589 34.1821495, -118.5088149 34.1821682, -118.5088856 34.1821771, -118.5089733 34.1821719, -118.5090597 34.1821414, -118.509125 34.1820871, -118.5091641 34.1820342, -118.5091786 34.1819505, -118.509156 34.1818687, -118.5091152 34.1818053, -118.5090611 34.1817597, -118.5090024 34.1817321)",,,,,,,,,,
4295030579,4295030542,0,430232361,cycleway,False,5.158,"LINESTRING (-118.5090024 34.1817321, -118.5089771 34.1817735)",,,,,,,,,,
4295030579,4295030578,0,430232357,cycleway,False,84.309,"LINESTRING (-118.5090024 34.1817321, -118.5090611 34.1817597, -118.5091152 34.1818053, -118.509156 34.1818687, -118.5091786 34.1819505, -118.5091641 34.1820342, -118.509125 34.1820871, -118.5090597 34.1821414, -118.5089733 34.1821719, -118.5088856 34.1821771, -118.5088149 34.1821682, -118.5087589 34.1821495)",,,,,,,,,,
4295030579,4295030578,1,430232357,cycleway,False,184.04299999999998,"LINESTRING (-118.5090024 34.1817321, -118.508606 34.1815696, -118.5084763 34.1815207, -118.5083743 34.1815071, -118.5082934 34.1815153, -118.5082167 34.1815441, -118.5081636 34.1815829, -118.5081201 34.1816434, -118.5080966 34.181723, -118.5081086 34.1817981, -118.5081436 34.1818678, -118.5081888 34.1819123, -118.5082424 34.1819422, -118.5083391 34.1819807, -118.5087589 34.1821495)",,,,,,,,,,
4865480953,2384920966,0,813336681,cycleway,False,43.977000000000004,"LINESTRING (-118.3725811 34.026314, -118.3722676 34.026286, -118.3721068 34.0262705)",,,,,,,,,,
4865480953,3698655527,0,"[813336680, 813336681]",cycleway,False,326.01199999999994,"LINESTRING (-118.3725811 34.026314, -118.3735621 34.026404, -118.3742527 34.0264754, -118.374794 34.0265201, -118.3750204 34.0265621, -118.375147 34.0265812, -118.3753166 34.0266002, -118.3755331 34.0266046, -118.375666 34.0266156, -118.3758697 34.0266527, -118.3759953 34.026657, -118.376077 34.0266963)",,,,,,,,,,
4865480953,4865480955,0,494794152,cycleway,False,6.859,"LINESTRING (-118.3725811 34.026314, -118.3725612 34.026332, -118.372542 34.0263657)",,,,,,,,,,
5116583798,6022739753,0,639244200,cycleway,True,142.39499999999998,"LINESTRING (-118.5362338 34.2306728, -118.536228 34.2295267, -118.5362198 34.2293924)",,,,,,,,,,
5116583798,5197579465,0,669468593,cycleway,False,25.009999999999998,"LINESTRING (-118.5362338 34.2306728, -118.536224 34.2307815, -118.5362153 34.2308972)",,,,,,,,,,
5566578129,5566578162,0,581895716,footway,False,48.57,"LINESTRING (-118.446273 33.9499406, -118.4462504 33.9499585, -118.4462371 33.9499869, -118.4462347 33.9500142, -118.4462558 33.9500799, -118.4462738 33.9500989, -118.4462948 33.9501149, -118.4464701 33.9501936, -118.4464902 33.9502092, -118.4465016 33.9502314, -118.4464935 33.9502554)",,,,,,,,,,
5566578129,3785968475,0,822309588,cycleway,False,566.9269999999999,"LINESTRING (-118.446273 33.9499406, -118.4463072 33.9499711, -118.4463568 33.9500112, -118.4464091 33.9500451, -118.4464581 33.9500635, -118.4465265 33.9500757, -118.4465935 33.950074, -118.4466505 33.9500629, -118.4468215 33.9500006, -118.4468617 33.9499872, -118.4469395 33.94997, -118.4470227 33.9499672, -118.4470877 33.9499845, -118.4471306 33.9500017, -118.4471689 33.9500279, -118.4472111 33.9500663, -118.447244 33.9501135, -118.4472647 33.9501719, -118.4473096 33.950524, -118.4473049 33.9505975, -118.4472908 33.9506619, -118.44727 33.9507192, -118.4472345 33.9507799, -118.4470462 33.951013, -118.4470106 33.9510697, -118.4469864 33.9511309, -118.4469878 33.9511837, -118.4469999 33.9512388, -118.4470347 33.9513045, -118.4472667 33.951528, -118.4473211 33.9516076, -118.4473472 33.9516776, -118.4474157 33.9519627, -118.4474391 33.952057, -118.4474638 33.9521226, -118.4474994 33.9522016, -118.4477475 33.9526544, -118.4477964 33.9527201, -118.4478548 33.9527806, -118.4482961 33.9531021, -118.4483578 33.9531644, -118.4483953 33.9532206, -118.4484282 33.953284, -118.4484523 33.9533474, -118.448577 33.9536978, -118.4486335 33.9537988)",,South Bay Bike Path,2,,,,,,,
