y,x,osmid,ref,highway,geometry
52.5306095,13.1631762,33211676,,,POINT (13.1631762 52.5306095)
52.5305268,13.1646257,33211679,,,POINT (13.1646257 52.5305268)
52.5277442,13.1653754,33211681,,,POINT (13.1653754 52.5277442)
52.5274878,13.1637176,33211684,,,POINT (13.1637176 52.5274878)
52.5272435,13.1621128,33211687,,,POINT (13.1621128 52.5272435)
52.5274133,13.163163,33211699,,,POINT (13.163163 52.5274133)
52.5283103,13.1627842,33211702,,,POINT (13.1627842 52.5283103)
52.5269477,13.1604032,33211717,,,POINT (13.1604032 52.5269477)
52.5330507,13.1580751,33211720,,,POINT (13.1580751 52.5330507)
52.5334337,13.1650762,33211723,,,POINT (13.1650762 52.5334337)
52.5344451,13.1573581,33211744,,,POINT (13.1573581 52.5344451)
52.5330376,13.1545012,33211746,,,POINT (13.1545012 52.5330376)
52.5329082,13.1545141,33211748,,,POINT (13.1545141 52.5329082)
52.5355743,13.1651083,33211750,,,POINT (13.1651083 52.5355743)
52.5364734,13.1654043,33211754,,,POINT (13.1654043 52.5364734)
52.5357731,13.1625576,33211759,,,POINT (13.1625576 52.5357731)
52.5357901,13.1611436,33211761,,,POINT (13.1611436 52.5357901)
52.5396015,13.1501774,33211765,,,POINT (13.1501774 52.5396015)
52.5429157,13.1459815,33223320,,,POINT (13.1459815 52.5429157)
52.5432385,13.1508052,33223324,,,POINT (13.1508052 52.5432385)
52.5424642,13.1486805,33223325,,,POINT (13.1486805 52.5424642)
52.5396854,13.1487824,33223328,,,POINT (13.1487824 52.5396854)
52.539654,13.1472327,33223329,,,POINT (13.1472327 52.539654)
52.5395872,13.1462905,33223330,,,POINT (13.1462905 52.5395872)
52.538393,13.1499762,33223335,,,POINT (13.1499762 52.538393)
52.5386455,13.1463871,33223336,,,POINT (13.1463871 52.5386455)
52.5374234,13.1498225,33223337,,,POINT (13.1498225 52.5374234)
52.5376391,13.1462446,33223338,,,POINT (13.1462446 52.5376391)
52.5420034,13.1505989,33223340,,,POINT (13.1505989 52.5420034)
52.5327454,13.1470807,33236393,,,POINT (13.1470807 52.5327454)
52.5285569,13.1384616,33236398,,,POINT (13.1384616 52.5285569)
52.5291998,13.1398666,33236402,,,POINT (13.1398666 52.5291998)
52.5303467,13.1405104,33236404,,,POINT (13.1405104 52.5303467)
52.532486,13.1415774,33236405,,,POINT (13.1415774 52.532486)
52.529819,13.1332678,33236436,,,POINT (13.1332678 52.529819)
52.5274944,13.1333669,33236437,,,POINT (13.1333669 52.5274944)
52.5362947,13.1305177,33236606,,,POINT (13.1305177 52.5362947)
52.538336,13.1299879,33236608,,turning_circle,POINT (13.1299879 52.538336)
52.5349572,13.1220181,33236609,,turning_circle,POINT (13.1220181 52.5349572)
52.5308061,13.1236484,33236611,,,POINT (13.1236484 52.5308061)
52.5311565,13.128244,33236612,,,POINT (13.128244 52.5311565)
52.5307518,13.1225959,33236613,,,POINT (13.1225959 52.5307518)
52.5494875,13.1316497,33236658,,,POINT (13.1316497 52.5494875)
52.5489738,13.1335757,33236659,,,POINT (13.1335757 52.5489738)
