u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width
26280873,26190998,0,"[28552008, 4439333, 4475903]",2,Spanische Allee,secondary,50,False,271.7070000000001,"LINESTRING (13.18941 52.4338191, 13.1896046 52.4337177, 13.189662 52.4336877, 13.189771 52.433642, 13.1899134 52.4336013, 13.1900145 52.43358, 13.1901209 52.4335656, 13.1902443 52.4335522, 13.1903692 52.4335438, 13.190539 52.4335454, 13.190716 52.433551, 13.1914383 52.4336252, 13.1917115 52.4336533, 13.1919503 52.4336779, 13.1921343 52.4336968, 13.192181 52.4337016, 13.1921949 52.433703, 13.1930648 52.4337916, 13.1932529 52.4338117)",,yes,,,,,,,
26280890,1354109465,0,"[604168576, 23109081]",2,Kronprinzessinnenweg,secondary,50,False,553.083,"LINESTRING (13.180732 52.4221672, 13.1813484 52.4224978, 13.1819613 52.42283, 13.1832562 52.4235317, 13.1832799 52.4235445, 13.1836864 52.4237647, 13.18414 52.4239888, 13.1851224 52.4244741, 13.1855023 52.4247061, 13.1859131 52.4250045, 13.1859757 52.4250524, 13.1862029 52.4252266, 13.1864595 52.4254566, 13.1865738 52.4256002)",,,,,,,,,
26682565,26736367,0,25219761,,Neues Ufer,tertiary,50,False,434.696,"LINESTRING (13.3146402 52.5296078, 13.3148748 52.5289648, 13.3150372 52.5285382, 13.3151703 52.5281884, 13.3152265 52.5280259, 13.3152304 52.5280147, 13.3156813 52.5267104, 13.3159387 52.5259595, 13.3159553 52.5259111, 13.3159979 52.5257869)",,,,,,,,,
26704698,26874394,0,47973763,,Lützowufer,residential,30,False,39.415,"LINESTRING (13.3483489 52.5069045, 13.3478581 52.5070953)",,,,,,,,,
26704698,26704702,0,52344540,,Lützowufer,residential,30,True,281.723,"LINESTRING (13.3483489 52.5069045, 13.3500483 52.5061878, 13.351181 52.5057042, 13.3515074 52.5055649, 13.3517535 52.5054474)",,,,,,,,,
26704702,26704073,0,"[11406337, 24912614, 678030953, 678030955, 309600205, 335398606, 309600207, 188491279, 11406328]","['4', '5', '3']","['Kurfürstenstraße', 'Schillstraße', 'Lützowplatz']","['primary', 'secondary']",50,True,894.514,"LINESTRING (13.3517535 52.5054474, 13.3516715 52.5052953, 13.3515345 52.5050794, 13.351379 52.5048804, 13.3511801 52.504629, 13.3510446 52.5044643, 13.3509779 52.5043729, 13.3509502 52.5043353, 13.3506097 52.5039061, 13.3503 52.503599, 13.3499925 52.5033665, 13.349951 52.5033351, 13.3498228 52.5032382, 13.3496113 52.5032854, 13.3492241 52.5033717, 13.3489795 52.5034244, 13.3480717 52.5036237, 13.3471205 52.5038144, 13.3467184 52.503895, 13.3462614 52.5039814, 13.3462057 52.5039919, 13.3460076 52.5040294, 13.3457653 52.5040826, 13.3448022 52.5042942, 13.3443996 52.5043827, 13.3435117 52.504609, 13.3433498 52.5046492, 13.3431445 52.5046984, 13.3429673 52.5047359, 13.3424933 52.5048396, 13.3421333 52.5049217, 13.3414541 52.5050945, 13.3414081 52.5051052, 13.3412993 52.5051384)",,,,,,,,,
26736367,26682565,0,25219761,,Neues Ufer,tertiary,50,False,434.69599999999997,"LINESTRING (13.3159979 52.5257869, 13.3159553 52.5259111, 13.3159387 52.5259595, 13.3156813 52.5267104, 13.3152304 52.5280147, 13.3152265 52.5280259, 13.3151703 52.5281884, 13.3150372 52.5285382, 13.3148748 52.5289648, 13.3146402 52.5296078)",,,,,,,,,
26736367,30427948,0,"[4469836, 4469837, 23720975, 25219763, 25219764, 437325043, 437325045]",4,"['Kaiserin-Augusta-Brücke', 'Kaiserin-Augusta-Allee']",secondary,50,False,574.3670000000001,"LINESTRING (13.3159979 52.5257869, 13.31589 52.5257859, 13.3158268 52.5257854, 13.3157034 52.5257844, 13.3150426 52.5257791, 13.314882 52.5257776, 13.3147244 52.5257747, 13.3143019 52.5257674, 13.3142158 52.5257659, 13.3138531 52.5257597, 13.3138188 52.5257591, 13.3135317 52.5257606, 13.3119868 52.5257505, 13.3118369 52.5257499, 13.3102747 52.5257367, 13.310121 52.5257354, 13.3100385 52.5257347, 13.3098765 52.5257333, 13.3097492 52.5257327, 13.3096722 52.5257324, 13.3094958 52.5257316, 13.3080482 52.5257252, 13.3075087 52.5257228)",,yes,,,,,,,
26736367,1929624603,0,"[182604673, 25219762, 437325044, 437325042]","['4', '5']","['Alt-Moabit', 'Kaiserin-Augusta-Allee']",secondary,50,False,948.1550000000002,"LINESTRING (13.3159979 52.5257869, 13.3161564 52.5257886, 13.3162652 52.5257897, 13.3166275 52.5257935, 13.316813 52.5257954, 13.3175859 52.5258035, 13.3176383 52.525804, 13.3180676 52.5258085, 13.3181431 52.5258093, 13.3183011 52.525811, 13.3184496 52.5258116, 13.3185766 52.5258122, 13.3186224 52.5258124, 13.3195408 52.5258239, 13.3196683 52.5258259, 13.3204143 52.5258394, 13.3206531 52.5258375, 13.3209053 52.5258304, 13.3211709 52.5258002, 13.3211957 52.5257974, 13.32127 52.5257887, 13.3213615 52.5257759, 13.322397 52.5256477, 13.3231977 52.5255486, 13.323289 52.5255373, 13.3239507 52.5254138, 13.3244213 52.5253071, 13.3247282 52.5252288, 13.3248083 52.5252084, 13.3250488 52.525147, 13.3256522 52.5249948, 13.326202 52.5248221, 13.3263994 52.5247494, 13.3264514 52.5247302, 13.3269556 52.5245443, 13.3272718 52.5244278, 13.3273266 52.5244076, 13.3274511 52.5243617, 13.3276399 52.5243103, 13.3277264 52.5242867, 13.3285226 52.52407, 13.3289112 52.5239711, 13.3293445 52.5238568)",,,,,,,,,
26738437,559770136,0,"[834775952, 834775953, 840657762]",,Forckenbeckstraße,residential,50,False,954.754,"LINESTRING (13.2958637 52.4811837, 13.2960548 52.4811614, 13.2963552 52.4811262, 13.296557 52.4811039, 13.296699 52.4810863, 13.2968602 52.4810661, 13.2969383 52.4810551, 13.2971524 52.4810248, 13.2973529 52.4809965, 13.2975686 52.4809644, 13.297868 52.4809198, 13.2986568 52.4808037, 13.2989431 52.4807591, 13.2994259 52.480684, 13.2994698 52.4806779, 13.3001933 52.4805769, 13.3006868 52.4804997, 13.3010229 52.4804472, 13.3018161 52.480328, 13.3027196 52.4801915, 13.3038774 52.4800206, 13.3039882 52.4800033, 13.3052863 52.4798113, 13.3054929 52.4797826, 13.3057091 52.479752, 13.3060719 52.4796951, 13.3069181 52.4795588, 13.3082123 52.4793762, 13.3088138 52.4792913, 13.3089342 52.4792708, 13.3093808 52.4792027, 13.3095685 52.4791742)",,,,,,,,,
26738437,26624544,0,4368305,,Forckenbeckstraße,residential,50,False,405.166,"LINESTRING (13.2958637 52.4811837, 13.2956654 52.4811946, 13.2953183 52.4812296, 13.2941783 52.4813991, 13.2924974 52.4816491, 13.2914488 52.4818147, 13.2908012 52.4819137, 13.2906199 52.4819747, 13.2903309 52.4820904, 13.2902581 52.4821195, 13.2901434 52.4821654)",,,,,,,,,
