u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,bridge,ref,access,width,junction,tunnel,service,area
576713,411612576,0,2522458,2,Carl Jacobsens Vej,tertiary,50,False,298.50699999999995,"LINESTRING (12.5121679 55.6558588, 12.5131526 55.6554633, 12.5134897 55.6553268, 12.5142292 55.6550489, 12.5145872 55.6549126, 12.5149043 55.6547919, 12.5150719 55.6547292, 12.5152156 55.6546731, 12.5159434 55.6543886, 12.5160828 55.6543333)",,,,,,,,
576713,310478399,0,"[35085344, 87576559, 428851686, 35205527]",4,Gammel Køge Landevej,tertiary,60,False,506.886,"LINESTRING (12.5121679 55.6558588, 12.5120575 55.6557217, 12.5119468 55.6555841, 12.5117008 55.6552785, 12.511694 55.65527, 12.5115137 55.655046, 12.5113609 55.6548497, 12.5112002 55.6546585, 12.5109465 55.6543632, 12.5102302 55.6535296, 12.5101312 55.6534136, 12.510022 55.6532751, 12.5098967 55.6531215, 12.5093246 55.65242, 12.5087583 55.6517264)",yes,,,,,,,
576713,576722,0,"[428851680, 428851681, 428851682, 428851683, 428851684, 318929337, 87502481, 87502482, 428851673, 428851674, 428851675, 428851677, 428851678]","['4', '3', '2']",Gammel Køge Landevej,tertiary,50,False,554.6839999999999,"LINESTRING (12.5121679 55.6558588, 12.5124255 55.656186, 12.5126639 55.6564888, 12.5127237 55.6565648, 12.5130919 55.6570319, 12.5131277 55.6570775, 12.5131803 55.6571459, 12.5133932 55.6574155, 12.5134648 55.6575089, 12.5136841 55.6577852, 12.5138247 55.6579623, 12.5140386 55.6582319, 12.5141307 55.658343, 12.5142224 55.6584506, 12.5143201 55.6585781, 12.5144203 55.6586998, 12.5146701 55.6590034, 12.5148449 55.6592169, 12.5151022 55.6595369, 12.5154466 55.6599604, 12.5156926 55.6602551, 12.5158158 55.6604027)",,,,,,,,
697537,4876445689,0,237108784,2,Gasværksvej,tertiary,50,False,239.02300000000002,"LINESTRING (12.5575675 55.6704769, 12.5571674 55.6708523, 12.5567671 55.6712279, 12.555832 55.6721052, 12.5557909 55.6721438, 12.5557109 55.6722328, 12.5556762 55.6722781, 12.5556402 55.6723299)",,,,,,,,
697822,268690828,0,289716335,2,Kongens Nytorv,primary,50,True,41.057,"LINESTRING (12.5870075 55.6805493, 12.5872206 55.680736, 12.5873438 55.6808658)",,O2,,,,,,
698029,1702640265,0,86369996,3,Esplanaden,residential,50,False,72.041,"LINESTRING (12.5928421 55.6876112, 12.5939691 55.6877383)",,,,,,,,
698029,300931974,0,"[495966654, 27413454]","['3', '2']",Grønningen,primary,50,False,412.449,"LINESTRING (12.5928421 55.6876112, 12.5926924 55.6877399, 12.5926389 55.6877792, 12.592569 55.6878402, 12.5924818 55.6879117, 12.592471 55.6879206, 12.5919437 55.6883555, 12.591576 55.6886726, 12.591029 55.6890894, 12.590475 55.6895186, 12.589421 55.6903602, 12.5893636 55.690406, 12.589298 55.6904567, 12.5892324 55.6905073, 12.5890643 55.6906474)",,O2,,,,,,
698683,698672,0,"[129370597, 161964141]",2,Amagerfælledvej,tertiary,50,False,933.963,"LINESTRING (12.5942101 55.6549506, 12.5941874 55.6550359, 12.5941715 55.6550956, 12.5941518 55.6552023, 12.5940991 55.6552957, 12.5940782 55.6553327, 12.5939206 55.655509, 12.5930403 55.656331, 12.592901 55.6564617, 12.5926258 55.6567205, 12.5924723 55.6568902, 12.5923725 55.6570939, 12.5923234 55.657263, 12.592316 55.6574013, 12.5923306 55.657532, 12.5924102 55.6578494, 12.592472 55.6580455, 12.5925596 55.6583236, 12.5926689 55.6586704, 12.5927302 55.6588497, 12.5928115 55.6591004, 12.5928593 55.659248, 12.5931273 55.6601784, 12.5933569 55.6609441, 12.5933976 55.6610604, 12.5936278 55.661834, 12.5938508 55.6625835, 12.5939478 55.6629097, 12.5939769 55.6630074)",,,,,,,,
698683,698680,0,"[742687160, 143792491]",2,Røde Mellemvej,tertiary,50,False,1393.8440000000003,"LINESTRING (12.5942101 55.6549506, 12.5941867 55.6548516, 12.5941446 55.6546729, 12.5941203 55.6546106, 12.5939763 55.654241, 12.593814 55.6538248, 12.5936275 55.6533809, 12.5936187 55.6533289, 12.5936034 55.6532954, 12.5934129 55.6528062, 12.5933682 55.6527083, 12.5933309 55.6526364, 12.5933204 55.6526176, 12.5932237 55.6523433, 12.5930667 55.6518968, 12.5930505 55.6518607, 12.5929928 55.6517381, 12.5929659 55.6516813, 12.5928504 55.6513903, 12.5926773 55.6509185, 12.5926359 55.6508027, 12.5924911 55.6504452, 12.5924084 55.650148, 12.5923663 55.6499637, 12.5923436 55.6498693, 12.5923216 55.6497827, 12.5922876 55.649596, 12.5922475 55.6492119, 12.5922106 55.6487318, 12.5921854 55.6484034, 12.5921723 55.6482335, 12.5921695 55.6481972, 12.592164 55.6481262, 12.5921324 55.6477758, 12.5920651 55.6473275, 12.5920093 55.6468842, 12.5919833 55.64669, 12.5919559 55.6464856, 12.5919507 55.6464309, 12.5918981 55.6460948, 12.5918834 55.6460187, 12.5918617 55.645906, 12.5918442 55.6458152, 12.5918092 55.6456491, 12.5917292 55.6452581, 12.5916708 55.644862, 12.5916591 55.6447279, 12.5916031 55.6443005, 12.5915864 55.6441098, 12.5915148 55.6433831, 12.5914932 55.6429429, 12.5914783 55.6426426, 12.5914661 55.6425461)",,,,,,,,
698683,673974402,0,502198713,2,Grønjordsvej,tertiary,50,False,293.41,"LINESTRING (12.5942101 55.6549506, 12.5939439 55.6549483, 12.592726 55.6549379, 12.5919518 55.654938, 12.5910908 55.6549414, 12.5903134 55.6549506, 12.5895334 55.6549524)",,,,,,,,
