u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,bridge,ref,access,width,junction,tunnel,service,area
698683,5275812471,0,725841373,,,cycleway,,True,110.37299999999999,"LINESTRING (12.5942101 55.6549506, 12.5943286 55.6548978, 12.5945253 55.6548905, 12.5947318 55.6548492, 12.5953706 55.6548336, 12.5959232 55.6548258)",,,,,,,,
706815,300094233,0,1987828,,Christian IX's Gade,tertiary,40,True,71.746,"LINESTRING (12.580712 55.682674, 12.580766 55.6826047, 12.5807969 55.6825525, 12.5809251 55.6820431)",,,,,,,,
706815,6503260,0,27359107,1,Kronprinsessegade,residential,40,True,419.49499999999995,"LINESTRING (12.580712 55.682674, 12.5808874 55.6828236, 12.5816731 55.6837771, 12.5825052 55.6847338, 12.5826212 55.6848531, 12.582992 55.6852716, 12.5835306 55.685924, 12.5836301 55.6860663)",,,,,,,,
706815,3627218951,0,"[209692778, 86370286, 36522887]",2,Gothersgade,tertiary,50,False,497.007,"LINESTRING (12.580712 55.682674, 12.5805852 55.6827272, 12.5800139 55.6829013, 12.5790807 55.683154, 12.5784726 55.6833142, 12.5783783 55.6833419, 12.5764138 55.6838438, 12.575416 55.6841121, 12.5751031 55.6841838, 12.574849 55.6842462, 12.5740026 55.6844679, 12.5739061 55.6844929, 12.5738284 55.6845131, 12.5735498 55.6845841)",,,,,,,,
706815,3684745149,0,1794676,,Møntergade,cycleway,,False,31.037,"LINESTRING (12.580712 55.682674, 12.5805789 55.6825767, 12.5804138 55.6824512)",,,,,,,,
6503260,2683325890,0,"[87325176, 234470016]",2,Sølvgade,residential,50,False,338.739,"LINESTRING (12.5836301 55.6860663, 12.5834802 55.6861071, 12.5819484 55.6865243, 12.5811011 55.6867525, 12.5790364 55.6873085, 12.5787596 55.6873861)",,,,,,,,
6503260,2153560301,0,305585317,,Sølvgade,residential,50,False,196.64899999999997,"LINESTRING (12.5836301 55.6860663, 12.5838862 55.6859902, 12.5841886 55.6859003, 12.5850911 55.685624, 12.5858741 55.685412, 12.5863564 55.6852813, 12.586424 55.685263)",,,,,,,,
6503284,4289244937,0,491958295,4,Havnegade,tertiary,50,False,13.62,"LINESTRING (12.5844851 55.6772756, 12.5845373 55.6771567)",,,,,,,,
6503284,1849285474,0,429743831,2,Holmens Kanal,tertiary,50,True,51.842,"LINESTRING (12.5844851 55.6772756, 12.5842309 55.6772153, 12.5838894 55.6771155, 12.5837643 55.6770536)",,,,,,,,
7224402,7726672,0,160081053,4,Ved Vesterport,tertiary,50,False,86.344,"LINESTRING (12.5631953 55.6757127, 12.5630175 55.6756613, 12.562568 55.6755313, 12.562431 55.6754917, 12.5623751 55.6754755, 12.5622613 55.6754457, 12.5622278 55.6754369, 12.5619623 55.6753672)",,,,,,,,
7224402,277057471,0,"[27206697, 237225105]","['4', '2']",Hammerichsgade,tertiary,50,False,297.74100000000004,"LINESTRING (12.5631953 55.6757127, 12.563117 55.6758561, 12.5630999 55.6758874, 12.5630623 55.6760011, 12.5630513 55.6762104, 12.5630993 55.6764806, 12.5632015 55.676787, 12.5632891 55.6769687, 12.5633197 55.6770289, 12.5634347 55.6772138, 12.5635288 55.677347, 12.563551 55.6773785, 12.5638646 55.6777645, 12.5641079 55.678013, 12.5643972 55.6782076)",,,,,,,,
7224402,6359420462,0,"[679140304, 496182321, 1696172]","['4', '5']",Hammerichsgade,tertiary,50,False,131.02700000000002,"LINESTRING (12.5631953 55.6757127, 12.5632853 55.6756309, 12.5633532 55.6755707, 12.563615 55.6753385, 12.5639402 55.6750598, 12.5642008 55.674817, 12.5642516 55.6747721, 12.5643152 55.674718)",,,,,,,,
7712481,296206896,0,741999858,,Vordingborggade,residential,50,True,9.974,"LINESTRING (12.5773192 55.7079673, 12.5774784 55.7079669)",,,,,,,,
7712481,296206871,0,162064601,1,Østerbrogade,tertiary,50,True,783.4050000000003,"LINESTRING (12.5773192 55.7079673, 12.5773471 55.7072495, 12.5773513 55.7071519, 12.5773463 55.7069119, 12.5773487 55.7067899, 12.5773422 55.7066786, 12.5773458 55.7066159, 12.5773588 55.7064974, 12.5773631 55.7063537, 12.5773627 55.7062051, 12.5773641 55.7057808, 12.5773681 55.7057328, 12.5773684 55.7057155, 12.5773692 55.7054164, 12.5773742 55.7051712, 12.5773754 55.7049713, 12.5773689 55.7046522, 12.5773681 55.7046156, 12.5773688 55.70455, 12.5773731 55.7044903, 12.5773752 55.7044197, 12.5773844 55.7041021, 12.5774006 55.7036529, 12.5774028 55.7034939, 12.5774001 55.7033355, 12.577387 55.7026218, 12.5773977 55.7024725, 12.5773967 55.7024359, 12.577396 55.7022372, 12.5773957 55.7021616, 12.5773978 55.702009, 12.577395 55.7018372, 12.5773917 55.7015718, 12.5774125 55.7013526, 12.57746 55.7009242)",,,,,,,,
7726662,1598991179,0,27153744,2,Klaksvigsgade,residential,50,False,87.949,"LINESTRING (12.5788078 55.6672883, 12.5794798 55.6670414, 12.5799957 55.6668682)",,,,,,,,
7726662,7235689,0,1813862,2,Thorshavnsgade,residential,50,False,68.587,"LINESTRING (12.5788078 55.6672883, 12.5786726 55.6671873, 12.5782961 55.6669061, 12.5781468 55.6667969)",,,,,,,,
7726662,297924453,0,"[27153746, 796476302]",,,cycleway,,False,29.944000000000003,"LINESTRING (12.5788078 55.6672883, 12.5787261 55.6672869, 12.5786435 55.6673179, 12.5785458 55.6674758)",,,,,,,,
7726672,7224402,0,160081053,4,Ved Vesterport,tertiary,50,False,86.34400000000001,"LINESTRING (12.5619623 55.6753672, 12.5622278 55.6754369, 12.5622613 55.6754457, 12.5623751 55.6754755, 12.562431 55.6754917, 12.562568 55.6755313, 12.5630175 55.6756613, 12.5631953 55.6757127)",,,,,,,,
7726672,8563515,0,161640021,,Ved Vesterport,tertiary,50,False,98.937,"LINESTRING (12.5619623 55.6753672, 12.5617082 55.6752802, 12.5614063 55.6751367, 12.5607317 55.674813)",,,,,,,,
7726672,781568,0,"[27225984, 27225985, 37664770, 161639718, 168281373]",,"['Vester Farimagsgade', 'Kampmannsgade']",tertiary,50,False,427.254,"LINESTRING (12.5619623 55.6753672, 12.5619636 55.6755343, 12.561965 55.6757242, 12.5619966 55.6759783, 12.5620616 55.6762834, 12.5621575 55.6766269, 12.5622289 55.6768826, 12.5623118 55.6771561, 12.5624038 55.6774249, 12.5624476 55.6775526, 12.5621861 55.6775748, 12.561188 55.6776595, 12.5607923 55.6776953, 12.5598199 55.6777807, 12.5595809 55.6778017)",,,,,,,,
8078531,1277430439,0,"[135653065, 671502674]",,Borgmestervangen,"['cycleway', 'residential']",50,False,192.784,"LINESTRING (12.5396234 55.7010855, 12.5397133 55.7011868, 12.5402597 55.7022929, 12.540341 55.7024163, 12.5404564 55.7025206, 12.5405457 55.7027325)",,,,,,,,
8078531,7878554389,0,"[307010785, 307010786]",,Mimersgade,"['cycleway', 'unclassified']",50,False,88.55199999999999,"LINESTRING (12.5396234 55.7010855, 12.5393072 55.7011154, 12.5390915 55.7011313, 12.5389067 55.7010976, 12.5387059 55.7011106, 12.5386567 55.7011075, 12.5386232 55.7010939, 12.5384105 55.7009111)",,,,,,,,
8078531,8302234,0,590238401,,Mimersgade,tertiary,50,False,104.408,"LINESTRING (12.5396234 55.7010855, 12.5399115 55.7010582, 12.5412489 55.7008804)",,,,,,,,
8078531,8302236,0,1928322,,Borgmestervangen,tertiary,50,False,74.201,"LINESTRING (12.5396234 55.7010855, 12.5395022 55.7009483, 12.5393935 55.700793, 12.5392572 55.7006499, 12.539111 55.7004846)",,,,,,,,
8115534,4288438529,0,2383977,1,Nyhavn,residential,50,True,8.508,"LINESTRING (12.5928949 55.6789296, 12.5928945 55.6789637, 12.5928556 55.679)",,,,,,,,
17343195,4929108074,0,"[83348641, 4311695]",,Vordingborggade,tertiary,50,False,286.16600000000005,"LINESTRING (12.5857257 55.7079637, 12.5858503 55.7079647, 12.586365 55.707961, 12.586615 55.7079844, 12.586844 55.7080299, 12.5870081 55.7080821, 12.5871431 55.7081447, 12.5874133 55.7082701, 12.5876078 55.7083532, 12.5880101 55.7085322, 12.5881755 55.708605, 12.5886238 55.7088023, 12.5888383 55.7088847, 12.589009 55.7089511, 12.5891711 55.709, 12.5894483 55.709051, 12.5896829 55.7090818)",,,,,,,,
17343195,314435397,0,"[577311347, 158169135]",2,Strandboulevarden,tertiary,50,True,604.5080000000002,"LINESTRING (12.5857257 55.7079637, 12.5856549 55.7080829, 12.585565 55.7082121, 12.5851943 55.7089186, 12.5850951 55.709018, 12.5849797 55.709089, 12.5848221 55.7091634, 12.5847414 55.7091899, 12.5846709 55.7092131, 12.5846518 55.7092194, 12.5845036 55.7092564, 12.5844024 55.7092723, 12.5842762 55.7092771, 12.5838921 55.7092728, 12.58375 55.7092712, 12.5835829 55.7092725, 12.583406 55.7092739, 12.5831238 55.7092761, 12.5830701 55.709276, 12.581931 55.7092749, 12.58149 55.7092744, 12.5814613 55.7092744, 12.5799333 55.7092731, 12.5795999 55.709273, 12.5780662 55.7092679, 12.57782 55.7092556, 12.5777721 55.7092532, 12.5776089 55.7092364, 12.5775781 55.7092332)",,,,,,,,
20925445,7807322,0,27432852,,Nørrebrogade,tertiary,40,False,17.319,"LINESTRING (12.5574911 55.6890903, 12.5572591 55.6891749)",,,,,,,,
20930134,24670659,0,3993672,,Frederik V's Vej,residential,40,False,136.461,"LINESTRING (12.564604 55.6997524, 12.5658164 55.6990055, 12.5660739 55.6988469)",,,,,,,,
20930134,14781959,0,24630673,,Edel Sauntes Allé,unclassified,40,False,217.078,"LINESTRING (12.564604 55.6997524, 12.5638317 55.699337, 12.5635347 55.6991772, 12.5630337 55.6989172, 12.5626159 55.6986945, 12.5623605 55.6985596, 12.5622781 55.6985289, 12.5621897 55.6985125, 12.5620018 55.698511)",,,,,,,,
20930134,21556600,0,24630673,,Edel Sauntes Allé,unclassified,40,False,334.3230000000001,"LINESTRING (12.564604 55.6997524, 12.5647874 55.6998937, 12.5649036 55.7000255, 12.5649842 55.7001608, 12.5650281 55.7003233, 12.5650331 55.7004513, 12.5650012 55.7006115, 12.5649271 55.7007453, 12.5648278 55.7008771, 12.5643989 55.7013183, 12.56366 55.7020391, 12.5635246 55.7021873, 12.5634374 55.7023459, 12.5633542 55.7024741)",,,,,,,,
21556600,20930134,0,24630673,,Edel Sauntes Allé,unclassified,40,False,334.32300000000004,"LINESTRING (12.5633542 55.7024741, 12.5634374 55.7023459, 12.5635246 55.7021873, 12.56366 55.7020391, 12.5643989 55.7013183, 12.5648278 55.7008771, 12.5649271 55.7007453, 12.5650012 55.7006115, 12.5650331 55.7004513, 12.5650281 55.7003233, 12.5649842 55.7001608, 12.5649036 55.7000255, 12.5647874 55.6998937, 12.564604 55.6997524)",,,,,,,,
24609833,21556600,0,58701144,,Edel Sauntes Allé,unclassified,40,True,316.98199999999997,"LINESTRING (12.5659601 55.7047823, 12.5657827 55.7046825, 12.5654187 55.7044789, 12.5642736 55.7037889, 12.5637908 55.7034829, 12.5636379 55.7033559, 12.5634603 55.7031419, 12.5634034 55.7030364, 12.5633628 55.7029279, 12.5633343 55.7027643, 12.5633268 55.7026229, 12.5633542 55.7024741)",,,,,,,,
24609833,3629166667,0,162078539,2,Øster Allé,tertiary,40,False,266.095,"LINESTRING (12.5659601 55.7047823, 12.5661018 55.7047052, 12.5663362 55.7045769, 12.5674481 55.7039686, 12.5685288 55.7034066, 12.569033 55.7031307)",,,,,,,,
24609833,2327477960,0,419983497,2,Øster Allé,tertiary,40,False,123.97,"LINESTRING (12.5659601 55.7047823, 12.5658428 55.7048367, 12.5645233 55.7055485)",,,,,,,,
24609833,1284581566,0,4192990,,,path,,False,357.485,"LINESTRING (12.5659601 55.7047823, 12.5660589 55.7048391, 12.5661299 55.7048799, 12.5662263 55.7049279, 12.5665386 55.7050833, 12.5668538 55.7052077, 12.5671467 55.7052757, 12.5674204 55.705318, 12.5679679 55.7053481, 12.5681665 55.7053917, 12.5683606 55.7054859, 12.5692293 55.7059992, 12.5703855 55.7066659)",,,,,,,,
24670659,2255813399,0,3993672,,Frederik V's Vej,residential,40,False,167.137,"LINESTRING (12.5660739 55.6988469, 12.5674595 55.6979893, 12.5675725 55.6979194, 12.5678696 55.6977355)",,,,,,,,
24670659,20930134,0,3993672,,Frederik V's Vej,residential,40,False,136.461,"LINESTRING (12.5660739 55.6988469, 12.5658164 55.6990055, 12.564604 55.6997524)",,,,,,,,
24670659,24670702,0,4204572,,,path,,False,503.64599999999996,"LINESTRING (12.5660739 55.6988469, 12.5663959 55.6990141, 12.5674834 55.699586, 12.5679369 55.6999115, 12.5682171 55.7002009, 12.5684052 55.7004941, 12.5688129 55.701652, 12.568912 55.7018182, 12.5690874 55.7020195, 12.5693468 55.7022105, 12.5695018 55.7023166, 12.5698351 55.702524, 12.5698275 55.7025996, 12.5699116 55.7026585)",,,,,,,,
268690821,706815,0,"[87325171, 36523013, 660124255]","['1', '2']",Gothersgade,tertiary,50,True,318.085,"LINESTRING (12.58529 55.6814418, 12.5851487 55.6814803, 12.5844644 55.6816668, 12.5836664 55.6818842, 12.5834527 55.6819386, 12.5827022 55.6821218, 12.5821846 55.6822612, 12.5809741 55.6825952, 12.580712 55.682674)",,,,,,,,
268690821,3640000665,0,"[263521091, 289577156, 1702966]","['3', '2']","['Holmens Kanal', 'Kongens Nytorv']",primary,50,True,248.20499999999998,"LINESTRING (12.58529 55.6814418, 12.5851694 55.6812923, 12.5851424 55.6812604, 12.584911 55.6809856, 12.5848949 55.680951, 12.5848854 55.680912, 12.5848847 55.6808875, 12.5848862 55.6808648, 12.5848914 55.6808269, 12.5849013 55.6807933, 12.5850104 55.6804649, 12.5850754 55.6803214, 12.5851442 55.6801609, 12.5851952 55.6800202, 12.5853873 55.6794775, 12.5854354 55.6793381, 12.5854515 55.6792914)",,O2,,,,,,
268690828,268690821,0,4369466,2,Kongens Nytorv,primary,50,True,143.817,"LINESTRING (12.5873438 55.6808658, 12.5872121 55.6809003, 12.5870469 55.6809498, 12.5863974 55.6811316, 12.5863195 55.6811535, 12.5861929 55.6811889, 12.5855454 55.6813703, 12.5854097 55.6814063, 12.58529 55.6814418)",,O2,,,,,,
268690828,698029,0,"[36522889, 36522890, 1702117, 496986830]",2,Bredgade,primary,50,True,828.4780000000001,"LINESTRING (12.5873438 55.6808658, 12.5874249 55.6809386, 12.5878373 55.6813849, 12.5883942 55.682069, 12.5885227 55.6822153, 12.5886763 55.6824127, 12.5891201 55.6829675, 12.589178 55.6830399, 12.5892004 55.6830672, 12.5892524 55.6831307, 12.5893215 55.683216, 12.5894289 55.6833461, 12.5896205 55.6835798, 12.5904687 55.68461, 12.5905435 55.6847009, 12.5906093 55.6847759, 12.5913086 55.6855722, 12.5917623 55.6861253, 12.5919364 55.6863458, 12.5922437 55.6867212, 12.5925608 55.6871084, 12.5928792 55.68747, 12.5928842 55.6875299, 12.5928421 55.6876112)",,O2,,,,,,
296206896,7712484,0,4311696,,Vordingborggade,residential,50,True,71.163,"LINESTRING (12.5774784 55.7079669, 12.5786143 55.7079642)",,,,,,,,
296206896,296206772,0,28612120,,Østerbrogade,tertiary,50,True,127.57900000000002,"LINESTRING (12.5774784 55.7079669, 12.5774972 55.7083571, 12.5775498 55.7089136, 12.5775495 55.7089893, 12.5775591 55.7090914, 12.5775623 55.7091131)",,,,,,,,
298497229,2522851854,0,"[27201308, 330748694]",,Øster Søgade,residential,50,False,531.7800000000001,"LINESTRING (12.572491 55.6913183, 12.5728527 55.6915273, 12.5729594 55.6915902, 12.5733748 55.691852, 12.573813 55.692126, 12.5742463 55.6923919, 12.5746304 55.6926328, 12.5748861 55.692785, 12.5750529 55.692923, 12.5753243 55.6932484, 12.5756233 55.6936227, 12.5758705 55.6939322, 12.5761644 55.6942192, 12.576288 55.6943045, 12.5763691 55.6943458, 12.5766409 55.6944844, 12.5768222 55.6945663, 12.5775064 55.6949086, 12.5777172 55.6950098)",,,,,,,,
298497229,298497231,0,"[27201306, 742334709]",,Øster Søgade,residential,50,True,42.727,"LINESTRING (12.572491 55.6913183, 12.5721048 55.6911857, 12.5720743 55.6911703, 12.5719338 55.6910994)",,,,,,,,
411612576,1280329224,0,"[539777408, 2522458, 366705486]",2,Carl Jacobsens Vej,tertiary,50,False,577.048,"LINESTRING (12.5160828 55.6543333, 12.5162747 55.654256, 12.5166188 55.6541173, 12.5181659 55.6535119, 12.5185482 55.6533623, 12.5189303 55.6532085, 12.5196377 55.6529391, 12.5197761 55.6529144, 12.5198262 55.6529055, 12.5200002 55.6529031, 12.5204607 55.6529209, 12.5217028 55.6529783, 12.5228225 55.6530155, 12.5230516 55.653018, 12.5232734 55.6530038, 12.5235128 55.6529571, 12.5236792 55.6529072, 12.5242957 55.6526943, 12.5243386 55.6526795)",,,,,,,,
411612576,576713,0,2522458,2,Carl Jacobsens Vej,tertiary,50,False,298.507,"LINESTRING (12.5160828 55.6543333, 12.5159434 55.6543886, 12.5152156 55.6546731, 12.5150719 55.6547292, 12.5149043 55.6547919, 12.5145872 55.6549126, 12.5142292 55.6550489, 12.5134897 55.6553268, 12.5131526 55.6554633, 12.5121679 55.6558588)",,,,,,,,
411612576,20908377,0,35337974,,,cycleway,,False,436.59999999999997,"LINESTRING (12.5160828 55.6543333, 12.5163863 55.6545395, 12.517522 55.6545303, 12.5175784 55.6545369, 12.517629 55.6545722, 12.517649 55.6560139, 12.5176816 55.6560453, 12.5179332 55.6561889, 12.5179574 55.6562584, 12.5179606 55.656763, 12.5179671 55.6570779, 12.517967 55.6574472)",,,,,,,,
1052367665,3626959237,0,"[335384249, 409319710]",,Otto Busses Vej,residential,"['50', '15']",False,170.17,"LINESTRING (12.5549043 55.6606438, 12.5552068 55.6607404, 12.5555523 55.6608585, 12.556284 55.6611236, 12.5565066 55.6612477, 12.5566139 55.661343, 12.5568836 55.6616318)",,,,,,,,
1181499809,1181499859,0,112262469,,,service,,True,127.083,"LINESTRING (12.5671759 55.6721452, 12.5669344 55.6722071, 12.5668905 55.6722184, 12.5668547 55.6722337, 12.5668286 55.6722528, 12.5665164 55.6725409, 12.5662025 55.6728304, 12.5661841 55.6728516, 12.5661767 55.6728735, 12.566183 55.6729001, 12.5662001 55.6729279, 12.566294 55.6730548)",,,no,,,,,
1181499859,6359420314,0,244362772,5,Bernstorffsgade,tertiary,50,False,92.586,"LINESTRING (12.566294 55.6730548, 12.5663168 55.6730334, 12.5667138 55.672662, 12.5670179 55.6723776, 12.5670563 55.6723417)",,,,,,,,
1181499859,298795463,0,156959629,4,Bernstorffsgade,tertiary,50,False,68.291,"LINESTRING (12.566294 55.6730548, 12.5661528 55.673183, 12.5660701 55.6732598, 12.5659862 55.6733382, 12.5657251 55.6735785)",,,,,,,,
1236989662,8099321,0,"[161847400, 420541546, 338791690, 108849042, 108849012, 497225078, 497225079, 504372797]","['4', '5', '6']","['Torvegade', 'Børnehusbroen']",tertiary,50,False,418.1230000000001,"LINESTRING (12.5881099 55.6742128, 12.5884702 55.6740028, 12.5888156 55.6738015, 12.5891498 55.6736067, 12.5892862 55.6735372, 12.5895681 55.6733936, 12.5900215 55.6731627, 12.5908284 55.6727248, 12.5908526 55.6727104, 12.5911701 55.6725217, 12.5912199 55.6724914, 12.5913112 55.672443, 12.5914634 55.6723623, 12.5917533 55.6722086, 12.5918766 55.6721433, 12.5920368 55.6720583, 12.5921751 55.6719887, 12.5927554 55.6716966, 12.5929224 55.6716125)",yes,,,,,,,
1477320632,7424040147,0,590239997,,Lundtoftegade,tertiary,50,False,34.094,"LINESTRING (12.5385721 55.7000418, 12.5383968 55.6999053, 12.5383223 55.6998388, 12.5382813 55.699784)",,,,,,,,
1552939204,7424040147,0,590239997,,Lundtoftegade,tertiary,50,False,8.08,"LINESTRING (12.5382583 55.6997125, 12.5382813 55.699784)",,,,,,,,
1552939204,8091675,0,"[58153688, 590239997]",,Lundtoftegade,tertiary,50,False,308.843,"LINESTRING (12.5382583 55.6997125, 12.5382864 55.6996269, 12.538396 55.6994485, 12.5385109 55.6991708, 12.5385456 55.6990156, 12.5385251 55.6985121, 12.5384966 55.6979946, 12.5384474 55.6972696, 12.5384539 55.6970892, 12.5384586 55.6969565)",,,,,,,,
1552939204,3296230846,0,141883056,,Bregnerødgade,cycleway,,False,41.533,"LINESTRING (12.5382583 55.6997125, 12.5380087 55.6996913, 12.537872 55.6996621, 12.5377379 55.6995967, 12.5376751 55.6995629)",,,,,,,,
1574166954,7726386207,0,827602422,2,Vester Voldgade,residential,50,False,63.894999999999996,"LINESTRING (12.5693469 55.6763109, 12.5694204 55.6762766, 12.5701125 55.6759317)",,,,,,,,
1574166954,7726386207,1,827602423,,,cycleway,,True,68.355,"LINESTRING (12.5693469 55.6763109, 12.5693853 55.6762006, 12.5698574 55.6759669, 12.5701125 55.6759317)",,,,,,,,
1574166954,697791,0,161641203,2,Vester Voldgade,residential,50,False,70.414,"LINESTRING (12.5693469 55.6763109, 12.5692929 55.676337, 12.5692181 55.6763772, 12.5690547 55.6764584, 12.568662 55.67662, 12.5686206 55.6766377, 12.5684677 55.6767038)",,,,,,,,
1598991179,7726662,0,27153744,2,Klaksvigsgade,residential,50,False,87.949,"LINESTRING (12.5799957 55.6668682, 12.5794798 55.6670414, 12.5788078 55.6672883)",,,,,,,,
1598991179,1640257226,0,"[777273018, 175968022]",,Klaksvigsgade,residential,50,True,15.475999999999999,"LINESTRING (12.5799957 55.6668682, 12.5800976 55.6668357, 12.5802264 55.6668443)",,,,,,,,
1702640265,698029,0,86369996,3,Esplanaden,residential,50,False,72.041,"LINESTRING (12.5939691 55.6877383, 12.5928421 55.6876112)",,,,,,,,
2255813399,24670659,0,3993672,,Frederik V's Vej,residential,40,False,167.137,"LINESTRING (12.5678696 55.6977355, 12.5675725 55.6979194, 12.5674595 55.6979893, 12.5660739 55.6988469)",,,,,,,,
