u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,ref,bridge,tunnel,junction,width,access,service
118781,118792,0,"[1880585, 422789542]",True,Sjællandsbroen,tertiary,60,322.664,"LINESTRING (12.5424854 55.6460132, 12.5425933 55.6459106, 12.5428544 55.6456624, 12.5438395 55.6447259, 12.5443126 55.6443347, 12.5446045 55.6441084, 12.5453691 55.6436206)","['3', '2']",,,,,,,
118781,8459772,0,"[502436882, 24418179]",False,Bådehavnsgade,tertiary,50,191.61899999999997,"LINESTRING (12.5424854 55.6460132, 12.5422863 55.6459572, 12.54215 55.6459001, 12.5419362 55.6456929, 12.5418561 55.6456197, 12.5418144 55.64558, 12.5416231 55.6453975, 12.5415789 55.6453566, 12.5414585 55.6452453, 12.5413336 55.6451275, 12.5411531 55.6449603, 12.5410765 55.6448893, 12.5407782 55.6446131)","['3', '2']",,,,,,,
118787,118781,0,742696144,False,Bådehavnsgade,tertiary,50,17.003,"LINESTRING (12.5427315 55.6460772, 12.5424854 55.6460132)",3,,,,,,,
118787,8919786,0,422789547,True,Sjællandsbroen,tertiary,60,70.492,"LINESTRING (12.5427315 55.6460772, 12.5426811 55.6461245, 12.542636 55.6461718, 12.5425689 55.646252, 12.5425005 55.6463496, 12.5423316 55.646667)",4,,,,,,,
118792,118806,0,496210860,False,Sluseholmen,tertiary,50,14.053,"LINESTRING (12.5453691 55.6436206, 12.5455234 55.6437122)",,,,,,,,
118792,1302474338,0,"[422789540, 422789572, 108849099, 108849074, 237108788, 683462106, 108848990]",True,"['Sjællandsbroen', 'Vejlands Allé']",tertiary,"['70', '60']",488.833,"LINESTRING (12.5453691 55.6436206, 12.5454979 55.6435419, 12.5456655 55.643445, 12.5458667 55.6433345, 12.5460303 55.6432543, 12.5464171 55.6430825, 12.5468625 55.6428913, 12.5477349 55.6425216, 12.5482887 55.6423006, 12.5487823 55.6421091, 12.5488158 55.642097, 12.549202 55.6419479, 12.5496057 55.6418056, 12.549894 55.6417156, 12.5501448 55.6416437, 12.550527 55.6415377, 12.5510179 55.641409, 12.5514314 55.6413112, 12.5518341 55.6412222)","['3', '2']",,yes,,,,,
118806,118792,0,496210860,False,Sluseholmen,tertiary,50,14.053,"LINESTRING (12.5455234 55.6437122, 12.5453691 55.6436206)",,,,,,,,
118806,274394001,0,"[168251834, 83871381]",False,Sluseholmen,tertiary,40,133.775,"LINESTRING (12.5455234 55.6437122, 12.5457065 55.643824, 12.5460252 55.6440891, 12.5462136 55.6442459, 12.5467898 55.6446783)",,,,,,,,
118806,118787,0,"[237108787, 422789541]",True,Sjællandsbroen,tertiary,60,317.024,"LINESTRING (12.5455234 55.6437122, 12.5454388 55.6437622, 12.5453008 55.6438438, 12.5449963 55.6440452, 12.5449028 55.6441113, 12.5446986 55.6442556, 12.5444827 55.6444198, 12.5441182 55.6447218, 12.5440562 55.6447732, 12.5436552 55.6451615, 12.5431362 55.6456761, 12.5428253 55.6459842, 12.5427315 55.6460772)","['4', '3']",,,,,,,
118811,118806,0,"[422789543, 422789545, 422789546, 46244971, 108849007, 108849017, 3676667, 3542463]",True,"['Sjællandsbroen', 'Vejlands Allé']",tertiary,"['60', '70']",563.6220000000001,"LINESTRING (12.5530781 55.6410961, 12.5525465 55.6411718, 12.5519573 55.6412731, 12.5514733 55.6413748, 12.5510608 55.6414719, 12.5508569 55.6415211, 12.5507604 55.6415468, 12.5505485 55.6416005, 12.5502052 55.6417027, 12.5499289 55.6417844, 12.5496875 55.6418616, 12.5492838 55.6420009, 12.5488788 55.6421561, 12.54886 55.6421621, 12.5486428 55.6422492, 12.5485476 55.642287, 12.5484255 55.642337, 12.5480581 55.6424838, 12.5478927 55.6425543, 12.5477402 55.6426193, 12.5475152 55.642718, 12.5473619 55.6427853, 12.5470791 55.6429061, 12.5467438 55.6430552, 12.5465168 55.6431585, 12.5463964 55.6432194, 12.5462677 55.6432936, 12.5460947 55.6433844, 12.5458868 55.6435063, 12.5456964 55.6436145, 12.5456615 55.6436334, 12.5456228 55.6436555, 12.5455234 55.6437122)","['4', '3', '2']",,yes,,,,,
118819,118820,0,8121745,False,Vejlands Allé,tertiary,50,18.266,"LINESTRING (12.5636064 55.6415663, 12.5635513 55.641405)",,,,,,,,
118819,6426744520,0,"[694100112, 693411300, 694148629, 422789583]",True,Vejlands Allé,tertiary,70,227.28,"LINESTRING (12.5636064 55.6415663, 12.5632342 55.6415519, 12.5628636 55.641528, 12.562384 55.6414994, 12.561927 55.6414583, 12.561395 55.6414062, 12.5608693 55.6413445, 12.5608281 55.6413395, 12.5600344 55.641244)","['5', '3']",,,,,,,
118819,319610438,0,521080960,False,Artillerivej,tertiary,50,29.944,"LINESTRING (12.5636064 55.6415663, 12.5636767 55.6416484, 12.5638139 55.6418088)",,,,,,,,
118820,118819,0,8121745,False,Vejlands Allé,tertiary,50,18.266,"LINESTRING (12.5635513 55.641405, 12.5636064 55.6415663)",,,,,,,,
118820,25508623,0,"[168243290, 377853139, 377853140, 8364509]",False,Selinevej,unclassified,,1046.006,"LINESTRING (12.5635513 55.641405, 12.5635001 55.6412441, 12.5634642 55.6411826, 12.5634119 55.641144, 12.5633507 55.6411269, 12.5632083 55.6411175, 12.5630015 55.6411359, 12.5627524 55.6411546, 12.5624783 55.6411631, 12.5621784 55.6411539, 12.5618136 55.6411175, 12.5610067 55.6410221, 12.5602105 55.640909, 12.5597453 55.6408068, 12.5593138 55.6406876, 12.5588095 55.6404999, 12.5583861 55.6402794, 12.558163 55.6401468, 12.5567008 55.6391713, 12.5543678 55.6376236, 12.5540224 55.6373827, 12.5534793 55.6370601, 12.5532581 55.6369341, 12.5530113 55.636795, 12.5511619 55.6357919)",,,,yes,,,,
118820,2205997340,0,"[422789571, 1526949, 494504629]",True,Vejlands Allé,tertiary,"['30', '70']",643.9010000000001,"LINESTRING (12.5635513 55.641405, 12.563872 55.6414111, 12.5645654 55.6414242, 12.5648004 55.6414286, 12.5649219 55.6414277, 12.5652187 55.6414236, 12.5659428 55.6413945, 12.5718662 55.6411207, 12.573783 55.6410328)",3,,,,,,,
118821,118820,0,"[422789585, 494214215]",True,Vejlands Allé,tertiary,70,212.058,"LINESTRING (12.5602214 55.6411028, 12.5618224 55.6412927, 12.5621642 55.6413312, 12.5625086 55.6413613, 12.5628551 55.6413829, 12.563168 55.6413973, 12.5635513 55.641405)","['4', '3']",,,,,,,
118825,4860024724,0,"[494214216, 742680367]",True,,tertiary_link,70,109.215,"LINESTRING (12.5652654 55.6415358, 12.5648189 55.6415835, 12.5640531 55.6416395, 12.5639431 55.6416667, 12.5639123 55.6416856, 12.5638814 55.6417046, 12.5638452 55.6417666, 12.5638694 55.6418711)",,,,,,,,
118825,118819,0,"[745726321, 422789577]",True,Vejlands Allé,tertiary,70,104.186,"LINESTRING (12.5652654 55.6415358, 12.5650093 55.6415455, 12.563969 55.6415657, 12.5638627 55.6415659, 12.5636064 55.6415663)",3,,,,,,,
118848,118854,0,237099581,True,Center Boulevard,tertiary,60,13.073,"LINESTRING (12.5760084 55.6409276, 12.5760224 55.6410449)",3,,,,,,,
118848,4927543936,0,42322492,True,Vejlands Allé,tertiary,60,409.37300000000005,"LINESTRING (12.5760084 55.6409276, 12.5762385 55.6409147, 12.5819942 55.6406682, 12.5825139 55.6406722)",2,,,,,,,
118854,411806235,0,672675025,True,Vejlands Allé,tertiary,60,11.611,"LINESTRING (12.5760224 55.6410449, 12.5758379 55.6410527)",4,,,,,,,
118854,566582305,0,"[44637265, 44637269]",True,Vejlands Allé,unclassified,40,127.675,"LINESTRING (12.5760224 55.6410449, 12.5760114 55.6411637, 12.5760125 55.6412722, 12.5760046 55.6415103, 12.5759863 55.6419679, 12.5759541 55.6420106, 12.5758823 55.6420468, 12.5757704 55.6420644, 12.5756691 55.6420516)",,,,,,,,
118860,3379557975,0,496231087,True,Vejlands Allé,tertiary,60,8.994,"LINESTRING (12.5835712 55.6407118, 12.5837102 55.6407315)",,,,,,,,
118860,118866,0,"[48736563, 330921300, 48736557]",True,Ørestads Boulevard,tertiary,50,122.8,"LINESTRING (12.5835712 55.6407118, 12.5835352 55.6405986, 12.5834657 55.6404161, 12.5834114 55.6402892, 12.583342 55.6400712, 12.5832697 55.6396224)",,,yes,,,,,
118866,3379557975,0,"[330921304, 330921299, 330921302]",True,Ørestads Boulevard,tertiary,50,126.404,"LINESTRING (12.5832697 55.6396224, 12.583354 55.6398506, 12.5835266 55.6402755, 12.5835901 55.6404319, 12.5836517 55.6406045, 12.5837102 55.6407315)",,,yes,,,,,
118866,8919792,0,"[330921305, 290755558, 290755559]",False,Ørestads Boulevard,tertiary,50,108.973,"LINESTRING (12.5832697 55.6396224, 12.5831917 55.6394321, 12.5829511 55.6387934, 12.5828991 55.638665)",3,,,,,,,
118868,318308896,0,47256244,False,C.F. Møllers Allé,residential,50,121.804,"LINESTRING (12.5813305 55.6347648, 12.579439 55.6350097)",,,,,,,,
118868,606927508,0,48759201,False,Ørestads Boulevard,unclassified,50,44.244,"LINESTRING (12.5813305 55.6347648, 12.5820213 55.6346856)",,,,,,,,
118868,247737948,0,237099603,False,Ørestads Boulevard,tertiary,50,193.599,"LINESTRING (12.5813305 55.6347648, 12.580644 55.6330674)",,,,,,,,
118868,5347212858,0,237099603,False,Ørestads Boulevard,tertiary,50,185.109,"LINESTRING (12.5813305 55.6347648, 12.5819812 55.6363885)",,,,,,,,
118869,1801254752,0,713738512,False,Ørestads Boulevard,tertiary,50,12.924,"LINESTRING (12.5798675 55.6310571, 12.5799085 55.631171)",,,,,,,,
118869,265161861,0,"[24418496, 762841021, 129369623]",False,Ørestads Boulevard,tertiary,50,385.33400000000006,"LINESTRING (12.5798675 55.6310571, 12.5798238 55.630955, 12.5793385 55.6298214, 12.5792658 55.6296515, 12.5791922 55.6294796, 12.579144 55.6293515, 12.579093 55.6292161, 12.5789979 55.6289829, 12.5789513 55.6288588, 12.5789282 55.6287974, 12.5788889 55.6286929, 12.5785039 55.6276786)",,,yes,,,,,
118869,1801254737,0,"[752865741, 223267359]",True,Arne Jacobsens Allé,tertiary,50,145.89600000000002,"LINESTRING (12.5798675 55.6310571, 12.5803052 55.6309405, 12.5805136 55.6308746, 12.5811976 55.630655, 12.5813694 55.6306072, 12.5817586 55.6305517, 12.5819801 55.6305497)",,,,,,,,
118872,1619530781,0,148894329,False,Ørestads Boulevard,tertiary,50,117.455,"LINESTRING (12.5758979 55.6211118, 12.5754878 55.6200812)",,,,,,,,
118872,1729562471,0,148894333,True,Ørestads Boulevard,tertiary,50,93.554,"LINESTRING (12.5758979 55.6211118, 12.5760992 55.6214016, 12.5763007 55.6219193)",,,,,,,,
118874,118876,0,386834370,True,Amagermotorvejen,motorway,90,189.641,"LINESTRING (12.5530679 55.6375881, 12.5509154 55.6363912)",2,E 20,,,,,,
