u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,width,junction,tunnel,service,area
125408,2338083477,0,660124255,True,1,Gothersgade,tertiary,50,84.486,"LINESTRING (12.5821846 55.6822612, 12.5809741 55.6825952)",,,,,,,,
125409,20919946,0,87325171,True,1,Gothersgade,tertiary,50,51.27,"LINESTRING (12.5834527 55.6819386, 12.5827022 55.6821218)",,,,,,,,
375465,3676767770,0,654821500,False,5,Nørre Søgade,tertiary,50,12.45,"LINESTRING (12.5604964 55.6811267, 12.5605686 55.681231)",,,,,,,,
375465,298538850,0,127496087,False,5,Vester Søgade,tertiary,50,22.581,"LINESTRING (12.5604964 55.6811267, 12.5604531 55.6809251)",,,,,,,,
576709,1626156205,0,366705486,False,2,Carl Jacobsens Vej,tertiary,50,28.958,"LINESTRING (12.5204607 55.6529209, 12.5200002 55.6529031)",,,,,,,,
576709,18011399,0,539777408,False,2,Carl Jacobsens Vej,tertiary,50,78.186,"LINESTRING (12.5204607 55.6529209, 12.5217028 55.6529783)",,,,,,,,
576710,1626156205,0,366705486,False,2,Carl Jacobsens Vej,tertiary,50,10.919,"LINESTRING (12.5198262 55.6529055, 12.5200002 55.6529031)",,,,,,,,
576710,3474118286,0,366705486,False,2,Carl Jacobsens Vej,tertiary,50,3.295,"LINESTRING (12.5198262 55.6529055, 12.5197761 55.6529144)",,,,,,,,
576713,3338571877,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,75.828,"LINESTRING (12.5121679 55.6558588, 12.5131526 55.6554633)",,,,,,,,
576713,4929060460,0,35085344,False,4,Gammel Køge Landevej,tertiary,60,16.744,"LINESTRING (12.5121679 55.6558588, 12.5120575 55.6557217)",,,,,,,,
576713,6882059136,0,428851684,False,4,Gammel Køge Landevej,tertiary,50,39.81,"LINESTRING (12.5121679 55.6558588, 12.5124255 55.656186)",,,,,,,,
697537,5899422319,0,237108784,False,2,Gasværksvej,tertiary,50,48.703,"LINESTRING (12.5575675 55.6704769, 12.5571674 55.6708523)",,,,,,,,
697822,2899149634,0,289716335,True,2,Kongens Nytorv,primary,50,24.687,"LINESTRING (12.5870075 55.6805493, 12.5872206 55.680736)",O2,,,,,,,
698029,1702640265,0,86369996,False,3,Esplanaden,residential,50,72.041,"LINESTRING (12.5928421 55.6876112, 12.5939691 55.6877383)",,,,,,,,
698029,6726824634,0,27413454,False,3,Grønningen,primary,50,17.113,"LINESTRING (12.5928421 55.6876112, 12.5926924 55.6877399)",O2,,,,,,,
698683,7043485241,0,161964141,False,2,Amagerfælledvej,tertiary,50,9.591,"LINESTRING (12.5942101 55.6549506, 12.5941874 55.6550359)",,,,,,,,
698683,4959696315,0,143792491,False,2,Røde Mellemvej,tertiary,50,11.106,"LINESTRING (12.5942101 55.6549506, 12.5941867 55.6548516)",,,,,,,,
698683,4959696314,0,502198713,False,2,Grønjordsvej,tertiary,50,16.702,"LINESTRING (12.5942101 55.6549506, 12.5939439 55.6549483)",,,,,,,,
698683,6805490259,0,725841373,True,,,cycleway,,9.473,"LINESTRING (12.5942101 55.6549506, 12.5943286 55.6548978)",,,,,,,,
706815,4702372547,0,1987828,True,,Christian IX's Gade,tertiary,40,8.417,"LINESTRING (12.580712 55.682674, 12.580766 55.6826047)",,,,,,,,
706815,2338083478,0,27359107,True,1,Kronprinsessegade,residential,40,19.94,"LINESTRING (12.580712 55.682674, 12.5808874 55.6828236)",,,,,,,,
706815,1331044361,0,36522887,False,2,Gothersgade,tertiary,50,9.909,"LINESTRING (12.580712 55.682674, 12.5805852 55.6827272)",,,,,,,,
706815,2338083476,0,1794676,False,,Møntergade,cycleway,,13.663,"LINESTRING (12.580712 55.682674, 12.5805789 55.6825767)",,,,,,,,
792009,2317403772,0,161635366,False,2,Enghavevej,tertiary,50,10.513,"LINESTRING (12.5442947 55.6675501, 12.5443438 55.6676405)",,,,,,,,
792009,2317403766,0,237108781,False,2,Enghavevej,tertiary,50,13.29,"LINESTRING (12.5442947 55.6675501, 12.544237 55.6674351)",,,,,,,,
792010,7437379138,0,161635366,False,2,Enghavevej,tertiary,50,22.227,"LINESTRING (12.5447779 55.6683923, 12.5446615 55.6682035)",,,,,,,,
792010,7437379135,0,161635366,False,2,Enghavevej,tertiary,50,57.247,"LINESTRING (12.5447779 55.6683923, 12.5450613 55.6688817)",,,,,,,,
6488665,4199695795,0,357792888,False,2,Øster Allé,tertiary,40,4.566,"LINESTRING (12.5641938 55.7056298, 12.5641212 55.7056334)",,,,,,,,
6488665,2327477961,0,359163715,False,2,Øster Allé,tertiary,40,6.85,"LINESTRING (12.5641938 55.7056298, 12.5643004 55.7056161)",,,,,,,,
6503260,2355133877,0,87325176,False,2,Sølvgade,residential,50,10.434,"LINESTRING (12.5836301 55.6860663, 12.5834802 55.6861071)",,,,,,,,
6503260,7029092295,0,305585317,False,,Sølvgade,residential,50,18.147,"LINESTRING (12.5836301 55.6860663, 12.5838862 55.6859902)",,,,,,,,
6503284,4289244937,0,491958295,False,4,Havnegade,tertiary,50,13.62,"LINESTRING (12.5844851 55.6772756, 12.5845373 55.6771567)",,,,,,,,
6503284,4289244948,0,429743831,True,2,Holmens Kanal,tertiary,50,17.291,"LINESTRING (12.5844851 55.6772756, 12.5842309 55.6772153)",,,,,,,,
7224402,3262975600,0,160081053,False,4,Ved Vesterport,tertiary,50,12.528,"LINESTRING (12.5631953 55.6757127, 12.5630175 55.6756613)",,,,,,,,
7224402,3262975604,0,27206697,False,4,Hammerichsgade,tertiary,50,16.684,"LINESTRING (12.5631953 55.6757127, 12.563117 55.6758561)",,,,,,,,
7224402,1721553085,0,496182321,False,5,Hammerichsgade,tertiary,50,10.704,"LINESTRING (12.5631953 55.6757127, 12.5632853 55.6756309)",,,,,,,,
7235771,3678079204,0,161635366,False,2,Enghavevej,tertiary,50,3.905,"LINESTRING (12.545417 55.6694847, 12.5453972 55.6694514)",,,,,,,,
7235771,298870622,0,363639669,False,2,Enghavevej,tertiary,50,14.428,"LINESTRING (12.545417 55.6694847, 12.5454774 55.6696099)",,,,,,,,
7244208,7741066,0,1702965,True,1,Nyhavn,residential,50,153.882,"LINESTRING (12.5911737 55.6794386, 12.5889584 55.6800345)",,,,,,,,
7712481,296206896,0,741999858,True,,Vordingborggade,residential,50,9.974,"LINESTRING (12.5773192 55.7079673, 12.5774784 55.7079669)",,,,,,,,
7712481,12727451,0,162064601,True,1,Østerbrogade,tertiary,50,79.835,"LINESTRING (12.5773192 55.7079673, 12.5773471 55.7072495)",,,,,,,,
7712502,7712503,0,83348641,False,,Vordingborggade,tertiary,50,15.212,"LINESTRING (12.586615 55.7079844, 12.586844 55.7080299)",,,,,,,,
7712502,1079726888,0,83348641,False,,Vordingborggade,tertiary,50,15.877,"LINESTRING (12.586615 55.7079844, 12.586365 55.707961)",,,,,,,,
7712503,2911789916,0,83348641,False,,Vordingborggade,tertiary,50,11.806,"LINESTRING (12.586844 55.7080299, 12.5870081 55.7080821)",,,,,,,,
7712503,7712502,0,83348641,False,,Vordingborggade,tertiary,50,15.212,"LINESTRING (12.586844 55.7080299, 12.586615 55.7079844)",,,,,,,,
7712505,2182156271,0,83348641,False,,Vordingborggade,tertiary,50,15.292,"LINESTRING (12.5874133 55.7082701, 12.5876078 55.7083532)",,,,,,,,
7712505,4502499811,0,83348641,False,,Vordingborggade,tertiary,50,21.931,"LINESTRING (12.5874133 55.7082701, 12.5871431 55.7081447)",,,,,,,,
7712508,5503414539,0,83348641,False,,Vordingborggade,tertiary,50,35.638,"LINESTRING (12.5886238 55.7088023, 12.5881755 55.708605)",,,,,,,,
7712508,595293310,0,4311695,False,,Vordingborggade,tertiary,50,16.264,"LINESTRING (12.5886238 55.7088023, 12.5888383 55.7088847)",,,,,,,,
7712509,5503414539,0,83348641,False,,Vordingborggade,tertiary,50,13.149,"LINESTRING (12.5880101 55.7085322, 12.5881755 55.708605)",,,,,,,,
7712509,2182156271,0,83348641,False,,Vordingborggade,tertiary,50,32.115,"LINESTRING (12.5880101 55.7085322, 12.5876078 55.7083532)",,,,,,,,
7726662,1098944196,0,27153744,False,2,Klaksvigsgade,residential,50,50.297,"LINESTRING (12.5788078 55.6672883, 12.5794798 55.6670414)",,,,,,,,
7726662,7448948454,0,1813862,False,2,Thorshavnsgade,residential,50,14.072,"LINESTRING (12.5788078 55.6672883, 12.5786726 55.6671873)",,,,,,,,
7726662,7448948451,0,796476302,False,,,cycleway,,5.126,"LINESTRING (12.5788078 55.6672883, 12.5787261 55.6672869)",,,,,,,,
7726663,1640257226,0,777273018,True,,Klaksvigsgade,residential,50,8.134,"LINESTRING (12.5800976 55.6668357, 12.5802264 55.6668443)",,,,,,,,
7726672,2931115235,0,160081053,False,4,Ved Vesterport,tertiary,50,18.363,"LINESTRING (12.5619623 55.6753672, 12.5622278 55.6754369)",,,,,,,,
7726672,2737213890,0,161640021,False,,Ved Vesterport,tertiary,50,18.639,"LINESTRING (12.5619623 55.6753672, 12.5617082 55.6752802)",,,,,,,,
7726672,2931115236,0,27225984,False,,Vester Farimagsgade,tertiary,50,18.581,"LINESTRING (12.5619623 55.6753672, 12.5619636 55.6755343)",,,,,,,,
7741066,564838229,0,1702965,True,1,Nyhavn,residential,50,59.736,"LINESTRING (12.5889584 55.6800345, 12.5880953 55.6802621)",,,,,,,,
8078448,125409,0,87325171,True,1,Gothersgade,tertiary,50,14.699,"LINESTRING (12.5836664 55.6818842, 12.5834527 55.6819386)",,,,,,,,
8078455,8453814,0,161660962,True,2,Bremerholm,tertiary,40,51.107,"LINESTRING (12.5831453 55.6785724, 12.5834881 55.6781554)",,,,,,,,
8078531,5644415796,0,135653065,False,,Borgmestervangen,residential,50,12.594,"LINESTRING (12.5396234 55.7010855, 12.5397133 55.7011868)",,,,,,,,
8078531,3120518100,0,307010785,False,,Mimersgade,unclassified,50,20.09,"LINESTRING (12.5396234 55.7010855, 12.5393072 55.7011154)",,,,,,,,
8078531,5644415797,0,590238401,False,,Mimersgade,tertiary,50,18.306,"LINESTRING (12.5396234 55.7010855, 12.5399115 55.7010582)",,,,,,,,
8078531,5644415798,0,1928322,False,,Borgmestervangen,tertiary,50,17.042,"LINESTRING (12.5396234 55.7010855, 12.5395022 55.7009483)",,,,,,,,
8088717,1218118677,0,9256800,False,,Jernbane Allé,tertiary,50,6.814,"LINESTRING (12.4953683 55.6827061, 12.4952677 55.6827293)",,,,,,,,
8088717,7004268127,0,40166129,False,,Finsensvej,tertiary,50,5.983,"LINESTRING (12.4953683 55.6827061, 12.4954613 55.682694)",,,,,,,,
8115534,4966239890,0,2383977,True,1,Nyhavn,residential,50,3.792,"LINESTRING (12.5928949 55.6789296, 12.5928945 55.6789637)",,,,,,,,
8453809,6503284,0,496969315,True,3,Bremerholm,tertiary,40,80.34,"LINESTRING (12.5837217 55.6778559, 12.5844851 55.6772756)",,,,,,,,
8453814,8453809,0,161660962,True,2,Bremerholm,tertiary,40,36.381,"LINESTRING (12.5834881 55.6781554, 12.5837217 55.6778559)",,,,,,,,
8536111,2332712200,0,330748694,False,,Øster Søgade,residential,50,18.567,"LINESTRING (12.5750529 55.692923, 12.5748861 55.692785)",,,,,,,,
8536111,8538450,0,330748694,False,,Øster Søgade,residential,50,39.981,"LINESTRING (12.5750529 55.692923, 12.5753243 55.6932484)",,,,,,,,
8536113,8538447,0,330748694,False,,Øster Søgade,residential,50,36.847,"LINESTRING (12.5761644 55.6942192, 12.5758705 55.6939322)",,,,,,,,
8536113,2332712201,0,330748694,False,,Øster Søgade,residential,50,12.246,"LINESTRING (12.5761644 55.6942192, 12.576288 55.6943045)",,,,,,,,
8538443,8538444,0,27201308,False,,Øster Søgade,residential,50,57.335,"LINESTRING (12.5775064 55.6949086, 12.5768222 55.6945663)",,,,,,,,
8538443,2522851854,0,27201308,False,,Øster Søgade,residential,50,17.354,"LINESTRING (12.5775064 55.6949086, 12.5777172 55.6950098)",,,,,,,,
8538444,8538443,0,27201308,False,,Øster Søgade,residential,50,57.335,"LINESTRING (12.5768222 55.6945663, 12.5775064 55.6949086)",,,,,,,,
8538444,2332712202,0,330748694,False,,Øster Søgade,residential,50,14.561,"LINESTRING (12.5768222 55.6945663, 12.5766409 55.6944844)",,,,,,,,
8538447,8538448,0,330748694,False,,Øster Søgade,residential,50,37.741,"LINESTRING (12.5758705 55.6939322, 12.5756233 55.6936227)",,,,,,,,
8538447,8536113,0,330748694,False,,Øster Søgade,residential,50,36.847,"LINESTRING (12.5758705 55.6939322, 12.5761644 55.6942192)",,,,,,,,
8538448,8538450,0,330748694,False,,Øster Søgade,residential,50,45.644,"LINESTRING (12.5756233 55.6936227, 12.5753243 55.6932484)",,,,,,,,
8538448,8538447,0,330748694,False,,Øster Søgade,residential,50,37.741,"LINESTRING (12.5756233 55.6936227, 12.5758705 55.6939322)",,,,,,,,
8538450,8536111,0,330748694,False,,Øster Søgade,residential,50,39.981,"LINESTRING (12.5753243 55.6932484, 12.5750529 55.692923)",,,,,,,,
8538450,8538448,0,330748694,False,,Øster Søgade,residential,50,45.644,"LINESTRING (12.5753243 55.6932484, 12.5756233 55.6936227)",,,,,,,,
8538452,8538456,0,330748694,False,,Øster Søgade,residential,50,36.014,"LINESTRING (12.5746304 55.6926328, 12.5742463 55.6923919)",,,,,,,,
8538452,2332712200,0,330748694,False,,Øster Søgade,residential,50,23.307,"LINESTRING (12.5746304 55.6926328, 12.5748861 55.692785)",,,,,,,,
8538456,8538457,0,330748694,False,,Øster Søgade,residential,50,40.146,"LINESTRING (12.5742463 55.6923919, 12.573813 55.692126)",,,,,,,,
8538456,8538452,0,330748694,False,,Øster Søgade,residential,50,36.014,"LINESTRING (12.5742463 55.6923919, 12.5746304 55.6926328)",,,,,,,,
8538457,8538462,0,330748694,False,,Øster Søgade,residential,50,41.019,"LINESTRING (12.573813 55.692126, 12.5733748 55.691852)",,,,,,,,
8538457,8538456,0,330748694,False,,Øster Søgade,residential,50,40.146,"LINESTRING (12.573813 55.692126, 12.5742463 55.6923919)",,,,,,,,
8538462,8538463,0,330748694,False,,Øster Søgade,residential,50,39.055,"LINESTRING (12.5733748 55.691852, 12.5729594 55.6915902)",,,,,,,,
8538462,8538457,0,330748694,False,,Øster Søgade,residential,50,41.019,"LINESTRING (12.5733748 55.691852, 12.573813 55.692126)",,,,,,,,
8538463,2332712198,0,330748694,False,,Øster Søgade,residential,50,9.677,"LINESTRING (12.5729594 55.6915902, 12.5728527 55.6915273)",,,,,,,,
8538463,8538462,0,330748694,False,,Øster Søgade,residential,50,39.055,"LINESTRING (12.5729594 55.6915902, 12.5733748 55.691852)",,,,,,,,
10776943,1650039510,0,87341562,False,,Søndre Fasanvej,tertiary,50,10.817,"LINESTRING (12.5171345 55.6687498, 12.5171413 55.6686526)",,,,,,,,
10776943,1043162154,0,87341562,False,,Søndre Fasanvej,tertiary,50,16.712,"LINESTRING (12.5171345 55.6687498, 12.5171252 55.6689)",,,,,,,,
12729145,5644415796,0,135653065,False,,Borgmestervangen,residential,50,127.669,"LINESTRING (12.5402597 55.7022929, 12.5397133 55.7011868)",,,,,,,,
12729145,7512157741,0,671502674,False,,,cycleway,,14.637,"LINESTRING (12.5402597 55.7022929, 12.540341 55.7024163)",,,,,,,,
17343195,2283813942,0,83348641,False,,Vordingborggade,tertiary,50,7.807,"LINESTRING (12.5857257 55.7079637, 12.5858503 55.7079647)",,,,,,,,
17343195,2283813934,0,158169135,True,2,Strandboulevarden,tertiary,50,13.977,"LINESTRING (12.5857257 55.7079637, 12.5856549 55.7080829)",,,,,,,,
20908184,6959730182,0,87341562,False,,Søndre Fasanvej,tertiary,50,14.486,"LINESTRING (12.5171144 55.6690811, 12.5171222 55.6689509)",,,,,,,,
20908184,1043162223,0,162089324,False,,Søndre Fasanvej,tertiary,50,14.423,"LINESTRING (12.5171144 55.6690811, 12.5171172 55.6692108)",,,,,,,,
20908382,1783390939,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,29.447,"LINESTRING (12.5185482 55.6533623, 12.5189303 55.6532085)",,,,,,,,
20908382,3338571739,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,29.188,"LINESTRING (12.5185482 55.6533623, 12.5181659 55.6535119)",,,,,,,,
20919946,125408,0,87325171,True,1,Gothersgade,tertiary,50,35.961,"LINESTRING (12.5827022 55.6821218, 12.5821846 55.6822612)",,,,,,,,
20925445,7807322,0,27432852,False,,Nørrebrogade,tertiary,40,17.319,"LINESTRING (12.5574911 55.6890903, 12.5572591 55.6891749)",,,,,,,,
20925446,3498486899,0,4288832,True,,Elmegade,residential,40,17.965,"LINESTRING (12.5595158 55.6901769, 12.5592813 55.690084)",,,,,,,,
20925447,20925448,0,4288832,True,,Elmegade,residential,40,9.248,"LINESTRING (12.5584821 55.689836, 12.5583621 55.6897876)",,,,,,,,
20925448,20925445,0,4288832,True,,Elmegade,residential,40,94.827,"LINESTRING (12.5583621 55.6897876, 12.5574911 55.6890903)",,,,,,,,
20930134,5985496093,0,3993672,False,,Frederik V's Vej,residential,40,112.558,"LINESTRING (12.564604 55.6997524, 12.5658164 55.6990055)",,,,,,,,
20930134,3532722823,0,24630673,False,,Edel Sauntes Allé,unclassified,40,66.899,"LINESTRING (12.564604 55.6997524, 12.5638317 55.699337)",,,,,,,,
20930134,3350335141,0,24630673,False,,Edel Sauntes Allé,unclassified,40,19.466,"LINESTRING (12.564604 55.6997524, 12.5647874 55.6998937)",,,,,,,,
21556600,4199695628,0,24630673,False,,Edel Sauntes Allé,unclassified,40,15.179,"LINESTRING (12.5633542 55.7024741, 12.5634374 55.7023459)",,,,,,,,
21770177,2351918021,0,3993672,False,,Frederik V's Vej,residential,40,10.514,"LINESTRING (12.5674595 55.6979893, 12.5675725 55.6979194)",,,,,,,,
21770177,24670659,0,3993672,False,,Frederik V's Vej,residential,40,128.968,"LINESTRING (12.5674595 55.6979893, 12.5660739 55.6988469)",,,,,,,,
24607724,3098681289,0,58701144,True,,Edel Sauntes Allé,unclassified,40,18.279,"LINESTRING (12.5633628 55.7029279, 12.5633343 55.7027643)",,,,,,,,
24607726,270151675,0,58701144,True,,Edel Sauntes Allé,unclassified,40,26.269,"LINESTRING (12.5636379 55.7033559, 12.5634603 55.7031419)",,,,,,,,
24609833,423224519,0,58701144,True,,Edel Sauntes Allé,unclassified,40,15.706,"LINESTRING (12.5659601 55.7047823, 12.5657827 55.7046825)",,,,,,,,
24609833,2327477958,0,162078539,False,2,Øster Allé,tertiary,40,12.342,"LINESTRING (12.5659601 55.7047823, 12.5661018 55.7047052)",,,,,,,,
24609833,2327477959,0,419983497,False,2,Øster Allé,tertiary,40,9.519,"LINESTRING (12.5659601 55.7047823, 12.5658428 55.7048367)",,,,,,,,
24609833,3629175757,0,4192990,False,,,path,,8.844,"LINESTRING (12.5659601 55.7047823, 12.5660589 55.7048391)",,,,,,,,
24670659,21770177,0,3993672,False,,Frederik V's Vej,residential,40,128.968,"LINESTRING (12.5660739 55.6988469, 12.5674595 55.6979893)",,,,,,,,
24670659,5985496093,0,3993672,False,,Frederik V's Vej,residential,40,23.903,"LINESTRING (12.5660739 55.6988469, 12.5658164 55.6990055)",,,,,,,,
24670659,31875691,0,4204572,False,,,path,,27.437,"LINESTRING (12.5660739 55.6988469, 12.5663959 55.6990141)",,,,,,,,
31875687,21556600,0,58701144,True,,Edel Sauntes Allé,unclassified,40,16.635,"LINESTRING (12.5633268 55.7026229, 12.5633542 55.7024741)",,,,,,,,
69364580,1218121647,0,9256800,False,,Jernbane Allé,tertiary,50,2.067,"LINESTRING (12.4948811 55.68287, 12.4949089 55.68286)",,,,,,,,
69364580,8088716,0,8122892,False,,Jernbane Allé,tertiary,50,36.655,"LINESTRING (12.4948811 55.68287, 12.4943975 55.6830553)",,yes,,,,,,
267670373,3098681291,0,58701144,True,,Edel Sauntes Allé,unclassified,40,45.528,"LINESTRING (12.5642736 55.7037889, 12.5637908 55.7034829)",,,,,,,,
268690821,2396316698,0,36523013,True,2,Gothersgade,tertiary,50,9.838,"LINESTRING (12.58529 55.6814418, 12.5851487 55.6814803)",,,,,,,,
268690821,3035052618,0,1702966,True,2,Kongens Nytorv,primary,50,18.262,"LINESTRING (12.58529 55.6814418, 12.5851694 55.6812923)",O2,,,,,,,
268690828,2899149635,0,4369466,True,2,Kongens Nytorv,primary,50,9.104,"LINESTRING (12.5873438 55.6808658, 12.5872121 55.6809003)",O2,,,,,,,
268690828,3035052616,0,1702117,True,2,Bredgade,primary,50,9.559,"LINESTRING (12.5873438 55.6808658, 12.5874249 55.6809386)",O2,,,,,,,
270151675,3098681290,0,58701144,True,,Edel Sauntes Allé,unclassified,40,12.261,"LINESTRING (12.5634603 55.7031419, 12.5634034 55.7030364)",,,,,,,,
278192260,2327477960,0,359163715,False,2,Øster Allé,tertiary,40,8.802,"LINESTRING (12.564407 55.7055929, 12.5645233 55.7055485)",,,,,,,,
278192260,2327477961,0,359163715,False,2,Øster Allé,tertiary,40,7.16,"LINESTRING (12.564407 55.7055929, 12.5643004 55.7056161)",,,,,,,,
279927900,1052367665,0,335384249,False,,Otto Busses Vej,residential,15,21.804,"LINESTRING (12.5552068 55.6607404, 12.5549043 55.6606438)",,,,,,,,
279927900,3953903114,0,335384249,False,,Otto Busses Vej,residential,15,25.34,"LINESTRING (12.5552068 55.6607404, 12.5555523 55.6608585)",,,,,,,,
279992458,411612576,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,10.691,"LINESTRING (12.5159434 55.6543886, 12.5160828 55.6543333)",,,,,,,,
279992458,7836945749,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,55.547,"LINESTRING (12.5159434 55.6543886, 12.5152156 55.6546731)",,,,,,,,
287508101,2931115240,0,160081053,False,4,Ved Vesterport,tertiary,50,3.941,"LINESTRING (12.5623751 55.6754755, 12.562431 55.6754917)",,,,,,,,
287508101,2737213858,0,160081053,False,4,Ved Vesterport,tertiary,50,7.867,"LINESTRING (12.5623751 55.6754755, 12.5622613 55.6754457)",,,,,,,,
288266315,6886519188,0,161964141,False,2,Amagerfælledvej,tertiary,50,4.318,"LINESTRING (12.5940782 55.6553327, 12.5940991 55.6552957)",,,,,,,,
288266315,1311740564,0,161964141,False,2,Amagerfælledvej,tertiary,50,21.956,"LINESTRING (12.5940782 55.6553327, 12.5939206 55.655509)",,,,,,,,
296206896,7712484,0,4311696,True,,Vordingborggade,residential,50,71.163,"LINESTRING (12.5774784 55.7079669, 12.5786143 55.7079642)",,,,,,,,
296206896,314435405,0,28612120,True,,Østerbrogade,tertiary,50,43.404,"LINESTRING (12.5774784 55.7079669, 12.5774972 55.7083571)",,,,,,,,
298497229,2332712198,0,330748694,False,,Øster Søgade,residential,50,32.465,"LINESTRING (12.572491 55.6913183, 12.5728527 55.6915273)",,,,,,,,
298497229,4200490778,0,27201306,True,,Øster Søgade,residential,50,28.342,"LINESTRING (12.572491 55.6913183, 12.5721048 55.6911857)",,,,,,,,
298870617,7437379135,0,161635366,False,2,Enghavevej,tertiary,50,19.281,"LINESTRING (12.5451569 55.6690465, 12.5450613 55.6688817)",,,,,,,,
298870617,6885964653,0,161635366,False,2,Enghavevej,tertiary,50,18.723,"LINESTRING (12.5451569 55.6690465, 12.5452515 55.6692062)",,,,,,,,
298870636,2317403772,0,161635366,False,2,Enghavevej,tertiary,50,59.059,"LINESTRING (12.5446267 55.6681471, 12.5443438 55.6676405)",,,,,,,,
298870636,7437379138,0,161635366,False,2,Enghavevej,tertiary,50,6.64,"LINESTRING (12.5446267 55.6681471, 12.5446615 55.6682035)",,,,,,,,
298956675,1710546659,0,237108784,False,2,Gasværksvej,tertiary,50,5.006,"LINESTRING (12.555832 55.6721052, 12.5557909 55.6721438)",,,,,,,,
298956675,6993924329,0,237108784,False,2,Gasværksvej,tertiary,50,113.818,"LINESTRING (12.555832 55.6721052, 12.5567671 55.6712279)",,,,,,,,
411612576,3338571737,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,14.792,"LINESTRING (12.5160828 55.6543333, 12.5162747 55.654256)",,,,,,,,
411612576,279992458,0,2522458,False,2,Carl Jacobsens Vej,tertiary,50,10.691,"LINESTRING (12.5160828 55.6543333, 12.5159434 55.6543886)",,,,,,,,
411612576,411612575,0,35337974,False,,,cycleway,,29.803,"LINESTRING (12.5160828 55.6543333, 12.5163863 55.6545395)",,,,,,,,
423224519,423224522,0,58701144,True,,Edel Sauntes Allé,unclassified,40,32.135,"LINESTRING (12.5657827 55.7046825, 12.5654187 55.7044789)",,,,,,,,
423224522,267670373,0,58701144,True,,Edel Sauntes Allé,unclassified,40,105.044,"LINESTRING (12.5654187 55.7044789, 12.5642736 55.7037889)",,,,,,,,
534922762,8078448,0,36523013,True,2,Gothersgade,tertiary,50,55.561,"LINESTRING (12.5844644 55.6816668, 12.5836664 55.6818842)",,,,,,,,
564838229,3035052617,0,1702965,True,1,Nyhavn,residential,50,66.749,"LINESTRING (12.5880953 55.6802621, 12.5871306 55.6805161)",,,,,,,,
1026688239,2338083480,0,27359107,True,1,Kronprinsessegade,residential,40,52.017,"LINESTRING (12.5826212 55.6848531, 12.582992 55.6852716)",,,,,,,,
1043162154,10776943,0,87341562,False,,Søndre Fasanvej,tertiary,50,16.712,"LINESTRING (12.5171252 55.6689, 12.5171345 55.6687498)",,,,,,,,
1043162154,6959730182,0,87341562,False,,Søndre Fasanvej,tertiary,50,5.663,"LINESTRING (12.5171252 55.6689, 12.5171222 55.6689509)",,,,,,,,
1052367665,279927900,0,335384249,False,,Otto Busses Vej,residential,15,21.804,"LINESTRING (12.5549043 55.6606438, 12.5552068 55.6607404)",,,,,,,,
1079726888,7712502,0,83348641,False,,Vordingborggade,tertiary,50,15.877,"LINESTRING (12.586365 55.707961, 12.586615 55.7079844)",,,,,,,,
1079726888,2283813942,0,83348641,False,,Vordingborggade,tertiary,50,32.248,"LINESTRING (12.586365 55.707961, 12.5858503 55.7079647)",,,,,,,,
1098944196,1598991179,0,27153744,False,2,Klaksvigsgade,residential,50,37.652,"LINESTRING (12.5794798 55.6670414, 12.5799957 55.6668682)",,,,,,,,
1098944196,7726662,0,27153744,False,2,Klaksvigsgade,residential,50,50.297,"LINESTRING (12.5794798 55.6670414, 12.5788078 55.6672883)",,,,,,,,
1181499791,6359499458,0,112262469,True,,,service,,37.543,"LINESTRING (12.5668286 55.6722528, 12.5665164 55.6725409)",,,no,,,,,
1181499809,3635219649,0,112262469,True,,,service,,16.634,"LINESTRING (12.5671759 55.6721452, 12.5669344 55.6722071)",,,no,,,,,
1181499859,6359420295,0,244362772,False,5,Bernstorffsgade,tertiary,50,2.776,"LINESTRING (12.566294 55.6730548, 12.5663168 55.6730334)",,,,,,,,
1181499859,287346618,0,156959629,False,4,Bernstorffsgade,tertiary,50,16.781,"LINESTRING (12.566294 55.6730548, 12.5661528 55.673183)",,,,,,,,
1181499872,6359499459,0,112262469,True,,,service,,2.625,"LINESTRING (12.5662025 55.6728304, 12.5661841 55.6728516)",,,no,,,,,
1184688376,2338083479,0,27359107,True,1,Kronprinsessegade,residential,40,118.48,"LINESTRING (12.5816731 55.6837771, 12.5825052 55.6847338)",,,,,,,,
1218118634,1218118677,0,9256800,False,,Jernbane Allé,tertiary,50,5.842,"LINESTRING (12.4951849 55.6827534, 12.4952677 55.6827293)",,,,,,,,
1218118634,1218121647,0,9256800,False,,Jernbane Allé,tertiary,50,20.973,"LINESTRING (12.4951849 55.6827534, 12.4949089 55.68286)",,,,,,,,
1218118677,8088717,0,9256800,False,,Jernbane Allé,tertiary,50,6.814,"LINESTRING (12.4952677 55.6827293, 12.4953683 55.6827061)",,,,,,,,
