u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,width,junction,tunnel,service,area
25503124,4519617508,0,24582990,True,2,Tuborgvej,primary,60,52.261,"LINESTRING (12.5460108 55.7229279, 12.5456201 55.7225126)",O2,,,,,,,
25506286,7795267689,0,48437078,False,,Rådvadsvej,tertiary,50,90.794,"LINESTRING (12.5198328 55.7155195, 12.519053 55.7148312)",,,,,,,,
25506286,7795267686,0,48437078,False,,Rådvadsvej,tertiary,50,19.291,"LINESTRING (12.5198328 55.7155195, 12.5200027 55.7156642)",,,,,,,,
25506310,2341016535,0,162094359,False,,Utterslev Torv,tertiary,50,53.313,"LINESTRING (12.5167199 55.7105807, 12.5159159 55.7107379)",,,,,,,,
25506310,18178303,0,162094359,False,,Utterslev Torv,tertiary,50,34.534,"LINESTRING (12.5167199 55.7105807, 12.5172371 55.7104732)",,,,,,,,
25506317,2583448542,0,48437078,False,,Rådvadsvej,tertiary,50,56.988,"LINESTRING (12.5175876 55.7133026, 12.5170693 55.7128814)",,,,,,,,
25506317,2583448555,0,48437078,False,,Rådvadsvej,tertiary,50,52.285,"LINESTRING (12.5175876 55.7133026, 12.5180332 55.7137002)",,,,,,,,
25508617,543377690,0,377853140,False,,Selinevej,unclassified,,34.46,"LINESTRING (12.5543678 55.6376236, 12.5540224 55.6373827)",,,,,,,,
25508618,3812565412,0,377853139,False,,Selinevej,unclassified,,19.724,"LINESTRING (12.5534793 55.6370601, 12.5532581 55.6369341)",,,,,,yes,,
25508618,543377690,0,377853140,False,,Selinevej,unclassified,,49.484,"LINESTRING (12.5534793 55.6370601, 12.5540224 55.6373827)",,,,,,,,
25508620,25508623,0,168243290,False,,Selinevej,unclassified,,160.98,"LINESTRING (12.5530113 55.636795, 12.5511619 55.6357919)",,,,,,,,
25508620,3812565412,0,168243290,False,,Selinevej,unclassified,,21.89,"LINESTRING (12.5530113 55.636795, 12.5532581 55.6369341)",,,,,,,,
