u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,bridge,service,tunnel,access
7732632104,1818111109,0,170652797,False,,,,footway,,4,3.813,"LINESTRING (-71.0727907 42.3596637, -71.07276280000001 42.3596363)",,,,
7732632104,1818111092,0,170652797,False,,,,footway,,4,3.586,"LINESTRING (-71.0727907 42.3596637, -71.0728194 42.359688)",,,,
7732632107,1818478025,0,170690237,False,,,,footway,,4,2.743,"LINESTRING (-71.07317140000001 42.3596276, -71.0731432 42.3596408)",,,,
7732632107,1818477992,0,170690237,False,,,,footway,,4,2.433,"LINESTRING (-71.07317140000001 42.3596276, -71.0731913 42.3596114)",,,,
7732632108,7712030824,0,839087078,False,,,,footway,,4,2.118,"LINESTRING (-71.0732448 42.3593779, -71.0732685 42.3593704)",,,,
7732632108,7712030826,0,839087078,False,,,,footway,,4,4.214,"LINESTRING (-71.0732448 42.3593779, -71.0732022 42.359399)",,,,
7732632109,1818477994,0,170690237,False,,,,footway,,4,3.9,"LINESTRING (-71.0731268 42.3592483, -71.0731579 42.3592748)",,,,
7732632109,1818477988,0,170690237,False,,,,footway,,4,2.852,"LINESTRING (-71.0731268 42.3592483, -71.0731083 42.3592266)",,,,
7732632110,1818477988,0,170690237,False,,,,footway,,4,3.507,"LINESTRING (-71.0730879 42.3591989, -71.0731083 42.3592266)",,,,
7732632110,1818477984,0,170690237,False,,,,footway,,4,4.257,"LINESTRING (-71.0730879 42.3591989, -71.073066 42.3591642)",,,,
7732632111,1818477984,0,170690237,False,,,,footway,,4,8.373,"LINESTRING (-71.0730281 42.3590943, -71.073066 42.3591642)",,,,
7732632111,1818477978,0,170690237,False,,,,footway,,4,7.738,"LINESTRING (-71.0730281 42.3590943, -71.0729959 42.3590289)",,,,
7732632112,1629873666,0,828301024,False,,,,footway,,4,44.664,"LINESTRING (-71.0732824 42.3582896, -71.07312880000001 42.3586749)",,,,
