u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,tunnel,bridge,service,access
1818197688,4073403110,0,"[507646761, 43100852, 485286877, 677146071]",False,"['4', '2']",,"['Falmouth Street', 'Massachusetts Avenue']","['service', 'secondary']","['25 mph', '10 mph']","['29.0', '10']",568.4219999999999,"LINESTRING (-71.0877461 42.347299, -71.0876875 42.3471854, -71.0876762 42.3471625, -71.0875556 42.3469108, -71.08744799999999 42.3466983, -71.0874244 42.3466542, -71.0874081 42.3466254, -71.0873641 42.346548, -71.0873357 42.346496, -71.0873017 42.34643, -71.0872742 42.3463743, -71.087062 42.3459422, -71.0868444 42.345461, -71.08657119999999 42.3449039, -71.0861163 42.3439793, -71.0859079 42.3435735, -71.0858952 42.343548, -71.08583969999999 42.3434377, -71.08578850000001 42.3433687, -71.08565280000001 42.3434255, -71.08563650000001 42.3434371, -71.0854975 42.3435444, -71.0853599 42.3436593, -71.0850708 42.3434623, -71.085049 42.3434497, -71.0850161 42.343437, -71.08498160000001 42.3434304, -71.08493850000001 42.3434344, -71.0849036 42.3434492, -71.08487580000001 42.3434677, -71.0848431 42.3434918)",,,driveway,yes
2501119764,61340937,0,242652627,False,4,,Stuart Street,secondary,25 mph,20.7,124.749,"LINESTRING (-71.06642600000001 42.3510261, -71.06624650000001 42.3510679, -71.06616990000001 42.3510837, -71.06608730000001 42.3510957, -71.0659967 42.351103, -71.0659014 42.3511036, -71.0658057 42.3510992, -71.06508100000001 42.3510643, -71.0649238 42.3510563)",,,,
6160016529,61468989,0,"[333071936, 657718433]",True,"['1', '2']",,Washington Street,secondary,25 mph,16.8,391.93499999999995,"LINESTRING (-71.0629599 42.3510118, -71.0629376 42.3510599, -71.06293530000001 42.3510688, -71.06283620000001 42.3514479, -71.0628245 42.3514925, -71.06281199999999 42.3515401, -71.0627969 42.3515974, -71.062713 42.351916, -71.06261739999999 42.3522772, -71.0626101 42.3523049, -71.0625872 42.3523963, -71.0625792 42.3524797, -71.06256740000001 42.3525863, -71.06255299999999 42.352837, -71.062544 42.353039, -71.06253700000001 42.353099, -71.06252979999999 42.3532064, -71.062527 42.3532476, -71.062461 42.35345, -71.062387 42.353586, -71.062288 42.353741, -71.0622796 42.3537533, -71.06223199999999 42.353823, -71.062191 42.353864, -71.0620381 42.3540238, -71.06199239999999 42.3540716, -71.06173200000001 42.354348)",,,,
7087115542,5458349297,0,"[426625721, 426625722, 828022580, 8648903]",False,2,,"['Western Avenue', 'Batten Way']","['service', 'secondary']",25 mph,18.3,252.20000000000005,"LINESTRING (-71.1205487 42.3639658, -71.12127409999999 42.3639072, -71.12207050000001 42.3638429, -71.12218900000001 42.3638333, -71.12289579999999 42.3637762, -71.1230032 42.3637675, -71.1231512 42.3637555, -71.12331 42.3637427, -71.1233206 42.3638125, -71.1233426 42.363957)",,,,
7640821569,61340777,0,485271442,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,7.498,"LINESTRING (-71.089512 42.3509059, -71.08947809999999 42.3508433)",,,,
7640821569,1038844829,0,485271442,False,4,MA 2A,Massachusetts Avenue,primary,25 mph,29.0,58.972,"LINESTRING (-71.089512 42.3509059, -71.08952530000001 42.3509297, -71.0895465 42.3509714, -71.0897398 42.3513602, -71.0897609 42.3514033)",,,,
7640821569,7678943191,0,"[822378770, 818125311, 825290063]",True,,,,cycleway,,1.5,558.544,"LINESTRING (-71.089512 42.3509059, -71.08964210000001 42.3508706, -71.0896728 42.3508623, -71.0915287 42.3503623, -71.0916332 42.3503341, -71.0920572 42.350221, -71.0923233 42.350148, -71.0925929 42.3500753, -71.0927279 42.3500395, -71.09287670000001 42.3499993, -71.0930019 42.3499661, -71.0931135 42.3499352, -71.09319600000001 42.349902, -71.09330610000001 42.3498576, -71.0948976 42.3494296, -71.09501 42.3494004, -71.095117 42.3493726, -71.0951343 42.3493682, -71.09531010000001 42.3493196, -71.0956867 42.3492155, -71.0958851 42.3491655)",,yes,,
61340762,1292110547,0,"[831546284, 831546289, 114011283, 822623319, 68310073]",False,,,,"['path', 'footway']",,"['3', '2']",118.878,"LINESTRING (-71.100273 42.3507698, -71.10036289999999 42.3508048, -71.1003606 42.3508166, -71.1006769 42.3508368, -71.1006491 42.3510726, -71.1004697 42.3510578, -71.10046610000001 42.3510826, -71.10071000000001 42.3511006, -71.10078059999999 42.3511055, -71.1008149 42.3511115, -71.10083280000001 42.3511266, -71.1008448 42.3511472, -71.10087009999999 42.3511939)",,yes,,
61340874,64060344,0,8842467,False,,,Jamaicaway Bikepath,cycleway,,,17.872,"LINESTRING (-71.12117840000001 42.3138148, -71.1211055 42.3138406, -71.12097 42.313853)",,,,
61342331,7658056046,0,806281882,True,2,,Hereford Street,secondary,25 mph,15.9,4.217,"LINESTRING (-71.0860519 42.3495769, -71.0860672 42.3496131)",,,,
