u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,bridge,access,tunnel,service
417241899,61517884,0,35600256,False,,,,cycleway,,,114.48899999999999,"LINESTRING (-71.09187540000001 42.3426711, -71.0919708 42.3427658, -71.0920912 42.3428695, -71.092122 42.3428923, -71.09216480000001 42.3429124, -71.0922643 42.3429509, -71.09237330000001 42.3430027, -71.0928464 42.3431596, -71.0930231 42.3432182)",,,,
417241899,417241900,0,35600257,False,,,,footway,,,52.473,"LINESTRING (-71.09187540000001 42.3426711, -71.0918515 42.3424214, -71.09193999999999 42.3422097)",,,,
417241899,417241904,0,35600257,False,,,,footway,,,67.243,"LINESTRING (-71.09187540000001 42.3426711, -71.0919038 42.3427755, -71.09191800000001 42.3428569, -71.09192299999999 42.3429295, -71.0919191 42.34301, -71.0919092 42.3431482, -71.0919109 42.3432104, -71.0919126 42.3432727)",,,,
417241900,417241909,0,"[33200522, 35600258]",False,,,,footway,,,175.833,"LINESTRING (-71.09193999999999 42.3422097, -71.0921948 42.3419182, -71.0924764 42.3416189, -71.0926347 42.3414623, -71.0928412 42.3413889, -71.0931255 42.3412898, -71.0933799 42.3411608, -71.0934293 42.3411354)",,,,
417241900,417241909,1,35600259,False,,,,footway,,,187.56,"LINESTRING (-71.09193999999999 42.3422097, -71.0921251 42.3418171, -71.0922082 42.3416625, -71.092309 42.3415313, -71.09233159999999 42.3415019, -71.0924818 42.3413699, -71.0926937 42.3412739, -71.09285730000001 42.3412263, -71.093155 42.3411966, -71.0934293 42.3411354)",,,,
417241900,417241899,0,35600257,False,,,,footway,,,52.473,"LINESTRING (-71.09193999999999 42.3422097, -71.0918515 42.3424214, -71.09187540000001 42.3426711)",,,,
417241904,417241899,0,35600257,False,,,,footway,,,67.243,"LINESTRING (-71.0919126 42.3432727, -71.0919109 42.3432104, -71.0919092 42.3431482, -71.0919191 42.34301, -71.09192299999999 42.3429295, -71.09191800000001 42.3428569, -71.0919038 42.3427755, -71.09187540000001 42.3426711)",,,,
417241909,64066398,0,35600258,False,,,,footway,,,448.14599999999996,"LINESTRING (-71.0934293 42.3411354, -71.09387 42.3410054, -71.09413480000001 42.3408904, -71.0945036 42.3407699, -71.0950799 42.3405923, -71.0953859 42.3405082, -71.0957793 42.3403125, -71.0960609 42.3401977, -71.0961901 42.3401412, -71.09646429999999 42.3399291, -71.0966056 42.3397885, -71.0969317 42.3393789, -71.09715749999999 42.3391919, -71.0972675 42.3390925, -71.09738609999999 42.3390045, -71.0974291 42.338978, -71.0974755 42.3389543, -71.09751850000001 42.3389334, -71.0975665 42.3389154, -71.09765899999999 42.3388931, -71.09770810000001 42.3388855, -71.0977561 42.338884)",,,,
417241909,417241900,0,"[35600258, 33200522]",False,,,,footway,,,175.833,"LINESTRING (-71.0934293 42.3411354, -71.0933799 42.3411608, -71.0931255 42.3412898, -71.0928412 42.3413889, -71.0926347 42.3414623, -71.0924764 42.3416189, -71.0921948 42.3419182, -71.09193999999999 42.3422097)",,,,
417241909,417241900,1,35600259,False,,,,footway,,,187.56,"LINESTRING (-71.0934293 42.3411354, -71.093155 42.3411966, -71.09285730000001 42.3412263, -71.0926937 42.3412739, -71.0924818 42.3413699, -71.09233159999999 42.3415019, -71.092309 42.3415313, -71.0922082 42.3416625, -71.0921251 42.3418171, -71.09193999999999 42.3422097)",,,,
417241935,61343548,0,49666934,False,,,,cycleway,,,13.503,"LINESTRING (-71.0977879 42.3388225, -71.0978365 42.3387065)",,,,
417241935,64066398,0,49666934,False,,,,cycleway,,,7.321,"LINESTRING (-71.0977879 42.3388225, -71.0977561 42.338884)",,,,
417241935,64066371,0,87487516,False,,,Lost Emerald Necklace,cycleway,,,265.298,"LINESTRING (-71.0977879 42.3388225, -71.0978928 42.3388231, -71.09796900000001 42.3388289, -71.09804939999999 42.3388409, -71.0981276 42.338857, -71.0982145 42.3388828, -71.0986559 42.3390615, -71.0990937 42.3392825, -71.0996049 42.3395984, -71.09978599999999 42.3397254, -71.0998372 42.3397615, -71.0998736 42.3398023, -71.0999003 42.3398531, -71.0999082 42.3399038, -71.099924 42.339984, -71.0999271 42.3400511, -71.0999314 42.3401589, -71.0999485 42.3403166)",,,,
417241935,631345489,0,87487516,False,,,Lost Emerald Necklace,cycleway,,,685.8309999999999,"LINESTRING (-71.0977879 42.3388225, -71.0976929 42.3388143, -71.09758429999999 42.3388146, -71.0974258 42.3388458, -71.0973317 42.3388781, -71.0972441 42.3389151, -71.09711780000001 42.3389906, -71.0970628 42.33903, -71.0970161 42.3390723, -71.0968713 42.3392229, -71.0966138 42.339554, -71.096469 42.3397225, -71.09621629999999 42.3399449, -71.0960619 42.3400203, -71.0959691 42.3400657, -71.0958547 42.3401389, -71.0955731 42.340244, -71.0949964 42.3404779, -71.09455389999999 42.3406365, -71.0941164 42.3408124, -71.09392459999999 42.3408728, -71.0938021 42.3409047, -71.09365889999999 42.3409334, -71.0934159 42.3409937, -71.09301429999999 42.3410647, -71.0925865 42.3412236, -71.0923181 42.3414272, -71.0922573 42.3415091, -71.0921433 42.3416628, -71.0917054 42.3421651, -71.09164079999999 42.342477)",,,,
597022396,597022404,0,833402109,False,,,,cycleway,,,7.396,"LINESTRING (-71.06610240000001 42.3680447, -71.06601259999999 42.3680494)",,,,
597022396,1102757230,0,132174583,False,,,,cycleway,,,170.10700000000003,"LINESTRING (-71.06610240000001 42.3680447, -71.0661277 42.3679852, -71.0661594 42.367933, -71.06620030000001 42.3678968, -71.06626900000001 42.3678352, -71.06634889999999 42.3677792, -71.06642410000001 42.3677471, -71.0664792 42.3677252, -71.0665954 42.36769, -71.0667402 42.367652, -71.0668294 42.367623, -71.0669791 42.3675607, -71.06713619999999 42.367496, -71.06727050000001 42.3674396, -71.0673358 42.3674108, -71.0674047 42.3673685, -71.0675983 42.3672629, -71.0676653 42.3672332, -71.0677654 42.3671994)",,,,
597022396,1102757231,0,833402109,False,,,,cycleway,,,189.416,"LINESTRING (-71.06610240000001 42.3680447, -71.0662069 42.3680415, -71.06629580000001 42.3680318, -71.0663651 42.3680189, -71.0664328 42.3680008, -71.066519 42.3679716, -71.0665791 42.3679472, -71.0666298 42.3679224, -71.0666911 42.3678861, -71.06675730000001 42.3678472, -71.0668234 42.3678106, -71.0669084 42.3677701, -71.0670789 42.3676954, -71.06723839999999 42.3676288, -71.06741270000001 42.3675576, -71.06743539999999 42.3675497, -71.067548 42.3675022, -71.0676416 42.3674663, -71.06775020000001 42.3674407, -71.06785979999999 42.367409, -71.0679612 42.3673571, -71.06804510000001 42.3672957, -71.0680923 42.3672456)",,,,
621528973,61349979,0,"[8649116, 48983694, 48983695]",False,4,,Summer Street,secondary,,27.7,280.03900000000004,"LINESTRING (-71.04806600000001 42.3492273, -71.0489122 42.3496071, -71.048929 42.3496148, -71.049043 42.3496671, -71.0491071 42.3496966, -71.0494072 42.3498345, -71.0507855 42.3504678, -71.050817 42.3504828, -71.0509637 42.3505525)",yes,,,
621528973,621528974,0,8647218,True,2,,Summer Street,secondary,,30.5,31.735,"LINESTRING (-71.04806600000001 42.3492273, -71.04796159999999 42.349145, -71.04787570000001 42.3490886, -71.04778 42.3490368)",,,,
631345483,64066371,0,35600258,False,,,,footway,,,5.339,"LINESTRING (-71.1000032 42.3403425, -71.0999485 42.3403166)",,,,
631345483,4865683886,0,35600258,False,,,,footway,,,385.329,"LINESTRING (-71.1000032 42.3403425, -71.1000706 42.3403762, -71.10014889999999 42.3404392, -71.10017569999999 42.3404754, -71.1001931 42.3404988, -71.1005636 42.3405581, -71.1008107 42.3406336, -71.101022 42.3407228, -71.1014002 42.3410499, -71.10204659999999 42.3416823, -71.1023818 42.3420154, -71.1027234 42.3423763, -71.1031083 42.3428062)",,,,
631345483,417241996,0,42004167,False,,,,footway,,,85.99499999999999,"LINESTRING (-71.1000032 42.3403425, -71.0999599 42.3403832, -71.0999058 42.3404161, -71.09985229999999 42.3404436, -71.0997948 42.3404666, -71.0997284 42.3404813, -71.09966319999999 42.340495, -71.09958570000001 42.3405027, -71.099502 42.3405097, -71.099273 42.340523, -71.0991411 42.3405216, -71.0990286 42.3405373)",,,,
631345489,631345498,0,35600256,False,,,,cycleway,,,14.713,"LINESTRING (-71.09164079999999 42.342477, -71.0915258 42.3423756)",,,,
631345489,417241899,0,35600256,False,,,,cycleway,,,28.941,"LINESTRING (-71.09164079999999 42.342477, -71.09187540000001 42.3426711)",,,,
631345489,417241935,0,87487516,False,,,Lost Emerald Necklace,cycleway,,,685.8309999999999,"LINESTRING (-71.09164079999999 42.342477, -71.0917054 42.3421651, -71.0921433 42.3416628, -71.0922573 42.3415091, -71.0923181 42.3414272, -71.0925865 42.3412236, -71.09301429999999 42.3410647, -71.0934159 42.3409937, -71.09365889999999 42.3409334, -71.0938021 42.3409047, -71.09392459999999 42.3408728, -71.0941164 42.3408124, -71.09455389999999 42.3406365, -71.0949964 42.3404779, -71.0955731 42.340244, -71.0958547 42.3401389, -71.0959691 42.3400657, -71.0960619 42.3400203, -71.09621629999999 42.3399449, -71.096469 42.3397225, -71.0966138 42.339554, -71.0968713 42.3392229, -71.0970161 42.3390723, -71.0970628 42.33903, -71.09711780000001 42.3389906, -71.0972441 42.3389151, -71.0973317 42.3388781, -71.0974258 42.3388458, -71.09758429999999 42.3388146, -71.0976929 42.3388143, -71.0977879 42.3388225)",,,,
631345489,417241896,0,87487516,False,,,Lost Emerald Necklace,cycleway,,,91.70899999999999,"LINESTRING (-71.09164079999999 42.342477, -71.0916276 42.3426528, -71.0916519 42.3431834, -71.09164490000001 42.3432402, -71.0916375 42.3433007)",,,,
631345498,631345489,0,35600256,False,,,,cycleway,,,14.713,"LINESTRING (-71.0915258 42.3423756, -71.09164079999999 42.342477)",,,,
631511737,64064710,0,"[844952133, 844952134, 261314311, 844952136, 486693878]",False,2,,Dr. Paul Dudley White Path,cycleway,,4,1492.3410000000001,"LINESTRING (-71.1278788 42.372867, -71.1277647 42.3728107, -71.1276586 42.3727479, -71.12755060000001 42.3726745, -71.12743469999999 42.3725888, -71.1273345 42.3725102, -71.1272249 42.372398, -71.1271244 42.3722942, -71.12704189999999 42.3721842, -71.1269774 42.3720811, -71.1269101 42.3719899, -71.12683850000001 42.3718766, -71.1267648 42.3717391, -71.1267239 42.3716227, -71.1266912 42.3714927, -71.126638 42.3712494, -71.12657249999999 42.3707733, -71.1265379 42.3704247, -71.12653280000001 42.3703465, -71.126531 42.3702898, -71.1265298 42.3702023, -71.1265294 42.3701418, -71.12652679999999 42.3701161, -71.12652009999999 42.3700866, -71.12650859999999 42.3700578, -71.1264863 42.3700098, -71.1264609 42.3699591, -71.12641979999999 42.3698871, -71.1264049 42.3698611, -71.126389 42.3698398, -71.1263723 42.3698209, -71.1263529 42.3698031, -71.12633030000001 42.3697849, -71.1263088 42.3697719, -71.1262838 42.369759, -71.12626710000001 42.36975, -71.1262536 42.3697421, -71.1262402 42.3697306, -71.1262297 42.3697169, -71.1261616 42.3696105, -71.1261382 42.3695775, -71.12611560000001 42.3695492, -71.1260947 42.369525, -71.1260757 42.3695034, -71.1260539 42.3694828, -71.1260267 42.3694605, -71.1259554 42.3694025, -71.1258751 42.3693449, -71.1257739 42.3692871, -71.1256681 42.3692329, -71.12554179999999 42.3691781, -71.1254167 42.3691335, -71.1241479 42.3686836, -71.1239231 42.3686073, -71.1238535 42.3685927, -71.12378440000001 42.3685891, -71.1237115 42.3686005, -71.12365509999999 42.3686147, -71.12363190000001 42.3686252, -71.123606 42.3686358, -71.1235729 42.368657, -71.1235602 42.3686503, -71.1234973 42.3686171, -71.12347339999999 42.3686042, -71.1234323 42.3685827, -71.12340589999999 42.3685687, -71.12339919999999 42.3685652, -71.1233617 42.3685454, -71.1233524 42.3685083, -71.12334130000001 42.3684774, -71.12331949999999 42.3684439, -71.12328340000001 42.368405, -71.12323739999999 42.3683749, -71.1231745 42.3683458, -71.12275649999999 42.3682027, -71.12257030000001 42.3681489, -71.1223766 42.3681099, -71.12219159999999 42.3680708, -71.121999 42.3680528, -71.1218272 42.3680353, -71.12165090000001 42.3680306, -71.1212898 42.3680156, -71.1203172 42.368007, -71.1197896 42.3679809, -71.1192575 42.3679467, -71.1191034 42.3679241, -71.1189566 42.3678934, -71.1188224 42.3678378, -71.11846420000001 42.36761, -71.1182902 42.3674232, -71.1180805 42.3671928, -71.1179544 42.3670044, -71.117845 42.3667712, -71.1177903 42.3664437, -71.1177275 42.3660337, -71.1177369 42.3643474, -71.1177062 42.3642964)",,,,
631511737,1330532449,0,118278981,False,,,Dr. Paul Dudley White Path,cycleway,,,459.2970000000001,"LINESTRING (-71.1278788 42.372867, -71.1281295 42.3730095, -71.12840319999999 42.3731451, -71.1287387 42.3732753, -71.1289033 42.3733267, -71.12908059999999 42.3733775, -71.1292421 42.3734039, -71.12937599999999 42.3734197, -71.1295148 42.373424, -71.12992269999999 42.3734604, -71.13021000000001 42.3734651, -71.1305498 42.3734488, -71.13090630000001 42.3734047, -71.1311706 42.3733527, -71.1314045 42.3733001, -71.13160999999999 42.3732389, -71.1318114 42.3731707, -71.1320326 42.3730878, -71.132132 42.3730415, -71.1322361 42.3729848, -71.1322936 42.3729464, -71.1323514 42.3729019, -71.132428 42.3728392, -71.132493 42.3727671, -71.1325367 42.3726997, -71.13257160000001 42.3726199, -71.1325832 42.3725334, -71.1325768 42.3724032)",,,,
631511737,64064400,0,486693401,False,,,Dr. Paul Dudley White Path,cycleway,,,369.7339999999999,"LINESTRING (-71.1278788 42.372867, -71.1280318 42.3729384, -71.1281516 42.3729855, -71.1282655 42.3730288, -71.1283755 42.37307, -71.12850709999999 42.3731132, -71.12863280000001 42.3731427, -71.1287823 42.3731711, -71.128896 42.3731898, -71.1290158 42.3732114, -71.1291925 42.3732313, -71.1293615 42.3732448, -71.1294931 42.3732507, -71.12963449999999 42.3732445, -71.12976020000001 42.373235, -71.1299016 42.3732153, -71.1300705 42.3731918, -71.1302357 42.3731559, -71.13043 42.3730995, -71.1305969 42.3730405, -71.13077800000001 42.3729621, -71.13191689999999 42.3723325)",,,,
699590296,369610260,0,822392247,False,,,,footway,,4,54.11400000000001,"LINESTRING (-71.0734545 42.35663, -71.07344999999999 42.3566621, -71.0734454 42.356733, -71.0734535 42.3568232, -71.0734647 42.356885, -71.0734779 42.3569547, -71.0734937 42.3570095, -71.0735047 42.3570512, -71.0735251 42.3571111)",,,,
699590296,369610252,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,51.397999999999996,"LINESTRING (-71.0734545 42.35663, -71.07347590000001 42.3565729, -71.073493 42.356537, -71.07351250000001 42.3565029, -71.07353790000001 42.3564697, -71.0735597 42.3564447, -71.0735873 42.3564196, -71.0736203 42.356393, -71.07365489999999 42.3563716, -71.0737049 42.3563457, -71.073751 42.3563287, -71.0737938 42.3563168, -71.0738484 42.3563081)",,,,
699590296,699590316,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,52.508,"LINESTRING (-71.0734545 42.35663, -71.07339 42.3566815, -71.073339 42.3567236, -71.07330589999999 42.3567767, -71.07328440000001 42.3568159, -71.0732198 42.3569713, -71.07318549999999 42.3570495)",,,,
699590311,1818111078,0,55677196,False,,,,footway,,4,12.991,"LINESTRING (-71.072675 42.3599128, -71.07268550000001 42.3599303, -71.0726923 42.3599387, -71.0727007 42.3599459, -71.07271419999999 42.3599539, -71.07272810000001 42.3599602, -71.0727557 42.3599685, -71.072796 42.3599789)",,,,
699590311,1629873672,0,828301024,False,,,,footway,,4,11.463000000000001,"LINESTRING (-71.072675 42.3599128, -71.0726602 42.3599747, -71.0726544 42.3600147)",,,,
699590311,1818111109,0,828301024,False,,,,footway,,4,31.679000000000002,"LINESTRING (-71.072675 42.3599128, -71.0726841 42.359862, -71.07269770000001 42.3597936, -71.07270990000001 42.3597597, -71.07276280000001 42.3596363)",,,,
699590316,1769091021,0,55677203,False,,,,footway,,4,12.851,"LINESTRING (-71.07318549999999 42.3570495, -71.0732368 42.3570492, -71.0732979 42.3570571, -71.07333869999999 42.3570673)",,,,
699590316,1769091054,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,39.219,"LINESTRING (-71.07318549999999 42.3570495, -71.07311369999999 42.3572157, -71.07308399999999 42.35729, -71.0730461 42.3573868)",,,,
699590316,699590296,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,52.508,"LINESTRING (-71.07318549999999 42.3570495, -71.0732198 42.3569713, -71.07328440000001 42.3568159, -71.07330589999999 42.3567767, -71.073339 42.3567236, -71.07339 42.3566815, -71.0734545 42.35663)",,,,
699590321,1818161294,0,760884285,False,,,,footway,,4,16.727,"LINESTRING (-71.0724235 42.3594853, -71.0724999 42.3595582, -71.0725364 42.3596098)",,,,
699590321,7722784244,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,104.04100000000003,"LINESTRING (-71.0724235 42.3594853, -71.0724034 42.3595567, -71.07238049999999 42.3596235, -71.0723685 42.3596621, -71.07236229999999 42.3597007, -71.0723548 42.3597486, -71.0723425 42.3598241, -71.072339 42.3598629, -71.0723356 42.3599108, -71.0723373 42.3599542, -71.0723411 42.3600077, -71.0723577 42.3600795, -71.0723821 42.3601381, -71.0724147 42.3601991, -71.0724424 42.3602418, -71.0724747 42.3602835, -71.0724987 42.3603134, -71.07253009999999 42.3603496, -71.0725539 42.3603791)",,,,
699590321,1769091084,0,150052469,False,2,,Dr. Paul Dudley White Path,cycleway,,4,189.141,"LINESTRING (-71.0724235 42.3594853, -71.0724527 42.3593593, -71.0724901 42.3592221, -71.0725533 42.3589995, -71.072577 42.3589103, -71.07260890000001 42.3587918, -71.0726434 42.3586618, -71.07271059999999 42.3584292, -71.0727553 42.3582878, -71.0728206 42.3580522, -71.07288819999999 42.3578195)",,,,
1017577660,64066461,0,485282202,False,,,Lost Emerald Necklace,cycleway,,,218.27100000000002,"LINESTRING (-71.0918633 42.343278, -71.091866 42.3433453, -71.0918672 42.3433756, -71.0918508 42.3434595, -71.0918174 42.3435713, -71.0918073 42.3436397, -71.0918118 42.3436955, -71.0918198 42.3437459, -71.09180379999999 42.3437992, -71.0917693 42.3438586, -71.0917188 42.3439232, -71.0916807 42.3439667, -71.091634 42.3440068, -71.091605 42.3440358, -71.0915851 42.3440783, -71.0915794 42.3441379, -71.0915617 42.3442371, -71.0915418 42.344301, -71.09151079999999 42.3443772, -71.091478 42.3444432, -71.0913158 42.344639, -71.0912349 42.3447297, -71.0911569 42.3448083, -71.0911296 42.3448595, -71.0910755 42.3451012)",,,,
1029146124,7212591214,0,"[186640200, 301737839]",False,,,Pierre Lallement Bike Path,cycleway,,,293.90299999999996,"LINESTRING (-71.0833367 42.3409963, -71.0832978 42.3409924, -71.0832468 42.3409815, -71.0832147 42.3409711, -71.08317510000001 42.3409547, -71.0831469 42.3409354, -71.0831201 42.340915, -71.0830993 42.3408898, -71.0830886 42.340865, -71.08308460000001 42.3408466, -71.0830812 42.3408253, -71.0830826 42.3408035, -71.08308460000001 42.3407812, -71.0830886 42.3407569, -71.083096 42.3407292, -71.0831441 42.3405721, -71.0832059 42.3403312, -71.0832187 42.3403069, -71.0832395 42.3402752, -71.0832636 42.3402479, -71.0832991 42.3402152, -71.0834306 42.340123, -71.0834648 42.3401062, -71.08350230000001 42.3400903, -71.08353649999999 42.3400739, -71.083566 42.3400556, -71.0836063 42.3400288, -71.08370619999999 42.3399525, -71.0839043 42.3397927, -71.0839572 42.33975, -71.0840173 42.3397002, -71.08357030000001 42.33939, -71.0835517 42.339368, -71.0835498 42.339345, -71.0835546 42.3393254, -71.0835661 42.3393067, -71.0839658 42.3389823)",,,,
1029146124,7212591214,1,"[383939209, 88626733, 383939218, 383938873, 383938874]",False,,,,footway,,,315.74700000000007,"LINESTRING (-71.0833367 42.3409963, -71.0831979 42.3408808, -71.0831694 42.3408497, -71.08314729999999 42.3408066, -71.08314470000001 42.3407595, -71.0831525 42.3407141, -71.0831721 42.340638, -71.0831852 42.3405873, -71.0831977 42.3405445, -71.0832341 42.3404198, -71.0832623 42.3403693, -71.0832958 42.3403257, -71.0833535 42.340284, -71.0834313 42.3402464, -71.0835359 42.3402028, -71.0836271 42.3401542, -71.08371959999999 42.3400967, -71.0838779 42.3399659, -71.084067 42.3399223, -71.0840841 42.3399148, -71.0841559 42.3398833, -71.08420580000001 42.3398378, -71.08421610000001 42.3398286, -71.08458640000001 42.3395103, -71.08465579999999 42.3394193, -71.0844276 42.3392735, -71.0843059 42.3392123, -71.0842028 42.339145, -71.0841684 42.3391723, -71.0840022 42.3390644, -71.0839658 42.3389823)",,,,
1029146124,1173896955,0,186640200,False,,,Pierre Lallement Bike Path,cycleway,,,64.879,"LINESTRING (-71.0833367 42.3409963, -71.0833823 42.3410008, -71.0834172 42.3410048, -71.0834413 42.3410127, -71.0834608 42.3410241, -71.0834735 42.341039, -71.0834785 42.3410666, -71.0834763 42.3410946, -71.0834646 42.3411258, -71.08344339999999 42.3411536, -71.0833927 42.3411951, -71.0833667 42.3412248, -71.0833531 42.3412543, -71.08332179999999 42.3412921, -71.08315140000001 42.341422)",,,,
1040473771,322650446,0,29327930,False,,,,footway,,4,8.897,"LINESTRING (-71.07572039999999 42.3567373, -71.0756348 42.3566883)",,,,
1047240142,1047240149,0,833402109,False,,,,cycleway,,,3.735,"LINESTRING (-71.0682192 42.3669601, -71.06824659999999 42.3669333)",,,,
1047240142,1102757230,0,132174583,False,,,,cycleway,,,46.177,"LINESTRING (-71.0682192 42.3669601, -71.06817820000001 42.3669682, -71.068112 42.3670091, -71.0679609 42.3671068, -71.0679231 42.367128, -71.0678722 42.3671538, -71.0678171 42.3671776, -71.0677654 42.3671994)",,,,
1047240142,1102757231,0,833402109,False,,,,cycleway,,,33.774,"LINESTRING (-71.0682192 42.3669601, -71.0681829 42.367096, -71.0681672 42.3671385, -71.0681469 42.3671783, -71.0681203 42.367216, -71.0680923 42.3672456)",,,,
1102757230,597022396,0,132174583,False,,,,cycleway,,,170.10699999999997,"LINESTRING (-71.0677654 42.3671994, -71.0676653 42.3672332, -71.0675983 42.3672629, -71.0674047 42.3673685, -71.0673358 42.3674108, -71.06727050000001 42.3674396, -71.06713619999999 42.367496, -71.0669791 42.3675607, -71.0668294 42.367623, -71.0667402 42.367652, -71.0665954 42.36769, -71.0664792 42.3677252, -71.06642410000001 42.3677471, -71.06634889999999 42.3677792, -71.06626900000001 42.3678352, -71.06620030000001 42.3678968, -71.0661594 42.367933, -71.0661277 42.3679852, -71.06610240000001 42.3680447)",,,,
1102757230,1047240142,0,132174583,False,,,,cycleway,,,46.177,"LINESTRING (-71.0677654 42.3671994, -71.0678171 42.3671776, -71.0678722 42.3671538, -71.0679231 42.367128, -71.0679609 42.3671068, -71.068112 42.3670091, -71.06817820000001 42.3669682, -71.0682192 42.3669601)",,,,
1102757230,1102757231,0,95035766,False,,,,cycleway,,,27.883,"LINESTRING (-71.0677654 42.3671994, -71.0678723 42.3671945, -71.0679477 42.3672024, -71.068018 42.3672206, -71.0680923 42.3672456)",,,,
1173896955,1029146124,0,186640200,False,,,Pierre Lallement Bike Path,cycleway,,,64.879,"LINESTRING (-71.08315140000001 42.341422, -71.08332179999999 42.3412921, -71.0833531 42.3412543, -71.0833667 42.3412248, -71.0833927 42.3411951, -71.08344339999999 42.3411536, -71.0834646 42.3411258, -71.0834763 42.3410946, -71.0834785 42.3410666, -71.0834735 42.341039, -71.0834608 42.3410241, -71.0834413 42.3410127, -71.0834172 42.3410048, -71.0833823 42.3410008, -71.0833367 42.3409963)",,,,
1185557876,1185559025,0,8842560,False,,,,cycleway,,,758.2170000000001,"LINESTRING (-71.0381915 42.3179309, -71.0381646 42.3179422, -71.0380864 42.317975, -71.0380024 42.3180054, -71.03796079999999 42.3180197, -71.037869 42.3180485, -71.0378185 42.3180655, -71.03777909999999 42.3180795, -71.03775280000001 42.3180909, -71.0377343 42.3181003, -71.0377087 42.3181153, -71.0376874 42.3181333, -71.0376677 42.3181498, -71.0376057 42.3181993, -71.037594 42.3182091, -71.0375094 42.3182787, -71.0374894 42.3182962, -71.0374813 42.3183048, -71.0374709 42.3183181, -71.03746270000001 42.3183291, -71.03745859999999 42.3183401, -71.0374556 42.318359, -71.0374533 42.3183787, -71.0374556 42.3183987, -71.0374597 42.31842, -71.0374699 42.3184418, -71.0376316 42.3187708, -71.03765970000001 42.3188284, -71.0376756 42.3188588, -71.0376842 42.3188769, -71.0376917 42.318885, -71.0377005 42.318893, -71.03771690000001 42.3189048, -71.03774799999999 42.3189209, -71.0377933 42.3189411, -71.0395767 42.3196896, -71.0396798 42.3197265, -71.0398191 42.3197511, -71.03989129999999 42.3197688, -71.0399359 42.3197891, -71.03995879999999 42.3198101, -71.0399694 42.3198198, -71.03999659999999 42.3198594, -71.0400106 42.3199087, -71.04001390000001 42.319928, -71.0400174 42.3199485, -71.04000069999999 42.3199746, -71.03999039999999 42.3200213, -71.0399839 42.3200562, -71.03999330000001 42.3200916, -71.0400075 42.3201263, -71.04003400000001 42.320161, -71.0400813 42.3201971, -71.0413662 42.3207021, -71.0414768 42.3207457, -71.0427984 42.3212689, -71.0428187 42.321279, -71.0428531 42.3212912, -71.0428809 42.3213002, -71.0429197 42.321308, -71.0429472 42.3213109, -71.0430004 42.3213137, -71.0430346 42.3213123, -71.04306750000001 42.3213082, -71.043099 42.321301, -71.0431365 42.3213407, -71.0431908 42.321385, -71.0432376 42.3214188, -71.0432881 42.3214403, -71.0433421 42.321458, -71.04343609999999 42.3214728, -71.04352919999999 42.321478, -71.0435748 42.3214833, -71.0436143 42.32149, -71.0436459 42.3215012, -71.0436686 42.3215169, -71.0436886 42.3215328, -71.0437015 42.3215555, -71.0437142 42.3215857, -71.04371740000001 42.3216235, -71.0437191 42.3217038)",,,,
1185557876,7671135319,0,8842560,False,,,,cycleway,,,152.409,"LINESTRING (-71.0381915 42.3179309, -71.0382147 42.3179216, -71.03826119999999 42.3179084, -71.0382962 42.3179002, -71.03833330000001 42.3178933, -71.03837559999999 42.3178872, -71.038479 42.3178745, -71.0385544 42.3178599, -71.0386068 42.3178426, -71.0386596 42.3178128, -71.0386951 42.3177822, -71.03873539999999 42.31773, -71.0392234 42.3169851, -71.0392633 42.3169192)",,,,
