u,v,key,osmid,lanes,name,highway,maxspeed,width,oneway,length,geometry,service,access,ref,tunnel,bridge
61339260,61508661,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,18.427,"LINESTRING (-71.10036100000001 42.319446, -71.100222 42.319576)",,,,,
61339260,61466944,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,24.78,"LINESTRING (-71.10036100000001 42.319446, -71.100533 42.319263)",,,,,
61339396,61339426,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,25.899,"LINESTRING (-71.10177 42.317751, -71.101545 42.317914)",,,,,
61339396,2296986603,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,35.283,"LINESTRING (-71.10177 42.317751, -71.10206100000001 42.3175178)",,,,,
61339426,4006745838,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,18.669,"LINESTRING (-71.101545 42.317914, -71.101389 42.318036)",,,,,
61339426,61339396,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,25.899,"LINESTRING (-71.101545 42.317914, -71.10177 42.317751)",,,,,
61339428,61465487,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,20.628,"LINESTRING (-71.10124999999999 42.31825, -71.101195 42.318431)",,,,,
61339428,61339430,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.654,"LINESTRING (-71.10124999999999 42.31825, -71.101314 42.318127)",,,,,
61339430,61339428,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.654,"LINESTRING (-71.101314 42.318127, -71.10124999999999 42.31825)",,,,,
61339430,4006745838,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,11.85,"LINESTRING (-71.101314 42.318127, -71.101389 42.318036)",,,,,
61339500,61466932,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,21.294,"LINESTRING (-71.10094100000001 42.318872, -71.10078 42.319022)",,,,,
61339500,61465612,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.789,"LINESTRING (-71.10094100000001 42.318872, -71.101038 42.31876)",,,,,
61339706,2947295768,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,15.365,"LINESTRING (-71.03473889999999 42.3724678, -71.034617 42.3725726)",,,,,
61339706,7003018973,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,6.794,"LINESTRING (-71.03473889999999 42.3724678, -71.0347919 42.3724209)",,,,,
61339711,2947259879,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,4.968,"LINESTRING (-71.0365487 42.3709128, -71.03650930000001 42.3709467)",,,,,
61339711,6895984745,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,5.502,"LINESTRING (-71.0365487 42.3709128, -71.0365924 42.3708753)",,,,,
61340072,61340074,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,15.392,"LINESTRING (-71.10360900000001 42.31609, -71.103499 42.316202)",,,,,
61340072,61347649,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,61.491,"LINESTRING (-71.10360900000001 42.31609, -71.10403599999999 42.315636)",,,,,
61340074,6150368046,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,35.224,"LINESTRING (-71.103499 42.316202, -71.10326019999999 42.316465)",,,,,
61340074,61340072,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,15.392,"LINESTRING (-71.103499 42.316202, -71.10360900000001 42.31609)",,,,,
61340187,6150368045,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,7.81,"LINESTRING (-71.10312500000001 42.316614, -71.1030619 42.3166665)",,,,,
61340187,5270268804,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,4.477,"LINESTRING (-71.10312500000001 42.316614, -71.10315540000001 42.3165806)",,,,,
61340504,7629652940,0,742685025,,Devonshire Place,service,10 mph,,False,2.309,"LINESTRING (-71.0578422 42.3582966, -71.0578141 42.3582963)",driveway,,,,
61340637,7630710997,0,814395974,1,Mount Vernon Street,service,10 mph,8.8,False,7.627,"LINESTRING (-71.06286299999999 42.3586253, -71.0629539 42.3586114)",driveway,no,,,
61340907,7637468438,0,56208206,,Dorchester Avenue,service,10 mph,,False,9.449,"LINESTRING (-71.0528831 42.3513762, -71.0529191 42.3512955)",driveway,,,,
61341133,61500076,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,14.684,"LINESTRING (-71.10562400000001 42.312624, -71.105559 42.312747)",,,,,
61341133,1922934693,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,6.103,"LINESTRING (-71.10562400000001 42.312624, -71.1056521 42.3125732)",,,,,
61341939,61470822,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,26.534,"LINESTRING (-71.106998 42.310463, -71.106858 42.310678)",,,,,
61341939,61341942,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,58.785,"LINESTRING (-71.106998 42.310463, -71.10732 42.309991)",,,,,
61341942,61341939,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,58.785,"LINESTRING (-71.10732 42.309991, -71.106998 42.310463)",,,,,
61342112,5599241946,0,492483292,2,Trinity Place,residential,10 mph,6,False,10.758,"LINESTRING (-71.0753866 42.3486057, -71.0753562 42.3485116)",,yes,,,
61342122,7725858384,0,827546726,,,service,10 mph,,False,5.093,"LINESTRING (-71.0866711 42.3464009, -71.0866705 42.3463551)",alley,,,,
61342394,7011973226,0,203024474,,,service,10 mph,,False,8.684,"LINESTRING (-71.05705810000001 42.3495392, -71.0569572 42.349516)",,,,,
61342554,7686391041,0,8649917,2,Traveler Street,residential,20 mph,15.2,True,8.584,"LINESTRING (-71.0640193 42.3444913, -71.0641126 42.344526)",,,,,
61342892,7597407178,0,813340306,1,Dalton Street,residential,10 mph,6.7,True,7.905,"LINESTRING (-71.08420510000001 42.3455347, -71.0841741 42.3454674)",,,,,
61343022,2457607690,0,8640287,,,service,5 mph,,True,10.05,"LINESTRING (-71.1068028 42.3366458, -71.10673989999999 42.3367233)",,,,,
61344058,7617093534,0,677146071,2,Falmouth Street,service,10 mph,10,False,12.817,"LINESTRING (-71.08578850000001 42.3433687, -71.08565280000001 42.3434255)",driveway,yes,,,
61344227,2065472232,0,236586107,2,Blackfan Street,service,5 mph,,False,27.185,"LINESTRING (-71.1051413 42.337783, -71.1053529 42.3375951)",,,,,
61344384,7838327163,0,839987355,2,,service,10 mph,7,False,6.104,"LINESTRING (-71.05040889999999 42.3664923, -71.0503712 42.3665396)",driveway,residents,,,
61345671,6249505391,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,9.779,"LINESTRING (-71.0285749 42.377764, -71.0284973 42.3778307)",,,,,
61345671,2068028151,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,2.637,"LINESTRING (-71.0285749 42.377764, -71.02859580000001 42.377746)",,,,,
61345673,6249505393,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,158.159,"LINESTRING (-71.0299043 42.3766218, -71.028649 42.3777003)",,,,,
61345673,61346693,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,183.059,"LINESTRING (-71.0299043 42.3766218, -71.0313572 42.3753735)",,,,,
61346693,61345673,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,183.059,"LINESTRING (-71.0313572 42.3753735, -71.0299043 42.3766218)",,,,,
61346693,61346715,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,182.615,"LINESTRING (-71.0313572 42.3753735, -71.03280650000001 42.3741282)",,,,,
61346715,61346693,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,182.615,"LINESTRING (-71.03280650000001 42.3741282, -71.0313572 42.3753735)",,,,,
61346715,2992369409,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,101.108,"LINESTRING (-71.03280650000001 42.3741282, -71.0336089 42.3734387)",,,,,
61346818,2063699188,0,195998859,3,Bennington Street,secondary,20 mph,15.5,False,27.917,"LINESTRING (-71.0272653 42.3792678, -71.0269697 42.3793917)",,,,,
61347646,61347651,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,21.12,"LINESTRING (-71.10451500000001 42.315014, -71.104412 42.315188)",,,,,
61347646,6755515905,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,17.021,"LINESTRING (-71.10451500000001 42.315014, -71.1045913 42.3148717)",,,,,
61347647,1914824263,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,26.574,"LINESTRING (-71.1048069 42.3144691, -71.1046879 42.3146913)",,,,,
61347647,61468752,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,64.667,"LINESTRING (-71.1048069 42.3144691, -71.10506599999999 42.31392)",,,,,
61347649,61340072,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,61.491,"LINESTRING (-71.10403599999999 42.315636, -71.10360900000001 42.31609)",,,,,
61347649,61347652,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,37.64,"LINESTRING (-71.10403599999999 42.315636, -71.104283 42.315351)",,,,,
61347651,1922933937,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,11.931,"LINESTRING (-71.104412 42.315188, -71.1043387 42.3152806)",,,,,
61347651,61347646,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,21.12,"LINESTRING (-71.104412 42.315188, -71.10451500000001 42.315014)",,,,,
61347652,61347649,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,37.64,"LINESTRING (-71.104283 42.315351, -71.10403599999999 42.315636)",,,,,
61347652,1922933937,0,8639753,2,Amory Street,tertiary,20 mph,13.4,False,9.069,"LINESTRING (-71.104283 42.315351, -71.1043387 42.3152806)",,,,,
61349140,61395761,0,8647920,1,Brookley Road,residential,20 mph,11.6,True,18.588,"LINESTRING (-71.10911 42.30483, -71.108941 42.304719)",,,,,
61349182,7539742428,0,86479795,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,19.287,"LINESTRING (-71.0906276 42.3488573, -71.09039370000001 42.3488715)",,,MA 2,,
61349615,5991355031,0,635021959,2,,service,10 mph,7,False,138.754,"LINESTRING (-71.0487998 42.3499402, -71.0500679 42.3507641)",alley,yes,,,
61349947,61519712,0,8641042,2,Cerdan Avenue,residential,20 mph,12.2,False,45.272,"LINESTRING (-71.140884 42.292746, -71.14053199999999 42.293059)",,,,,
61349947,61358825,0,8641042,2,Cerdan Avenue,residential,20 mph,12.2,False,59.611,"LINESTRING (-71.140884 42.292746, -71.14136499999999 42.292345)",,,,,
61350197,61438281,0,355564010,2,Water Street,residential,10 mph,,False,21.378,"LINESTRING (-71.06182509999999 42.3705405, -71.0615969 42.3706329)",,,,,
61350197,1099121830,0,355564010,2,Water Street,residential,10 mph,,False,11.41,"LINESTRING (-71.06182509999999 42.3705405, -71.0619485 42.3704934)",,,,,
61350327,2947316121,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,8.098,"LINESTRING (-71.03433 42.3728192, -71.03426570000001 42.3728744)",,,,,
61350327,2947295768,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,36.163,"LINESTRING (-71.03433 42.3728192, -71.034617 42.3725726)",,,,,
61350443,6540728506,0,8648352,1,Public Alley 908,service,15 mph,2.7,False,7.162,"LINESTRING (-71.0910118 42.3497501, -71.09101680000001 42.3498144)",alley,,,,
61350605,7554530430,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,9.543,"LINESTRING (-71.0379373 42.3697196, -71.0378616 42.3697847)",,,,,
61350605,2938498053,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,6.556,"LINESTRING (-71.0379373 42.3697196, -71.0379853 42.3696725)",,,,,
61350635,643774835,0,8648170,1,Lovejoy Wharf,residential,20 mph,6.8,False,11.436,"LINESTRING (-71.0598143 42.366218, -71.0598948 42.3663019)",,,,,
61350924,4687381693,0,8652405,1,Public Alley 430,service,15 mph,2.7,True,6.88,"LINESTRING (-71.0858482 42.349146, -71.0859269 42.3491249)",alley,,,,
61352286,7844922372,0,840737690,2,,service,5 mph,8,False,4.679,"LINESTRING (-71.05177399999999 42.3667514, -71.0517289 42.3667771)",driveway,private,,,
61352716,6124603099,0,8652583,,Bennington Street,secondary,20 mph,15.5,True,14.955,"LINESTRING (-71.0254789 42.3800377, -71.0256383 42.3799727)",,,,,
61352744,4687381708,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,12.217,"LINESTRING (-71.0889091 42.3497098, -71.089055 42.3496887)",alley,,,,
61352754,6542726525,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,6.683,"LINESTRING (-71.0896886 42.3499034, -71.089662 42.3498466)",alley,,,,
61352756,7539742408,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,6.78,"LINESTRING (-71.0895788 42.3496639, -71.0894978 42.3496523)",alley,,,,
61352756,6542726525,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,21.435,"LINESTRING (-71.0895788 42.3496639, -71.089662 42.3498466)",alley,,,,
61352758,7539742409,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,6.433,"LINESTRING (-71.0893894 42.3496458, -71.0893114 42.3496409)",alley,,,,
61352758,7539742408,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,8.937,"LINESTRING (-71.0893894 42.3496458, -71.0894978 42.3496523)",alley,,,,
61352760,4687381708,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,10.963,"LINESTRING (-71.08918079999999 42.3496559, -71.089055 42.3496887)",alley,,,,
61352760,7539742410,0,117737178,1,Public Alley 905,service,15 mph,2.7,False,7.028,"LINESTRING (-71.08918079999999 42.3496559, -71.0892642 42.3496419)",alley,,,,
61352839,7725901194,0,8649603,1,Public Alley 425,service,15 mph,2.7,True,5.81,"LINESTRING (-71.0785458 42.3524752, -71.0786114 42.3524557)",alley,,,,
61352841,6540251576,0,8647193,1,Public Alley 426,service,15 mph,2.7,True,6.668,"LINESTRING (-71.080673 42.3518993, -71.0807487 42.3518777)",alley,,,,
61352843,6540251565,0,8646508,1,Public Alley 420,service,15 mph,2.7,True,8.097,"LINESTRING (-71.07460330000001 42.3544154, -71.07469589999999 42.3543905)",alley,,,,
61353025,61486723,0,8648422,2,Arborfield Road,residential,20 mph,12.2,False,9.602,"LINESTRING (-71.122435 42.273795, -71.1223968 42.2737134)",,,,,
61353152,6540806758,0,8647989,1,Public Alley 438,service,15 mph,2.7,True,10.286,"LINESTRING (-71.0709064 42.3523006, -71.0710249 42.3522708)",alley,,,,
61353260,6540251560,0,8637791,1,Public Alley 419,service,15 mph,2.7,True,7.308,"LINESTRING (-71.07675879999999 42.3538353, -71.07684190000001 42.3538119)",alley,,,,
61353347,6540357020,0,8647472,1,Public Alley 415,service,15 mph,2.7,True,7.535,"LINESTRING (-71.0852991 42.3515298, -71.0853851 42.3515063)",alley,,,,
61353349,6540357018,0,8649651,1,Public Alley 416,service,15 mph,2.7,True,7.126,"LINESTRING (-71.08334720000001 42.3520548, -71.08342829999999 42.3520321)",alley,,,,
61353435,7671189470,0,8640999,2,Bremen Street,tertiary,20 mph,12.2,False,9.418,"LINESTRING (-71.0389081 42.3685177, -71.0388502 42.3685908)",,,,,
61353525,6540728527,0,8650752,1,Public Alley 441,service,15 mph,2.7,True,6.979,"LINESTRING (-71.0797096 42.3499331, -71.07978749999999 42.3499081)",alley,,,,
61353525,6540728528,0,800859878,2,Public Alley 440,service,15 mph,5.5,False,7.572,"LINESTRING (-71.0797096 42.3499331, -71.0796253 42.3499606)",alley,,,,
61353529,6540728538,0,801277008,1,Public Alley 434,service,15 mph,2.7,True,12.179,"LINESTRING (-71.0779301 42.3512833, -71.0780694 42.3512459)",alley,,,,
61353530,6540251572,0,8647695,1,Public Alley 418,service,15 mph,2.7,True,10.163,"LINESTRING (-71.07891909999999 42.3532497, -71.0790349 42.3532176)",alley,,,,
61353534,6540728529,0,8640809,1,Public Alley 433,service,15 mph,2.7,True,7.386,"LINESTRING (-71.08008529999999 42.3507042, -71.0801713 42.3506849)",alley,,,,
61353628,7685441855,0,8647179,2,,service,10 mph,8,False,7.762,"LINESTRING (-71.0605961 42.3425009, -71.0605801 42.3425697)",driveway,private,,,
61353628,3005539482,0,296749714,2,,service,10 mph,8,False,8.067,"LINESTRING (-71.0605961 42.3425009, -71.060626 42.3424318)",driveway,private,,,
61353693,61498825,0,8647426,2,Studio Place,residential,10 mph,5,False,33.362,"LINESTRING (-71.0799614 42.345137, -71.07967840000001 42.3453521)",,yes,,,
61353700,4624440817,0,8647487,1,,service,15 mph,3,False,7.798,"LINESTRING (-71.0746139 42.344594, -71.0745239 42.3446162)",alley,yes,,,
61353700,7717968567,0,8647664,,,service,15 mph,,False,7.891,"LINESTRING (-71.0746139 42.344594, -71.07470499999999 42.3445716)",alley,,,,
61353702,7683649097,0,8644315,2,,service,10 mph,8,False,7.261,"LINESTRING (-71.073707 42.3476034, -71.0737927 42.3475875)",bus,no,,,
61353704,7718012896,0,8647664,,,service,15 mph,,False,6.684,"LINESTRING (-71.07606149999999 42.3442316, -71.0759863 42.3442545)",alley,,,,
61353706,4624440820,0,8636386,1,Dartmouth Place,residential,15 mph,3,False,9.101,"LINESTRING (-71.0747173 42.3447884, -71.0746139 42.3448177)",,yes,,,
61354253,3035699242,0,8637598,,Head Place,service,10 mph,,False,1.272,"LINESTRING (-71.06390469999999 42.3523201, -71.0639034 42.3523315)",alley,private,,,
61354366,7563216810,0,8640985,1,Lotus Street,living_street,20 mph,6.1,False,38.631,"LINESTRING (-71.1055992 42.3017501, -71.1060122 42.3019156)",,private,,,
61354526,61453178,0,495355538,2,Cemetery Road,tertiary,20 mph,13.4,False,2.497,"LINESTRING (-71.1048701 42.3023255, -71.1048498 42.3023088)",,,,,
61354577,61354578,0,8651096,2,,motorway_link,20 mph,7.3,True,34.505,"LINESTRING (-71.07205310000001 42.3598294, -71.0719722 42.3601339)",,,,,
61354578,61354579,0,8651096,2,,motorway_link,20 mph,7.3,True,15.468,"LINESTRING (-71.0719722 42.3601339, -71.07194459999999 42.3602715)",,,,,
61354579,61363125,0,8651096,2,,motorway_link,20 mph,7.3,True,10.403,"LINESTRING (-71.07194459999999 42.3602715, -71.0719308 42.3603645)",,,,,
61354612,6540251562,0,8648641,1,Public Alley 424,service,15 mph,2.7,True,7.327,"LINESTRING (-71.07637630000001 42.3530621, -71.07646029999999 42.35304)",alley,,,,
61354613,6540251563,0,8646749,1,Public Alley 423,service,15 mph,2.7,True,8.072,"LINESTRING (-71.0742254 42.3536432, -71.07431819999999 42.3536194)",alley,,,,
61354623,6540728547,0,8652246,1,Public Alley 436,service,15 mph,2.7,True,8.13,"LINESTRING (-71.0736349 42.3524382, -71.0737283 42.3524141)",alley,,,,
61354624,6540728545,0,801277011,1,Public Alley 435,service,15 mph,2.7,True,7.731,"LINESTRING (-71.0757905 42.3518656, -71.07587890000001 42.3518418)",alley,,,,
61354774,61354807,0,148495801,1,Williams Street,residential,20 mph,11.6,True,17.374,"LINESTRING (-71.10746399999999 42.306487, -71.107332 42.306365)",,,,,
61354776,61354779,0,8652303,1,Meehan Street,residential,20 mph,9.1,True,22.635,"LINESTRING (-71.10727900000001 42.305949, -71.107313 42.305747)",,,,,
61354777,61354776,0,8652303,1,Meehan Street,residential,20 mph,9.1,True,20.365,"LINESTRING (-71.10728899999999 42.306132, -71.10727900000001 42.305949)",,,,,
61354778,61354781,0,8652303,1,Meehan Street,residential,20 mph,9.1,True,31.387,"LINESTRING (-71.107411 42.305457, -71.107508 42.305184)",,,,,
61354779,61354778,0,8652303,1,Meehan Street,residential,20 mph,9.1,True,33.238,"LINESTRING (-71.107313 42.305747, -71.107411 42.305457)",,,,,
61354780,6783429465,0,8646153,1,Rossmore Road,residential,20 mph,12.8,True,10.275,"LINESTRING (-71.107558 42.305075, -71.1076583 42.3051301)",,,,,
61354781,61354780,0,8652303,1,Meehan Street,residential,20 mph,9.1,True,12.799,"LINESTRING (-71.107508 42.305184, -71.107558 42.305075)",,,,,
61354782,61354558,0,8646153,1,Rossmore Road,residential,20 mph,12.8,True,24.83,"LINESTRING (-71.10818 42.305395, -71.10843800000001 42.305511)",,,,,
61354783,61354782,0,8646153,1,Rossmore Road,residential,20 mph,12.8,True,26.849,"LINESTRING (-71.10791399999999 42.305255, -71.10818 42.305395)",,,,,
61354807,61354777,0,8652303,1,Meehan Street,residential,20 mph,9.1,True,26.149,"LINESTRING (-71.107332 42.306365, -71.10728899999999 42.306132)",,,,,
61354807,6757294243,0,148495801,1,Williams Street,residential,20 mph,11.6,True,16.242,"LINESTRING (-71.107332 42.306365, -71.1072118 42.3062491)",,,,,
61354842,61354843,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,21.182,"LINESTRING (-71.105332 42.30648, -71.105519 42.306611)",,,,,
61354842,61354853,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,38.909,"LINESTRING (-71.105332 42.30648, -71.105008 42.306225)",,,,,
61354843,61493828,0,8642543,2,Shurland Street,residential,20 mph,9.1,False,30.862,"LINESTRING (-71.105519 42.306611, -71.105782 42.306413)",,,,,
61354843,61365726,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,4.198,"LINESTRING (-71.105519 42.306611, -71.10554999999999 42.306641)",,,,,
61354843,61354842,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,21.182,"LINESTRING (-71.105519 42.306611, -71.105332 42.30648)",,,,,
61354852,61354853,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,11.917,"LINESTRING (-71.104918 42.306141, -71.105008 42.306225)",,,,,
61354852,61354855,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,6.353,"LINESTRING (-71.104918 42.306141, -71.104854 42.306109)",,,,,
61354853,61354842,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,38.909,"LINESTRING (-71.105008 42.306225, -71.105332 42.30648)",,,,,
61354853,61354852,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,11.917,"LINESTRING (-71.105008 42.306225, -71.104918 42.306141)",,,,,
61354855,61511926,0,8641206,1,Dungarven Road,residential,20 mph,6.1,False,7.904,"LINESTRING (-71.104854 42.306109, -71.104882 42.306041)",,,,,
61354855,61354852,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,6.353,"LINESTRING (-71.104854 42.306109, -71.104918 42.306141)",,,,,
61355403,6540357031,0,8650838,1,Public Alley 427,service,15 mph,2.7,True,7.175,"LINESTRING (-71.08296780000001 42.3512799, -71.08304889999999 42.351256)",alley,,,,
61355404,6540357029,0,8650680,1,Public Alley 428,service,15 mph,2.7,True,7.35,"LINESTRING (-71.08491739999999 42.3507575, -71.0850013 42.3507346)",alley,,,,
61355438,6540728520,0,8650857,1,Public Alley 443,service,15 mph,2.7,True,7.073,"LINESTRING (-71.0839519 42.3487806, -71.0840324 42.3487581)",alley,,,,
61355442,6540728525,0,8650040,1,Public Alley 442,service,15 mph,2.7,True,7.798,"LINESTRING (-71.0819912 42.3493092, -71.0820806 42.3492857)",alley,,,,
61355807,61356575,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,18.532,"LINESTRING (-71.107023 42.306947, -71.106889 42.306813)",,,,,
61355808,61365721,0,8652220,2,Kenton Road,residential,20 mph,10.7,False,22.231,"LINESTRING (-71.10660300000001 42.307364, -71.10641 42.307224)",,,,,
61355938,7539742422,0,802333195,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,12.552,"LINESTRING (-71.08749 42.3493036, -71.0873382 42.3493161)",,,MA 2,,
61355940,61355935,0,802333195,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,31.581,"LINESTRING (-71.087194 42.349321, -71.086815 42.349368)",,,MA 2,,
61355948,7539742417,0,802333196,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,13.976,"LINESTRING (-71.0887908 42.3490501, -71.0886222 42.3490666)",,,MA 2,yes,
61355950,7539742419,0,802333195,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,14.084,"LINESTRING (-71.088446 42.349096, -71.0882805 42.3491289)",,,MA 2,,
61355951,61355953,0,86479795,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,13.66,"LINESTRING (-71.0892363 42.3490257, -71.0890701 42.3490275)",,,MA 2,,
61355953,61355948,0,86479795,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,23.09,"LINESTRING (-71.0890701 42.3490275, -71.0887908 42.3490501)",,,MA 2,,
61355955,7539742421,0,802333195,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,9.738,"LINESTRING (-71.08788970000001 42.3492266, -71.0877765 42.3492525)",,,MA 2,,
61355956,61355938,0,802333195,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,11.928,"LINESTRING (-71.0876325 42.3492832, -71.08749 42.3493036)",,,MA 2,,
61355960,7539742420,0,802333195,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,11.813,"LINESTRING (-71.08814099999999 42.3491595, -71.0880064 42.3491968)",,,MA 2,,
61355968,7539742427,0,86479795,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,9.858,"LINESTRING (-71.089505 42.349012, -71.0893854 42.3490188)",,,MA 2,,
61355970,7539742426,0,86479795,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,7.941,"LINESTRING (-71.089688 42.348994, -71.0895927 42.3490058)",,,MA 2,,
61355971,7539742425,0,86479795,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,10.52,"LINESTRING (-71.0899376 42.348948, -71.0898141 42.3489729)",,,MA 2,,
61355974,61355971,0,86479795,1,Commonwealth Avenue,primary_link,15 mph,3.5,True,15.34,"LINESTRING (-71.09011750000001 42.3489112, -71.0899376 42.348948)",,,MA 2,,
61356401,61359454,0,8647920,1,Brookley Road,residential,20 mph,11.6,True,40.403,"LINESTRING (-71.10800500000001 42.30417, -71.107614 42.30395)",,,,,
61356401,61356426,0,8648110,2,Stonley Road,residential,20 mph,10.7,False,124.127,"LINESTRING (-71.10800500000001 42.30417, -71.10888300000001 42.303262)",,,,,
61356426,61356401,0,8648110,2,Stonley Road,residential,20 mph,10.7,False,124.127,"LINESTRING (-71.10888300000001 42.303262, -71.10800500000001 42.30417)",,,,,
61356524,4687381702,0,8648738,1,Public Alley 431,service,15 mph,2.7,True,7.581,"LINESTRING (-71.0843227 42.3495609, -71.0844094 42.3495376)",alley,,,,
61356575,61355807,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,18.532,"LINESTRING (-71.106889 42.306813, -71.107023 42.306947)",,,,,
61356575,61356577,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,28.276,"LINESTRING (-71.106889 42.306813, -71.106662 42.306622)",,,,,
61356577,61356575,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,28.276,"LINESTRING (-71.106662 42.306622, -71.106889 42.306813)",,,,,
61356577,61356585,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,9.471,"LINESTRING (-71.106662 42.306622, -71.10658599999999 42.306558)",,,,,
61356585,61356577,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,9.471,"LINESTRING (-71.10658599999999 42.306558, -71.106662 42.306622)",,,,,
61356585,61356587,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,57.346,"LINESTRING (-71.10658599999999 42.306558, -71.10611900000001 42.306175)",,,,,
61356587,61356585,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,57.346,"LINESTRING (-71.10611900000001 42.306175, -71.10658599999999 42.306558)",,,,,
61356587,61516200,0,8639176,2,Gartland Street,residential,20 mph,9.8,False,20.673,"LINESTRING (-71.10611900000001 42.306175, -71.10596 42.306031)",,,,,
61356587,61493828,0,8642543,2,Shurland Street,residential,20 mph,9.1,False,38.32,"LINESTRING (-71.10611900000001 42.306175, -71.105782 42.306413)",,,,,
61356601,6540728516,0,825086750,1,Public Alley 444,service,15 mph,2.7,False,7.261,"LINESTRING (-71.0854617 42.3483732, -71.0855447 42.3483508)",alley,,,,
