length,coverage,directness,poi_coverage,components,efficiency_global,efficiency_local
1999.747379856599,128.8679239151689,0.8873934744405831,283,35,0,0
1986.4363951714702,128.86792391446264,0.8829745344595642,283,42,0,0
1973.5607411368542,128.86792391671378,0.882339232690793,283,48,0,0
1960.6166527965577,128.86792391462726,0.8768282433596439,283,49,0,0
1947.9553860381488,128.86792391246937,0.8664437406072582,283,51,0,0
1931.2089717066788,128.8679239098181,0.8593901043820162,283,59,0,0
1920.0694490044527,128.86792391170894,0.8564106192395105,283,67,0,0
1904.9078426134238,128.86792391153017,0.8325835576068893,283,72,0,0
1893.8783659952026,128.8679239121614,0.8282555920248579,283,77,0,0
1880.1001936924729,128.8679239137516,0.8105085459178318,283,86,0,0
1867.479770794236,128.86792391314034,0.8121740787814861,283,98,0,0
1856.7368041635298,128.8679239145455,0.8105650024758692,283,105,0,0
1844.6636861745221,128.86792391470573,0.799315346350734,283,113,0,0
1831.9379234338642,128.86792391723418,0.7961143065539268,283,115,0,0
1820.2932586886482,128.8679239183219,0.787322506570674,283,121,0,0
1810.9441333748875,128.86792391949973,0.7826493775935981,283,128,0,0
1797.9837937092364,128.86792391836528,0.7754100568392517,283,140,0,0
1781.0459950044803,128.86792391834382,0.7705092290804747,283,149,0,0
1767.9715248835946,128.8679239187461,0.7563843653868398,283,155,0,0
1754.5255531586413,128.8679239191187,0.7488879661345542,283,166,0,0
1741.1825978500815,128.8679239179917,0.7404591128920994,283,175,0,0
1727.7154695657657,128.86792391946332,0.74001206060984,283,192,0,0
1716.1932700998,128.86792391730782,0.7248153668631231,283,199,0,0
1704.854360434836,128.8679239142555,0.7178246979013045,283,207,0,0
1690.6597799611,128.86792391847212,0.6980466206958829,283,216,0,0
1674.4902880113605,128.86792391291954,0.6786516211316845,283,225,0,0
1658.6498839214332,128.8679239187251,0.6533705606114527,283,240,0,0
1644.6810676324812,128.86792392173848,0.6618728762889675,283,263,0,0
1626.694316830139,128.86792392212573,0.6477664373542854,283,275,0,0
1615.7470121744182,128.86792391745908,0.6531431986894746,283,293,0,0
1602.4063377850873,128.86792392008846,0.6209936758737595,283,315,0,0
1589.0983430616893,128.86792392011156,0.5923145359509081,283,331,0,0
1580.616037705858,128.8679239204667,0.5870689269102524,283,345,0,0
1569.519187221856,128.86792392494596,0.5831399082148229,283,358,0,0
1550.5695908954488,128.86792392059382,0.4768440155644288,283,385,0,0
1536.5139239624425,128.86792392126532,0.5063245447365831,283,405,0,0
1527.132098893413,128.86792392061628,0.4949162388653338,283,416,0,0
1515.8198713285767,128.86792392117806,0.5163312005854706,283,428,0,0
1504.8714756060685,128.86792391722472,0.5023987396220294,283,441,0,0
1498.7834050639021,128.86792391769922,0.5027303097402093,283,453,0,0
