u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,access,bridge,junction,tunnel
4551669411,4551669410,0,459270698,False,Senderos para ciclistas,cycleway,,15.994,"LINESTRING (-58.4113608 -34.5714925, -58.4115288 -34.5714531)",,,,,,
4551669411,4350630792,0,459270698,False,Senderos para ciclistas,cycleway,,6.591,"LINESTRING (-58.4113608 -34.5714925, -58.4112921 -34.5715102)",,,,,,
4553248355,288460442,0,459235921,False,Pista de ciclismo,cycleway,,81.425,"LINESTRING (-58.4018803 -34.5705323, -58.4011596 -34.5709613)",,,,,,
4553248355,288460441,0,459235921,False,Pista de ciclismo,cycleway,,318.188,"LINESTRING (-58.4018803 -34.5705323, -58.4046967 -34.568856)",,,,,,
4555441106,4555441108,0,463680556,False,Ciclovía del Libertador,cycleway,,9.784,"LINESTRING (-58.4097437 -34.5769758, -58.4097367 -34.5770636)",,,,,,
4555441106,615018607,0,785165882,False,Ciclovía del Libertador,cycleway,,7.985,"LINESTRING (-58.4097437 -34.5769758, -58.4098147 -34.5769341)",,,,,,
4555441108,615018608,0,463680556,False,Ciclovía del Libertador,cycleway,,10.132,"LINESTRING (-58.4097367 -34.5770636, -58.4096877 -34.5771453)",,,,,,
4555441108,4555441106,0,463680556,False,Ciclovía del Libertador,cycleway,,9.784,"LINESTRING (-58.4097367 -34.5770636, -58.4097437 -34.5769758)",,,,,,
4555441109,615018611,0,463680556,False,Ciclovía del Libertador,cycleway,,9.865,"LINESTRING (-58.40786 -34.5779651, -58.4077665 -34.5780092)",,,,,,
4555441109,7335666510,0,463680556,False,Ciclovía del Libertador,cycleway,,185.096,"LINESTRING (-58.40786 -34.5779651, -58.4096354 -34.5771688)",,,,,,
4560920018,4560920019,0,165167758,False,Senderos para ciclistas,cycleway,,14.02,"LINESTRING (-58.4304886 -34.5570387, -58.4305952 -34.5569482)",,,,,,
4560920018,1075314534,0,165167758,False,Senderos para ciclistas,cycleway,,44.233,"LINESTRING (-58.4304886 -34.5570387, -58.4300783 -34.5572486)",,,,,,
4560920019,4560920022,0,165167758,False,Senderos para ciclistas,cycleway,,15.392,"LINESTRING (-58.4305952 -34.5569482, -58.4306536 -34.5568184)",,,,,,
4560920019,4560920018,0,165167758,False,Senderos para ciclistas,cycleway,,14.02,"LINESTRING (-58.4305952 -34.5569482, -58.4304886 -34.5570387)",,,,,,
4560920020,4560920023,0,165167758,False,Senderos para ciclistas,cycleway,,52.167,"LINESTRING (-58.4311239 -34.5565505, -58.4314702 -34.556178)",,,,,,
4560920020,4560920021,0,165167758,False,Senderos para ciclistas,cycleway,,13.63,"LINESTRING (-58.4311239 -34.5565505, -58.4309856 -34.5565958)",,,,,,
4560920021,4560920020,0,165167758,False,Senderos para ciclistas,cycleway,,13.63,"LINESTRING (-58.4309856 -34.5565958, -58.4311239 -34.5565505)",,,,,,
4560920021,4560920022,0,165167758,False,Senderos para ciclistas,cycleway,,39.205,"LINESTRING (-58.4309856 -34.5565958, -58.4306536 -34.5568184)",,,,,,
4560920022,4560920021,0,165167758,False,Senderos para ciclistas,cycleway,,39.205,"LINESTRING (-58.4306536 -34.5568184, -58.4309856 -34.5565958)",,,,,,
4560920022,4560920019,0,165167758,False,Senderos para ciclistas,cycleway,,15.392,"LINESTRING (-58.4306536 -34.5568184, -58.4305952 -34.5569482)",,,,,,
4560920023,1075314501,0,165167758,False,Senderos para ciclistas,cycleway,,150.706,"LINESTRING (-58.4314702 -34.556178, -58.4326425 -34.5552268)",,,,,,
4560920023,4560920020,0,165167758,False,Senderos para ciclistas,cycleway,,52.167,"LINESTRING (-58.4314702 -34.556178, -58.4311239 -34.5565505)",,,,,,
4560920024,4560920026,0,165167758,False,Senderos para ciclistas,cycleway,,71.87,"LINESTRING (-58.433446 -34.5546024, -58.4340023 -34.5541465)",,,,,,
4560920024,1075314501,0,165167758,False,Senderos para ciclistas,cycleway,,101.168,"LINESTRING (-58.433446 -34.5546024, -58.4326425 -34.5552268)",,,,,,
4560920025,1075314558,0,165167758,False,Senderos para ciclistas,cycleway,,15.073,"LINESTRING (-58.43408 -34.5540793, -58.4342053 -34.5539914)",,,,,,
4560920025,4560920026,0,165167758,False,Senderos para ciclistas,cycleway,,10.318,"LINESTRING (-58.43408 -34.5540793, -58.4340023 -34.5541465)",,,,,,
4560920026,4560920025,0,165167758,False,Senderos para ciclistas,cycleway,,10.318,"LINESTRING (-58.4340023 -34.5541465, -58.43408 -34.5540793)",,,,,,
4560920026,4560920024,0,165167758,False,Senderos para ciclistas,cycleway,,71.87,"LINESTRING (-58.4340023 -34.5541465, -58.433446 -34.5546024)",,,,,,
4560920027,6780637671,0,165167758,False,Senderos para ciclistas,cycleway,,53.791,"LINESTRING (-58.4343545 -34.553898, -58.4348292 -34.5536131)",,,,,,
4560920027,1075314558,0,165167758,False,Senderos para ciclistas,cycleway,,17.163,"LINESTRING (-58.4343545 -34.553898, -58.4342053 -34.5539914)",,,,,,
4561872732,1074582096,0,92625446,False,Senderos para ciclistas,cycleway,,18.154,"LINESTRING (-58.4169268 -34.5681025, -58.4170172 -34.5679572)",,,,,,
4561872732,4561872733,0,92625446,False,Senderos para ciclistas,cycleway,,17.664,"LINESTRING (-58.4169268 -34.5681025, -58.4167815 -34.568207)",,,,,,
4561872733,4561872732,0,92625446,False,Senderos para ciclistas,cycleway,,17.664,"LINESTRING (-58.4167815 -34.568207, -58.4169268 -34.5681025)",,,,,,
4561872733,4562919516,0,92625446,False,Senderos para ciclistas,cycleway,,43.459,"LINESTRING (-58.4167815 -34.568207, -58.4164303 -34.5684699)",,,,,,
4561872734,1074582069,0,460652925,False,Senderos para ciclistas,cycleway,,12.335,"LINESTRING (-58.412386 -34.5717277, -58.4123706 -34.5716175)",,,,,,
4561872734,1074582094,0,460652925,False,Senderos para ciclistas,cycleway,,14.072,"LINESTRING (-58.412386 -34.5717277, -58.4124734 -34.5718318)",,,,,,
