u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,tunnel,bridge,access,junction,ref,service
81616450,81834165,0,"[71179555, 507883622, 504660430, 64457582, 46990138, 48447099]",True,Avenida Córdoba,primary,50,671.523,"LINESTRING (-58.3987483 -34.599772, -58.3988613 -34.5997674, -58.3999097 -34.5996424, -58.4009012 -34.5995189, -58.4009582 -34.5995122, -58.4010731 -34.5994979, -58.4019058 -34.5993887, -58.4019588 -34.5993787, -58.4020172 -34.599362, -58.4020577 -34.5993449, -58.4021135 -34.5993189, -58.4024725 -34.5991434, -58.4030928 -34.598819, -58.4037326 -34.5984779, -58.4040533 -34.5983223, -58.4044483 -34.5980934, -58.4045093 -34.5980721, -58.4045507 -34.5980641, -58.4047543 -34.5980614, -58.405441 -34.5980573, -58.4055904 -34.5980582)",3,11,,,,,,
81616450,81614903,0,"[507883625, 174573563]",True,Presidente José Evaristo Uriburu,residential,30,304.541,"LINESTRING (-58.3987483 -34.599772, -58.398781 -34.5996898, -58.398805 -34.5996287, -58.3988652 -34.5992537, -58.3989256 -34.5990947, -58.3989963 -34.5989086, -58.3990054 -34.5988832, -58.3990268 -34.5988301, -58.3990415 -34.5987576, -58.3990467 -34.5987154, -58.3990488 -34.5986697, -58.3990312 -34.5983213, -58.3989199 -34.5973841, -58.3988828 -34.5970718)",2,,,,,,,
81616462,192909732,0,"[176605568, 52990542, 421717871, 114352688, 421717874, 48052789, 114352700]",True,"['Juncal', 'Arenales']",residential,30,962.2920000000001,"LINESTRING (-58.3974643 -34.592896, -58.3971833 -34.5929748, -58.3968517 -34.593078, -58.3958219 -34.5933521, -58.3956473 -34.5933902, -58.3942748 -34.5936258, -58.3930956 -34.5938178, -58.3924389 -34.5939051, -58.3921836 -34.5939421, -58.3900395 -34.5943096, -58.3899472 -34.5943273, -58.3898914 -34.5943363, -58.3898216 -34.5943563, -58.3897739 -34.5943732, -58.3897188 -34.5943998, -58.3895088 -34.5945089, -58.3893752 -34.5945851, -58.38931 -34.5946199, -58.3892323 -34.5946489, -58.3890617 -34.5947107, -58.38868 -34.5947029, -58.3885122 -34.5947014, -58.3872871 -34.5946242)",1,,,,,,,
81830149,7890875615,0,"[845791747, 71179559]",True,Avenida Córdoba,primary,50,135.77100000000002,"LINESTRING (-58.4217533 -34.5977212, -58.4225054 -34.5977087, -58.4232357 -34.5977364)","['3', '2']",11,,,,,,
81830149,196222898,0,"[121035098, 473607939, 533466924, 48055246]",True,Francisco Acuña de Figueroa,residential,"['20', '30']",450.861,"LINESTRING (-58.4217533 -34.5977212, -58.4218443 -34.5982057, -58.4220435 -34.5993509, -58.4222233 -34.6005446, -58.4223799 -34.6017424)","['1', '2']",,,,,,,
81832381,81614080,0,"[71179552, 71179546, 47303252, 48447101]",True,Avenida Córdoba,primary,50,590.601,"LINESTRING (-58.4081716 -34.5980793, -58.4094111 -34.5980978, -58.410198 -34.5981043, -58.4103109 -34.5981063, -58.4119275 -34.5980173, -58.413124 -34.5979661, -58.4132586 -34.5979568, -58.414367 -34.5979163, -58.4146168 -34.5979075)",3,11,,,,,,
81834163,4670271965,0,533174413,True,General Lucio Norberto Mansilla,residential,20,23.672,"LINESTRING (-58.4045672 -34.5960651, -58.4043292 -34.5961484)",1,,,,,,,
81834163,81834165,0,113531313,True,Ecuador,residential,30,240.6,"LINESTRING (-58.4045672 -34.5960651, -58.405176 -34.5972434, -58.405567 -34.5980123, -58.4055904 -34.5980582)",1,,,,,,,
81834165,81832381,0,"[64457582, 71179542]",True,Avenida Córdoba,primary,50,236.28,"LINESTRING (-58.4055904 -34.5980582, -58.4065486 -34.5980606, -58.4066509 -34.59806, -58.408049 -34.59808, -58.4081716 -34.5980793)",3,11,,,,,,
81834165,199483179,0,"[533174411, 533174412]",True,Ecuador,residential,"['20', '30']",413.91499999999996,"LINESTRING (-58.4055904 -34.5980582, -58.4062958 -34.599658, -58.4066346 -34.6007301, -58.4069418 -34.6016071)",1,,,,,,,
