length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_local
62.873856712963175,36.27823449235097,49.31884527911743,0.6888005721870525,0.6941067139676002,24,6,15.88549969611386,27.88304354535638,0.29060819064312227,0.0
124.07867431131835,78.60881225520856,89.40819543071564,0.6568998931934359,0.6463187517755339,42,6,29.510610993484914,49.01388841114832,0.2866369763948968,0.0
176.92794150355405,132.60028013150034,119.13914993825853,0.6397155831651015,0.6529741760335275,56,6,40.62560166863353,71.82408526296109,0.3222043629488919,0.015169655243566726
248.38445389298272,183.73381816296634,161.8093412270131,0.6423157127198842,0.6461987430834155,75,5,50.532267923785106,93.31510000287119,0.31406058297147493,0.01052524839197402
306.88860207655387,294.8422048204449,195.86544285957177,0.5697452894337716,0.5618622167006343,89,4,62.55956533054425,117.36222896445614,0.4525816858245533,0.02396894390104721
361.8257263393556,354.0063424365126,222.2465519027898,0.6052516200890462,0.5889362470707331,100,3,78.81041812326008,144.8550283733228,0.46799276447463517,0.03537516152317697
412.70543426767586,409.9178679326984,247.74144423631435,0.6536781035332807,0.6626873110114324,109,2,93.21572109594263,170.06373401542413,0.5340877026021555,0.03810464079063973
462.3685228258336,454.731948451608,271.5488776657978,0.6615199282001625,0.6615119515869778,118,3,106.68792801088078,191.0066660270058,0.5238765883411036,0.069302308643581
502.96655116238617,498.1175431231376,289.97495696862137,0.6697916873067618,0.6730794956628416,126,2,116.78916145758909,212.19561264146213,0.5457565637068341,0.07730190177868557
559.0670349782806,559.0670349782806,309.69747351567554,0.6686351890913725,0.6686351890913725,135,1,131.33259616649616,238.0255399836949,0.5610908356789555,0.11158500512696058
611.3263357492704,611.3263357492704,340.361014845138,0.6770859902815217,0.6770859902815217,147,1,151.83705742594367,264.03083037739054,0.5548097622545699,0.11664937866037577
652.7709176900695,652.7709176900695,357.71085070788666,0.6695757264602544,0.6695757264602544,154,1,163.26583727316853,288.26414463665986,0.5610331642529844,0.14382250669351943
700.9022707733992,700.9022707733992,380.3126291501167,0.6848448943368032,0.6848448943368032,163,1,179.1513926826362,311.4835353209946,0.5650155467709723,0.14624406396609105
743.7002750425935,743.7002750425935,396.418837018376,0.6846948130859218,0.6846948130859218,168,1,192.83589851221296,339.9827011058117,0.5722693550596882,0.1709292857265316
786.7869362467519,786.7869362467519,418.6621200135318,0.6847583479980196,0.6847583479980196,178,1,198.2723904472421,363.41336932436724,0.5717148872245733,0.1722237036950638
846.5544813743865,846.5544813743865,445.13561947856925,0.698570285849789,0.698570285849789,186,1,208.13671657885146,383.0124184369099,0.5734409544765948,0.17293970667453995
889.5053326629716,889.5053326629716,463.7531086170349,0.6928816900272565,0.6928816900272565,194,1,218.71962870096002,401.96886959918925,0.570762616742282,0.18881355200158864
938.577155755991,938.577155755991,486.8927503910189,0.6842468846832978,0.6842468846832978,208,1,225.93247344457214,423.5502047278976,0.5637729157290612,0.20143239472415536
