length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components
5854.292063755895,5810.481212554946,729.2895456223173,0.7571835966277359,0.767355312994487,237,84
5793.087246157558,5729.712413404956,728.7720975535293,0.7551464709703751,0.7549269988361997,236,125
5740.237978965336,5658.039829366457,728.3173414822362,0.7291903799510601,0.721453919164664,236,166
5668.781466575931,5558.2828049104755,727.5978230007123,0.6996594823043335,0.6902363969416732,236,196
5610.27731839232,5188.0195760040415,726.4475656144847,0.7177329360991886,0.7035624718014801,236,242
5555.340194129545,5092.2725599696305,725.1490657654018,0.6784575783065353,0.7080807562089451,235,290
5504.460486201232,5029.458692718784,723.5114208668324,0.6734109716159626,0.6827446672869892,234,325
5454.797397643067,4984.163586296817,722.5220008655918,0.6549976143783207,0.6707932652811012,234,360
5414.199369306521,4859.656400700614,722.5210544252022,0.6587166376035823,0.6627332467513923,234,394
5358.098885490617,4781.747885804034,722.1534095343618,0.659668265033899,0.6744969145270683,234,426
5305.839584719614,4684.365714361334,721.332387398875,0.6222870290615603,0.6341627259356535,234,467
5264.395002778805,4621.612295947476,720.7199805688837,0.6501378667877895,0.64792823524986,234,512
5216.263649695492,4445.955757223266,718.5053684355098,0.6504413631453119,0.6495221816030579,234,546
5173.465645426302,4384.534705446509,718.3250904068062,0.6588102326067352,0.6307140954854272,234,584
5130.378984222148,4294.621324250921,717.8801258291575,0.629966879556627,0.660384623420815,234,641
5070.61143909451,4058.1043421968307,713.5168641559194,0.6280043373513883,0.63521472906469,232,705
5027.660587805906,4014.0307582478786,713.0753374414229,0.6070067353636814,0.6198278635764912,232,754
4978.5887647128875,3920.201369965607,712.6484847312616,0.610838604373667,0.6188223224983095,232,813
4935.255754663608,3845.227851923455,711.277628359467,0.5941621778545407,0.5906037376014507,231,858
4896.497331965774,3737.351126467739,709.9453726201941,0.5744560289750368,0.5863428081209419,230,898
4860.711333425199,3294.1460383389426,708.4089352162315,0.5985719059661392,0.5941083498519014,230,949
4833.3046346065385,3138.9063785341928,708.156706722171,0.5979400540200438,0.5976086629952122,230,985
4796.754744888422,3029.258505830365,706.2944713408248,0.6291994224233245,0.5981320894005595,230,1038
4772.095814783911,2864.1262271101423,705.7431614399256,0.6039251271105144,0.6189137225548845,229,1063
4729.73728867993,2769.154046975413,705.7430046999365,0.5846704420305451,0.6016471729478583,229,1132
4697.5647429750215,2571.4035355217084,705.6747951808424,0.6220365712789238,0.5949233097995756,229,1174
4660.062361569021,2452.990338739717,705.5183291779739,0.579542534645246,0.5654690334715708,229,1227
4612.938673870884,1976.7162265798192,703.9779593828121,0.673699970540133,0.6847465802340265,229,1295
4584.732128853136,1889.564279751092,700.9162316443396,0.7135578935959204,0.7122616141056954,228,1325
4543.9707356844365,1849.6858470356904,699.6895991213065,0.7280325115449906,0.7197305868964188,228,1368
4491.395340673127,1816.8280143831676,697.4358093587223,0.7053863045175468,0.7194314750177421,228,1447
4469.424899219744,1798.365877868432,697.3910119468445,0.7132559980365548,0.7107776281251752,228,1485
4458.2972377922415,1793.1224251485676,697.2262844831381,0.7287539648990942,0.7165559064650571,228,1511
4429.221986178084,1790.3869025130698,694.617570491258,0.7188659417721422,0.6986022411544182,226,1533
4416.943066788907,1790.3574331706932,694.2240947324178,0.708688475548815,0.707944928002299,226,1554
4396.431588859578,1781.1747753174081,691.7782319632579,0.7182445108235677,0.7069128898196025,225,1573
4374.786501121951,1740.2675279671503,691.6057064148517,0.7149718698466131,0.7168188786357347,225,1620
4360.352860850452,1740.2675279671503,691.302953231278,0.7162703461792592,0.711668844283378,225,1645
4350.801888687668,1734.9677225567323,690.7243791085488,0.7085385033414866,0.7231328435693439,225,1659
4350.801888687668,1734.9677225567323,690.7243791085488,0.7193117313964542,0.7077260567072943,225,1659
