u,v,key,osmid,oneway,lanes,highway,length,geometry,maxspeed,name,bridge,ref,access
62618715,1228076586,0,"[421885979, 507493148, 422035998, 422035999, 422036000, 422036001, 422036002, 421885987, 422036004, 421885989, 421885990, 422036003, 106785972, 507544151, 507544152, 422103263, 422103265, 422035303, 422035305, 422035306, 422035308, 422035309, 422035310, 422035311, 422035312, 507546865, 507546866, 507546867, 507546868, 422035314, 422035313, 537706358, 422035315]",False,"['4', '5']",secondary,2277.000000000001,"LINESTRING (-82.9794423 42.3627267, -82.979983 42.3623462, -82.9801751 42.3622057, -82.9804062 42.3620366, -82.9808499 42.361712, -82.9810057 42.3615927, -82.9811854 42.3614468, -82.98145289999999 42.3612295, -82.9816458 42.3610688, -82.9817683 42.3609699, -82.98180979999999 42.3609405, -82.9818913 42.3608827, -82.9820306 42.360784, -82.98269000000001 42.3603169, -82.9829885 42.360084, -82.983068 42.3600219, -82.98346100000001 42.3597139, -82.9838592 42.3594024, -82.984081 42.3592289, -82.9844684 42.3589269, -82.984589 42.3588329, -82.98464679999999 42.3587879, -82.9847044 42.358743, -82.98483640000001 42.3586402, -82.984933 42.3585649, -82.98540199999999 42.3581979, -82.985783 42.3578999, -82.986214 42.3575629, -82.9863228 42.3574704, -82.9866852 42.3571774, -82.9868204 42.357068, -82.9869406 42.3569778, -82.9871054 42.3568541, -82.98720489999999 42.3567729, -82.9873644 42.3566428, -82.9874409 42.3565845, -82.9876539 42.3564221, -82.9879277 42.3562071, -82.98810880000001 42.3560545, -82.9889948 42.3553768, -82.989193 42.3552235, -82.9892809 42.3551555, -82.9894414 42.3550323, -82.989542 42.3549551, -82.9896136 42.3549007, -82.9899554 42.3546508, -82.9900221 42.3545997, -82.99024350000001 42.3544299, -82.9902642 42.3544158, -82.9904916 42.3542606, -82.9908714 42.3540121, -82.991208 42.3537919, -82.991345 42.3537032, -82.99140989999999 42.3536612, -82.99159710000001 42.35354, -82.99193150000001 42.3533236, -82.9921226 42.3531985, -82.99220200000001 42.3531475, -82.992481 42.3529679, -82.9927629 42.3527753, -82.9928422 42.3527211, -82.9931946 42.3524804, -82.9935334 42.3522472, -82.9936677 42.352161, -82.9939081 42.351993, -82.99395939999999 42.3519579, -82.9939909 42.3519357, -82.99407220000001 42.351895, -82.99439630000001 42.3516844, -82.9944665 42.3516388, -82.99453320000001 42.3515981, -82.99459589999999 42.3515591, -82.9947791 42.3514454, -82.9948559 42.3513976, -82.9948783 42.3513836, -82.9949443 42.3513427, -82.9952543 42.3511474, -82.9961351 42.3505941, -82.996307 42.3504797, -82.9964966 42.3503578, -82.99661860000001 42.3502759, -82.9966764 42.3502388, -82.9967489 42.350188, -82.9968107 42.350147, -82.9969 42.350088, -82.9969925 42.3500295, -82.9971129 42.3499482, -82.9972889 42.3498332, -82.9976334 42.3496083, -82.99771819999999 42.3495561, -82.9978167 42.3494939, -82.9981501 42.349281, -82.9983673 42.3491388, -82.99844969999999 42.3490855, -82.99865579999999 42.3489509, -82.9988287 42.3488413, -82.9990442 42.3487017, -82.9992934 42.348539, -82.9993329 42.3485013)",35 mph,East Jefferson Avenue,,,
62618784,4216330856,0,"[498529537, 421886755, 219579587, 507548432, 507319698, 421886743]",False,"['4', '5']",secondary,353.03900000000004,"LINESTRING (-82.9540111 42.3704972, -82.95426740000001 42.3704729, -82.954768 42.3704239, -82.9553255 42.3703675, -82.9554516 42.370356, -82.95582400000001 42.3703219, -82.9561557 42.3702901, -82.9562679 42.3702791, -82.95632089999999 42.3702739, -82.956504 42.3702559, -82.95692200000001 42.3702159, -82.9570281 42.3702054, -82.957983 42.3701109, -82.9582715 42.3700815)",35 mph,East Jefferson Avenue,,,
62618819,30449229,0,"[219579583, 421886754, 421886753, 421886756, 421886757, 421886758, 757240071, 421886744, 507319699, 510976148, 510958837, 510976149, 507319700, 510976152, 421886745, 421886747, 421886750, 421886751]",False,"['4', '5']",secondary,748.0249999999999,"LINESTRING (-82.9452398 42.372517, -82.94543779999999 42.372436, -82.9455967 42.3723714, -82.9457108 42.372325, -82.94632 42.3720708, -82.9466829 42.3719211, -82.94683379999999 42.3718584, -82.9469103 42.3718269, -82.9471854 42.3717137, -82.94733050000001 42.371654, -82.9475051 42.3715821, -82.9475395 42.371568, -82.9479695 42.3713913, -82.948137 42.371318, -82.9482854 42.3712576, -82.948403 42.3712103, -82.948483 42.3711782, -82.9486778 42.3710987, -82.94878370000001 42.3710588, -82.9488664 42.3710301, -82.94901849999999 42.3709904, -82.9491021 42.370973, -82.9492001 42.3709558, -82.9492906 42.3709414, -82.9494531 42.370923, -82.94957839999999 42.3709098, -82.94970429999999 42.3708976, -82.9498827 42.3708824, -82.95035900000001 42.3708519, -82.950434 42.3708449, -82.9506016 42.3708286, -82.951565 42.3707349, -82.9522135 42.3706736, -82.952765 42.3706179, -82.9528665 42.3706081, -82.95309109999999 42.3705863, -82.9531664 42.3705785, -82.95323140000001 42.3705727, -82.9533148 42.3705646, -82.95336949999999 42.3705593, -82.953648 42.3705324, -82.9537701 42.3705206)",35 mph,East Jefferson Avenue,,,
62618819,62618836,0,"[510958832, 510958835, 510958836, 510976117, 510976115, 510976120, 510976123, 510976126]",True,"['3', '2']",secondary,462.47300000000007,"LINESTRING (-82.9452398 42.372517, -82.9450945 42.3725186, -82.944495 42.3727707, -82.94413249999999 42.3729353, -82.94402890000001 42.3729793, -82.94390439999999 42.3730311, -82.9433585 42.3732583, -82.94314319999999 42.3733443, -82.9424411 42.3736245, -82.9421658 42.3737344, -82.9415546 42.3739876, -82.94141190000001 42.3740429, -82.9413103 42.3740862, -82.9412086 42.3741295, -82.9406073 42.3743705, -82.9405051 42.3744336, -82.9403788 42.3745582)",35 mph,East Jefferson Avenue,,,
62618836,30958779,0,"[664754482, 510184516, 421886950]",False,5,secondary,80.962,"LINESTRING (-82.9403788 42.3745582, -82.9402418 42.3746167, -82.9398717 42.374766, -82.9397376 42.3748198, -82.9395152 42.374909)",35 mph,East Jefferson Avenue,,,
62618836,4999344857,0,"[510976129, 510976133, 510976136, 510976140, 510184534]",True,"['3', '2']",secondary,244.906,"LINESTRING (-82.9403788 42.3745582, -82.9405841 42.3745079, -82.9410058 42.3743355, -82.9410951 42.3742988, -82.941288 42.3742171, -82.94148490000001 42.3741334, -82.94185640000001 42.3739755, -82.9420902 42.3738778, -82.9422299 42.3738206, -82.9429937 42.3735061)",35 mph,East Jefferson Avenue,,,
62621570,333451856,0,"[120436481, 120436483, 30259557, 30259560, 120436427, 509175281, 663062805, 656187893, 219614136, 656187899, 219714910, 219714911]",False,"['3', '2']",tertiary,2030.8389999999997,"LINESTRING (-83.0659809 42.3548234, -83.0659205 42.354718, -83.06569159999999 42.3543185, -83.0656041 42.3541657, -83.0655823 42.3541277, -83.06549459999999 42.3539748, -83.0653994 42.3538078, -83.0653612 42.353742, -83.0653152 42.3536587, -83.06504700000001 42.3531664, -83.0650275 42.3531325, -83.064942 42.3529821, -83.0649049 42.3529191, -83.0645573 42.3523113, -83.0644204 42.352072, -83.0643297 42.3519135, -83.0643049 42.3518701, -83.064249 42.3517669, -83.0641397 42.3515784, -83.0640983 42.3515053, -83.06401289999999 42.3513551, -83.063577 42.3505882, -83.06356769999999 42.3505718, -83.063529 42.350503, -83.0634898 42.3504344, -83.06324410000001 42.3500039, -83.06321 42.3499443, -83.0631418 42.3498249, -83.0630869 42.3497287, -83.06305759999999 42.3496774, -83.06295470000001 42.3494972, -83.06291400000001 42.349426, -83.0628644 42.3493442, -83.0627635 42.3491671, -83.0626449 42.348959, -83.0623348 42.3484149, -83.062293 42.348342, -83.062167 42.3481366, -83.0620605 42.3479469, -83.06179830000001 42.3474988, -83.0617651 42.3474404, -83.0617383 42.3473932, -83.061694 42.3473151, -83.0616653 42.347263, -83.0616217 42.3471883, -83.0614319 42.346853, -83.06136669999999 42.3467364, -83.06119219999999 42.3464308, -83.0610846 42.3462422, -83.0610526 42.346185, -83.0610204 42.3461233, -83.06094830000001 42.3460003, -83.06084850000001 42.3458302, -83.06078410000001 42.3457204, -83.0607442 42.345651, -83.06068089999999 42.3455399, -83.0606418 42.3454716, -83.0604206 42.3450877, -83.06003800000001 42.3444098, -83.0600091 42.344361, -83.05998839999999 42.3443259, -83.05981920000001 42.3440369, -83.059757 42.3439284, -83.0597094 42.3438441, -83.0593161 42.3431478, -83.0592594 42.3430477, -83.059186 42.3429218, -83.0591481 42.342853, -83.0588358 42.3422964, -83.0586084 42.3418952, -83.0585634 42.3418208, -83.0585021 42.3417175, -83.05829369999999 42.3413442, -83.05805239999999 42.3409188, -83.0579626 42.3407606, -83.057844 42.3405387, -83.0577918 42.3404409, -83.0576951 42.340275, -83.0576614 42.3402172, -83.0573794 42.3397189, -83.05720890000001 42.3394294, -83.0571939 42.3394028, -83.05707959999999 42.3392004, -83.05702890000001 42.3391129, -83.056966 42.3389981, -83.0567185 42.3385672, -83.05666859999999 42.338468, -83.0566401 42.3384107, -83.05640200000001 42.3379884)",25 mph,Cass Avenue,yes,,
62658285,1269682895,0,"[421862400, 747431040, 421862402, 421862401, 495371012, 505835909, 505835910, 495371015, 505835912, 505835913, 505835914, 505835911, 747431051, 505835908, 505835904, 401167229, 502615824, 505835905, 505837587, 116751894, 505837593, 331164827, 505835907, 505837599, 401167139, 401167140, 401155491, 40879396, 421864103, 505837604, 421864105, 401155497, 40879403, 518316204, 505837610, 545955397, 270520136, 270520137, 422096969, 270520138, 270520140, 401163086, 401163471, 421862397, 459592788, 421862398, 421862399, 39199709, 421869790, 421869798, 505835887, 744213743, 495849969, 505835893, 119452919, 505835899, 747431037, 747431038, 747431039]",False,"['4', '5', '6']",primary,3759.188999999998,"LINESTRING (-83.098536 42.331264, -83.098125 42.3312716, -83.096796 42.331271, -83.0962935 42.3313016, -83.0960041 42.3313192, -83.0957284 42.3313346, -83.0955683 42.3313435, -83.09542209999999 42.3313527, -83.09509199999999 42.331368, -83.0949766 42.3313741, -83.0948083 42.3313833, -83.0945577 42.331397, -83.0942795 42.3314093, -83.09315700000001 42.331423, -83.0928297 42.3314253, -83.09258269999999 42.331426, -83.0921159 42.3314284, -83.091987 42.331429, -83.0918546 42.3314299, -83.091638 42.3314314, -83.09128990000001 42.3314337, -83.0910386 42.3314352, -83.090508 42.331439, -83.089234 42.331448, -83.0890631 42.3314489, -83.089049 42.331449, -83.0885427 42.331452, -83.08841320000001 42.3314528, -83.088217 42.331454, -83.0881421 42.331454, -83.087958 42.331454, -83.087801 42.331454, -83.0876676 42.331456, -83.0875454 42.3314569, -83.0871092 42.3314578, -83.08698579999999 42.3314575, -83.086608 42.3314616, -83.08608359999999 42.331465, -83.08539159999999 42.3314708, -83.0852744 42.3314719, -83.0849437 42.3314717, -83.0842342 42.3314755, -83.08410859999999 42.3314758, -83.084082 42.3314758, -83.0838409 42.3314752, -83.08374790000001 42.3314751, -83.0836462 42.3314705, -83.0832837 42.3314451, -83.0828954 42.3314153, -83.0824983 42.3313849, -83.08193199999999 42.331345, -83.0813254 42.331345, -83.0807322 42.331345, -83.080397 42.331345, -83.080208 42.331346, -83.0795521 42.3313494, -83.07904000000001 42.331352, -83.077881 42.331359, -83.0773688 42.3313609, -83.0771487 42.3313617, -83.0769988 42.3313623, -83.0769562 42.3313615, -83.07643330000001 42.3313601, -83.07624370000001 42.3313619, -83.07590020000001 42.3313643, -83.0749819 42.331374, -83.0744053 42.3313778, -83.0734975 42.3313797, -83.07298470000001 42.3313821, -83.0728447 42.3313832, -83.0727127 42.3313842, -83.0723824 42.3313867, -83.07209279999999 42.3313904, -83.07198099999999 42.331391, -83.07178399999999 42.331392, -83.0716556 42.3313926, -83.0713418 42.3313941, -83.0712048 42.3313948, -83.0709593 42.3313958, -83.0705342 42.3313979, -83.0702766 42.3313991, -83.06975180000001 42.3314016, -83.069418 42.3314032, -83.0688585 42.3314059, -83.0686944 42.3314067, -83.068432 42.331408, -83.0677316 42.3314109, -83.0675861 42.3314104, -83.0674176 42.3314121, -83.0671463 42.3314149, -83.06695000000001 42.331416, -83.06674409999999 42.3314184, -83.06637569999999 42.3314218, -83.066075 42.331421, -83.065996 42.3314216, -83.065432 42.3314259, -83.06508289999999 42.3314297, -83.06371 42.331446, -83.0629282 42.3314949, -83.0627628 42.3315056, -83.0624864 42.3315269, -83.0623293 42.3315373, -83.0621848 42.3315463, -83.06201179999999 42.3315548, -83.0617586 42.3315712, -83.0612795 42.3315978, -83.0610305 42.3316107, -83.0606148 42.3316255, -83.0604534 42.3316399, -83.06022659999999 42.3316544, -83.05873560000001 42.3316556, -83.0584929 42.3316564, -83.0580648 42.331658, -83.0578395 42.3316615, -83.0577167 42.3316634, -83.057368 42.3316642, -83.0572677 42.3316644, -83.0570135 42.331665, -83.0567915 42.3316656, -83.0566709 42.3316665, -83.0550068 42.3316703, -83.05479560000001 42.3316704, -83.0546477 42.3316708, -83.054468 42.3316712, -83.05442290000001 42.3316713, -83.0543167 42.3316715, -83.05419929999999 42.3316718, -83.05392759999999 42.3316722, -83.0533918 42.3316761, -83.0533576 42.3316756, -83.0532822 42.3316745, -83.0531668 42.3316744, -83.05283420000001 42.331678)","['25 mph', '35 mph']",Michigan Avenue,yes,US 12,
62658285,63014989,0,"[421860793, 52428001, 421860790]",True,"['3', '2']",primary,493.71000000000004,"LINESTRING (-83.098536 42.331264, -83.0988196 42.3313081, -83.0989069 42.3313094, -83.099563 42.331319, -83.1013715 42.3313012, -83.10230900000001 42.331292, -83.1029905 42.3312881, -83.10430460000001 42.3312836, -83.1045194 42.3312212)",35 mph,Michigan Avenue,,US 12,
62659443,62659464,0,663998328,False,,tertiary,118.25800000000001,"LINESTRING (-83.1197061 42.4243692, -83.1197992 42.4244327, -83.119883 42.4244879, -83.11996499999999 42.4245265, -83.1201066 42.4245752, -83.120243 42.424609, -83.120436 42.424654, -83.120632 42.424693, -83.120829 42.424726, -83.12102299999999 42.424751)",25 mph,Merrill Plaisance Street,,,
