u,v,key,osmid,oneway,lanes,highway,length,geometry,maxspeed,name,ref,bridge,access
62600457,4956715013,0,505835915,False,4,primary,16.022,"LINESTRING (-83.11064 42.3311738, -83.11044510000001 42.331175)",35 mph,Michigan Avenue,US 12,,
62604122,4639760787,0,119452915,False,,tertiary,8.001,"LINESTRING (-83.05486519999999 42.3352821, -83.0549027 42.3353485)",25 mph,Cass Avenue,,,
62604122,4639760786,0,501944733,False,,tertiary,8.196,"LINESTRING (-83.05486519999999 42.3352821, -83.0548264 42.3352142)",25 mph,Cass Avenue,,,
62604124,4516283444,0,8752036,False,4,primary,16.54,"LINESTRING (-83.05552400000001 42.335, -83.05570059999999 42.3350713)",30 mph,Grand River Avenue,M 5,,
62604124,4639760992,0,501944736,False,4,primary,74.928,"LINESTRING (-83.05552400000001 42.335, -83.0547254 42.3346751)",30 mph,Grand River Avenue,M 5,,
62604620,4584427723,0,422035304,False,5,secondary,17.064,"LINESTRING (-83.0100439 42.3436566, -83.0102227 42.3435786)",35 mph,East Jefferson Avenue,,,
62604620,4584427725,0,422035307,False,5,secondary,15.765,"LINESTRING (-83.0100439 42.3436566, -83.00987929999999 42.3437294)",35 mph,East Jefferson Avenue,,,
62605851,5952912300,0,509175281,False,2,tertiary,6.255,"LINESTRING (-83.0616653 42.347263, -83.061694 42.3473151)",25 mph,Cass Avenue,,,
62605851,5952912297,0,509175281,False,2,tertiary,9.046,"LINESTRING (-83.0616653 42.347263, -83.0616217 42.3471883)",25 mph,Cass Avenue,,,
62606619,4216201144,0,421877027,False,5,primary,34.399,"LINESTRING (-83.13825799999999 42.356328, -83.1382715 42.3566372)",35 mph,Livernois Avenue,,,
62606619,4216201143,0,421877030,False,5,primary,45.085,"LINESTRING (-83.13825799999999 42.356328, -83.1382425 42.3559227)",35 mph,Livernois Avenue,,,
62613311,4078727208,0,421885994,False,4,secondary,9.218,"LINESTRING (-82.974639 42.3650909, -82.9745446 42.3651357)",35 mph,East Jefferson Avenue,,,
62613311,4970269116,0,421885994,False,4,secondary,22.189,"LINESTRING (-82.974639 42.3650909, -82.9748654 42.3649821)",35 mph,East Jefferson Avenue,,,
62615818,4952640784,0,512738105,False,5,primary,5.385,"LINESTRING (-83.06513099999999 42.338924, -83.0651888 42.3389468)",30 mph,Grand River Avenue,M 5,,
62615818,62752344,0,512738105,False,5,primary,68.147,"LINESTRING (-83.06513099999999 42.338924, -83.06440499999999 42.338628)",30 mph,Grand River Avenue,M 5,,
62618609,4584427770,0,401419406,False,5,secondary,6.954,"LINESTRING (-83.0278898 42.3359808, -83.0279615 42.3359476)",35 mph,East Jefferson Avenue,,,
62618615,5922804755,0,422037766,False,5,secondary,6.213,"LINESTRING (-83.0245748 42.337403, -83.0245097 42.3374314)",35 mph,East Jefferson Avenue,,,
62618617,4038583453,0,401419656,False,5,secondary,15.215,"LINESTRING (-83.0227019 42.338214, -83.0225415 42.3382823)",35 mph,East Jefferson Avenue,,,
62618617,4038583452,0,401419657,False,5,secondary,18.34,"LINESTRING (-83.0227019 42.338214, -83.0228918 42.3381274)",35 mph,East Jefferson Avenue,,,
62618619,7129347052,0,422037754,False,5,secondary,8.926,"LINESTRING (-83.0197309 42.3394909, -83.01963689999999 42.3395311)",35 mph,East Jefferson Avenue,,,
62618619,6925541270,0,507482850,False,4,secondary,9.251,"LINESTRING (-83.0197309 42.3394909, -83.0198279 42.3394487)",35 mph,East Jefferson Avenue,,,
62618619,6925541269,0,69706030,False,2,residential,16.279,"LINESTRING (-83.0197309 42.3394909, -83.0196444 42.3393592)",25 mph,Joseph Campau Street,,,
62618624,4553389357,0,422037755,False,5,secondary,17.39,"LINESTRING (-83.01635779999999 42.3409376, -83.016176 42.3410176)",35 mph,East Jefferson Avenue,,,
62618624,4584427734,0,422037772,False,5,secondary,19.15,"LINESTRING (-83.01635779999999 42.3409376, -83.0165592 42.340851)",35 mph,East Jefferson Avenue,,,
62618625,5411378327,0,270520093,False,5,secondary,18.521,"LINESTRING (-83.0145417 42.3417212, -83.0143475 42.3418057)",35 mph,East Jefferson Avenue,,,
62618625,7259209521,0,270520093,False,5,secondary,12.545,"LINESTRING (-83.0145417 42.3417212, -83.01467390000001 42.3416648)",35 mph,East Jefferson Avenue,,,
62618626,734843168,0,270520093,False,5,secondary,15.198,"LINESTRING (-83.0127799 42.3424811, -83.01262060000001 42.3425505)",35 mph,East Jefferson Avenue,,,
62618626,7561207019,0,270520093,False,5,secondary,42.179,"LINESTRING (-83.0127799 42.3424811, -83.01322330000001 42.3422901)",35 mph,East Jefferson Avenue,,,
62618628,7210934022,0,422035316,False,5,secondary,24.67,"LINESTRING (-83.0091645 42.3440362, -83.0089053 42.3441481)",35 mph,East Jefferson Avenue,,,
