u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,service,access
62838112,62838114,0,8752037,True,2,West Grand River Avenue,primary,20 mph,25.067,"LINESTRING (-83.14317509999999 42.3697007, -83.14339099999999 42.36986)",,
62838114,62838116,0,8752037,True,2,West Grand River Avenue,primary,20 mph,23.706,"LINESTRING (-83.14339099999999 42.36986, -83.14357699999999 42.370023)",,
62838116,62838117,0,8752037,True,2,West Grand River Avenue,primary,20 mph,9.31,"LINESTRING (-83.14357699999999 42.370023, -83.1436398 42.3700927)",,
62838117,62838120,0,8752037,True,2,West Grand River Avenue,primary,20 mph,19.539,"LINESTRING (-83.1436398 42.3700927, -83.143783 42.370233)",,
62838120,62838123,0,8752037,True,2,West Grand River Avenue,primary,20 mph,39.501,"LINESTRING (-83.143783 42.370233, -83.144034 42.370536)",,
62838123,4639785711,0,8752037,True,2,West Grand River Avenue,primary,20 mph,16.533,"LINESTRING (-83.144034 42.370536, -83.1441253 42.3706685)",,
62867320,62892143,0,517930558,False,2,West Chicago Boulevard,residential,20 mph,8.251,"LINESTRING (-83.12326729999999 42.3719531, -83.12336449999999 42.3719718)",,
62885059,62885061,0,8755263,True,,Mackay Street,residential,10 mph,3.14,"LINESTRING (-83.076891 42.436308, -83.076886 42.436336)",,
62885061,62885062,0,8755263,True,,Mackay Street,residential,10 mph,2.838,"LINESTRING (-83.076886 42.436336, -83.076871 42.436359)",,
62885062,62885063,0,8755263,True,,Mackay Street,residential,10 mph,2.45,"LINESTRING (-83.076871 42.436359, -83.076852 42.436376)",,
62885063,62885065,0,8755263,True,,Mackay Street,residential,10 mph,7.144,"LINESTRING (-83.076852 42.436376, -83.076779 42.436411)",,
62885065,62885066,0,8755263,True,,Mackay Street,residential,10 mph,29.98,"LINESTRING (-83.076779 42.436411, -83.07646200000001 42.436545)",,
62885066,4039412093,0,8755263,True,,Mackay Street,residential,10 mph,5.151,"LINESTRING (-83.07646200000001 42.436545, -83.0764109 42.4365719)",,
62892143,62892146,0,517930558,False,2,West Chicago Boulevard,residential,20 mph,36.213,"LINESTRING (-83.12336449999999 42.3719718, -83.123758 42.371825)",,
62892143,62867320,0,517930558,False,2,West Chicago Boulevard,residential,20 mph,8.251,"LINESTRING (-83.12336449999999 42.3719718, -83.12326729999999 42.3719531)",,
62892146,62670703,0,517930558,False,2,West Chicago Boulevard,residential,20 mph,43.017,"LINESTRING (-83.123758 42.371825, -83.124225 42.37165)",,
62892146,62892143,0,517930558,False,2,West Chicago Boulevard,residential,20 mph,36.213,"LINESTRING (-83.123758 42.371825, -83.12336449999999 42.3719718)",,
62905742,6403192863,0,426380214,False,,Votrobeck Drive,residential,10 mph,106.187,"LINESTRING (-83.2431102 42.4310546, -83.2430585 42.4301004)",,
62905742,6403192856,0,426380214,False,,Votrobeck Drive,residential,10 mph,15.862,"LINESTRING (-83.2431102 42.4310546, -83.24311520000001 42.4311972)",,
62905744,6403192856,0,426380214,False,,Votrobeck Drive,residential,10 mph,4.892,"LINESTRING (-83.2430966 42.431239, -83.24311520000001 42.4311972)",,
62905744,62905745,0,426380214,False,,Votrobeck Drive,residential,10 mph,5.34,"LINESTRING (-83.2430966 42.431239, -83.2430596 42.4312785)",,
62905745,62905744,0,426380214,False,,Votrobeck Drive,residential,10 mph,5.34,"LINESTRING (-83.2430596 42.4312785, -83.2430966 42.431239)",,
62905745,6403192855,0,426380214,False,,Votrobeck Drive,residential,10 mph,107.999,"LINESTRING (-83.2430596 42.4312785, -83.2421653 42.431991)",,
62905746,6403192788,0,8758535,True,,Votrobeck Court,residential,10 mph,8.017,"LINESTRING (-83.24209999999999 42.432043, -83.2420291 42.4319934)",,
62905746,7440102334,0,426380214,False,,Votrobeck Drive,residential,10 mph,5.295,"LINESTRING (-83.24209999999999 42.432043, -83.2421439 42.4320081)",,
62905748,6403192731,0,8756680,True,,Votrobeck Drive,residential,10 mph,63.214,"LINESTRING (-83.241551 42.432477, -83.2420767 42.4320615)",,
62905750,62905748,0,8756680,True,,Votrobeck Drive,residential,10 mph,3.435,"LINESTRING (-83.241518 42.432496, -83.241551 42.432477)",,
62905752,62905750,0,8756680,True,,Votrobeck Drive,residential,10 mph,3.363,"LINESTRING (-83.24148099999999 42.432509, -83.241518 42.432496)",,
62905754,62905752,0,8756680,True,,Votrobeck Drive,residential,10 mph,5.004,"LINESTRING (-83.241421 42.432517, -83.24148099999999 42.432509)",,
62905757,62708293,0,8756680,True,,Votrobeck Drive,residential,10 mph,55.426,"LINESTRING (-83.240245 42.432546, -83.24092 42.43253)",,
62905759,62905757,0,8756680,True,,Votrobeck Drive,residential,10 mph,4.644,"LINESTRING (-83.240189 42.43254, -83.240245 42.432546)",,
62905761,62905759,0,8756680,True,,Votrobeck Drive,residential,10 mph,4.64,"LINESTRING (-83.240138 42.432522, -83.240189 42.43254)",,
62905763,62905761,0,8756680,True,,Votrobeck Drive,residential,10 mph,3.435,"LINESTRING (-83.240105 42.432503, -83.240138 42.432522)",,
62905766,62905763,0,8756680,True,,Votrobeck Drive,residential,10 mph,4.66,"LINESTRING (-83.24007 42.43247, -83.240105 42.432503)",,
62905768,62905766,0,8756680,True,,Votrobeck Drive,residential,10 mph,3.514,"LINESTRING (-83.240053 42.432441, -83.24007 42.43247)",,
62905769,62905768,0,8756680,True,,Votrobeck Drive,residential,10 mph,3.525,"LINESTRING (-83.240044 42.43241, -83.240053 42.432441)",,
62905770,62905769,0,8756680,True,,Votrobeck Drive,residential,10 mph,26.247,"LINESTRING (-83.240038 42.432174, -83.240044 42.43241)",,
62905771,62905770,0,8756680,True,,Votrobeck Drive,residential,10 mph,2.933,"LINESTRING (-83.240032 42.432148, -83.240038 42.432174)",,
62905774,62905771,0,8756680,True,,Votrobeck Drive,residential,10 mph,2.874,"LINESTRING (-83.240019 42.432124, -83.240032 42.432148)",,
