u,v,key,osmid,highway,oneway,length,geometry,name,area,width,lanes,maxspeed,bridge,tunnel,service,access,junction
253770484,253771358,0,365893793,cycleway,False,243.07599999999996,"LINESTRING (37.4273779 55.7681873, 37.4277909 55.7679912, 37.4279952 55.7678527, 37.4282018 55.7676858, 37.4283975 55.7674966, 37.42852 55.7673451, 37.4287819 55.7670334, 37.4289081 55.7668487, 37.429272 55.766316)",Велотрасса на Крылатских холмах,,,,,,,,,
253770670,253770484,0,53447624,cycleway,False,80.41,"LINESTRING (37.4275938 55.7674776, 37.4275792 55.7675479, 37.4275557 55.7676451, 37.4275178 55.7677715, 37.4274496 55.7679377, 37.4273789 55.7680686, 37.4273779 55.7681873)",,,,,,,,,,
253770670,253770484,1,365893793,cycleway,False,4198.236000000002,"LINESTRING (37.4275938 55.7674776, 37.4275646 55.7674477, 37.4275416 55.7673701, 37.4276439 55.7671643, 37.4277899 55.7669809, 37.4278499 55.7668094, 37.4278289 55.7666713, 37.4277362 55.7665372, 37.4276144 55.7664295, 37.4274453 55.7663318, 37.4272841 55.766258, 37.4267549 55.7660277, 37.4263307 55.7658558, 37.4259445 55.7656916, 37.4253866 55.7655564, 37.4248287 55.7655564, 37.4243137 55.7656289, 37.4234125 55.7657399, 37.423113 55.7657576, 37.4225971 55.7657882, 37.4223532 55.765792, 37.4219791 55.7657979, 37.4214995 55.7657663, 37.421226 55.7657341, 37.4206659 55.7656229, 37.4190888 55.7651587, 37.4189455 55.7650561, 37.4189064 55.7649528, 37.4190094 55.7647356, 37.4190952 55.7645665, 37.4190842 55.7644756, 37.4190218 55.7643917, 37.4188902 55.7643486, 37.4187519 55.7643492, 37.4186543 55.7643689, 37.4186346 55.7643729, 37.418559 55.7644269, 37.4183914 55.7646486, 37.4182884 55.7649046, 37.4182451 55.7650338, 37.4182421 55.7651617, 37.4182863 55.7652935, 37.4183742 55.7654212, 37.4186661 55.7656289, 37.4190351 55.7657399, 37.420521 55.7660466, 37.4208157 55.7661622, 37.4209829 55.7662714, 37.4210951 55.7663676, 37.4212334 55.7665778, 37.4213017 55.7667313, 37.4213201 55.7669342, 37.4212667 55.7671402, 37.4213302 55.7673131, 37.4214108 55.767384, 37.4215242 55.7674396, 37.4216119 55.7674533, 37.4216807 55.767464, 37.4218418 55.7674637, 37.4222191 55.7673955, 37.4224557 55.7673144, 37.4226156 55.7671993, 37.4227174 55.7671023, 37.4227887 55.7669902, 37.422804 55.7668994, 37.4228077 55.7668108, 37.4227401 55.7666988, 37.4226267 55.7666002, 37.4223576 55.7664004, 37.4223061 55.7662507, 37.4223032 55.7661678, 37.4223396 55.7660876, 37.4224889 55.7660145, 37.4226658 55.7659814, 37.4229115 55.7659719, 37.4231368 55.7660476, 37.4232321 55.7661424, 37.4232884 55.766257, 37.4233229 55.7669764, 37.4231979 55.7671499, 37.4225825 55.7675777, 37.4222538 55.7676906, 37.4219105 55.7677293, 37.4215242 55.7676906, 37.4214564 55.7676662, 37.421371 55.7676356, 37.420536 55.7673394, 37.419748 55.7670239, 37.4192497 55.7667636, 37.4185861 55.7663638, 37.4178764 55.7659814, 37.4174359 55.7659519, 37.4170868 55.7660152, 37.4169828 55.7660674, 37.4168464 55.7661359, 37.4166748 55.7663049, 37.4166319 55.7665318, 37.4166748 55.7667636, 37.4168894 55.7669084, 37.4171727 55.7669837, 37.4180148 55.7670295, 37.418452 55.7670213, 37.4188806 55.7670533, 37.4192071 55.7670932, 37.4194568 55.7671491, 37.4202883 55.767446, 37.4211255 55.7677487, 37.4211819 55.7677829, 37.4213697 55.7678741, 37.4215242 55.768019, 37.4215242 55.7681735, 37.4213526 55.7683087, 37.4210264 55.7683328, 37.4208493 55.7683166, 37.4206831 55.7682845, 37.4205866 55.7682421, 37.4204259 55.7681548, 37.4201409 55.7678888, 37.4199196 55.7676824, 37.4196993 55.7675541, 37.419396 55.7674972, 37.4180877 55.7674009, 37.4166682 55.7673041, 37.4146578 55.7672947, 37.414456 55.7673205, 37.4142715 55.7673913, 37.4140741 55.7675458, 37.4140304 55.7679748, 37.4140741 55.7684052, 37.4142032 55.7685142, 37.4145551 55.7686158, 37.4148699 55.7687592, 37.4149449 55.7688586, 37.4150183 55.7689267, 37.4151727 55.769255, 37.4154045 55.7694192, 37.4156952 55.7694975, 37.4158165 55.7695302, 37.416506 55.769575, 37.4172161 55.7695216, 37.4175503 55.7694964, 37.4184601 55.7694578, 37.4185385 55.7694734, 37.4189922 55.769564, 37.4199505 55.7697291, 37.4203496 55.7698013, 37.4208977 55.7698441, 37.4213097 55.7698743, 37.4218639 55.7698459, 37.422478 55.7697779, 37.422934 55.7697146, 37.4238684 55.7695246, 37.4242965 55.7694192, 37.4246746 55.7692916, 37.4251549 55.7691295, 37.4273779 55.7681873)",Велотрасса на Крылатских холмах,,,,,,,,,
253770670,1181132530,0,365893793,cycleway,False,240.003,"LINESTRING (37.4275938 55.7674776, 37.4276929 55.7675045, 37.4277978 55.7675102, 37.4279358 55.7674927, 37.4280398 55.7674553, 37.4281165 55.7674043, 37.4285952 55.7669103, 37.4287643 55.7666058, 37.4287451 55.7664608, 37.4286693 55.7663207, 37.4283202 55.7660678, 37.4278581 55.7658683)",Велотрасса на Крылатских холмах,,,,,,,,,
253771011,3451741095,0,338109177,cycleway,False,108.311,"LINESTRING (37.4301623 55.7572737, 37.4309918 55.7570586, 37.4317092 55.7568378)",,,,,,,,,,
253771011,3614596552,0,365893793,cycleway,False,653.236,"LINESTRING (37.4301623 55.7572737, 37.4306851 55.7572451, 37.4309603 55.7572514, 37.4311865 55.757283, 37.4313629 55.7573435, 37.4315169 55.7574048, 37.4316338 55.7574737, 37.4316557 55.7574866, 37.4317444 55.7575715, 37.4318159 55.7576718, 37.4318259 55.7577707, 37.4317988 55.7578546, 37.4317251 55.7579312, 37.4316215 55.7579965, 37.4315084 55.7580374, 37.4313714 55.7580674, 37.4312059 55.7580714, 37.4310423 55.7580494, 37.4309012 55.7580087, 37.4306377 55.7578756, 37.4303438 55.7577387, 37.4302153 55.7576983, 37.43003 55.7576658, 37.429867 55.757649, 37.4296953 55.7576621, 37.4295806 55.7576742, 37.4294729 55.757703, 37.429352 55.7577623, 37.4291803 55.7578964, 37.4282483 55.7586347, 37.4264336 55.7600962, 37.4264051 55.7601777)",Велотрасса на Крылатских холмах,,,,,,,,,
253771011,3614596553,0,365893793,cycleway,False,432.279,"LINESTRING (37.4301623 55.7572737, 37.4292632 55.7574474, 37.4290851 55.7574882, 37.428854 55.7575383, 37.4285465 55.7576475, 37.4283335 55.7577343, 37.4281804 55.7578118, 37.4280334 55.7578979, 37.427936 55.7579966, 37.4279052 55.758065, 37.4278593 55.7583153, 37.4278282 55.7583981, 37.4277684 55.7584891, 37.427601 55.7586799, 37.4274756 55.7587745, 37.4272899 55.7588767, 37.4271123 55.7589669, 37.4268886 55.7590759, 37.4263307 55.759327, 37.4262125 55.7594429, 37.4259617 55.7598969, 37.4258446 55.7599867)",Велотрасса на Крылатских холмах,,,,,,,,,
253771358,253770484,0,365893793,cycleway,False,243.07600000000002,"LINESTRING (37.429272 55.766316, 37.4289081 55.7668487, 37.4287819 55.7670334, 37.42852 55.7673451, 37.4283975 55.7674966, 37.4282018 55.7676858, 37.4279952 55.7678527, 37.4277909 55.7679912, 37.4273779 55.7681873)",Велотрасса на Крылатских холмах,,,,,,,,,
261575346,100023578,0,24146564,cycleway,True,95.639,"LINESTRING (37.4894221 55.636799, 37.4904403 55.6361591)",,,,,,,,,,
261575346,2609954759,0,"[255290893, 686238062]",cycleway,False,177.052,"LINESTRING (37.4894221 55.636799, 37.4892253 55.636907, 37.4877033 55.6377425, 37.4876018 55.6377982, 37.4875249 55.6378648, 37.4874531 55.6379333)",,,,,,,,,,
