u,v,key,osmid,oneway,highway,maxspeed,length,geometry,lanes,name,access,service,width,tunnel,junction,area,bridge
80225360,960426660,0,366782927,True,primary_link,30,8.473,"LINESTRING (37.3845852 55.7144211, 37.3847169 55.7144037)",2,,,,,,,,
80225361,1160966582,0,366782927,True,primary_link,30,9.469,"LINESTRING (37.3842723 55.7144098, 37.3844213 55.7144242)",2,,,,,,,,
80225362,1160966796,0,366782927,True,primary_link,30,11.699,"LINESTRING (37.3839733 55.7143175, 37.3841271 55.7143772)",2,,,,,,,,
80225363,1160965302,0,366782927,True,primary_link,30,11.633,"LINESTRING (37.3837828 55.7141573, 37.3838668 55.7142506)",2,,,,,,,,
80225364,960426759,0,366782927,True,primary_link,30,11.584,"LINESTRING (37.3837753 55.7139558, 37.3837558 55.7140594)",2,,,,,,,,
80225366,80225364,0,366782927,True,primary_link,30,12.317,"LINESTRING (37.383858 55.7138553, 37.3837753 55.7139558)",2,,,,,,,,
80225368,1160965544,0,366782927,True,primary_link,30,9.575,"LINESTRING (37.3840679 55.7137476, 37.3839454 55.7137991)",2,,,,,,,,
80226940,3835607576,0,360696397,True,primary_link,30,11.443,"LINESTRING (37.384331 55.7125737, 37.3842811 55.7126727)",1,,,,,,,,
82486272,1183416747,0,259689022,False,service,20,10.998,"LINESTRING (37.5852909 55.5693376, 37.5852157 55.5692483)",,,,,,,,,
82775440,529450316,0,42407435,False,service,20,19.425,"LINESTRING (37.572667 55.5793523, 37.5725363 55.5795106)",,,,,,,,,
84360020,2914399209,0,222888317,False,service,20,11.67,"LINESTRING (37.480154 55.6515834, 37.4803343 55.6516092)",,,,,,,,,
85740717,712762476,0,57237002,False,service,30,49.964,"LINESTRING (37.5405563 55.6083125, 37.5407159 55.6078723)",,,,,4,,,,
85740717,712762473,0,57237002,False,service,30,10.367,"LINESTRING (37.5405563 55.6083125, 37.5404917 55.6083983)",,,,,4,,,,
96482977,5401249546,0,11527981,False,secondary,30,14.127,"LINESTRING (37.6133412 55.768324, 37.6134372 55.768209)",4,площадь Петровские Ворота,,,,,,,
96485170,5401249546,0,11527981,False,secondary,30,25.02,"LINESTRING (37.6136013 55.7680038, 37.6134372 55.768209)",4,площадь Петровские Ворота,,,,,,,
96919511,269658359,0,10895572,False,service,20,11.769,"LINESTRING (37.3969368 55.7157176, 37.396907 55.7158221)",,,,,,,,,
96919511,3835537352,0,244861657,True,service,20,13.84,"LINESTRING (37.3969368 55.7157176, 37.3970866 55.7156261)",,,,,,,,,
97026125,7278542661,0,814490308,False,unclassified,30,87.358,"LINESTRING (37.6915289 55.8307157, 37.6901329 55.8306659)",2,Яузская аллея,,,,,,,
102743915,1475286214,0,11530011,True,unclassified,20,10.174,"LINESTRING (37.6236419 55.7607166, 37.6234804 55.7607273)",2,Пушечная улица,,,,,,,
104163224,2863202124,0,313767685,False,residential,20,2.635,"LINESTRING (37.6377138 55.7680442, 37.6377023 55.7680214)",2,Уланский переулок,,,,,,,
104163224,2097044396,0,313767685,False,residential,20,4.383,"LINESTRING (37.6377138 55.7680442, 37.6377584 55.7680746)",2,Уланский переулок,,,,,,,
