u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,access,bridge,tunnel,area,service
7326548163,5290018845,0,271483593,False,Carrer de la Selva de Mar,cycleway,,12.473,"LINESTRING (2.2136423 41.4054583, 2.2137474 41.4053785)",2,2.5,,,,,,
7326548163,5393693753,0,271483593,False,Carrer de la Selva de Mar,cycleway,,31.454,"LINESTRING (2.2136423 41.4054583, 2.213577 41.4055078, 2.2133776 41.4056598)",2,2.5,,,,,,
7326548163,5393693769,0,784307485,False,,cycleway,,31.653,"LINESTRING (2.2136423 41.4054583, 2.2135773 41.4054067, 2.213501 41.4053582, 2.2134817 41.4053476, 2.2135859 41.4052556)",,,,,,,,
7383536106,1469158190,0,636875415,True,Avinguda de Josep Tarradellas,cycleway,,49.452000000000005,"LINESTRING (2.1425078 41.3806995, 2.1425053 41.3807695, 2.1425085 41.3809112, 2.1425121 41.3809513, 2.1425188 41.3810269, 2.142482 41.3810769, 2.1424804 41.3811368)",,,,,,,,
7383536106,6005059829,0,636875417,False,Enllaç bici Numància - Provença,cycleway,,29.431,"LINESTRING (2.1425078 41.3806995, 2.1424165 41.380702, 2.1423309 41.3807275, 2.1422175 41.3807834, 2.1421878 41.3807952)",,,,,,,,
7383536106,4858092690,0,"[636875417, 258787122, 831157596, 831157597]",False,"['Carrer de Provença', 'Enllaç bici Numància - Provença']",cycleway,,278.48799999999994,"LINESTRING (2.1425078 41.3806995, 2.1425627 41.3806981, 2.1426733 41.3807087, 2.1427101 41.3807114, 2.14278 41.3807264, 2.1428151 41.3807065, 2.1428409 41.3806825, 2.1429362 41.3806999, 2.1430185 41.3807592, 2.1431663 41.3808722, 2.1432732 41.3809526, 2.1433095 41.3809799, 2.1435828 41.381179, 2.1438236 41.381367, 2.1440312 41.3815232, 2.1447155 41.3820382, 2.1449236 41.3821948, 2.1449689 41.3822291)",2,1.5,3,,,,,
7383536183,3052730095,0,540276902,True,Avinguda de Josep Tarradellas,cycleway,,33.432,"LINESTRING (2.1427943 41.3858468, 2.1427968 41.3858874, 2.1428026 41.3859839, 2.1428187 41.3860736, 2.1428097 41.3861462)",1,1.5,,,,,,
7383536183,5435346853,0,564074323,True,Carrer de París,cycleway,,228.75799999999998,"LINESTRING (2.1427943 41.3858468, 2.1428483 41.3858707, 2.14289 41.3858952, 2.1430903 41.3860342, 2.1436973 41.3865063, 2.1447248 41.3873047)",,,,,,,,
7391288637,5394341508,0,301174230,False,Carrer de Numància,cycleway,,329.364,"LINESTRING (2.1305175 41.392309, 2.1304311 41.392272, 2.1314397 41.3911768, 2.1314589 41.391156, 2.1315964 41.3909987, 2.1324312 41.3900941, 2.1324945 41.3900039, 2.1325654 41.3898737)",2,2.5,,,,,,
7503683184,5435346862,0,"[272583358, 802197046]",False,Carrer del Comte d'Urgell,cycleway,,44.954,"LINESTRING (2.1484147 41.3897156, 2.1484673 41.3897639, 2.1485046 41.3898238, 2.1485042 41.3899993, 2.1484609 41.390033, 2.1484102 41.3900706)",2,2,,,,,,
7503683184,6842012526,0,"[241903902, 802197047]",False,Carrer del Comte d'Urgell,cycleway,,248.71599999999998,"LINESTRING (2.1484147 41.3897156, 2.1484613 41.3896785, 2.1489046 41.3893537, 2.1490942 41.3892087, 2.1493757 41.3889934, 2.1495841 41.3888378, 2.1502906 41.3883103, 2.1503144 41.388289, 2.1503186 41.388069)",2,2,,,,,,
7511891181,7638160453,0,803424581,True,carril bici Pau Claris Provisional COVID,cycleway,,6.669,"LINESTRING (2.1700336 41.3906065, 2.1700908 41.3905646)",,1,,,,,,
7511891181,7515360137,0,505668849,True,Gran Via de les Corts Catalanes,cycleway,,123.317,"LINESTRING (2.1700336 41.3906065, 2.1701412 41.3906854, 2.1709088 41.3912456, 2.1710932 41.3913798)",1,2,,,,,,
7511926387,3314271847,0,"[362064417, 478725548, 478725550]",True,Carrer de la Diputació,cycleway,,676.255,"LINESTRING (2.1686474 41.3916516, 2.1685746 41.3916108, 2.1683529 41.3914415, 2.1677562 41.3909962, 2.1671839 41.3905659, 2.1670286 41.3904451, 2.1668929 41.3903392, 2.1662622 41.38987, 2.1659912 41.3896643, 2.1659629 41.3896429, 2.1659485 41.3896319, 2.165766 41.3894935, 2.1656897 41.3894363, 2.1656179 41.3893778, 2.165451 41.389233, 2.164931 41.3888134, 2.1643593 41.3884194, 2.1643348 41.3884026, 2.1641761 41.3882937, 2.1640852 41.3882222, 2.1638755 41.3880565, 2.163541 41.3877802, 2.1631901 41.3875249, 2.1629862 41.3873643, 2.1629455 41.3873329)",1,1.5,,,,,,
7511926387,5268180735,0,803424581,True,carril bici Pau Claris Provisional COVID,cycleway,,140.006,"LINESTRING (2.1686474 41.3916516, 2.1689046 41.3914576, 2.1697005 41.3908575, 2.1697901 41.39079, 2.1698311 41.390759)",,1,,,,,,
7511926391,7516901235,0,289067598,True,Carrer del Consell de Cent,cycleway,,124.555,"LINESTRING (2.16759 41.3924489, 2.1677169 41.3925619, 2.1677636 41.3925966, 2.168421 41.3930891, 2.1684579 41.3931151, 2.1686389 41.3932453)",1,1.5,2.5,,,,,
7511926391,7511926387,0,803424579,True,carril bici Pau Claris Provisional COVID,cycleway,,125.06200000000001,"LINESTRING (2.16759 41.3924489, 2.1681189 41.3920501, 2.1684143 41.3918274, 2.1684989 41.3917635, 2.1686474 41.3916516)",,1,,,,,,
7511926395,2641101889,0,"[294085191, 709107018, 295281484, 286925713, 295281244]",False,Carrer de Provença,cycleway,,675.4850000000002,"LINESTRING (2.1630555 41.3958699, 2.1630124 41.3958371, 2.162824 41.3956949, 2.1627961 41.3956739, 2.1618876 41.3949881, 2.16179 41.3949176, 2.1616509 41.3948047, 2.1614996 41.3946933, 2.1614134 41.3946324, 2.1600866 41.3936337, 2.1600173 41.3935776, 2.1599417 41.3935188, 2.159759 41.3933714, 2.1592663 41.3929625, 2.1587275 41.3925751, 2.1585094 41.3924191, 2.1583878 41.3923231, 2.1583545 41.392318, 2.158272 41.3922566, 2.1575228 41.3917101, 2.1574116 41.3916289, 2.1573442 41.3915716)",2,1.5,3,,,,,
7511926395,7515360116,0,286925713,False,Carrer de Provença,cycleway,,125.65299999999999,"LINESTRING (2.1630555 41.3958699, 2.1632371 41.3960112, 2.1632761 41.3960414, 2.1639253 41.3965273, 2.1640036 41.3965859, 2.1641168 41.3966718)",2,1.5,3,,,,,
7511926395,7526529975,0,"[803424573, 803424575]",True,carril bici Pau Claris Provisional COVID,cycleway,,258.906,"LINESTRING (2.1630555 41.3958699, 2.1631858 41.3957697, 2.1633194 41.3956689, 2.1636027 41.3954553, 2.1638766 41.3952488, 2.1641509 41.395042, 2.1644317 41.3948303, 2.1647164 41.3946156, 2.1652433 41.3942183)",,1,,,,,,
7511926407,7511926395,0,803424573,True,carril bici Pau Claris Provisional COVID,cycleway,,161.987,"LINESTRING (2.1616845 41.3969016, 2.1617274 41.3968693, 2.1617766 41.3968322, 2.1618699 41.3967618, 2.1618899 41.3967468, 2.1619226 41.3967221, 2.1619541 41.3966983, 2.1620815 41.3966022, 2.162213 41.3965031, 2.1624855 41.3962977, 2.1627572 41.3960928, 2.163014 41.3958986, 2.1630555 41.3958699)",,1,,,,,,
7515360116,7511926395,0,286925713,False,Carrer de Provença,cycleway,,125.65299999999999,"LINESTRING (2.1641168 41.3966718, 2.1640036 41.3965859, 2.1639253 41.3965273, 2.1632761 41.3960414, 2.1632371 41.3960112, 2.1630555 41.3958699)",2,1.5,3,,,,,
7515360116,2905939347,0,286925713,False,Carrer de Provença,cycleway,,139.938,"LINESTRING (2.1641168 41.3966718, 2.1641497 41.3966978, 2.1643466 41.3968457, 2.1644002 41.3968859, 2.1651845 41.3974627, 2.1652599 41.3975171, 2.1653032 41.3975607)",2,1.5,3,,,,,
7515360116,7515360113,0,803424594,True,carril bici Lluria Provisional COVID,cycleway,,99.158,"LINESTRING (2.1641168 41.3966718, 2.1640595 41.3967182, 2.1638655 41.3968666, 2.1632936 41.3973151)",,1,,,,,,
7515360128,7511926387,0,362064417,True,Carrer de la Diputació,cycleway,,123.699,"LINESTRING (2.1696874 41.3924439, 2.1694841 41.3922863, 2.1688079 41.3917868, 2.1687594 41.391751, 2.1686474 41.3916516)",1,1.5,,,,,,
7515360128,7516901235,0,"[803424587, 803424588]",True,carril bici Lluria Provisional COVID,cycleway,,124.88000000000001,"LINESTRING (2.1696874 41.3924439, 2.1695026 41.3925941, 2.1691981 41.3928277, 2.1687046 41.3931982, 2.1686389 41.3932453)",,1,,,,,,
7515360134,5268180735,0,467485237,True,Gran Via de les Corts Catalanes,cycleway,,123.683,"LINESTRING (2.1708915 41.3915284, 2.1708748 41.3915134, 2.1707073 41.3913919, 2.1705184 41.3912556, 2.1701329 41.3909561, 2.1699488 41.390823, 2.1698656 41.3907626, 2.1698524 41.3907596, 2.1698311 41.390759)",1,2,,,,,,
7515360134,7515360128,0,"[803424586, 803424595]",True,carril bici Lluria Provisional COVID,cycleway,,143.119,"LINESTRING (2.1708915 41.3915284, 2.1708579 41.3915508, 2.1708112 41.3915858, 2.1707354 41.3916541, 2.169942 41.3922646, 2.1698251 41.392356, 2.1697197 41.392425, 2.1696874 41.3924439)",,1,,,,,,
7515360137,4955526657,0,505668849,True,Gran Via de les Corts Catalanes,cycleway,,387.70399999999995,"LINESTRING (2.1710932 41.3913798, 2.1711324 41.3914088, 2.1714262 41.3916376, 2.1720968 41.392161, 2.172233 41.3922668, 2.1723939 41.3923886, 2.1732066 41.3930039, 2.1733376 41.3931031, 2.1733838 41.3931281, 2.1735362 41.3932443, 2.1743522 41.3938647)",1,2,,,,,,
7515360137,7515360134,0,803424595,True,carril bici Lluria Provisional COVID,cycleway,,23.634,"LINESTRING (2.1710932 41.3913798, 2.1710433 41.3914125, 2.1709502 41.3914909, 2.1708915 41.3915284)",,1,,,,,,
7515360160,7515360137,0,"[803424600, 803424585, 803424595]",True,carril bici Lluria Provisional COVID,cycleway,,269.72700000000003,"LINESTRING (2.1733736 41.3896614, 2.1731827 41.3898102, 2.1727355 41.3901619, 2.1722587 41.3904944, 2.1713484 41.3911933, 2.1711529 41.3913436, 2.1711138 41.3913676, 2.1710932 41.3913798)",,1,,,,,,
7516901235,3184415046,0,289067598,True,Carrer del Consell de Cent,cycleway,,267.11600000000004,"LINESTRING (2.1686389 41.3932453, 2.1686761 41.3932688, 2.1688426 41.3934034, 2.1688745 41.3934267, 2.1695578 41.3939347, 2.1695894 41.3939579, 2.1698046 41.3941155, 2.1699732 41.3942509, 2.1700165 41.3942827, 2.1707003 41.394788, 2.1707418 41.3948198, 2.1709031 41.3949434)",1,1.5,2.5,,,,,
7516901235,7526529973,0,"[803424588, 803424589, 803424590, 803424591, 803424592]",True,carril bici Lluria Provisional COVID,cycleway,,277.36899999999997,"LINESTRING (2.1686389 41.3932453, 2.1685991 41.3932706, 2.1685035 41.3933397, 2.1677543 41.3939237, 2.1677012 41.3939575, 2.1674816 41.39412, 2.1672524 41.3943019, 2.1665239 41.3948607, 2.1663629 41.3949737, 2.1663057 41.3950215)",,1,,,,,,
7526506308,1362899989,0,493086071,False,Carrer del Comte d'Urgell,cycleway,,67.291,"LINESTRING (2.1538492 41.3856285, 2.1538848 41.3856015, 2.1539947 41.3855179, 2.1544166 41.3851984)",2,2,,,,,,
