u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,width,est_width,access,bridge,tunnel,area,service
2813135417,2813135416,0,276728293,False,2,Carrer de Calàbria,cycleway,,10.11,"LINESTRING (2.1550539 41.3796242, 2.1551371 41.3795581)",2,,,,,,
2813135417,5167180954,0,478415679,True,1,Gran Via de les Corts Catalanes,cycleway,,9.376,"LINESTRING (2.1550539 41.3796242, 2.1549744 41.3795646)",1,,,,,,
2813135419,4816634602,0,276728293,False,2,Carrer de Calàbria,cycleway,,4.301,"LINESTRING (2.1538918 41.3805062, 2.1538561 41.3805341)",2,,,,,,
2813135419,6876362508,0,276728293,False,2,Carrer de Calàbria,cycleway,,26.417,"LINESTRING (2.1538918 41.3805062, 2.154115 41.3803377)",2,,,,,,
2813135420,6900555868,0,276728293,False,2,Carrer de Calàbria,cycleway,,24.984,"LINESTRING (2.1527635 41.3813584, 2.1525534 41.3815185)",2,,,,,,
2813135420,3527091666,0,276728293,False,2,Carrer de Calàbria,cycleway,,5.03,"LINESTRING (2.1527635 41.3813584, 2.1528079 41.3813278)",2,,,,,,
2813135421,5693603036,0,276728293,False,2,Carrer de Calàbria,cycleway,,27.069,"LINESTRING (2.1516495 41.3821982, 2.1514241 41.3823733)",2,,,,,,
2813135421,5693602701,0,276728293,False,2,Carrer de Calàbria,cycleway,,24.765,"LINESTRING (2.1516495 41.3821982, 2.1518638 41.3820441)",2,,,,,,
2813135422,7526506324,0,276728293,False,2,Carrer de Calàbria,cycleway,,4.939,"LINESTRING (2.1505189 41.3830522, 2.1504773 41.3830838)",2,,,,,,
2813135422,6762205365,0,276728293,False,2,Carrer de Calàbria,cycleway,,12.976,"LINESTRING (2.1505189 41.3830522, 2.1506289 41.3829697)",2,,,,,,
2813135423,2813135424,0,276728293,False,2,Carrer de Calàbria,cycleway,,12.097,"LINESTRING (2.1501649 41.3833253, 2.1500618 41.3834018)",2,,,,,,
2813135423,6900562831,0,276728293,False,2,Carrer de Calàbria,cycleway,,8.465,"LINESTRING (2.1501649 41.3833253, 2.1502356 41.3832707)",2,,,,,,
