u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,ref,junction,access,bridge,service,tunnel,area
1374370845,1467488933,0,"[671836011, 116353381, 417476918]",False,"['Carrer de la Via Làctia', 'Carrer de la Robínia']",residential,30,506.652,"LINESTRING (2.1012966 41.4258743, 2.1014277 41.4259802, 2.1015013 41.4260795, 2.1015503 41.4261799, 2.1016042 41.4262963, 2.1016467 41.4264605, 2.1016598 41.4266149, 2.1016728 41.4267068, 2.1017219 41.4267791, 2.1018085 41.42686, 2.1019082 41.426931, 2.1020193 41.4269825, 2.1021239 41.4270131, 2.1022384 41.42704, 2.1023229 41.4270769, 2.1023933 41.4271406, 2.1024871 41.4272143, 2.1025222 41.4272436, 2.1025354 41.4273141, 2.1025339 41.4274805, 2.1025175 41.427582, 2.1025191 41.427707, 2.1025519 41.4278391, 2.102583 41.427942, 2.102598 41.428085, 2.102608 41.428227, 2.1025907 41.4284102, 2.1025395 41.428463, 2.1025053 41.4284759, 2.1023291 41.4285572, 2.102128 41.4286343, 2.1020599 41.4287185, 2.101968 41.428875, 2.1018842 41.4290199, 2.1018231 41.4290568, 2.1017326 41.429139, 2.1015226 41.4293478, 2.1013269 41.4295297, 2.1012439 41.4296275)",,,,,,,,,,
1374370845,1374370568,0,417476918,False,Carrer de la Robínia,residential,30,124.92899999999997,"LINESTRING (2.1012966 41.4258743, 2.1011499 41.4257547, 2.1010927 41.4257106, 2.1010208 41.4256849, 2.1009309 41.4256751, 2.1008558 41.4256763, 2.1008051 41.4256579, 2.1007528 41.4255881, 2.1006923 41.4254999, 2.1006253 41.4254067, 2.100591 41.4253406, 2.1005894 41.4252781, 2.1005926 41.4252131, 2.1006074 41.4251605, 2.10056 41.425131, 2.1004411 41.4251225)",,,,,,,,,,
1374370918,1374370398,0,133068071,False,Carrer de l'Ullastre,residential,30,20.456,"LINESTRING (2.0977109 41.428932, 2.0978857 41.4290611)",,,,,,,,,,
1374370918,534684948,0,84226355,False,Carrer de la Via Làctia,residential,30,274.59600000000006,"LINESTRING (2.0977109 41.428932, 2.0978561 41.428826, 2.097921 41.4287978, 2.0979961 41.4287747, 2.0980767 41.4287793, 2.0981573 41.4287878, 2.0982443 41.4288213, 2.0983278 41.4288599, 2.0986351 41.4290151, 2.0989144 41.4291641, 2.0991456 41.4293286, 2.0993385 41.4294365, 2.0995367 41.4295238, 2.0996663 41.4295675, 2.099912 41.4296427, 2.1001727 41.4297062, 2.1003979 41.4297406, 2.1005606 41.4297421)",,,,,,,,,,
1374370918,1374370574,0,133068062,False,Carrer de l'Ullastre,residential,30,108.641,"LINESTRING (2.0977109 41.428932, 2.0976081 41.4288546, 2.0970881 41.4284826, 2.0969187 41.4283979, 2.0967969 41.4283489, 2.0967114 41.4283148)",,,,,,,,,,
1374370918,979755738,0,133068063,False,Avinguda de Tots Sants,residential,30,88.51400000000001,"LINESTRING (2.0977109 41.428932, 2.097413 41.4291833, 2.0973514 41.4292685, 2.0973019 41.4293537, 2.0971833 41.4296086)",,,,,,,,,,
1374370924,1374370616,0,"[123165190, 133205375]",False,"[""Carrer de l'Abat Odó"", 'Carrer de les Nebuloses']",residential,30,245.70999999999998,"LINESTRING (2.1002808 41.4301122, 2.1003553 41.4300506, 2.1004539 41.4300018, 2.1005252 41.4299819, 2.1004222 41.4299668, 2.1002625 41.4299814, 2.1000015 41.4300457, 2.0999313 41.4300527, 2.0998612 41.4300311, 2.09974 41.4299364, 2.0995965 41.4298527, 2.0992223 41.4296689, 2.0987315 41.4294323, 2.0985484 41.4293388, 2.0984783 41.4293242, 2.0983925 41.4293388, 2.0982991 41.4294177, 2.098274 41.429445)",,,,,,,,,,
1374370975,4180259989,0,417466931,False,Carrer d'Alexandre el Gran,residential,30,40.913,"LINESTRING (2.0939593 41.4317026, 2.0944163 41.4315685)",,,,,,,,,,
1374370975,1374371014,0,123165178,False,Carrer de la Malva,residential,30,281.23299999999995,"LINESTRING (2.0939593 41.4317026, 2.0938174 41.4315574, 2.0937613 41.4312744, 2.0936333 41.4310011, 2.093538 41.4308508, 2.0934686 41.4306947, 2.0934565 41.4305273, 2.0934716 41.4303916, 2.0935078 41.4302988, 2.093569 41.4302174, 2.0939178 41.4300321, 2.0939765 41.4299409, 2.093954 41.4298344, 2.0939061 41.4297222, 2.093894 41.4295545, 2.0939088 41.4294741, 2.0939521 41.4294335)",,,,,,,,,,
1374370975,1374370182,0,417466931,False,Carrer d'Alexandre el Gran,residential,30,99.176,"LINESTRING (2.0939593 41.4317026, 2.0940437 41.431862, 2.0941523 41.4320918, 2.0943044 41.4322927, 2.0944308 41.4324597, 2.0944661 41.4325063)",,,,,,,,,,
