length,coverage,directness,poi_coverage,components,efficiency_global,efficiency_local
0.04570170794130178,0.8487173418854914,0.9869811612728622,0,1,89.53098706143862,0
0.8970415918698486,3.5470904829928673,0.9514547553401744,0,4,43.44118719535164,0.0
1.2799457123751532,4.890501316143432,0.9514322790995706,0,5,30.590007484399113,0.0
1.2799457123751532,4.890501316143432,0.9514322790995702,0,5,30.590007484399113,0.0
2.392004178077803,10.21054552780483,0.956333127294762,0,9,14.644055684154909,0.0
2.392004178077803,10.21054552780483,0.9563331272947627,0,9,14.644055684154909,0.0
2.392004178077803,10.21054552780483,0.956333127294761,0,9,14.644055684154909,0.0
2.392004178077803,10.21054552780483,0.9563331272947625,0,9,14.644055684154909,0.0
2.392004178077803,10.21054552780483,0.9563331272947607,0,9,14.644055684154909,0.0
3.144011632702079,13.816493701215805,0.9069735737412354,0,11,9.768386341030016,0.0
3.144011632702079,13.816493701215805,0.906973573741234,0,11,9.768386341030016,0.0
3.144011632702079,13.816493701215805,0.9069735737412352,0,11,9.768386341030016,0.0
3.6577049300457234,15.440547537573208,0.908374070916102,0,12,8.57836279712637,0.0
5.360113265359671,18.227026106800654,0.9341679831319546,0,16,6.273839924946195,0.0
5.360113265359671,18.227026106800654,0.9341679831319538,0,16,6.273839924946195,0.0
5.360113265359671,18.227026106800654,0.9341679831319524,0,16,6.273839924946195,0.0
5.660718161822567,19.36771334039899,0.9341334309839376,0,17,6.456162458850561,0.0
7.0994418835618465,23.093811644358045,0.9163037779710603,0,19,6.753746197697946,0.0
7.0994418835618465,23.093811644358045,0.916303777971062,0,19,6.753746197697946,0.0
7.0994418835618465,23.093811644358045,0.9163037779710597,0,19,6.753746197697946,0.0
11.355372129978752,33.58555818600034,0.8569216038715392,0,22,3.281461838882198,0.0
11.355372129978752,33.58555818600034,0.8526887258607155,0,22,3.281461838882198,0.0
11.355372129978752,33.58555818600034,0.856816048162354,0,22,3.281461838882198,0.0
11.355372129978752,33.58555818600034,0.8549069284938617,0,22,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7714906314309817,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7834237182553078,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.8095337206762375,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.8064644663261342,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7712662735653018,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7888118696709084,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.800307982562018,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7702042366797044,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7728524909363073,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.780794087209549,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.814982024214935,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.8073756240290554,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7921735706740084,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7755108091518489,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7950789507413747,0,56,3.281461838882198,0.0
34.4748875966319,68.70950613218162,0.7873345887477192,0,56,3.281461838882198,0.0
