u,v,key,osmid,name,highway,oneway,length,geometry,maxspeed,lanes,ref,access,bridge,tunnel,width,junction,service
589927991,589928020,0,"[834043281, 834043282, 46240188]",East 132nd Street,residential,False,25.427,"LINESTRING (-73.9359371 40.8095518, -73.9358924 40.8095329, -73.935711 40.8094561, -73.9356734 40.8094402)",,,,,,,,,
589927991,42446190,0,46240188,East 132nd Street,residential,False,144.052,"LINESTRING (-73.9359371 40.8095518, -73.9364363 40.8097631, -73.9366349 40.8098472, -73.9368399 40.809934, -73.937431 40.8101841)",,,,,,,,,
589927991,589928037,0,46240205,Park Avenue,secondary,True,81.33,"LINESTRING (-73.9359371 40.8095518, -73.9362656 40.8091007, -73.9364003 40.8089099)",,,,,,,,,
589927993,42425425,0,46240144,Harlem River Drive,residential,True,138.13400000000001,"LINESTRING (-73.934341 40.8168892, -73.9343373 40.8168292, -73.9344467 40.8156499)",,,,,,,,,
589927996,42447346,0,243056523,5th Avenue,secondary,False,19.479,"LINESTRING (-73.9348013 40.8166934, -73.9349094 40.8165385)",,,,,,,,,
589927996,589927993,0,46240146,,secondary_link,True,50.927,"LINESTRING (-73.9348013 40.8166934, -73.93452499999999 40.8169085, -73.93448480000001 40.8169288, -73.93440699999999 40.8169268, -73.934341 40.8168892)",,,,,,,,,
589928003,42435957,0,828253779,West 138th Street,residential,True,244.46,"LINESTRING (-73.93684709999999 40.8149338, -73.93705420000001 40.8150204, -73.93879080000001 40.8157429, -73.93938970000001 40.815997)",,,,,,,,,
589928020,373756705,0,33117599,,motorway_link,True,230.20000000000002,"LINESTRING (-73.9356734 40.8094402, -73.935588 40.8095113, -73.9355225 40.8095519, -73.935451 40.8095699, -73.9353782 40.8095748, -73.93528809999999 40.8095624, -73.93520239999999 40.8095273, -73.9351499 40.8094916, -73.9351068 40.8094449, -73.93508420000001 40.809403, -73.9350457 40.8092785, -73.9350086 40.809161, -73.9349532 40.8089999, -73.9348845 40.8088127, -73.93482419999999 40.8086594, -73.934766 40.8085198, -73.93469 40.808365, -73.9345809 40.8081469, -73.9344467 40.8079924)",,1,,,,,,,
589928020,589927991,0,"[834043281, 834043282, 46240188]",East 132nd Street,residential,False,25.427,"LINESTRING (-73.9356734 40.8094402, -73.935711 40.8094561, -73.9358924 40.8095329, -73.9359371 40.8095518)",,,,,,,,,
589928028,589928042,0,278882490,East 126th Street,residential,True,27.312,"LINESTRING (-73.93841430000001 40.8056738, -73.9386978 40.8057933)",,,,,,,,,
589928028,589928029,0,798222130,Park Avenue,secondary,True,79.552,"LINESTRING (-73.93841430000001 40.8056738, -73.9379572 40.8063)",,,,,,,,,
589928029,589928041,0,46130044,East 127th Street,residential,True,27.403,"LINESTRING (-73.9379572 40.8063, -73.9382418 40.8064197)",,,,,,,,,
589928029,589928030,0,798222130,Park Avenue,secondary,True,78.761,"LINESTRING (-73.9379572 40.8063, -73.937929 40.8063387, -73.93792120000001 40.8063494, -73.93750470000001 40.80692)",,,,,,,,,
589928030,42447209,0,46693907,East 128th Street,residential,True,143.227,"LINESTRING (-73.93750470000001 40.80692, -73.936016 40.806296)",,,,,,,,,
589928030,589928033,0,798222130,Park Avenue,secondary,True,79.796,"LINESTRING (-73.93750470000001 40.80692, -73.9370658 40.8075561)",,,,,,,,,
589928033,589928039,0,275298530,East 129th Street,residential,True,25.946,"LINESTRING (-73.9370658 40.8075561, -73.93733760000001 40.8076662)",,,,,,,,,
589928033,589928034,0,798222130,Park Avenue,secondary,True,78.858,"LINESTRING (-73.9370658 40.8075561, -73.9365933 40.8081685)",,,,,,,,,
589928034,42447210,0,46594123,East 130th Street,residential,True,141.844,"LINESTRING (-73.9365933 40.8081685, -73.9351219 40.8075465)",,,,,,,,,
589928034,589928035,0,798222130,Park Avenue,secondary,True,79.547,"LINESTRING (-73.9365933 40.8081685, -73.9361363 40.8087947)",,,,,,,,,
589928035,371337145,0,46130040,East 131st Street,residential,False,140.917,"LINESTRING (-73.9361363 40.8087947, -73.9346747 40.8081765)",,,,,,,,,
589928035,589928037,0,46594125,East 131st Street,residential,False,25.647,"LINESTRING (-73.9361363 40.8087947, -73.9364003 40.8089099)",,,,,,,,,
589928035,589928020,0,798222130,Park Avenue,secondary,True,81.668,"LINESTRING (-73.9361363 40.8087947, -73.9356734 40.8094402)",,,,,,,,,
589928037,589928038,0,46240205,Park Avenue,secondary,True,79.891,"LINESTRING (-73.9364003 40.8089099, -73.9368671 40.8082843)",,,,,,,,,
589928037,589928035,0,46594125,East 131st Street,residential,False,25.647,"LINESTRING (-73.9364003 40.8089099, -73.9361363 40.8087947)",,,,,,,,,
589928037,42446187,0,46594126,East 131st Street,residential,True,144.177,"LINESTRING (-73.9364003 40.8089099, -73.9379021 40.8095337)",,,,,,,,,
589928038,589928039,0,46240205,Park Avenue,secondary,True,79.321,"LINESTRING (-73.9368671 40.8082843, -73.93733760000001 40.8076662)",,,,,,,,,
589928038,589928034,0,46594123,East 130th Street,residential,True,26.398,"LINESTRING (-73.9368671 40.8082843, -73.9365933 40.8081685)",,,,,,,,,
589928039,589928040,0,46240205,Park Avenue,secondary,True,79.369,"LINESTRING (-73.93733760000001 40.8076662, -73.93779019999999 40.80704)",,,,,,,,,
589928039,2799368116,0,275298526,East 129th Street,residential,True,141.48,"LINESTRING (-73.93733760000001 40.8076662, -73.9388105 40.8082794)",,,,,,,,,
589928040,589928041,0,46240205,Park Avenue,secondary,True,78.754,"LINESTRING (-73.93779019999999 40.80704, -73.9382418 40.8064197)",,,,,,,,,
589928040,589928030,0,46693907,East 128th Street,residential,True,27.485,"LINESTRING (-73.93779019999999 40.80704, -73.937636 40.806975, -73.93750470000001 40.80692)",,,,,,,,,
589928041,42446177,0,46130044,East 127th Street,residential,True,141.378,"LINESTRING (-73.9382418 40.8064197, -73.9397103 40.807037)",,,,,,,,,
589928041,589928042,0,46240205,Park Avenue,secondary,True,79.527,"LINESTRING (-73.9382418 40.8064197, -73.9386978 40.8057933)",,,,,,,,,
589928042,596776654,0,46240205,Park Avenue,secondary,True,85.344,"LINESTRING (-73.9386978 40.8057933, -73.93918720000001 40.8051211)",,,,,,,,,
589928042,42434122,0,559775302,East 126th Street,residential,True,141.205,"LINESTRING (-73.9386978 40.8057933, -73.9388592 40.8058614, -73.9401635 40.8064112)",,,,,,,,,
589928047,373850916,0,5673406,Park Avenue,residential,True,152.725,"LINESTRING (-73.9349112 40.8115169, -73.9350069 40.8112022, -73.9351035 40.8108848, -73.9351095 40.8108606, -73.93516820000001 40.8106955, -73.9351965 40.8106159, -73.9352892 40.8104475, -73.93544319999999 40.8102102)",,,,,,,,,
589929417,6289180298,0,5672107,East 93rd Street,residential,False,10.062,"LINESTRING (-73.9442562 40.7805427, -73.94415290000001 40.7804972)",,,,,,,,,
589929417,42452814,0,5672107,East 93rd Street,residential,False,180.349,"LINESTRING (-73.9442562 40.7805427, -73.9446068 40.7806958, -73.9454051 40.7810314, -73.9459876 40.781269, -73.94614199999999 40.7813074)",,,,,,,,,
589929417,3785532381,0,46240376,FDR Drive,secondary,True,47.602,"LINESTRING (-73.9442562 40.7805427, -73.9442051 40.7803193, -73.9441908 40.7802563, -73.94418229999999 40.7801912, -73.9441848 40.7801192)",,,,,,,,,
591454081,42454642,0,"[468414633, 46431828]",Morton Street,"['residential', 'unclassified']",True,119.97300000000001,"LINESTRING (-74.0103381 40.7312869, -74.0102122 40.7312751, -74.00892519999999 40.7311535)",25 mph,,,,,,,,
591454081,42452008,0,420809420,West Street,primary,True,80.224,"LINESTRING (-74.0103381 40.7312869, -74.0103318 40.7313757, -74.0102717 40.7320066)",35 mph,4,NY 9A,,,,,,
592405093,42435931,0,46154281,Henry Street,residential,False,306.538,"LINESTRING (-73.9814501 40.7141884, -73.98224380000001 40.7141027, -73.9825766 40.7140667, -73.9833825 40.7139796, -73.9833948 40.7139783, -73.9839906 40.7139139, -73.9849054 40.7138151, -73.9850507 40.7137994)",25 mph,,,,,,,,
592405093,7499263656,0,801758951,Henry Street,residential,False,25.106,"LINESTRING (-73.9814501 40.7141884, -73.9814698 40.7143458, -73.9814824 40.7144128)",,,,,,,,,
592405093,42427742,0,801758952,Henry Street,residential,True,45.679,"LINESTRING (-73.9814501 40.7141884, -73.98108310000001 40.7142321, -73.9809815 40.7142442, -73.9809147 40.7142522)",,,,,,,,,
592484776,42430108,0,46350710,Clark Street,residential,True,72.271,"LINESTRING (-74.0046459 40.7249131, -74.00465560000001 40.7248552, -74.0047256 40.7243594, -74.004739 40.724267)",25 mph,,,,,,,,
592509222,42453610,0,25163419,East 2nd Street,residential,True,124.05300000000001,"LINESTRING (-73.9799914 40.7203935, -73.98003079999999 40.7204545, -73.98002459999999 40.7204964, -73.98000589999999 40.7205489, -73.98002719999999 40.7205864, -73.9810133 40.7209945, -73.98108139999999 40.7210227)",20 mph,,,,,,,,
592509222,1919595922,0,458387409,East Houston Street,primary,True,113.828,"LINESTRING (-73.9799914 40.7203935, -73.98117070000001 40.7207514, -73.9812453 40.720774)",25 mph,,,,,,,,
593300940,42436527,0,198595460,East 61st Street,secondary,True,97.73299999999999,"LINESTRING (-73.9624232 40.7614413, -73.96252819999999 40.7614854, -73.96329609999999 40.7618077, -73.963337 40.7618248, -73.9634382 40.7618673)",,,,,,,,,
593416866,7529909890,0,805082958,East Road,residential,True,45.116,"LINESTRING (-73.9412726 40.7697035, -73.94108850000001 40.7697407, -73.9409804 40.7697937, -73.9408707 40.769935)",,,,,,,,,
