u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,bridge,access,est_width,tunnel,ref,junction
5143758608,5545401592,0,674686233,True,9th Avenue,cycleway,,10.588,"LINESTRING (-73.99979519999999 40.7484409, -73.99985820000001 40.7483585)",,,,,,,,
5145531511,2348991693,0,154867900,False,East River Greenway,cycleway,,6.427,"LINESTRING (-73.9739007 40.731252, -73.9739148 40.7313088)",,,,,,,,
5145531511,4189890190,0,154867900,False,East River Greenway,cycleway,,8.428,"LINESTRING (-73.9739007 40.731252, -73.9738816 40.7311776)",,,,,,,,
5145531515,2348991693,0,154867900,False,East River Greenway,cycleway,,28.518,"LINESTRING (-73.9736115 40.7314226, -73.9739148 40.7313088)",,,,,,,,
5145531515,5145531520,0,442439749,False,East River Esplanade,cycleway,,9.949,"LINESTRING (-73.9736115 40.7314226, -73.9735144 40.7313717)",,,,,,,,
5145531515,3686061877,0,442439749,False,East River Esplanade,cycleway,,11.8,"LINESTRING (-73.9736115 40.7314226, -73.9736674 40.7315199)",,,,,,,,
5145531520,436766129,0,442439749,False,East River Esplanade,cycleway,,11.858,"LINESTRING (-73.9735144 40.7313717, -73.97345799999999 40.731274)",,,,,,,,
5145531520,5145531515,0,442439749,False,East River Esplanade,cycleway,,9.949,"LINESTRING (-73.9735144 40.7313717, -73.9736115 40.7314226)",,,,,,,,
5148103560,42438785,0,5670731,True,Union Square West,cycleway,25 mph,7.799,"LINESTRING (-73.9906956 40.7365883, -73.9907376 40.7365258)",,,,,,,,
5159452343,4539951608,0,457937095,False,Chrystie Street,cycleway,,13.302,"LINESTRING (-73.9928898 40.7197715, -73.9928316 40.7198827)",2,12',,,,,,
5159452343,4539951607,0,457937095,False,Chrystie Street,cycleway,,87.136,"LINESTRING (-73.9928898 40.7197715, -73.9932637 40.7190409)",2,12',,,,,,
5159452350,4539951610,0,457937086,False,Chrystie Street,cycleway,,129.428,"LINESTRING (-73.992704 40.7201358, -73.99215169999999 40.7212219)",2,12',,,,,,
5159452350,4539951609,0,457937086,False,Chrystie Street,cycleway,,13.534,"LINESTRING (-73.992704 40.7201358, -73.9927581 40.7200212)",2,12',,,,,,
5163273906,2348688882,0,226015245,False,John Finley Walk,cycleway,,7.544,"LINESTRING (-73.94337090000001 40.7743359, -73.9434201 40.7742792)",2,,,,,,,
5163273906,2348688883,0,226015245,False,John Finley Walk,cycleway,,13.33,"LINESTRING (-73.94337090000001 40.7743359, -73.9432826 40.7744354)",2,,,,,,,
5163273907,5163273919,0,226015245,False,John Finley Walk,cycleway,,43.3,"LINESTRING (-73.9421323 40.7768679, -73.9421013 40.7764792)",2,,,,,,,
5163273907,2348688894,0,226015245,False,John Finley Walk,cycleway,,6.25,"LINESTRING (-73.9421323 40.7768679, -73.9421368 40.776924)",2,,,,,,,
5163273919,2348688893,0,226015245,False,John Finley Walk,cycleway,,10.126,"LINESTRING (-73.9421013 40.7764792, -73.942094 40.7763883)",2,,,,,,,
5163273919,5163273907,0,226015245,False,John Finley Walk,cycleway,,43.3,"LINESTRING (-73.9421013 40.7764792, -73.9421323 40.7768679)",2,,,,,,,
5165522702,607932382,0,368939313,False,FDR Drive Greenway,cycleway,,10.072,"LINESTRING (-73.9718647 40.7432162, -73.9719182 40.7431352)",2,,,,,,,
5165522702,3727763741,0,368939313,False,FDR Drive Greenway,cycleway,,6.47,"LINESTRING (-73.9718647 40.7432162, -73.97179 40.7432297)",2,,,,,,,
5175281838,2348568266,0,226007058,False,Harlem River Drive Northbound Entrance East 139 Street,cycleway,,65.823,"LINESTRING (-73.9356435 40.8152692, -73.93497000000001 40.8149682)",,,,,,,,
5175281838,42456831,0,226007058,False,Harlem River Drive Northbound Entrance East 139 Street,cycleway,,11.327,"LINESTRING (-73.9356435 40.8152692, -73.9357582 40.8153225)",,,,,,,,
5177251575,5177251576,0,226015256,False,Bobby Wagner Walk,cycleway,,39.054,"LINESTRING (-73.92926249999999 40.7960654, -73.9294127 40.7957331)",2,,,,,,,
