u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,bridge,name,tunnel
278640085,4143885429,0,165733924,True,,motorway_link,30 mph,5.699,"LINESTRING (-74.00487390000001 40.7120699, -74.0049324 40.7120956)",,,
278640086,4143885431,0,420888150,True,,motorway_link,30 mph,5.706,"LINESTRING (-74.00533179999999 40.7121687, -74.0053995 40.7121685)",,,
278640455,278640456,0,165733924,True,,motorway_link,30 mph,6.472,"LINESTRING (-74.00436329999999 40.7118428, -74.0044379 40.7118566)",,,
278640456,1272562691,0,165733924,True,,motorway_link,30 mph,6.826,"LINESTRING (-74.0044379 40.7118566, -74.0045138 40.711878)",,,
278640797,1369956654,0,5669636,True,2,motorway_link,30 mph,31.197,"LINESTRING (-74.0048252 40.7123472, -74.00457249999999 40.7121422)",,,
278642253,1701871920,0,46177164,True,2,motorway_link,30 mph,3.227,"LINESTRING (-74.004048 40.711478, -74.0040099 40.7114751)",yes,,
278642294,1272562730,0,46177164,True,2,motorway_link,30 mph,2.977,"LINESTRING (-74.0043106 40.7113766, -74.0042892 40.7113979)",yes,,
278642478,278642480,0,5672337,True,2,motorway_link,30 mph,35.14,"LINESTRING (-74.0036798 40.7109282, -74.0040899 40.7109851)",yes,,
278642480,1701871915,0,46177164,True,2,motorway_link,30 mph,4.081,"LINESTRING (-74.0040899 40.7109851, -74.0041373 40.7109926)",yes,,
278642481,1272562718,0,46177164,True,2,motorway_link,30 mph,2.437,"LINESTRING (-74.0043539 40.7111456, -74.00436259999999 40.7111665)",yes,,
278642768,4143875759,0,25564540,True,2,motorway_link,30 mph,5.84,"LINESTRING (-74.0056278 40.7120478, -74.0055614 40.7120628)",,,
278642769,1272562790,0,25564540,True,2,motorway_link,30 mph,5.394,"LINESTRING (-74.00536219999999 40.7120864, -74.0052982 40.7120861)",,,
278642770,4143875751,0,25564540,True,2,motorway_link,30 mph,5.799,"LINESTRING (-74.0052306 40.7120806, -74.0051629 40.7120713)",,,
278642771,4143875731,0,25564540,True,2,motorway_link,30 mph,6.503,"LINESTRING (-74.0050279 40.7120347, -74.0049609 40.7120057)",,,
278642772,1272562780,0,122660458,True,1,motorway_link,30 mph,7.178,"LINESTRING (-74.0046636 40.7118441, -74.0045904 40.7118111)",yes,,
278644847,1272562919,0,32922464,True,,motorway_link,30 mph,5.632,"LINESTRING (-74.002959 40.7107085, -74.00300900000001 40.7107421)",yes,,
278646241,4158737890,0,5672337,True,2,motorway_link,30 mph,6.045,"LINESTRING (-74.0030453 40.7106833, -74.0030962 40.7107216)",yes,,
278646362,42453792,0,46177171,True,1,motorway_link,30 mph,69.881,"LINESTRING (-74.000365 40.7085845, -74.00091980000001 40.7090515)",yes,,
278646363,4158693320,0,46224850,True,1,motorway_link,30 mph,6.634,"LINESTRING (-74.0002282 40.7084486, -74.0002731 40.7084976)",yes,,
278646364,4158693310,0,46224850,True,1,motorway_link,30 mph,6.38,"LINESTRING (-74.00011859999999 40.7082918, -74.0001503 40.7083439)",yes,,
370705004,4143883226,0,5669636,True,2,motorway_link,30 mph,2.974,"LINESTRING (-74.0048445 40.7124759, -74.00485329999999 40.71245)",,,
370759316,4158738304,0,32922464,True,,motorway_link,30 mph,94.334,"LINESTRING (-74.0021361 40.7100568, -74.0029091 40.7106703)",yes,,
370925141,5426969126,0,32939224,True,,residential,30 mph,9.905,"LINESTRING (-73.9654809 40.7519614, -73.9653644 40.7519493)",,General Douglas MacArthur Plaza,
370925143,370925144,0,32939224,True,,residential,30 mph,10.695,"LINESTRING (-73.9651527 40.7519669, -73.9650611 40.7520335)",,General Douglas MacArthur Plaza,
370925144,370925145,0,32939224,True,,residential,30 mph,27.414,"LINESTRING (-73.9650611 40.7520335, -73.9648596 40.7522271)",,General Douglas MacArthur Plaza,
370925145,370925146,0,32939224,True,,residential,30 mph,8.539,"LINESTRING (-73.9648596 40.7522271, -73.964805 40.7522918)",,General Douglas MacArthur Plaza,
370925146,370925147,0,32939224,True,,residential,30 mph,7.227,"LINESTRING (-73.964805 40.7522918, -73.96477539999999 40.7523528)",,General Douglas MacArthur Plaza,
370925147,1733612442,0,32939224,True,,residential,30 mph,5.443,"LINESTRING (-73.96477539999999 40.7523528, -73.9647859 40.7524011)",,General Douglas MacArthur Plaza,
370925148,5426969129,0,32939224,True,,residential,30 mph,5.009,"LINESTRING (-73.9648079 40.7524473, -73.96483600000001 40.752487)",,General Douglas MacArthur Plaza,
371320656,6384020632,0,398412590,True,1,motorway_link,30 mph,7.457,"LINESTRING (-73.9311969 40.8040553, -73.93112720000001 40.8040967)",,,building_passage
486819529,4158740807,0,122660460,True,1,motorway_link,30 mph,75.945,"LINESTRING (-74.0043258 40.7119466, -74.00370650000001 40.7114505)",yes,,
486819531,7561173749,0,432550257,True,3,motorway,30 mph,301.54,"LINESTRING (-74.0034826 40.7112711, -74.0010181 40.7093054)",yes,Brooklyn Bridge,
486819534,4158753820,0,25562077,True,1,motorway_link,30 mph,9.938,"LINESTRING (-74.00310279999999 40.7111561, -74.0031723 40.7112283)",yes,,
486819534,486819535,0,46116316,True,2,motorway,30 mph,69.097,"LINESTRING (-74.00310279999999 40.7111561, -74.0036669 40.711607)",yes,Brooklyn Bridge,
486819535,4158786458,0,5669206,True,2,motorway_link,30 mph,46.982,"LINESTRING (-74.0036669 40.711607, -74.0040278 40.711929)",yes,,
486819535,486819536,0,533472709,True,2,motorway_link,30 mph,63.556,"LINESTRING (-74.0036669 40.711607, -74.0042007 40.7120107)",yes,,
486819536,4158786451,0,32922453,True,2,motorway_link,30 mph,16.662,"LINESTRING (-74.0042007 40.7120107, -74.0043345 40.712121)",,,
486819593,1272562853,0,25562077,True,1,motorway_link,30 mph,4.653,"LINESTRING (-74.00331610000001 40.7114491, -74.0033305 40.7114895)",yes,,
588455737,1772639537,0,46154297,True,1,motorway_link,30 mph,66.487,"LINESTRING (-74.0009269 40.7089514, -74.001475 40.7093814)",,,
588455883,4158764231,0,32922456,True,,motorway_link,30 mph,9.223,"LINESTRING (-74.00158190000001 40.7103492, -74.0015069 40.7102888)",,,
588719108,486819534,0,432550259,True,3,motorway,30 mph,167.708,"LINESTRING (-74.0017251 40.7100679, -74.00310279999999 40.7111561)",yes,Brooklyn Bridge,
1205715024,42427782,0,104984000,True,,residential,30 mph,92.404,"LINESTRING (-73.9325757 40.8588848, -73.93298299999999 40.858113)",,Bennett Avenue,
1253602791,6882309084,0,104984000,True,,residential,30 mph,62.491,"LINESTRING (-73.9322956 40.8594505, -73.93255619999999 40.8589242)",,Bennett Avenue,
1272562687,1272562701,0,46177164,True,2,motorway_link,30 mph,3.006,"LINESTRING (-74.0043649 40.7112862, -74.0043556 40.7113123)",yes,,
1272562691,1272562693,0,165733924,True,,motorway_link,30 mph,5.919,"LINESTRING (-74.0045138 40.711878, -74.004575 40.7119041)",,,
1272562693,1272562815,0,165733924,True,,motorway_link,30 mph,5.658,"LINESTRING (-74.004575 40.7119041, -74.0046296 40.7119337)",,,
1272562701,1272562721,0,46177164,True,2,motorway_link,30 mph,2.532,"LINESTRING (-74.0043556 40.7113123, -74.0043443 40.7113334)",yes,,
1272562702,278638238,0,533472710,True,1,motorway_link,30 mph,12.304,"LINESTRING (-74.0022139 40.7107749, -74.0021268 40.7106861)",yes,,
1272562706,278638345,0,32922456,True,,motorway_link,30 mph,12.539,"LINESTRING (-74.0020025 40.7107095, -74.0019052 40.7106242)",,,
1272562709,1272562714,0,46177164,True,2,motorway_link,30 mph,2.735,"LINESTRING (-74.0043239 40.7111002, -74.00434079999999 40.7111212)",yes,,
1272562711,4158764232,0,25564255,True,,motorway_link,30 mph,8.345,"LINESTRING (-74.0021698 40.7108799, -74.00211419999999 40.7108178)",yes,,
1272562713,1272562740,0,122660461,True,1,motorway_link,30 mph,3.017,"LINESTRING (-74.00356960000001 40.7121027, -74.0035898 40.7120803)",,,
1272562714,278642481,0,46177164,True,2,motorway_link,30 mph,2.929,"LINESTRING (-74.00434079999999 40.7111212, -74.0043539 40.7111456)",yes,,
1272562718,1272562750,0,46177164,True,2,motorway_link,30 mph,2.977,"LINESTRING (-74.00436259999999 40.7111665, -74.0043685 40.7111929)",yes,,
1272562720,1272562711,0,25564255,True,,motorway_link,30 mph,7.556,"LINESTRING (-74.0022182 40.7109371, -74.0021698 40.7108799)",yes,,
1272562721,1272562722,0,46177164,True,2,motorway_link,30 mph,2.787,"LINESTRING (-74.0043443 40.7113334, -74.0043292 40.7113557)",yes,,
1272562722,278642294,0,46177164,True,2,motorway_link,30 mph,2.803,"LINESTRING (-74.0043292 40.7113557, -74.0043106 40.7113766)",yes,,
1272562724,1272562713,0,122660461,True,1,motorway_link,30 mph,3.391,"LINESTRING (-74.0035522 40.7121302, -74.00356960000001 40.7121027)",,,
1272562727,1272562738,0,122660461,True,1,motorway_link,30 mph,3.275,"LINESTRING (-74.00361460000001 40.712391, -74.0035879 40.7123696)",,,
1272562730,1272562731,0,46177164,True,2,motorway_link,30 mph,2.564,"LINESTRING (-74.0042892 40.7113979, -74.0042673 40.7114139)",yes,,
1272562731,42423610,0,46177164,True,2,motorway_link,30 mph,3.144,"LINESTRING (-74.0042673 40.7114139, -74.00423790000001 40.7114313)",yes,,
1272562732,4143876126,0,165733924,True,,motorway_link,30 mph,5.6,"LINESTRING (-74.0037703 40.7119442, -74.0038321 40.7119257)",,,
1272562734,1272562756,0,46177164,True,2,motorway_link,30 mph,2.978,"LINESTRING (-74.0041167 40.7114726, -74.00408179999999 40.7114768)",yes,,
1272562735,1272562878,0,32922453,True,2,motorway_link,30 mph,5.753,"LINESTRING (-74.00449740000001 40.7123455, -74.0045089 40.7123965)",,,
1272562737,1272562727,0,122660461,True,1,motorway_link,30 mph,3.958,"LINESTRING (-74.00365119999999 40.7124133, -74.00361460000001 40.712391)",,,
1272562738,1272562746,0,122660461,True,1,motorway_link,30 mph,3.575,"LINESTRING (-74.0035879 40.7123696, -74.0035637 40.7123432)",,,
1272562740,1272562902,0,122660461,True,1,motorway_link,30 mph,2.803,"LINESTRING (-74.0035898 40.7120803, -74.00361119999999 40.712061)",,,
1272562742,278638232,0,25562077,True,1,motorway_link,30 mph,3.403,"LINESTRING (-74.00333740000001 40.7115284, -74.00333670000001 40.711559)",yes,,
1272562743,1272562734,0,46177164,True,2,motorway_link,30 mph,2.609,"LINESTRING (-74.0041464 40.711466, -74.0041167 40.7114726)",yes,,
1272562746,1272562793,0,122660461,True,1,motorway_link,30 mph,3.573,"LINESTRING (-74.0035637 40.7123432, -74.00354489999999 40.7123144)",,,
1272562750,1272562761,0,46177164,True,2,motorway_link,30 mph,2.54,"LINESTRING (-74.0043685 40.7111929, -74.0043719 40.7112156)",yes,,
1272562751,1272562743,0,46177164,True,2,motorway_link,30 mph,2.913,"LINESTRING (-74.00417899999999 40.7114573, -74.0041464 40.711466)",yes,,
1272562752,1272562751,0,46177164,True,2,motorway_link,30 mph,2.934,"LINESTRING (-74.0042102 40.7114456, -74.00417899999999 40.7114573)",yes,,
1272562753,1272562930,0,32922464,True,,motorway_link,30 mph,5.402,"LINESTRING (-74.0031152 40.7108031, -74.0031695 40.7108289)",yes,,
1272562755,1272562856,0,122660461,True,1,motorway_link,30 mph,3.8,"LINESTRING (-74.00352220000001 40.7122231, -74.00352669999999 40.7121891)",,,
1272562756,278642253,0,46177164,True,2,motorway_link,30 mph,2.852,"LINESTRING (-74.00408179999999 40.7114768, -74.004048 40.711478)",yes,,
1272562761,1272562891,0,46177164,True,2,motorway_link,30 mph,3.058,"LINESTRING (-74.0043719 40.7112156, -74.0043715 40.7112431)",yes,,
1272562763,1272562875,0,32922453,True,2,motorway_link,30 mph,5.695,"LINESTRING (-74.0043794 40.7121618, -74.0044169 40.7122044)",,,
1272562764,4143885425,0,420888150,True,,motorway_link,30 mph,5.952,"LINESTRING (-74.00518460000001 40.7121568, -74.0052544 40.7121649)",,,
1272562766,1272562764,0,165733924,True,,motorway_link,30 mph,5.723,"LINESTRING (-74.0051181 40.7121464, -74.00518460000001 40.7121568)",,,
1272562771,1272562773,0,420888150,True,,motorway_link,30 mph,5.789,"LINESTRING (-74.0054722 40.7121635, -74.00554 40.7121552)",,,
1272562773,4143885421,0,420888150,True,,motorway_link,30 mph,6.53,"LINESTRING (-74.00554 40.7121552, -74.0056161 40.7121442)",,,
1272562777,4143875722,0,25564540,True,2,motorway_link,30 mph,5.397,"LINESTRING (-74.00589600000001 40.7119728, -74.0058368 40.7119913)",,,
1272562780,4143875758,0,122660458,True,1,motorway_link,30 mph,7.305,"LINESTRING (-74.0045904 40.7118111, -74.0045133 40.7117811)",yes,,
1272562781,1272562794,0,122660461,True,1,motorway_link,30 mph,3.403,"LINESTRING (-74.0035329 40.7122861, -74.0035256 40.712256)",,,
1272562783,278642771,0,25564540,True,2,motorway_link,30 mph,6.319,"LINESTRING (-74.0050973 40.7120562, -74.0050279 40.7120347)",,,
1272562790,278642770,0,25564540,True,2,motorway_link,30 mph,5.73,"LINESTRING (-74.0052982 40.7120861, -74.0052306 40.7120806)",,,
1272562791,278642769,0,25564540,True,2,motorway_link,30 mph,5.903,"LINESTRING (-74.0054319 40.7120812, -74.00536219999999 40.7120864)",,,
1272562792,4738828760,0,356140743,True,2,secondary_link,30 mph,32.969,"LINESTRING (-74.00438339999999 40.7127276, -74.00415889999999 40.7129704)",,,
1272562793,1272562781,0,122660461,True,1,motorway_link,30 mph,3.305,"LINESTRING (-74.00354489999999 40.7123144, -74.0035329 40.7122861)",,,
1272562794,1272562755,0,122660461,True,1,motorway_link,30 mph,3.67,"LINESTRING (-74.0035256 40.712256, -74.00352220000001 40.7122231)",,,
1272562796,4158737906,0,5672337,True,2,motorway_link,30 mph,6.133,"LINESTRING (-74.0031513 40.7107572, -74.00321 40.7107898)",yes,,
1272562797,4158753829,0,533472710,True,1,motorway_link,30 mph,7.94,"LINESTRING (-74.00239209999999 40.7109867, -74.00234399999999 40.7109253)",yes,,
1272562800,4158753831,0,25564255,True,,motorway_link,30 mph,6.782,"LINESTRING (-74.0026115 40.7115302, -74.00257310000001 40.7114766)",yes,,
1272562802,1272562791,0,25564540,True,2,motorway_link,30 mph,5.387,"LINESTRING (-74.0054952 40.7120745, -74.0054319 40.7120812)",,,
1272562803,278637106,0,32922468,True,2,motorway_link,30 mph,4.659,"LINESTRING (-74.0041708 40.7121271, -74.0041713 40.712169)",,,
1272562809,4158786446,0,32922468,True,2,motorway_link,30 mph,4.323,"LINESTRING (-74.0041336 40.7122947, -74.0041092 40.7123289)",,,
1272562811,278637107,0,32922468,True,2,motorway_link,30 mph,4.927,"LINESTRING (-74.00416250000001 40.7122138, -74.0041507 40.7122572)",,,
1272562812,1272562893,0,414746383,True,1,motorway_link,30 mph,3.117,"LINESTRING (-74.0028331 40.7117574, -74.0028038 40.7117403)",yes,,
1272562815,278640085,0,165733924,True,,motorway_link,30 mph,25.561,"LINESTRING (-74.0046296 40.7119337, -74.00487390000001 40.7120699)",,,
1272562816,4158786449,0,32922468,True,2,motorway_link,30 mph,4.024,"LINESTRING (-74.0040813 40.7123593, -74.0040485 40.7123856)",,,
1272562818,4158752890,0,414746383,True,1,motorway_link,30 mph,4.162,"LINESTRING (-74.0029186 40.7117875, -74.0028722 40.7117747)",yes,,
1272562822,1272562828,0,414746383,True,1,motorway_link,30 mph,4.134,"LINESTRING (-74.0030608 40.7117956, -74.0030119 40.7117985)",yes,,
1272562828,278637756,0,414746383,True,1,motorway_link,30 mph,4.051,"LINESTRING (-74.0030119 40.7117985, -74.00296400000001 40.7117955)",yes,,
1272562830,42423628,0,25562077,True,1,motorway_link,30 mph,4.391,"LINESTRING (-74.0031524 40.7117765, -74.0031034 40.7117899)",yes,,
1272562833,1272562882,0,122660461,True,1,motorway_link,30 mph,3.096,"LINESTRING (-74.00384680000001 40.7124513, -74.0038101 40.7124501)",,,
1272562836,42423539,0,32922468,True,2,motorway_link,30 mph,3.405,"LINESTRING (-74.004009 40.7124104, -74.0039754 40.7124274)",,,
1272562837,1272562876,0,25562077,True,1,motorway_link,30 mph,4.35,"LINESTRING (-74.0032382 40.7117311, -74.0031984 40.711756)",yes,,
