u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,width,access,est_width,bridge,junction,tunnel,ref,area
361058,2301514703,0,154802893,,Rue Baudricourt,residential,30,False,8.977,"LINESTRING (2.363724 48.8266453, 2.3637705 48.82672)",,,,,,,,,
361058,2621610349,0,166755011,,Rue de Tolbiac,secondary,30,False,8.158,"LINESTRING (2.363724 48.8266453, 2.3636147 48.826631)",,,,,,,,,
361058,6185886907,0,209282568,2,Rue de Tolbiac,secondary,30,False,17.8,"LINESTRING (2.363724 48.8266453, 2.3639633 48.8266737)",,,,,,,,,
361059,2458000967,0,2114252,,Rue d'Arras,residential,30,True,9.14,"LINESTRING (2.3512394 48.8471299, 2.3513207 48.8471923)",,,,,,,,,
361060,2458000982,0,66098063,,Rue Monge,secondary,30,False,31.05,"LINESTRING (2.3505051 48.8480778, 2.3503029 48.8483233)",,,,,,,,,
361074,2165212620,0,18517723,1,Rue Rambuteau,residential,30,True,7.441,"LINESTRING (2.353509 48.8612187, 2.3535967 48.8611848)",,,,,,,,,
361075,7205540085,0,674696303,,Rue du Grenier Saint-Lazare,service,30,True,7.723,"LINESTRING (2.3543162 48.8627236, 2.3542169 48.8627472)",alley,,,,,,,,
361084,2358813321,0,757328921,,Rue Léon Jouhaux,residential,30,True,8.549,"LINESTRING (2.3630587 48.8685611, 2.3631557 48.868604)",,14,,,,,,,
361092,5526534277,0,8058931,,Rue du Vertbois,residential,30,True,8.361,"LINESTRING (2.3568082 48.8672969, 2.3569159 48.8672717)",,,,,,,,,
361092,5526534278,0,22733083,,Rue du Vertbois,residential,30,True,8.029,"LINESTRING (2.3568082 48.8672969, 2.3567036 48.8673188)",alley,,,,,,,,
361093,2392409655,0,56319995,2,Rue Saint-Martin,secondary,30,True,44.044,"LINESTRING (2.3548458 48.8677102, 2.354608 48.8673463)",,,,,,,,,
361102,1735234733,0,680050135,,Boulevard de Magenta,primary,30,False,23.449,"LINESTRING (2.3540413 48.8785307, 2.3538928 48.8787176)",,,,,,,,,
361103,602281889,0,10660676,,Rue Saint-Vincent de Paul,residential,30,True,21.911,"LINESTRING (2.3523217 48.8805026, 2.3523039 48.8803059)",,,,,,,,,
361103,1840005833,0,680050139,,Boulevard de Magenta,primary,30,False,29.805,"LINESTRING (2.3523217 48.8805026, 2.3525141 48.8802663)",,,,,,,,,
361108,2334291909,0,32789055,,Rue de Provence,residential,30,True,5.895,"LINESTRING (2.3313143 48.8742709, 2.3313949 48.8742717)",,,,,,,,,
361109,1227287683,0,25469031,,Rue de Provence,residential,30,True,6.216,"LINESTRING (2.3327119 48.8742988, 2.3327955 48.8743089)",,,,,,,,,
361109,3263830250,0,542064424,,Rue de la Chaussée d'Antin,secondary,30,True,6.022,"LINESTRING (2.3327119 48.8742988, 2.3327354 48.8742469)",,,,,,,,,
361110,1233020846,0,25115291,,Place d'Estienne d'Orves,tertiary,30,True,12.606,"LINESTRING (2.3311152 48.8761423, 2.3310723 48.8762521)",,,,,,,,,
361111,2323405655,0,32785300,,Rue de Clichy,tertiary,30,True,32.993,"LINESTRING (2.3293652 48.8793511, 2.3292249 48.8796331)",,,,,,,,,
361114,1871817988,0,27922499,,Rue Custine,tertiary,30,True,18.437,"LINESTRING (2.3479972 48.8884009, 2.3481541 48.8882711)",,,,,,,,,
361117,6161575904,0,4039108,,Rue Forest,residential,30,True,6.022,"LINESTRING (2.329479 48.8847082, 2.3294853 48.8847622)",,,,,,,,,
361118,6860931797,0,756331517,,Rue Caulaincourt,tertiary,30,False,7.15,"LINESTRING (2.3333512 48.8875068, 2.3333013 48.8874515)",,,,,,,,,
361118,6860914972,0,756331517,,Rue Caulaincourt,tertiary,30,False,5.965,"LINESTRING (2.3333512 48.8875068, 2.3333956 48.8875518)",,,,,,,,,
361119,7471924620,0,50556915,,Rue Forest,residential,30,True,31.273,"LINESTRING (2.3292149 48.8855694, 2.3288883 48.885751)",,,,,,,,,
