u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,width,ref,tunnel,service,area
5647775927,5647775926,0,721107727,False,Rue de la Porte d'Issy,cycleway,,3.22,"LINESTRING (2.2836982 48.8341961, 2.2837226 48.8342202)",,,,,,,,,
5647775928,6490857082,0,53565535,True,Boulevard Victor,cycleway,,11.12,"LINESTRING (2.283616 48.8343868, 2.2837403 48.8343293)",,,,,,,,,
5649161961,5536693288,0,577580916,True,Allée des Fortifications,cycleway,,6.293,"LINESTRING (2.2578983 48.8487438, 2.257887 48.8486877)",,,,,,,,,
5649161962,997052670,0,591762894,False,,cycleway,,4.707,"LINESTRING (2.2595063 48.8482862, 2.259554 48.8482578)",,,,,,,,,
5649161970,997051996,0,591762897,False,,cycleway,,3.697,"LINESTRING (2.2586721 48.8483123, 2.2586233 48.8483037)",,,,,,,,,
5649161970,277575573,0,591762897,False,,cycleway,,3.188,"LINESTRING (2.2586721 48.8483123, 2.2587095 48.848327)",,,,,,,,,
5649161972,277575569,0,577580917,False,,cycleway,,13.092,"LINESTRING (2.2581196 48.8485828, 2.2579933 48.8486662)",,,,,,,,,
5649161972,5649161973,0,577580917,False,,cycleway,,13.641,"LINESTRING (2.2581196 48.8485828, 2.258241 48.8484897)",,,,,,,,,
5649161973,5649161972,0,577580917,False,,cycleway,,13.641,"LINESTRING (2.258241 48.8484897, 2.2581196 48.8485828)",,,,,,,,,
5649161973,2320358625,0,577580917,False,,cycleway,,5.376,"LINESTRING (2.258241 48.8484897, 2.2582746 48.8484467)",,,,,,,,,
5649161974,2320358625,0,577580917,False,,cycleway,,5.006,"LINESTRING (2.2583 48.8484049, 2.2582746 48.8484467)",,,,,,,,,
5649161974,5649161977,0,577580917,False,,cycleway,,4.844,"LINESTRING (2.2583 48.8484049, 2.2583301 48.8483661)",,,,,,,,,
5649161975,5649161977,0,577580917,False,,cycleway,,4.838,"LINESTRING (2.2583798 48.8483374, 2.2583301 48.8483661)",,,,,,,,,
5649161975,277575572,0,577580917,False,,cycleway,,4.751,"LINESTRING (2.2583798 48.8483374, 2.2584375 48.8483178)",,,,,,,,,
5649161976,277575572,0,577580917,False,,cycleway,,6.752,"LINESTRING (2.2585259 48.8483004, 2.2584375 48.8483178)",,,,,,,,,
5649161976,997051996,0,577580917,False,,cycleway,,7.136,"LINESTRING (2.2585259 48.8483004, 2.2586233 48.8483037)",,,,,,,,,
5649161977,5649161974,0,577580917,False,,cycleway,,4.844,"LINESTRING (2.2583301 48.8483661, 2.2583 48.8484049)",,,,,,,,,
5649161977,5649161975,0,577580917,False,,cycleway,,4.838,"LINESTRING (2.2583301 48.8483661, 2.2583798 48.8483374)",,,,,,,,,
5649161992,260655375,0,591762898,True,Boulevard Exelmans,cycleway,,11.113,"LINESTRING (2.2635899 48.8413372, 2.2637354 48.8413086)",,,,,,,,,
5649161993,5649161992,0,591762898,True,Boulevard Exelmans,cycleway,,80.418,"LINESTRING (2.2626827 48.8417453, 2.2635899 48.8413372)",,,,,,,,,
5649161994,5649161993,0,591762898,True,Boulevard Exelmans,cycleway,,68.463,"LINESTRING (2.2619122 48.8420945, 2.2626827 48.8417453)",,,,,,,,,
5649161998,305921299,0,591762899,True,Boulevard Exelmans,cycleway,,6.261,"LINESTRING (2.2620255 48.8423518, 2.2619401 48.8423552)",,,,,,,,,
