length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components
3769.119641738903,3748.5233480056468,395.193468338576,0.8266391403071978,0.8283193008656324,169,45
3753.837013695989,3731.838849472891,395.1854312038762,0.8238080808608488,0.8270308483398968,169,50
3735.306558179595,3712.995777627921,395.18543124394677,0.82104633183774,0.8123444632419,169,51
3713.155448319032,3686.170649102567,395.1854312568594,0.8060484150401642,0.8151337885196206,169,58
3700.289905266047,3673.0510174700476,395.1854312534252,0.8171793947645154,0.810885953294041,169,61
3685.192433942507,3652.3398410702266,395.18543127804804,0.8046402308383298,0.8132237311828561,169,70
3670.4214012746147,3636.1164839221597,395.18254336466634,0.8043613075495554,0.8136319045257426,169,76
3647.581984791724,3610.218824303333,395.18254350174954,0.7928725387257161,0.7884638810799788,169,92
3634.5137678648844,3596.752646718644,395.18254348610145,0.7997781877164737,0.796756765316374,169,99
3619.1763810361454,3579.7643077235743,395.1825434509809,0.7890860292494167,0.7914306397041818,169,109
3602.4249756830127,3558.2158896450105,395.1825434220913,0.7832017761630548,0.7856398230535374,169,114
3593.2669919651703,3547.1986591814457,395.1825434386525,0.7783360412214586,0.7884274478973722,169,121
3580.9464970666904,3533.135246684846,395.18254340112554,0.7723255161234123,0.7820907485194893,169,127
3568.63949371047,3520.8282433286213,395.18254341787843,0.7686767130552642,0.7763315922238214,169,127
3544.5207999320364,3457.27474308954,395.12672033272815,0.7696302317543985,0.7614511084831499,169,143
3524.5062008198374,3419.4549305374317,395.11358747621324,0.7652791304155304,0.7584254749366552,169,160
3493.090200744155,3378.8834216643363,395.1135874204453,0.7459777830822677,0.7437567351146234,169,179
3485.9206283330723,3371.859091797542,395.1135873970142,0.7419502988363655,0.7411209599480544,169,181
3458.4694874902116,3336.452385094889,395.0955496180961,0.7353022552649845,0.7260326601524053,169,207
3438.135055369443,3304.75417940611,395.0955495499633,0.7235588726421212,0.7241957034042621,169,222
3420.1829046580174,3284.8560039216113,395.0955495490233,0.7208040338604734,0.7142836217258529,169,230
3409.141992707005,3273.1636340526247,395.09554952130117,0.699585123527311,0.7105636965284975,169,244
3400.947914710467,3264.00558021899,395.0955495181831,0.7016153868543842,0.7091662890922393,169,249
3384.8640359942115,3244.78212037829,395.09554951779586,0.699896097593012,0.70019991530805,169,258
3367.500834181258,3218.489404038942,395.0901299827567,0.6889893346216504,0.6914687289310006,169,275
3359.2772339208695,3209.4317450937683,395.0901299919198,0.6850143529761137,0.6876984324834275,169,280
3343.842975600922,3189.432568990482,395.09013000542694,0.6841798110239051,0.6782678905192407,169,292
3327.948465583985,3151.26355856669,395.09012998211807,0.6620793168821435,0.6686446212320258,169,316
3313.3843146770027,3131.985943049374,395.09012997035023,0.6234367517057753,0.6357040877306467,169,332
3298.9582409800537,3099.1346024713125,395.09012996558357,0.633580161165209,0.632278650203145,169,351
3288.7838176389605,3084.70232296482,395.0901299871749,0.604320438889321,0.603031884517251,169,365
3281.029974805179,3073.619693754542,395.09012998155123,0.6069517518464459,0.608497306224855,169,370
3272.1134997738395,3043.3291899455153,395.09012999297374,0.5731290485903253,0.5615815394154906,169,379
3256.3548060611106,2983.056397929329,395.0799084255492,0.5528503526309032,0.5576894754628781,169,403
3234.932049903414,2924.174748567659,395.0632372464648,0.5591648166240601,0.5532254277162567,169,426
3231.544015928046,2920.147829286935,395.0632372717978,0.5512961044701749,0.5482228958856735,169,428
3220.967768041529,2889.356514819565,395.0565505412538,0.5538533948908312,0.5415799617064527,169,438
3191.3414459962887,2834.780766464348,395.0207215453619,0.5371409845247234,0.525984648922334,169,466
3178.7188996567506,2803.756741219335,394.97644517439284,0.5274314736972084,0.5404103748457068,169,478
3178.7188996567506,2803.756741219335,394.97644517439284,0.539915311324068,0.5390724245512359,169,478
