network,length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,efficiency_global,efficiency_local
bikeable,96.18244481461277,12.80341804274738,30.457654888410058,0.7008363068145839,0.6470858610800811,9,81,0.2990649504499182,0.13949210845997556
biketrack,27.798797068404753,5.647340998293845,21.74502000739706,0.890601455837893,0.8796499075744446,7,38,0.4249939535927884,0.0
biketrackcarall,391.197389300538,384.1637014677645,39.910141449349794,0.7330607552146948,0.7357359623618517,10,15,0.67190391284424,0.08727950916784412
carall,363.7480999069952,360.3808157394266,39.52590948459865,0.7201203516061045,0.7268687614327439,10,8,0.6741189598332331,0.07952067124851267
