length,coverage,directness,poi_coverage,components,efficiency_global,efficiency_local
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.47369626558023675,1.090208181782437,0.9843182900081784,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081786,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081787,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081786,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081778,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081786,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081787,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081784,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081782,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081784,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081786,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081784,1,1,2.6285535029082308,0
0.47369626558023675,1.090208181782437,0.9843182900081789,1,1,2.6285535029082308,0
5.077731117299273,4.342122292455667,0.5409432181181196,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181185,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181177,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.540943218118118,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181185,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181186,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181183,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181196,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181184,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181203,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181176,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.54094321811812,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181216,2,4,2.0921605212904173,0.0
5.077731117299273,4.342122292455667,0.5409432181181147,2,4,1.0422751601693372,0.0
