length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_local
8.059796828368645,8.059796828368645,6.330754295931137,0.8515927573208462,0.8515927573208462,4,1,4.396418141488,4.698265917814345,0.8412417903741773,0.0
21.73001729238458,21.73001729238458,14.719404518632837,0.7478225869454384,0.7478225869454384,8,1,12.735653561400287,13.037501337726631,0.7016811968433126,0.0
23.97617429159392,23.97617429159392,16.217730996100087,0.7375823781617745,0.7375823781617745,9,1,13.42339441733342,13.725242193659767,0.6824285737040695,0.0
37.078776904859346,37.078776904859346,23.993774013374093,0.6981442473469535,0.6981442473469535,13,1,21.416632683132203,21.718480459458554,0.593612378418607,0.0
42.098857015836685,42.098857015836685,27.786604672737724,0.6763223510769374,0.6763223510769374,15,1,25.093936876701026,25.39578465302737,0.5906685902391832,0.0
50.28746241982085,50.28746241982085,31.31953889861116,0.6751083907233142,0.6751083907233142,16,1,31.372448083821393,31.756167649720176,0.6268631435157894,0.10035315252545679
60.15902716821049,60.15902716821049,37.09149226436142,0.6409302757373645,0.6409302757373645,19,1,37.90055865327989,38.28427821917866,0.6077596934079587,0.07612182444627774
64.43830520184936,64.43830520184936,38.69765852988894,0.666902233413232,0.666902233413232,20,1,38.12341125436138,38.507130820260144,0.6015870032023621,0.05549736033925206
71.25566229222659,71.25566229222659,42.55030486308383,0.64790510700059,0.64790510700059,22,1,39.5941037316316,40.02011968315971,0.5923763124437553,0.047783124926778935
79.17193077759079,79.17193077759079,46.55414940166922,0.6483450308998081,0.6483450308998081,24,1,43.332608691389325,43.78119783138502,0.5921449850280519,0.03882378900300788
88.1143177732102,88.1143177732102,49.86976272827051,0.6608507809836993,0.6608507809836993,25,1,46.7288179635341,47.28394569889489,0.609072624973761,0.05465901404569313
92.04686332182435,92.04686332182435,51.98411257971417,0.6725295970074877,0.6725295970074877,26,1,48.381890611056335,48.937018346417126,0.6135029022828264,0.10187098898413037
107.05904177126132,107.05904177126132,60.100278231603994,0.6622522085752399,0.6622522085752399,30,1,55.593584527510565,56.148712262871356,0.5961465421443212,0.0974178182347026
117.06021660702838,117.06021660702838,64.53455269837754,0.6497682004538589,0.6497682004538589,32,1,62.8526394663089,63.7371681448664,0.5921545784373912,0.14049557915223737
117.06021660702838,117.06021660702838,64.53455269837754,0.6546878045748201,0.6546878045748201,32,1,62.8526394663089,63.7371681448664,0.5921545784373912,0.14049557915223737
131.4972677013349,131.4972677013349,72.89877768067609,0.66432689996515,0.66432689996515,36,1,71.39733167976271,72.28186035832023,0.5830371207462101,0.1351211003672724
131.4972677013349,131.4972677013349,72.89877768067609,0.6699839084504462,0.6699839084504462,36,1,71.39733167976271,72.28186035832023,0.5830371207462101,0.1351211003672724
143.79499648977134,143.79499648977134,78.30473015885578,0.6626176602051208,0.6626176602051208,38,1,73.66661899363427,74.55114767219183,0.5896257453261798,0.2484689243895118
147.98580733950246,147.98580733950246,79.1303757278368,0.6660051678653703,0.6660051678653703,38,1,77.23767425962143,78.1222029381789,0.5920071403187206,0.2738523700649422
157.2762542576679,157.2762542576679,82.07626019786993,0.6465813792036276,0.6465813792036276,39,1,80.58438169319398,81.9381548690643,0.5867096111808496,0.267110506542572
164.5801167898893,164.5801167898893,83.54571637810983,0.6702256074450456,0.6702256074450456,39,1,85.77348198651646,87.17129444236303,0.6068092763298631,0.27573211292916433
173.67871284489945,173.67871284489945,84.9796179043731,0.6805260584922266,0.6805260584922266,39,1,90.99846382372975,92.39627627957628,0.6116583662969255,0.28356476652071605
180.29858612505103,180.29858612505103,85.52795139505037,0.6753717720625368,0.6753717720625368,39,1,92.37941821247347,93.77723066832004,0.618510584590898,0.35504565405306343
185.23927525787101,185.23927525787101,86.30706438642079,0.6804294016472191,0.6804294016472191,39,1,95.08199906445775,96.47981152030432,0.623282850800137,0.3224626978597661
192.3211970058462,192.3211970058462,87.89662300560822,0.6855041883778296,0.6855041883778296,39,1,99.31270205182679,100.71051450767338,0.630966579615858,0.3499396334600535
