network,length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,efficiency_global,efficiency_local
bikeable,746.6477697999226,641.9358716530936,119.03190706722931,0.6728218049228457,0.6889476337600685,76,291,0.4387131830497193,0.15626774002262042
biketrack,644.5287668675637,578.5558793687336,117.9655613589262,0.6839899121834259,0.6841015424372152,76,219,0.47350196105998904,0.18911335035478294
biketrackcarall,1870.0111014394463,1858.1770935517716,123.32360831204923,0.831466285998984,0.8415215141550073,76,77,0.7758682267900606,0.11702419820297295
carall,1611.852243720104,1603.7043290947179,119.61771619977765,0.8160687133975718,0.8255260195338489,76,40,0.7656153236543315,0.11429379919205389
