length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_local
10.582717655566352,9.097301853811352,8.255220395899597,0.8912378436887798,0.8903531699153323,13,2,9.575637977117525,9.575637977117525,0.6485694832898234,0.0
15.744576557249125,13.74068590652448,11.413350437144315,0.8212521587965917,0.8209974880226824,20,2,10.477517995503975,10.477517995503975,0.551278193988858,0.0
25.010556161896066,24.207389208964134,16.417618709911366,0.5895030303887887,0.5939021871955233,25,2,14.921084187964203,14.921084187964203,0.4601203900254576,0.0
35.39130659254394,29.51955650801246,22.581064675182024,0.6155865469479568,0.6240223609963017,31,2,22.68307806042705,22.68307806042705,0.4242030380924085,0.0
42.467094039928135,42.467094039928135,25.507833484056942,0.6582206057772673,0.6582206057772673,34,1,26.140218265493147,26.140218265493147,0.5270501850991637,0.0
51.996409607657775,48.836681780350595,30.874062406135913,0.6908558360232824,0.6957825447177818,40,2,33.838038683421765,33.838038683421765,0.504021616685805,0.0
60.77551608366602,60.77551608366602,33.47189079315833,0.7446094645139375,0.7446094645139375,42,1,38.16171326385683,38.16171326385683,0.5704220250992266,0.04981785412771241
67.97625433921584,67.015319305343,36.25463677669861,0.7472442158935054,0.7518628801961227,48,2,43.10508897661994,43.10508897661994,0.5715193823242016,0.08360524485208003
81.3957745097992,81.3957745097992,40.55373028625155,0.7224533980279156,0.7224533980279156,50,1,48.23228014351378,48.44563225478634,0.612741837653082,0.08611983424862324
87.05840887987698,87.05840887987698,42.240512101384724,0.7107252198938502,0.7107252198938502,55,1,50.419354558299645,50.6327066695722,0.620585332101832,0.06652536774099421
93.18083771323829,93.18083771323829,43.238869113611905,0.7407976445883857,0.7407976445883857,56,1,55.20859356575362,55.42194567702617,0.6304857868145302,0.1962339834267831
103.13254692842199,103.13254692842199,48.47284881603677,0.737414574397596,0.737414574397596,61,1,60.14123391490141,60.35458602617397,0.6282606880102386,0.16904263000337041
109.78795120299458,109.78795120299458,51.45969211706793,0.7396267614323144,0.7396267614323144,64,1,63.12912818314005,63.3424802944126,0.6226103650613347,0.19784465190867115
