u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,access,tunnel,bridge,junction,service
168358483,430769,0,41486595,4,Avenue d'Italie,primary,50,False,15.079,"LINESTRING (2.3585178 48.8222105, 2.358558 48.8220775)",,,,,,
168358483,1836911163,0,685721085,4,Avenue d'Italie,primary,50,False,14.203,"LINESTRING (2.3585178 48.8222105, 2.3584772 48.8223354)",,,,,,
168358587,4813903017,0,685721085,4,Avenue d'Italie,primary,50,False,19.409,"LINESTRING (2.3583316 48.8227837, 2.358387 48.822613)",,,,,,
168358587,3781727620,0,685721085,4,Avenue d'Italie,primary,50,False,7.687,"LINESTRING (2.3583316 48.8227837, 2.3583096 48.8228513)",,,,,,
168363888,3781727620,0,685721085,4,Avenue d'Italie,primary,50,False,18.068,"LINESTRING (2.358258 48.8230102, 2.3583096 48.8228513)",,,,,,
168363888,3781727621,0,685721085,4,Avenue d'Italie,primary,50,False,1.796,"LINESTRING (2.358258 48.8230102, 2.3582529 48.823026)",,,,,,
169289365,251490760,0,23242855,,Avenue André Rivoire,tertiary,30,False,58.874,"LINESTRING (2.3329405 48.8186256, 2.3326773 48.8181253)",,,yes,,,
169289365,3082391374,0,26413127,2,Avenue André Rivoire,tertiary,30,False,101.1,"LINESTRING (2.3329405 48.8186256, 2.3334185 48.8194786)",,,,,,
169325341,3263832102,0,37775878,,Boulevard Malesherbes,secondary,50,False,17.089,"LINESTRING (2.318942 48.8756182, 2.3187962 48.8757383)",,,,,,
169325341,178761643,0,37775878,,Boulevard Malesherbes,secondary,50,False,43.212,"LINESTRING (2.318942 48.8756182, 2.319307 48.8753126)",,,,,,
170827968,6432699744,0,16554113,,Pont de Tolbiac,secondary,50,False,183.578,"LINESTRING (2.3800432 48.8323855, 2.3819725 48.8334404)",,,,yes,,
176764787,3170987780,0,17039602,2,Avenue Jacques Jézéquel,secondary,30,False,16.584,"LINESTRING (2.2916746 48.8186894, 2.2915218 48.8187995)",D 61A,,,,,
176764787,3170987778,0,17039730,,Place Albert Culot,secondary,30,False,27.157,"LINESTRING (2.2916746 48.8186894, 2.2919253 48.8185094)",,,,,,
176765112,2110879201,0,17039602,2,Avenue Jacques Jézéquel,secondary,30,False,15.569,"LINESTRING (2.2912766 48.8190033, 2.2911564 48.8191188)",D 61A,,,,,
176765112,2110879200,0,17039602,2,Avenue Jacques Jézéquel,secondary,30,False,12.336,"LINESTRING (2.2912766 48.8190033, 2.2913778 48.8189146)",D 61A,,,,,
176765113,3190437234,0,17039602,2,Avenue Jacques Jézéquel,secondary,30,False,15.572,"LINESTRING (2.2910448 48.8192379, 2.290942 48.8193605)",D 61A,,,,,
176765113,2110879201,0,17039602,2,Avenue Jacques Jézéquel,secondary,30,False,15.561,"LINESTRING (2.2910448 48.8192379, 2.2911564 48.8191188)",D 61A,,,,,
176766072,6464690957,0,17039602,2,Avenue Jacques Jézéquel,secondary,30,False,6.323,"LINESTRING (2.290792 48.8195702, 2.2907607 48.8196232)",D 61A,,,,,
176766072,4278329177,0,17039602,2,Avenue Jacques Jézéquel,secondary,30,False,10.679,"LINESTRING (2.290792 48.8195702, 2.2908511 48.8194824)",D 61A,,,,,
176932548,6258312942,0,366984752,4,Avenue Foch,secondary,50,False,12.849,"LINESTRING (2.2925244 48.873556, 2.2926976 48.8735754)",,,,,,
176932548,291594194,0,366984752,4,Avenue Foch,secondary,50,False,128.697,"LINESTRING (2.2925244 48.873556, 2.2907887 48.8733655)",,,,,,
176943871,2700086433,0,676116938,,Boulevard Malesherbes,secondary,50,False,89.033,"LINESTRING (2.3121465 48.8811842, 2.3113843 48.8818086)",,,,,,
176943871,277518683,0,676116938,,Boulevard Malesherbes,secondary,50,False,47.358,"LINESTRING (2.3121465 48.8811842, 2.3125429 48.8808474)",,,,,,
177223343,2313751692,0,17067006,6,Pont Alexandre III,primary,50,False,145.115,"LINESTRING (2.3136243 48.8643112, 2.3134682 48.8630102)",,,,yes,,
177223381,6584437797,0,4041056,,Pont Alexandre III,primary,50,False,7.845,"LINESTRING (2.3134633 48.8629734, 2.3134563 48.862903)",,,,,,
177223381,2313751692,0,17067006,6,Pont Alexandre III,primary,50,False,4.108,"LINESTRING (2.3134633 48.8629734, 2.3134682 48.8630102)",,,,yes,,
177267816,442242,0,187443148,4,Boulevard Suchet,primary,50,False,22.058,"LINESTRING (2.2660098 48.8594522, 2.2661315 48.8596337)",,,,,,
177267816,177268978,0,454673629,4,Boulevard Suchet,primary,50,False,20.789,"LINESTRING (2.2660098 48.8594522, 2.2658963 48.8592808)",,,,,,
