u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel
2405790855,368083,0,232206912,,Rue Proudhon,tertiary,50,False,6.086,"LINESTRING (2.3899413 48.8370297, 2.3900187 48.8370497)",,
2406388160,968061705,0,27067642,,Avenue de Saint-Cloud,unclassified,50,False,5.453,"LINESTRING (2.2619832 48.8620041, 2.262057 48.8619972)",,
2421855693,2421855806,0,233857611,,Rue du Général Leclerc,tertiary,,True,12.935,"LINESTRING (2.4178399 48.8673415, 2.4180108 48.8673116)",,
2421855743,2421855765,0,44031714,,Rue du Général Leclerc,tertiary,,True,30.835,"LINESTRING (2.4181191 48.8673746, 2.4177163 48.8674564)",,
2421855745,2421855693,0,28887974,,Rue du Général Leclerc,tertiary,,True,56.479,"LINESTRING (2.4171089 48.8675051, 2.4178399 48.8673415)",,
2421855762,212623978,0,233857611,,Rue du Général Leclerc,tertiary,,True,11.07,"LINESTRING (2.418058 48.8673034, 2.4182043 48.8672779)",,
2421855765,2421855795,0,44031714,,Rue du Général Leclerc,tertiary,,True,44.48,"LINESTRING (2.4177163 48.8674564, 2.4171353 48.8675745)",,
2421855795,212623984,0,44031714,,Rue du Général Leclerc,tertiary,,True,9.339,"LINESTRING (2.4171353 48.8675745, 2.4170152 48.867603)",,
2421855797,1962476381,0,246387156,,Rue Adelaïde Lahaye,tertiary,,True,14.962,"LINESTRING (2.4167872 48.8675854, 2.4169756 48.867533)",,
2421855801,212623986,0,28887975,,Rue Adelaïde Lahaye,tertiary,,True,34.231,"LINESTRING (2.4168221 48.8676472, 2.4164015 48.8677822)",,
2421855806,2421855762,0,233857611,,Rue du Général Leclerc,tertiary,,True,3.571,"LINESTRING (2.4180108 48.8673116, 2.418058 48.8673034)",,
2499743233,6238057451,0,733321547,4,Avenue d'Italie,primary,50,False,12.065,"LINESTRING (2.3558954 48.8306686, 2.3559299 48.8305625)",,
2523135741,5361697826,0,555776456,,Voie de la Déportation,tertiary,,False,5.792,"LINESTRING (2.4207935 48.8866779, 2.4207203 48.886658)",D 20,
2523135741,5361677495,0,555776456,,Voie de la Déportation,tertiary,,False,17.775,"LINESTRING (2.4207935 48.8866779, 2.420994 48.8867683)",D 20,
2523135742,5361677495,0,555776456,,Voie de la Déportation,tertiary,,False,21.563,"LINESTRING (2.4212247 48.8868891, 2.420994 48.8867683)",D 20,
2523135742,5361677494,0,555776456,,Voie de la Déportation,tertiary,,False,17.041,"LINESTRING (2.4212247 48.8868891, 2.4214017 48.8869888)",D 20,
2523135743,5361677494,0,555776456,,Voie de la Déportation,tertiary,,False,20.578,"LINESTRING (2.4215372 48.887151, 2.4214017 48.8869888)",D 20,
2523135743,2523135745,0,555776456,,Voie de la Déportation,tertiary,,False,17.725,"LINESTRING (2.4215372 48.887151, 2.4216837 48.887278)",D 20,
