u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,tunnel,service,width
3796799000,334706483,0,48963785,False,2,Anker Engelunds Vej,tertiary,50,24.264,"LINESTRING (12.5211546 55.7857887, 12.521525 55.7857236)",,,,,,,
3796799000,202355890,0,48963785,False,2,Anker Engelunds Vej,tertiary,50,3.655,"LINESTRING (12.5211546 55.7857887, 12.5210988 55.7857985)",,,,,,,
3799555025,4569711745,0,403432268,False,2,Byvej,tertiary,50,46.21,"LINESTRING (12.4468402 55.6403287, 12.4470877 55.6399373)",,,,,,,
3799555025,269362824,0,403432268,False,2,Byvej,tertiary,50,73.992,"LINESTRING (12.4468402 55.6403287, 12.4464394 55.6409545)",,,,,,,
3812565412,25508620,0,168243290,False,,Selinevej,unclassified,,21.89,"LINESTRING (12.5532581 55.6369341, 12.5530113 55.636795)",,,,,,,
3812565412,25508618,0,377853139,False,,Selinevej,unclassified,,19.724,"LINESTRING (12.5532581 55.6369341, 12.5534793 55.6370601)",,,,,yes,,
3822941272,1064956221,0,630489175,True,2,Sydhavns Plads,primary,50,10.071,"LINESTRING (12.539928 55.653671, 12.540069 55.6537143)",O2,,,,,,
3822957347,3822957351,0,471751017,False,,Vestre Teglgade,tertiary,50,7.67,"LINESTRING (12.5475119 55.6551307, 12.5475655 55.6550687)",,,,,,,
3822957347,4112330701,0,471751017,False,,Vestre Teglgade,tertiary,50,48.196,"LINESTRING (12.5475119 55.6551307, 12.5473443 55.6555537)",,,,,,,
3822957348,1524424901,0,471751017,False,,Vestre Teglgade,tertiary,50,14.396,"LINESTRING (12.5481615 55.654906, 12.5482696 55.6547918)",,,,,,,
3822957348,5221432140,0,471751017,False,,Vestre Teglgade,tertiary,50,3.376,"LINESTRING (12.5481615 55.654906, 12.5481117 55.6549175)",,,,,,,
3822957349,3822957354,0,416688440,False,,Vestre Teglgade,primary_link,50,13.098,"LINESTRING (12.5469627 55.6562929, 12.547011 55.6561783)",,,,,,,
