u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,bridge,ref,service,junction,width,access,tunnel
7786977,1621313492,0,1822847,False,Hostrupsvej,residential,,5.452,"LINESTRING (12.5356322 55.6816698, 12.5355576 55.681695)",,,,,,,,
7786979,1433810201,0,1822847,False,Hostrupsvej,residential,,25.541,"LINESTRING (12.5366789 55.6817002, 12.5370818 55.6817343)",,,,,,,,
7786979,1055353060,0,1822847,False,Hostrupsvej,residential,,47.729,"LINESTRING (12.5366789 55.6817002, 12.5359224 55.6816519)",,,,,,,,
7787002,1621332206,0,29640,False,Thorvaldsensvej,residential,50,1.643,"LINESTRING (12.5391452 55.6824626, 12.5391713 55.6824639)",,,,,,,,
7787002,1433810215,0,2400226,False,Hostrupsvej,residential,,10.634,"LINESTRING (12.5391452 55.6824626, 12.5390082 55.6824062)",,,,,,,,
8078474,296206834,0,357113628,False,Classensgade,tertiary,50,47.609,"LINESTRING (12.5871239 55.6979755, 12.5878228 55.6981434)",2,,,,,,,
8078474,7625752,0,357113628,False,Classensgade,tertiary,50,51.846,"LINESTRING (12.5871239 55.6979755, 12.5863609 55.6977952)",2,,,,,,,
8078530,6551516283,0,241095252,False,Mimersgade,tertiary,50,4.644,"LINESTRING (12.5429629 55.7006931, 12.5430342 55.7006817)",,,,,,,yes,
8078530,5315151306,0,241095252,False,Mimersgade,tertiary,50,2.173,"LINESTRING (12.5429629 55.7006931, 12.5429302 55.7006996)",,,,,,,yes,
8084561,8084562,0,87325152,True,Borgergade,residential,50,37.751,"LINESTRING (12.5891966 55.6883811, 12.5894549 55.6886878)",,,,,,,,
8084562,565524739,0,87325152,True,Borgergade,residential,50,4.191,"LINESTRING (12.5894549 55.6886878, 12.5895213 55.6886922)",,,,,,,,
8084563,5712183020,0,360157611,True,Store Kongensgade,primary,50,26.117,"LINESTRING (12.590075 55.6877806, 12.5901751 55.6875526)",1,,O2,,,,,
8084566,7636805,0,87325152,True,Borgergade,residential,50,39.5,"LINESTRING (12.5878969 55.6868739, 12.5881683 55.6871945)",,,,,,,,
8084678,7469748,0,237099579,False,Backersvej,tertiary,50,40.615,"LINESTRING (12.6258545 55.6511613, 12.6256664 55.6515108)",2,,,,,,,
8084678,26673084,0,237099579,False,Backersvej,tertiary,50,61.781,"LINESTRING (12.6258545 55.6511613, 12.6261397 55.6506295)",2,,,,,,,
8084802,5454386255,0,237099579,False,Backersvej,tertiary,50,5.611,"LINESTRING (12.6233247 55.6542596, 12.6232853 55.6543049)",2,,,,,,,
8084802,5454386254,0,237099579,False,Backersvej,tertiary,50,9.683,"LINESTRING (12.6233247 55.6542596, 12.6233944 55.6541819)",2,,,,,,,
8084803,5454386254,0,237099579,False,Backersvej,tertiary,50,60.547,"LINESTRING (12.62383 55.653696, 12.6233944 55.6541819)",2,,,,,,,
8084803,738971045,0,237099579,False,Backersvej,tertiary,50,27.345,"LINESTRING (12.62383 55.653696, 12.6240262 55.6534764)",2,,,,,,,
8084810,16495095,0,237099579,False,Backersvej,tertiary,50,28.883,"LINESTRING (12.6268995 55.6492221, 12.6267626 55.6494701)",2,,,,,,,
8084810,291222073,0,237099579,False,Backersvej,tertiary,50,44.024,"LINESTRING (12.6268995 55.6492221, 12.6271138 55.6488451)",2,,,,,,,
8084812,291222073,0,237099579,False,Backersvej,tertiary,50,45.519,"LINESTRING (12.6273056 55.6484503, 12.6271138 55.6488451)",2,,,,,,,
8084812,291222063,0,237099579,False,Backersvej,tertiary,50,36.005,"LINESTRING (12.6273056 55.6484503, 12.6274754 55.648141)",2,,,,,,,
8084813,5449003901,0,1525051,False,Backersvej,tertiary,50,13.104,"LINESTRING (12.6285491 55.6458898, 12.6285113 55.6460057)",,,,,,,,
8084813,6527597,0,1525051,False,Backersvej,tertiary,50,26.428,"LINESTRING (12.6285491 55.6458898, 12.6285808 55.6456528)",,,,,,,,
8084817,5443908827,0,1525051,False,Backersvej,tertiary,50,39.789,"LINESTRING (12.6286209 55.6451299, 12.6285935 55.6454874)",,,,,,,,
8084817,5450247690,0,1525051,False,Backersvej,tertiary,50,12.116,"LINESTRING (12.6286209 55.6451299, 12.6286013 55.6450215)",,,,,,,,
8084938,3208181880,0,1880944,True,Løngangstræde,residential,,146.729,"LINESTRING (12.5738219 55.6758937, 12.5718905 55.6751486)",,,,,,,,
8084940,3715045279,0,1880943,True,Vandkunsten,residential,,2.909,"LINESTRING (12.5746984 55.6762258, 12.5746599 55.6762112)",1,,,,,,,
8084987,3180509095,0,167958978,False,Primulavej,tertiary,50,29.01,"LINESTRING (12.5055152 55.6959112, 12.5050525 55.6959031)",2,,,,,,,
8084987,271649137,0,167958978,False,Primulavej,tertiary,50,25.514,"LINESTRING (12.5055152 55.6959112, 12.5059194 55.6959387)",2,,,,,,,
8085026,4968541959,0,237099579,False,Backersvej,tertiary,50,60.045,"LINESTRING (12.6247141 55.6527063, 12.6242833 55.6531885)",2,,,,,,,
8085026,7469747,0,237099579,False,Backersvej,tertiary,50,78.9,"LINESTRING (12.6247141 55.6527063, 12.6252663 55.6520688)",2,,,,,,,
8085678,534922775,0,237214022,True,Store Kongensgade,primary,50,28.515,"LINESTRING (12.5860456 55.6823233, 12.5858477 55.6820924)",2,,O2,,,,,
8086164,8086167,0,741116147,False,Mågevej,residential,,32.218,"LINESTRING (12.5220708 55.6965331, 12.5221605 55.6968184)",,,,,,,,
8086164,3185019793,0,741116148,False,Mågevej,residential,,5.616,"LINESTRING (12.5220708 55.6965331, 12.5220594 55.696483)",,,,,,,,
8086165,6571996701,0,741116147,False,Mågevej,residential,,8.059,"LINESTRING (12.5234983 55.6984323, 12.5234259 55.6983724)",,,,,,,,
8086167,3185019797,0,741116147,False,Mågevej,residential,,25.915,"LINESTRING (12.5221605 55.6968184, 12.5222608 55.6970445)",,,,,,,,
8086167,8086164,0,741116147,False,Mågevej,residential,,32.218,"LINESTRING (12.5221605 55.6968184, 12.5220708 55.6965331)",,,,,,,,
8086168,366567198,0,741116147,False,Mågevej,residential,,35.568,"LINESTRING (12.5224731 55.697423, 12.5227056 55.6977148)",,,,,,,,
8086168,3180509505,0,741116147,False,Mågevej,residential,,24.988,"LINESTRING (12.5224731 55.697423, 12.5223434 55.6972105)",,,,,,,,
8086418,364115295,0,237111837,False,Englandsvej,tertiary,50,50.516,"LINESTRING (12.6042747 55.6557473, 12.6039959 55.6553211)",,,,,,,,
8086418,17552572,0,237111837,False,Englandsvej,tertiary,50,16.597,"LINESTRING (12.6042747 55.6557473, 12.6043635 55.6558879)",,,,,,,,
8086420,17552575,0,237111837,False,Englandsvej,tertiary,50,9.433,"LINESTRING (12.6036996 55.6549662, 12.603628 55.6548916)",,,,,,,,
8086420,364115295,0,237111837,False,Englandsvej,tertiary,50,43.622,"LINESTRING (12.6036996 55.6549662, 12.6039959 55.6553211)",,,,,,,,
8086436,408447287,0,161862400,False,Englandsvej,tertiary,50,30.068,"LINESTRING (12.5981737 55.6485484, 12.5980225 55.6482918)",,,,,,,,
8086436,1802532158,0,161862400,False,Englandsvej,tertiary,50,35.935,"LINESTRING (12.5981737 55.6485484, 12.5984142 55.6488417)",,,,,,,,
8086438,20930530,0,161862400,False,Englandsvej,tertiary,50,27.581,"LINESTRING (12.5981091 55.6460906, 12.598086 55.6463383)",,,,,,,,
8086438,6888720762,0,237365307,False,Englandsvej,tertiary,50,27.096,"LINESTRING (12.5981091 55.6460906, 12.5981389 55.6458475)",,,,,,,,
8086668,314464704,0,744356309,False,Backersvej,tertiary,50,19.893,"LINESTRING (12.6195907 55.6585882, 12.6197174 55.6584242)",2,,,,,,,
8087192,289775520,0,1881248,False,Tranehavevej,residential,30,9.079,"LINESTRING (12.5374 55.6555442, 12.5372558 55.6555511)",,,,,,,,
8087192,6352788964,0,1881248,False,Tranehavevej,residential,30,21.164,"LINESTRING (12.5374 55.6555442, 12.5377373 55.6555403)",,,,,,,,
8087193,4020236690,0,1881248,False,Tranehavevej,residential,30,27.227,"LINESTRING (12.5365344 55.656044, 12.5362689 55.6562377)",,,,,,,,
8087193,8087200,0,1881248,False,Tranehavevej,residential,30,25.762,"LINESTRING (12.5365344 55.656044, 12.5367835 55.6558598)",,,,,,,,
8087196,4020236701,0,1881248,False,Tranehavevej,residential,30,34.217,"LINESTRING (12.5357808 55.6565938, 12.5354517 55.6568392)",,,,,,,,
8087196,4020236693,0,1881248,False,Tranehavevej,residential,30,27.506,"LINESTRING (12.5357808 55.6565938, 12.536049 55.6563981)",,,,,,,,
8087197,4020236701,0,1881248,False,Tranehavevej,residential,30,46.04,"LINESTRING (12.5350089 55.6571694, 12.5354517 55.6568392)",,,,,,,,
8087200,8087193,0,1881248,False,Tranehavevej,residential,30,25.762,"LINESTRING (12.5367835 55.6558598, 12.5365344 55.656044)",,,,,,,,
8087200,7021487946,0,1881248,False,Tranehavevej,residential,30,10.342,"LINESTRING (12.5367835 55.6558598, 12.5368843 55.6557862)",,,,,,,,
8089143,3306436678,0,237099601,False,Vennemindevej,tertiary,40,24.288,"LINESTRING (12.5686402 55.7139716, 12.5685323 55.7141814)",2,,,,,,,
8089143,5759484701,0,751406913,False,Vennemindevej,tertiary,50,14.962,"LINESTRING (12.5686402 55.7139716, 12.5686787 55.7138388)",2,,,,,,,
8089406,5657304047,0,8122870,False,Frederiksholms Kanal,residential,,69.381,"LINESTRING (12.5778654 55.6743182, 12.5784828 55.6738004)",,,,,,,,
8089417,283572720,0,36072429,True,Slotsholmsgade,residential,,18.685,"LINESTRING (12.5820026 55.6759571, 12.5821647 55.6758161)",2,,,,,,,
8097240,8097301,0,1696164,False,Øresundsvej,tertiary,50,15.681,"LINESTRING (12.6120459 55.6601022, 12.6122811 55.66015)",,,,,,,,
8097240,8097302,0,1696164,False,Øresundsvej,tertiary,50,10.851,"LINESTRING (12.6120459 55.6601022, 12.6118831 55.6600692)",,,,,,,,
8097241,7726642,0,1696164,False,Øresundsvej,tertiary,50,6.81,"LINESTRING (12.6103829 55.6595881, 12.6104573 55.6596327)",,,,,,,,
8097241,7726643,0,1696164,False,Øresundsvej,tertiary,50,86.2,"LINESTRING (12.6103829 55.6595881, 12.6095926 55.6589539)",,,,,,,,
8097301,5298316556,0,1696164,False,Øresundsvej,tertiary,50,44.664,"LINESTRING (12.6122811 55.66015, 12.6129511 55.660286)",,,,,,,,
8097301,8097240,0,1696164,False,Øresundsvej,tertiary,50,15.681,"LINESTRING (12.6122811 55.66015, 12.6120459 55.6601022)",,,,,,,,
8097302,8097240,0,1696164,False,Øresundsvej,tertiary,50,10.851,"LINESTRING (12.6118831 55.6600692, 12.6120459 55.6601022)",,,,,,,,
8097302,6984951080,0,1696164,False,Øresundsvej,tertiary,50,16.425,"LINESTRING (12.6118831 55.6600692, 12.6116367 55.6600192)",,,,,,,,
8115914,1598911594,0,35994769,False,Niels Juels Gade,primary,50,15.507,"LINESTRING (12.5870415 55.67608, 12.5870828 55.6759425)",,,O2,,,,,
8115914,4393194752,0,420541544,False,Niels Juels Gade,primary,50,13.026,"LINESTRING (12.5870415 55.67608, 12.5870038 55.6761952)",,,O2,,,,,
8118503,1066609061,0,168269172,False,Bernstorffsgade,tertiary,50,12.626,"LINESTRING (12.5689858 55.6706384, 12.5690844 55.6705394)",4,,,,,,,
8118503,1795580568,0,168269172,False,Bernstorffsgade,tertiary,50,50.926,"LINESTRING (12.5689858 55.6706384, 12.5685435 55.6710225)",4,,,,,,,
8150756,369116969,0,1822847,False,Hostrupsvej,residential,,18.268,"LINESTRING (12.5347837 55.6819533, 12.535036 55.6818711)",,,,,,,,
8217858,5303248321,0,1519004,False,Nordre Frihavnsgade,tertiary,50,90.506,"LINESTRING (12.5798057 55.7008144, 12.5808539 55.7013744)",,,,,,,,
8217858,6488684,0,1519004,False,Nordre Frihavnsgade,tertiary,50,172.183,"LINESTRING (12.5798057 55.7008144, 12.5778194 55.6997444)",,,,,,,,
8223461,5486480482,0,23803893,False,Rantzausgade,residential,,24.48,"LINESTRING (12.544269 55.6884428, 12.5446004 55.6883263)",,,,,,,no,
8228713,5315151306,0,241095252,False,Mimersgade,tertiary,50,8.341,"LINESTRING (12.5427996 55.7007141, 12.5429302 55.7006996)",,,,,,,yes,
8228713,5315151305,0,241095252,False,Mimersgade,tertiary,50,6.723,"LINESTRING (12.5427996 55.7007141, 12.5426942 55.7007254)",,,,,,,yes,
8233764,781552,0,1913004,False,Arresøgade,residential,50,60.439,"LINESTRING (12.5534295 55.6973567, 12.5526064 55.69764)",,,,,,,,
8233764,2314556726,0,83845461,False,Guldbergsgade,residential,50,12.318,"LINESTRING (12.5534295 55.6973567, 12.5533302 55.6972611)",,,,,,,,
8302234,25941392,0,241095252,False,Mimersgade,tertiary,50,51.578,"LINESTRING (12.5412489 55.7008804, 12.5420575 55.7007936)",,,,,,,yes,
8309633,3678064961,0,83845461,False,Guldbergsgade,residential,50,3.195,"LINESTRING (12.5532741 55.6971515, 12.5532692 55.6971229)",,,,,,,,
8309633,5534115963,0,83845461,False,Guldbergsgade,residential,50,4.143,"LINESTRING (12.5532741 55.6971515, 12.5532924 55.6971873)",,,,,,,,
8321022,2411743261,0,161101709,False,Englandsvej,tertiary,50,24.256,"LINESTRING (12.602461 55.6532479, 12.6024109 55.6530316)",,,,,,,,
8321022,2411743262,0,161101709,False,Englandsvej,tertiary,50,53.318,"LINESTRING (12.602461 55.6532479, 12.6026015 55.6537208)",,,,,,,,
8459775,265144981,0,24418178,False,Bådehavnsgade,tertiary,50,35.126,"LINESTRING (12.5399149 55.6434226, 12.5400683 55.6437264)",2,yes,,,,,,
8459775,107552994,0,24418178,False,Bådehavnsgade,tertiary,50,37.44,"LINESTRING (12.5399149 55.6434226, 12.5397888 55.6430935)",2,yes,,,,,,
8470702,422960491,0,114787653,False,Griffenfeldsgade,residential,50,61.583,"LINESTRING (12.5532115 55.6867391, 12.5527905 55.6862387)",,,,,,,,
8546304,1969034516,0,161961102,False,Østrigsgade,tertiary,50,40.236,"LINESTRING (12.6158839 55.6623081, 12.6156239 55.6626389)",,,,,,,,
8574698,1781921790,0,514327559,False,Randersgade,tertiary,50,9.094,"LINESTRING (12.5806432 55.7057444, 12.5806688 55.7056639)",2,,,,,,,
8574698,3641701398,0,514327559,False,Randersgade,tertiary,50,2.965,"LINESTRING (12.5806432 55.7057444, 12.5806354 55.7057707)",2,,,,,,,
