u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,bridge,ref,service,junction,width,access,tunnel
18023270,6966863299,0,237092572,False,Øresundsvej,tertiary,50,10.155,"LINESTRING (12.6205507 55.6612852, 12.6203903 55.6612728)",,,,,,,,
18023271,4669043023,0,237092572,False,Øresundsvej,tertiary,50,4.619,"LINESTRING (12.6221055 55.6614124, 12.6221779 55.66142)",,,,,,,,
18023271,25248653,0,237092572,False,Øresundsvej,tertiary,50,31.957,"LINESTRING (12.6221055 55.6614124, 12.6215992 55.6613803)",,,,,,,,
18164012,253180526,0,196276852,False,Englandsvej,tertiary,50,74.834,"LINESTRING (12.5989779 55.6410622, 12.5987565 55.6417235)",,,,,,,,
18164012,4727652851,0,196276852,False,Englandsvej,tertiary,50,46.687,"LINESTRING (12.5989779 55.6410622, 12.599108 55.6406488)",,,,,,,,
18165892,2207188977,0,87576620,False,Retortvej,tertiary,50,11.133,"LINESTRING (12.5030374 55.6511081, 12.5030682 55.6512067)",,,,,,,,
18165892,266531269,0,475000084,False,Retortvej,tertiary,50,12.368,"LINESTRING (12.5030374 55.6511081, 12.5030059 55.6509983)",,,,,,,,
20849638,2160794873,0,744356309,False,Backersvej,tertiary,50,78.427,"LINESTRING (12.6226463 55.6550512, 12.62207 55.6556771)",2,,,,,,,
20849638,4928282604,0,745726319,False,Backersvej,tertiary,50,18.804,"LINESTRING (12.6226463 55.6550512, 12.6227713 55.6548975)",,,,,,,,
20908251,295966936,0,3991402,False,Islands Brygge,residential,,48.464,"LINESTRING (12.5672856 55.6583041, 12.5669796 55.6579039)",,,,,,,,
20908432,3912547766,0,3992331,False,Bernhard Bangs Alle,tertiary,50,6.451,"LINESTRING (12.5126926 55.6842519, 12.5125946 55.6842696)",,,,,,,,
