u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,lanes,ref,junction
1057668306,1057668358,0,165083366,Nieuwemeerdijk,tertiary,30,False,41.617,"LINESTRING (4.8183075 52.3230495, 4.8183965 52.3234198)",,,,,,
1057668306,46169150,0,165083366,Nieuwemeerdijk,tertiary,30,False,107.691,"LINESTRING (4.8183075 52.3230495, 4.818019 52.3220972)",,,,,,
1057668308,782254104,0,7385078,Nieuwemeerdijk,tertiary,30,False,182.035,"LINESTRING (4.8124276 52.3288412, 4.8102145 52.3297636)",,,yes,,,
1057668308,1057668457,0,7385078,Nieuwemeerdijk,tertiary,30,False,167.333,"LINESTRING (4.8124276 52.3288412, 4.8144636 52.3279948)",,,yes,,,
1057668358,46173629,0,165083366,Nieuwemeerdijk,tertiary,30,False,23.596,"LINESTRING (4.8183965 52.3234198, 4.8184349 52.3236307)",,,,,,
1057668358,1057668306,0,165083366,Nieuwemeerdijk,tertiary,30,False,41.617,"LINESTRING (4.8183965 52.3234198, 4.8183075 52.3230495)",,,,,,
1057668407,46177333,0,165083366,Nieuwemeerdijk,tertiary,30,False,28.107,"LINESTRING (4.818437 52.3242752, 4.8183909 52.3245264)",,,,,,
1057668407,46174827,0,165083366,Nieuwemeerdijk,tertiary,30,False,26.194,"LINESTRING (4.818437 52.3242752, 4.8184554 52.3240399)",,,,,,
1057668412,1057668594,0,7385233,Nieuwemeerdijk,tertiary,30,False,54.767,"LINESTRING (4.7984959 52.3346224, 4.7978283 52.3348984)",,,,,,
1057668412,46217834,0,7385233,Nieuwemeerdijk,tertiary,30,False,138.938,"LINESTRING (4.7984959 52.3346224, 4.8001907 52.3339233)",,,,,,
1057668443,46179205,0,165083366,Nieuwemeerdijk,tertiary,30,False,25.773,"LINESTRING (4.8183236 52.3247715, 4.818238 52.3249973)",,,,,,
1057668443,46177333,0,165083366,Nieuwemeerdijk,tertiary,30,False,27.635,"LINESTRING (4.8183236 52.3247715, 4.8183909 52.3245264)",,,,,,
1057668457,1057668308,0,7385078,Nieuwemeerdijk,tertiary,30,False,167.333,"LINESTRING (4.8144636 52.3279948, 4.8124276 52.3288412)",,,yes,,,
1057668457,782254096,0,7385078,Nieuwemeerdijk,tertiary,30,False,47.462,"LINESTRING (4.8144636 52.3279948, 4.8150332 52.3277478)",,,yes,,,
1057668458,290160019,0,26476120,Sloterbrug,secondary,50,False,9.07,"LINESTRING (4.7922682 52.3408212, 4.7923434 52.3408886)",yes,,,,,
1057668458,5330187796,0,26476120,Sloterbrug,secondary,50,False,7.255,"LINESTRING (4.7922682 52.3408212, 4.7922016 52.3407702)",yes,,,,,
1057668471,46204934,0,7385078,Nieuwemeerdijk,tertiary,30,False,50.413,"LINESTRING (4.80689 52.3311366, 4.8062749 52.3313901)",,,yes,,,
1057668471,1057668494,0,7385078,Nieuwemeerdijk,tertiary,30,False,86.691,"LINESTRING (4.80689 52.3311366, 4.8079483 52.3307012)",,,yes,,,
1057668494,1057668471,0,7385078,Nieuwemeerdijk,tertiary,30,False,86.691,"LINESTRING (4.8079483 52.3307012, 4.80689 52.3311366)",,,yes,,,
1057668494,782254104,0,7385078,Nieuwemeerdijk,tertiary,30,False,185.966,"LINESTRING (4.8079483 52.3307012, 4.8102145 52.3297636)",,,yes,,,
1057668515,46187413,0,165083366,Nieuwemeerdijk,tertiary,30,False,26.097,"LINESTRING (4.8165633 52.3269213, 4.8162902 52.3270863)",,,,,,
1057668515,782254004,0,165083366,Nieuwemeerdijk,tertiary,30,False,23.751,"LINESTRING (4.8165633 52.3269213, 4.8167876 52.3267575)",,,,,,
1057668523,281136085,0,165083366,Nieuwemeerdijk,tertiary,30,False,79.936,"LINESTRING (4.8175419 52.320517, 4.817761 52.3212233)",,,,,,
1057668523,1057668545,0,165083366,Nieuwemeerdijk,tertiary,30,False,107.397,"LINESTRING (4.8175419 52.320517, 4.8172632 52.3195663)",,,,,,
1057668542,46248177,0,7385628,Nieuwemeerdijk,tertiary,30,False,13.644,"LINESTRING (4.7923218 52.3400677, 4.7921961 52.3401634)",,,,,,
1057668542,297307967,0,7385628,Nieuwemeerdijk,tertiary,30,False,134.88,"LINESTRING (4.7923218 52.3400677, 4.7933699 52.3390375)",,,,,,
1057668545,1057668523,0,165083366,Nieuwemeerdijk,tertiary,30,False,107.397,"LINESTRING (4.8172632 52.3195663, 4.8175419 52.320517)",,,,,,
1057668545,1057668611,0,165083366,Nieuwemeerdijk,tertiary,30,False,41.432,"LINESTRING (4.8172632 52.3195663, 4.817156 52.3191995)",,,,,,
1057668566,46225670,0,7386108,Nieuwemeerdijk,tertiary,30,False,26.266,"LINESTRING (4.7969272 52.3355056, 4.7967215 52.3357056)",,,yes,,,
1057668566,672263624,0,7386108,Nieuwemeerdijk,tertiary,30,False,40.343,"LINESTRING (4.7969272 52.3355056, 4.7973024 52.3352244)",,,yes,,,
1057668574,46185918,0,165083366,Nieuwemeerdijk,tertiary,30,False,30.472,"LINESTRING (4.8173412 52.3262935, 4.8170876 52.3265195)",,,,,,
1057668574,46184404,0,165083366,Nieuwemeerdijk,tertiary,30,False,20.625,"LINESTRING (4.8173412 52.3262935, 4.8174975 52.3261345)",,,,,,
1057668584,5330187796,0,26476120,Sloterbrug,secondary,50,False,7.962,"LINESTRING (4.7921111 52.3407247, 4.7922016 52.3407702)",yes,,,,,
1057668584,4803828169,0,26476120,Sloterbrug,secondary,50,False,19.661,"LINESTRING (4.7921111 52.3407247, 4.7918791 52.340619)",yes,,,,,
1057668594,46223178,0,7385233,Nieuwemeerdijk,tertiary,30,False,15.239,"LINESTRING (4.7978283 52.3348984, 4.7976538 52.3349845)",,,,,,
1057668594,1057668412,0,7385233,Nieuwemeerdijk,tertiary,30,False,54.767,"LINESTRING (4.7978283 52.3348984, 4.7984959 52.3346224)",,,,,,
1057668608,46174827,0,165083366,Nieuwemeerdijk,tertiary,30,False,23.385,"LINESTRING (4.818458 52.3238296, 4.8184554 52.3240399)",,,,,,
1057668608,46173629,0,165083366,Nieuwemeerdijk,tertiary,30,False,22.172,"LINESTRING (4.818458 52.3238296, 4.8184349 52.3236307)",,,,,,
1057668611,1057668545,0,165083366,Nieuwemeerdijk,tertiary,30,False,41.432,"LINESTRING (4.817156 52.3191995, 4.8172632 52.3195663)",,,,,,
1057668611,6422857454,0,165083366,Nieuwemeerdijk,tertiary,30,False,276.359,"LINESTRING (4.817156 52.3191995, 4.8164299 52.3167541)",,,,,,
1057668632,3144070336,0,165083366,Nieuwemeerdijk,tertiary,30,False,17.415,"LINESTRING (4.8180111 52.3254529, 4.8179115 52.3255972)",,,,,,
1057668632,46180773,0,165083366,Nieuwemeerdijk,tertiary,30,False,25.928,"LINESTRING (4.8180111 52.3254529, 4.8181403 52.3252335)",,,,,,
1062052693,46296809,0,189508645,Louis Davidsstraat,tertiary,50,False,9.969,"LINESTRING (4.8109934 52.3511906, 4.8109482 52.3512759)",,,,,,
1062052791,46278183,0,7385906,Vrije Geer,tertiary,50,False,9.815,"LINESTRING (4.8002511 52.3465909, 4.800196 52.3466725)",,,,,,
1062052791,46277910,0,7385906,Vrije Geer,tertiary,50,False,8.696,"LINESTRING (4.8002511 52.3465909, 4.8002352 52.3465133)",,,,,,
1069544338,46426521,0,7389715,Zwanenburgerdijk,tertiary,50,False,47.687,"LINESTRING (4.7538087 52.3798041, 4.7532781 52.3800852)",,,,,,
1069544338,46424083,0,7389715,Zwanenburgerdijk,tertiary,50,False,33.028,"LINESTRING (4.7538087 52.3798041, 4.7541349 52.3795837)",,,,,,
1069544389,1753159903,0,7389993,Lijnderdijk,tertiary,50,False,105.805,"LINESTRING (4.7589097 52.3543081, 4.7575954 52.354819)",,,,,,
1069544389,46308915,0,7389993,Lijnderdijk,tertiary,50,False,42.114,"LINESTRING (4.7589097 52.3543081, 4.759422 52.3540947)",,,,,,
1069544417,1753159408,0,7389993,Lijnderdijk,tertiary,50,False,20.719,"LINESTRING (4.7553118 52.3560601, 4.7551475 52.3562171)",,,,,,
1069544417,1753159818,0,7389993,Lijnderdijk,tertiary,50,False,21.394,"LINESTRING (4.7553118 52.3560601, 4.7554925 52.3559025)",,,,,,
1069544529,46389716,0,7390003,Lijnderdijk,tertiary,30,False,40.61,"LINESTRING (4.7581873 52.3720028, 4.7581818 52.372368)",,,,,,
1069544529,1753159854,0,7390003,Lijnderdijk,tertiary,30,False,26.798,"LINESTRING (4.7581873 52.3720028, 4.7581879 52.3717618)",,,,,,
1069544561,46419962,0,7389234,Zwanenburgerdijk,tertiary,50,False,21.675,"LINESTRING (4.7553462 52.3784838, 4.7551807 52.3786505)",,,,,,
1069544561,2021569798,0,7389234,Zwanenburgerdijk,tertiary,50,False,69.874,"LINESTRING (4.7553462 52.3784838, 4.7558384 52.3779319)",,,,,,
1069544567,2621617441,0,121378284,Osdorperweg,unclassified,30,False,62.826,"LINESTRING (4.776675 52.3712284, 4.7759828 52.3716034)",,,,,,
1069544567,3810660985,0,121378284,Osdorperweg,unclassified,30,False,2.77,"LINESTRING (4.776675 52.3712284, 4.7767042 52.371211)",,,,,,
1069544581,46430538,0,92109759,Dennenlaan,secondary,50,False,44.364,"LINESTRING (4.7527103 52.3804651, 4.753141 52.3807652)",yes,,,,N519,
1069544581,46428283,0,387714955,Dennenlaan,secondary,50,False,12.592,"LINESTRING (4.7527103 52.3804651, 4.7525956 52.3803761)",,,,,N519,
1069544647,4559191412,0,92109755,Weerenweg,tertiary,50,False,42.228,"LINESTRING (4.7338204 52.3857939, 4.7339816 52.3861607)",yes,,,,,
1069544647,46452273,0,172064418,Weerenweg,tertiary,50,False,7.155,"LINESTRING (4.7338204 52.3857939, 4.7337967 52.3857312)",,,,,,
1069544664,46424083,0,7389708,Zwanenburgerdijk,tertiary,50,False,38.986,"LINESTRING (4.7544784 52.3793027, 4.7541349 52.3795837)",,,,,,
1069544664,46419962,0,7389708,Zwanenburgerdijk,tertiary,50,False,86.786,"LINESTRING (4.7544784 52.3793027, 4.7551807 52.3786505)",,,,,,
1069638489,286304277,0,7370272,Weesperzijde,tertiary,50,True,4.472,"LINESTRING (4.9068176 52.3563893, 4.9067775 52.3563574)",,,,,,
1069972436,2309524195,0,221261859,Bilderdijkkade,unclassified,50,True,3.062,"LINESTRING (4.868584 52.3705586, 4.8685687 52.3705845)",,,yes,,,
1071576384,5779597195,0,23045736,Nieuwezijds Voorburgwal,secondary,50,True,10.808,"LINESTRING (4.8906721 52.3727541, 4.8906712 52.3728513)",,,,2,,
1083518285,5791136663,0,25012806,Sarphatistraat,tertiary,50,True,7.693,"LINESTRING (4.9046126 52.3604339, 4.904721 52.360454)",,,,1,,
1083518294,1083518285,0,38733575,Sarphatistraat,tertiary,50,True,82.607,"LINESTRING (4.9034532 52.360209, 4.9046126 52.3604339)",yes,,,1,,
1083575318,3294630430,0,7369060,Van Woustraat,tertiary,50,True,4.673,"LINESTRING (4.9031137 52.3517136, 4.9031302 52.3516728)",,,,1,,
1098308262,46208304,0,237785926,Arent Janszoon Ernststraat,tertiary,50,False,100.185,"LINESTRING (4.8876029 52.3321015, 4.8861285 52.3321017)",,,,,,
1098308262,2456595581,0,237785926,Arent Janszoon Ernststraat,tertiary,50,False,8.808,"LINESTRING (4.8876029 52.3321015, 4.8877325 52.332103)",,,,,,
1108908820,4546369169,0,506105732,Hobbemakade,secondary,50,True,11.903,"LINESTRING (4.8858739 52.3500353, 4.8858424 52.34993)",,,,,S108,
1125265586,46081563,0,418292739,Paasheuvelweg,unclassified,,False,6.562,"LINESTRING (4.9512782 52.2997219, 4.9512428 52.299667)",,,,,,
1125265586,3146072214,0,418292739,Paasheuvelweg,unclassified,,False,47.546,"LINESTRING (4.9512782 52.2997219, 4.9518902 52.2999287)",,,,,,
1125643471,6645252870,0,7380610,,unclassified,50,False,1.659,"LINESTRING (4.8206343 52.3794688, 4.8206108 52.3794729)",,,,,,
1125643471,1410596244,0,7380610,,unclassified,50,False,5.324,"LINESTRING (4.8206343 52.3794688, 4.8207096 52.3794554)",,,,,,
1126224742,46399060,0,7386717,De Savornin Lohmanstraat,tertiary,50,False,23.79,"LINESTRING (4.811595 52.3742324, 4.81125 52.37427)",,,,,,
1126224742,46398921,0,7386717,De Savornin Lohmanstraat,tertiary,50,False,10.411,"LINESTRING (4.811595 52.3742324, 4.811748 52.3742388)",,,,,,
1150816323,6931587799,0,99485404,Zeilstraat,tertiary,50,True,4.425,"LINESTRING (4.8526778 52.3509091, 4.8526315 52.3509371)",,,,2,,
1150816327,1150816330,0,99485412,Zeilbrug,tertiary,50,True,11.963,"LINESTRING (4.8524719 52.3509867, 4.8522985 52.3510056)",yes,,,2,348,
1150816330,6275409969,0,99485396,Hoofddorpweg,tertiary,50,True,7.32,"LINESTRING (4.8522985 52.3510056, 4.8521926 52.3510178)",,,,2,,
1150816331,6275409976,0,99485400,Zeilstraat,tertiary,50,True,7.756,"LINESTRING (4.8524434 52.3509001, 4.8525551 52.3508856)",,,,2,,
1150816353,6275409972,0,99485410,Hoofddorpweg,tertiary,50,True,10.797,"LINESTRING (4.852008 52.3509513, 4.8521646 52.3509346)",,,,2,,
1150816357,1150816331,0,99485401,Zeilbrug,tertiary,50,True,11.957,"LINESTRING (4.8522704 52.35092, 4.8524434 52.3509001)",yes,,,2,348,
1150816359,6275409957,0,99485396,Hoofddorpweg,tertiary,50,True,9.08,"LINESTRING (4.8520358 52.3510393, 4.8519043 52.351054)",,,,2,,
