u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,lanes,access
4621705526,46296983,0,7040418,Oude Waelweg,residential,30,False,12.264,"LINESTRING (4.9711435 52.3512778, 4.970976 52.3512366)",,,
4629692575,46538285,0,7042385,Westerlengte,tertiary,50,False,29.729,"LINESTRING (4.9168622 52.4104798, 4.9171258 52.4106934)",,,
4629692575,46536614,0,7042385,Westerlengte,tertiary,50,False,29.512,"LINESTRING (4.9168622 52.4104798, 4.9165953 52.4102702)",,,
4629692576,46544513,0,7042385,Westerlengte,tertiary,50,False,32.006,"LINESTRING (4.9193743 52.4125784, 4.9196454 52.412814)",,,
4629692576,6893751284,0,7042385,Westerlengte,tertiary,50,False,30.662,"LINESTRING (4.9193743 52.4125784, 4.9190979 52.4123602)",,,
4688508559,296020295,0,14376096,Gabriël Metsustraat,residential,30,True,0.591,"LINESTRING (4.8801542 52.3560838, 4.8801606 52.3560874)",,,
4835274328,46367895,0,27344288,Kloveniersburgwal,residential,50,True,10.936,"LINESTRING (4.8959798 52.3676177, 4.8960227 52.3677125)",,,
4835274330,4835274328,0,491414297,,residential,50,True,47.622,"LINESTRING (4.8958199 52.3672007, 4.8959798 52.3676177)",yes,,yes
4835274335,46370468,0,106068236,Kloveniersburgwal,residential,50,True,65.56,"LINESTRING (4.8960666 52.3677884, 4.8965149 52.3683106)",,,
4851679557,6841967520,0,493237205,Herengracht,unclassified,30,True,0.823,"LINESTRING (4.8880098 52.3666917, 4.8880181 52.3666863)",,,
5333544610,4450652656,0,727064678,Haparandaweg,unclassified,,False,8.068,"LINESTRING (4.873387 52.3947161, 4.8735047 52.3947058)",,,
5351440014,46316021,0,14376096,Gabriël Metsustraat,residential,30,True,13.934,"LINESTRING (4.883167 52.3556612, 4.8833623 52.3556228)",,,
5363765711,4617949358,0,7041470,Beemsterstraat,tertiary,,False,13.75,"LINESTRING (4.9485899 52.3935968, 4.9486802 52.3937075)",,,
5363765711,4331541935,0,7041470,Beemsterstraat,tertiary,,False,4.125,"LINESTRING (4.9485899 52.3935968, 4.9485603 52.3935644)",,,
5434231387,1920874190,0,220731092,Spoorslag,footway,,False,3.744,"LINESTRING (4.8762467 52.3383494, 4.8763018 52.3383496)",,,
5434231387,300532286,0,220731092,Spoorslag,footway,,False,104.038,"LINESTRING (4.8762467 52.3383494, 4.8747154 52.3383449)",,,
5547767323,46295694,0,7040418,Oude Waelweg,residential,30,False,31.665,"LINESTRING (4.9693628 52.3508752, 4.9697995 52.3509749)",,,
5547767323,46294888,0,7040418,Oude Waelweg,residential,30,False,33.106,"LINESTRING (4.9693628 52.3508752, 4.9689072 52.3507694)",,,
5548205666,5548205670,0,7040418,Oude Waelweg,residential,30,False,16.104,"LINESTRING (4.9724002 52.3514867, 4.9726302 52.3515219)",,,
5548205666,46297817,0,7040418,Oude Waelweg,residential,30,False,43.597,"LINESTRING (4.9724002 52.3514867, 4.9717776 52.3513913)",,,
5548205670,46298533,0,7040418,Oude Waelweg,residential,30,False,35.964,"LINESTRING (4.9726302 52.3515219, 4.9731438 52.3516006)",,,
5548205670,5548205666,0,7040418,Oude Waelweg,residential,30,False,16.104,"LINESTRING (4.9726302 52.3515219, 4.9724002 52.3514867)",,,
5548205684,46300793,0,267983000,Oude Waelweg,residential,30,False,2.382,"LINESTRING (4.9734247 52.3517522, 4.9734489 52.3517677)",,,
5548205684,46298948,0,267983000,Oude Waelweg,residential,30,False,3.467,"LINESTRING (4.9734247 52.3517522, 4.9733906 52.351729)",,,
5548296255,2733624554,0,267982999,Oude Waelweg,residential,30,False,14.374,"LINESTRING (4.9732306 52.351616, 4.9733705 52.351713)",yes,,
5548296255,2733624551,0,267982999,Oude Waelweg,residential,30,False,4.284,"LINESTRING (4.9732306 52.351616, 4.9731701 52.3516051)",yes,,
6054695739,297095267,0,28770377,Admiraal de Ruijterweg,secondary,30,True,4.564,"LINESTRING (4.8648965 52.3702408, 4.864837 52.3702599)",,,
6054695744,6054695739,0,643370417,,secondary,30,True,29.637,"LINESTRING (4.8652749 52.3701079, 4.8648965 52.3702408)",yes,,
6841967520,3177569953,0,493237205,Herengracht,unclassified,30,True,16.003,"LINESTRING (4.8880181 52.3666863, 4.8881793 52.3665813)",,,
6893751274,46539138,0,7042385,Westerlengte,tertiary,50,False,19.732,"LINESTRING (4.9172496 52.4108194, 4.9173642 52.4109825)",,,
6893751274,3841812645,0,7042385,Westerlengte,tertiary,50,False,8.383,"LINESTRING (4.9172496 52.4108194, 4.9171923 52.4107526)",,,
6893751275,46539732,0,7042385,Westerlengte,tertiary,50,False,6.73,"LINESTRING (4.917463 52.4111265, 4.9175075 52.4111806)",,,
6893751275,4296408697,0,7042385,Westerlengte,tertiary,50,False,5.422,"LINESTRING (4.917463 52.4111265, 4.9174282 52.4110826)",,,
6893751281,4296412959,0,7042385,Westerlengte,tertiary,50,False,4.922,"LINESTRING (4.9189661 52.4122734, 4.9190164 52.4123053)",,,
6893751281,46542997,0,7042385,Westerlengte,tertiary,50,False,6.134,"LINESTRING (4.9189661 52.4122734, 4.9188973 52.4122376)",,,
6893751282,4296412957,0,7042385,Westerlengte,tertiary,50,False,7.328,"LINESTRING (4.9187516 52.4121625, 4.9188329 52.4122059)",,,
6893751282,4296412954,0,7042385,Westerlengte,tertiary,50,False,14.727,"LINESTRING (4.9187516 52.4121625, 4.9185869 52.4120762)",,,
6893751283,46542220,0,7042385,Westerlengte,tertiary,50,False,9.944,"LINESTRING (4.9184084 52.4119489, 4.9184969 52.4120202)",,,
6893751283,46541072,0,7042385,Westerlengte,tertiary,50,False,36.385,"LINESTRING (4.9184084 52.4119489, 4.9180919 52.4116847)",,,
6893751284,4629692576,0,7042385,Westerlengte,tertiary,50,False,30.662,"LINESTRING (4.9190979 52.4123602, 4.9193743 52.4125784)",,,
6893751284,4296412959,0,7042385,Westerlengte,tertiary,50,False,8.235,"LINESTRING (4.9190979 52.4123602, 4.9190164 52.4123053)",,,
6893751285,46545668,0,7042385,Westerlengte,tertiary,50,False,10.274,"LINESTRING (4.9198567 52.413086, 4.9199187 52.4131703)",,,
6893751285,4296408732,0,7042385,Westerlengte,tertiary,50,False,23.034,"LINESTRING (4.9198567 52.413086, 4.919728 52.4128943)",,,
6893751286,46545986,0,7042385,Westerlengte,tertiary,50,False,5.337,"LINESTRING (4.9199794 52.4132313, 4.9200248 52.4132705)",,,
6893751286,46545668,0,7042385,Westerlengte,tertiary,50,False,7.935,"LINESTRING (4.9199794 52.4132313, 4.9199187 52.4131703)",,,
6899150782,6899150783,0,7047777,De Heusweg,unclassified,50,False,5.988,"LINESTRING (4.9168701 52.331707, 4.9169489 52.3317311)",yes,,
6899150782,46206375,0,7047777,De Heusweg,unclassified,50,False,22.508,"LINESTRING (4.9168701 52.331707, 4.9165753 52.3316147)",yes,,
6899150783,46207770,0,7047777,De Heusweg,unclassified,50,False,72.737,"LINESTRING (4.9169489 52.3317311, 4.9179161 52.3320114)",yes,,
6899150783,6899150782,0,7047777,De Heusweg,unclassified,50,False,5.988,"LINESTRING (4.9169489 52.3317311, 4.9168701 52.331707)",yes,,
6899164368,46206375,0,219405929,De Heusweg,unclassified,50,False,113.434,"LINESTRING (4.9150692 52.3311747, 4.9165753 52.3316147)",,,
6899164368,46204156,0,219405929,De Heusweg,unclassified,50,False,2.415,"LINESTRING (4.9150692 52.3311747, 4.915038 52.3311643)",,,
6899331491,6899331498,0,9546409,,service,,False,7.936,"LINESTRING (4.9404681 52.3182499, 4.9405411 52.3181942)",,,
6899331491,4540173001,0,9546409,,service,,False,9.244,"LINESTRING (4.9404681 52.3182499, 4.9404001 52.3183219)",,,
6899331498,73827715,0,9546409,,service,,False,8.142,"LINESTRING (4.9405411 52.3181942, 4.9406304 52.3181454)",,,
6899331498,6899331491,0,9546409,,service,,False,7.936,"LINESTRING (4.9405411 52.3181942, 4.9404681 52.3182499)",,,
