u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,service,width,access,tunnel,ref,junction,area
370222746,1758641056,0,32867657,False,,,path,,3.664,"LINESTRING (12.5011585 41.8378064, 12.5011735 41.8377754)",,,,,,,,
370222747,370222748,0,32867657,False,,,path,,4.027,"LINESTRING (12.5011207 41.8378061, 12.5010811 41.8377851)",,,,,,,,
370222747,370222746,0,32867657,False,,,path,,3.132,"LINESTRING (12.5011207 41.8378061, 12.5011585 41.8378064)",,,,,,,,
370222748,370222749,0,32867657,False,,,path,,2.692,"LINESTRING (12.5010811 41.8377851, 12.5010626 41.8377652)",,,,,,,,
370222748,370222747,0,32867657,False,,,path,,4.027,"LINESTRING (12.5010811 41.8377851, 12.5011207 41.8378061)",,,,,,,,
370222749,370222750,0,32867657,False,,,path,,2.359,"LINESTRING (12.5010626 41.8377652, 12.5010704 41.8377448)",,,,,,,,
370222749,370222748,0,32867657,False,,,path,,2.692,"LINESTRING (12.5010626 41.8377652, 12.5010811 41.8377851)",,,,,,,,
370222750,370222751,0,32867657,False,,,path,,2.684,"LINESTRING (12.5010704 41.8377448, 12.5010966 41.8377306)",,,,,,,,
370222750,370222749,0,32867657,False,,,path,,2.359,"LINESTRING (12.5010704 41.8377448, 12.5010626 41.8377652)",,,,,,,,
370222751,370222752,0,32867657,False,,,path,,2.868,"LINESTRING (12.5010966 41.8377306, 12.50113 41.8377238)",,,,,,,,
370222751,370222750,0,32867657,False,,,path,,2.684,"LINESTRING (12.5010966 41.8377306, 12.5010704 41.8377448)",,,,,,,,
370222752,370222753,0,32867657,False,,,path,,2.707,"LINESTRING (12.50113 41.8377238, 12.5011602 41.8377331)",,,,,,,,
370222752,370222751,0,32867657,False,,,path,,2.868,"LINESTRING (12.50113 41.8377238, 12.5010966 41.8377306)",,,,,,,,
370222753,370222754,0,32867657,False,,,path,,3.246,"LINESTRING (12.5011602 41.8377331, 12.5011823 41.8377572)",,,,,,,,
370222753,370222752,0,32867657,False,,,path,,2.707,"LINESTRING (12.5011602 41.8377331, 12.50113 41.8377238)",,,,,,,,
370222754,1758641056,0,32867657,False,,,path,,2.151,"LINESTRING (12.5011823 41.8377572, 12.5011735 41.8377754)",,,,,,,,
370222754,370222753,0,32867657,False,,,path,,3.246,"LINESTRING (12.5011823 41.8377572, 12.5011602 41.8377331)",,,,,,,,
370222758,370222761,0,32867659,False,,,path,,3.891,"LINESTRING (12.5013056 41.8377096, 12.501352 41.8377042)",,,,,,,,
370222758,1758641054,0,32867659,False,,,path,,3.833,"LINESTRING (12.5013056 41.8377096, 12.5012988 41.8377437)",,,,,,,,
370222758,370222759,0,164211962,False,,,path,,2.882,"LINESTRING (12.5013056 41.8377096, 12.5012987 41.8376842)",,,,,,,,
370222759,370222758,0,164211962,False,,,path,,2.882,"LINESTRING (12.5012987 41.8376842, 12.5013056 41.8377096)",,,,,,,,
370222761,370222762,0,32867659,False,,,path,,5.439,"LINESTRING (12.501352 41.8377042, 12.5014163 41.8376943)",,,,,,,,
370222761,370222758,0,32867659,False,,,path,,3.891,"LINESTRING (12.501352 41.8377042, 12.5013056 41.8377096)",,,,,,,,
370222762,370222763,0,32867659,False,,,path,,5.013,"LINESTRING (12.5014163 41.8376943, 12.5014759 41.8376865)",,,,,,,,
370222762,370222761,0,32867659,False,,,path,,5.439,"LINESTRING (12.5014163 41.8376943, 12.501352 41.8377042)",,,,,,,,
370222763,370222765,0,32867659,False,,,path,,4.303,"LINESTRING (12.5014759 41.8376865, 12.5015266 41.8376781)",,,,,,,,
370222763,370222762,0,32867659,False,,,path,,5.013,"LINESTRING (12.5014759 41.8376865, 12.5014163 41.8376943)",,,,,,,,
370222765,370222766,0,32867659,False,,,path,,3.731,"LINESTRING (12.5015266 41.8376781, 12.5015701 41.8376694)",,,,,,,,
370222765,370222763,0,32867659,False,,,path,,4.303,"LINESTRING (12.5015266 41.8376781, 12.5014759 41.8376865)",,,,,,,,
370222766,370222767,0,32867659,False,,,path,,3.275,"LINESTRING (12.5015701 41.8376694, 12.5016096 41.8376683)",,,,,,,,
370222766,370222765,0,32867659,False,,,path,,3.731,"LINESTRING (12.5015701 41.8376694, 12.5015266 41.8376781)",,,,,,,,
