u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,width,access,tunnel,ref
2746637417,301673748,0,120514954,False,4,Via Tuscolana,secondary,50,6.173,"LINESTRING (12.5260681 41.8766064, 12.5260149 41.8766453)",,,,,
5834922176,302177698,0,108734542,False,4,Via Tuscolana,secondary,50,11.95,"LINESTRING (12.5284803 41.8749135, 12.5285856 41.87484)",,,,,
5834922176,1546283183,0,108734542,False,4,Via Tuscolana,secondary,50,45.222,"LINESTRING (12.5284803 41.8749135, 12.5280819 41.8751917)",,,,,
6547062098,7117578572,0,112096465,False,4,Via Tuscolana,secondary,50,17.077,"LINESTRING (12.5266854 41.8761569, 12.5268358 41.8760518)",,,,,
6547062098,1275173924,0,112096465,False,4,Via Tuscolana,secondary,50,12.92,"LINESTRING (12.5266854 41.8761569, 12.5265716 41.8762364)",,,,,
6875008804,6875008807,0,121996219,True,3,Lungotevere Aventino,primary,50,12.259,"LINESTRING (12.480182 41.8871174, 12.4802227 41.8872234)",,,,,
6875008805,878676158,0,121996219,True,3,Lungotevere Aventino,primary,50,15.064,"LINESTRING (12.4803048 41.887459, 12.4803421 41.8875916)",,,,,
6875008806,6875008805,0,121996219,True,3,Lungotevere Aventino,primary,50,7.406,"LINESTRING (12.4802841 41.8873942, 12.4803048 41.887459)",,,,,
6875008807,247287662,0,121996219,True,3,Lungotevere Aventino,primary,50,12.442,"LINESTRING (12.4802227 41.8872234, 12.480262 41.8873314)",,,,,
7117578572,801182863,0,112096465,False,4,Via Tuscolana,secondary,50,36.7,"LINESTRING (12.5268358 41.8760518, 12.5271591 41.875826)",,,,,
7117578572,6547062098,0,112096465,False,4,Via Tuscolana,secondary,50,17.077,"LINESTRING (12.5268358 41.8760518, 12.5266854 41.8761569)",,,,,
251888369,7263774557,0,347756696,False,2,Via Portuense,secondary,50,46.893,"LINESTRING (12.4684946 41.8783929, 12.4687058 41.8787842)",,,,,
251888370,251888373,0,347756696,False,2,Via Portuense,secondary,50,139.151,"LINESTRING (12.4690944 41.8793789, 12.4698978 41.8804781)",,,,,
251888370,305848804,0,347756696,False,2,Via Portuense,secondary,50,27.184,"LINESTRING (12.4690944 41.8793789, 12.4689401 41.8791631)",,,,,
251888373,1001102948,0,347756696,False,2,Via Portuense,secondary,50,24.688,"LINESTRING (12.4698978 41.8804781, 12.4700534 41.8806675)",,,,,
251888373,251888370,0,347756696,False,2,Via Portuense,secondary,50,139.151,"LINESTRING (12.4698978 41.8804781, 12.4690944 41.8793789)",,,,,
251888375,4412506112,0,347756696,False,2,Via Portuense,secondary,50,17.543,"LINESTRING (12.4704719 41.8810452, 12.4706142 41.8811621)",,,,,
251888375,394283950,0,347756696,False,2,Via Portuense,secondary,50,28.24,"LINESTRING (12.4704719 41.8810452, 12.4702439 41.8808563)",,,,,
305848804,251888370,0,347756696,False,2,Via Portuense,secondary,50,27.184,"LINESTRING (12.4689401 41.8791631, 12.4690944 41.8793789)",,,,,
305848804,7263774558,0,347756696,False,2,Via Portuense,secondary,50,22.439,"LINESTRING (12.4689401 41.8791631, 12.4688219 41.8789815)",,,,,
394283950,251888375,0,347756696,False,2,Via Portuense,secondary,50,28.24,"LINESTRING (12.4702439 41.8808563, 12.4704719 41.8810452)",,,,,
394283950,1001102948,0,347756696,False,2,Via Portuense,secondary,50,26.258,"LINESTRING (12.4702439 41.8808563, 12.4700534 41.8806675)",,,,,
1001102948,394283950,0,347756696,False,2,Via Portuense,secondary,50,26.258,"LINESTRING (12.4700534 41.8806675, 12.4702439 41.8808563)",,,,,
1001102948,251888373,0,347756696,False,2,Via Portuense,secondary,50,24.688,"LINESTRING (12.4700534 41.8806675, 12.4698978 41.8804781)",,,,,
4412506112,251888375,0,347756696,False,2,Via Portuense,secondary,50,17.543,"LINESTRING (12.4706142 41.8811621, 12.4704719 41.8810452)",,,,,
4412506112,251888376,0,443690067,False,2,Via Portuense,tertiary,50,64.466,"LINESTRING (12.4706142 41.8811621, 12.4711415 41.8815887)",,,,,
7263774557,7263774558,0,347756696,False,2,Via Portuense,secondary,50,23.952,"LINESTRING (12.4687058 41.8787842, 12.4688219 41.8789815)",,,,,
7263774557,251888369,0,347756696,False,2,Via Portuense,secondary,50,46.893,"LINESTRING (12.4687058 41.8787842, 12.4684946 41.8783929)",,,,,
7263774558,305848804,0,347756696,False,2,Via Portuense,secondary,50,22.439,"LINESTRING (12.4688219 41.8789815, 12.4689401 41.8791631)",,,,,
7263774558,7263774557,0,347756696,False,2,Via Portuense,secondary,50,23.952,"LINESTRING (12.4688219 41.8789815, 12.4687058 41.8787842)",,,,,
130216139,7646954038,0,818836479,True,,,cycleway,,24.006,"LINESTRING (12.4844086 41.8673351, 12.4841242 41.867377)",yes,,,,
246259984,1108442064,0,217529349,False,,,cycleway,,45.939,"LINESTRING (12.4993958 41.8817653, 12.4989372 41.8815327)",,,,,
246633881,667989816,0,52582587,False,2,,cycleway,,13.8,"LINESTRING (12.4962804 41.8800584, 12.4964464 41.8800697)",,,,,
251885755,251885756,0,23275482,False,,,cycleway,10,6.163,"LINESTRING (12.4756866 41.8830128, 12.4757364 41.8829716)",,,,,
251885755,1711906616,0,159093269,False,,Ponte Sublicio,cycleway,,99.273,"LINESTRING (12.4756866 41.8830128, 12.4748519 41.8836538)",yes,,,,
251885756,251885755,0,23275482,False,,,cycleway,10,6.163,"LINESTRING (12.4757364 41.8829716, 12.4756866 41.8830128)",,,,,
251885756,251885757,0,818831819,True,,,footway,10,18.616,"LINESTRING (12.4757364 41.8829716, 12.4758943 41.8830908)",,,,,
254306971,255330454,0,23578553,False,,,cycleway,,18.603,"LINESTRING (12.49688 41.8728744, 12.4968627 41.8727076)",,,,,
254306971,617655386,0,23578553,False,,,cycleway,,25.347,"LINESTRING (12.49688 41.8728744, 12.4968969 41.873102)",,,,,
254321099,261831274,0,66600694,False,,,cycleway,,13.051,"LINESTRING (12.4967114 41.8711107, 12.4967029 41.8709935)",,,,,
254321099,1705650071,0,158345768,False,,,cycleway,,8.372,"LINESTRING (12.4967114 41.8711107, 12.4967163 41.8711859)",,,,,
255019799,7869180937,0,843615962,False,2,,cycleway,,5.637,"LINESTRING (12.2961634 41.7221427, 12.2961299 41.7220986)",,,,,
255024113,255024114,0,23552004,False,,,cycleway,,23.209,"LINESTRING (12.4959322 41.8794849, 12.4957374 41.8793348)",,,,,
255024113,276552664,0,818515534,False,,,footway,,5.171,"LINESTRING (12.4959322 41.8794849, 12.4958837 41.8795142)",,,,,
255024114,7644009573,0,23552004,False,,,cycleway,,4.994,"LINESTRING (12.4957374 41.8793348, 12.4957187 41.8792921)",,,,,
255024114,255024113,0,23552004,False,,,cycleway,,23.209,"LINESTRING (12.4957374 41.8793348, 12.4959322 41.8794849)",,,,,
255024116,1190843982,0,23552004,False,,,cycleway,,27.9,"LINESTRING (12.4957118 41.8790823, 12.4957018 41.8788315)",,,,,
255024116,7644009546,0,23552004,False,,,cycleway,,17.235,"LINESTRING (12.4957118 41.8790823, 12.4957122 41.8792373)",,,,,
