u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,bridge,tunnel,access,width,ref
1569736066,1569656158,0,"[143456403, 143456405, 143456406]",2,,"['cycleway', 'path']",,False,432.989,"LINESTRING (12.2681843 41.7344168, 12.2683184 41.7343702, 12.2684077 41.7343343, 12.268464 41.7344148, 12.2685648 41.7343763, 12.268617 41.7344321, 12.268682 41.7344585, 12.2686539 41.7345407, 12.268757 41.7346842, 12.2688197 41.7347958, 12.2688672 41.7348959, 12.2691368 41.7353595, 12.2691927 41.7354546, 12.2692446 41.7355502, 12.2695682 41.7361065, 12.2696601 41.736223, 12.2697129 41.7363111, 12.2700628 41.7368919, 12.2701472 41.7369707, 12.2700734 41.7371044, 12.2699638 41.737282, 12.2699097 41.7373921, 12.2699051 41.7374807, 12.2698853 41.7375798)",,,,,
1569736066,1569736066,0,143456408,1,,cycleway,,True,185.301,"LINESTRING (12.2681843 41.7344168, 12.2682128 41.7344728, 12.268143 41.7344965, 12.2677497 41.7337853, 12.2677974 41.7337684, 12.267831 41.7337552, 12.2681843 41.7344168)",,,,,
1571100048,799889225,0,65580893,1,,cycleway,,True,2.164,"LINESTRING (12.5661858 41.91928, 12.5662118 41.9192779)",,,,,
1571100055,1571100048,0,65580893,1,,cycleway,,True,17.683,"LINESTRING (12.5659723 41.9192873, 12.5661858 41.91928)",,,,,
1571100077,799889257,0,65580893,1,,cycleway,,True,78.321,"LINESTRING (12.5669883 41.9194232, 12.5665974 41.9200647)",,,,,
1613066759,911098829,0,277600370,,,cycleway,,False,2125.262,"LINESTRING (12.5500176 41.965915, 12.5500604 41.965881, 12.5504735 41.9659169, 12.5510045 41.9659767, 12.5515034 41.9660126, 12.5520399 41.9660047, 12.5522328 41.965983, 12.5525012 41.9659528, 12.5525994 41.965935, 12.5528338 41.965889, 12.5532898 41.9657294, 12.5538101 41.9654622, 12.5541266 41.9652269, 12.5543573 41.9650274, 12.5545021 41.9647642, 12.554588 41.9645049, 12.5546416 41.9642057, 12.5546363 41.9639664, 12.5546106 41.963619, 12.5546168 41.9631928, 12.554623 41.9628996, 12.5546415 41.962588, 12.5548941 41.9613967, 12.555042 41.9607964, 12.555079 41.960659, 12.5551899 41.9604803, 12.5554857 41.960187, 12.555763 41.9600175, 12.5559601 41.9598754, 12.5561943 41.9596142, 12.5562991 41.9594722, 12.5569399 41.957653, 12.5571556 41.957016, 12.5571987 41.956764, 12.557199 41.9567551, 12.5572111 41.9563837, 12.5571063 41.9552701, 12.5569892 41.9540649, 12.5569782 41.9539606, 12.5569646 41.9538312, 12.5569831 41.953712, 12.5570385 41.9534875, 12.5571248 41.9532767, 12.5572973 41.9530246, 12.5575068 41.9528138, 12.557704 41.9526534, 12.5579135 41.9525251, 12.5581758 41.95245, 12.5582916 41.9524172, 12.5584462 41.9523746, 12.5586303 41.9523297, 12.5589168 41.9522729, 12.5596375 41.9521457, 12.5598893 41.9520844, 12.5602741 41.9519529, 12.5606146 41.9518041, 12.5607266 41.9516963, 12.5607928 41.9516632)",,,,,
1617039520,1620791355,0,"[164435765, 234043052, 234043053]",,,cycleway,,False,510.8869999999999,"LINESTRING (12.5906665 41.8516437, 12.590737 41.85149, 12.590752 41.851404, 12.5907672 41.8513164, 12.5908237 41.8510821, 12.5908767 41.8508621, 12.5909287 41.8506462, 12.591012 41.8503007, 12.591043 41.8501572, 12.5910959 41.8499122, 12.5911215 41.8498016, 12.5912334 41.8493287, 12.5912777 41.8491284, 12.5913726 41.848699, 12.5914152 41.8485129, 12.5914229 41.8484792, 12.5914582 41.8483417, 12.5914833 41.8481768, 12.5914783 41.8480469, 12.5914622 41.8478728, 12.5914582 41.8478407, 12.591433 41.847727, 12.5914196 41.8476758, 12.591376 41.8475496, 12.5913273 41.8474297, 12.5912854 41.8473485, 12.5912233 41.8472485, 12.5911835 41.8471832, 12.5911566 41.8471446)",,building_passage,,,
1617039523,1620788312,0,148626294,2,,cycleway,,False,330.635,"LINESTRING (12.5906364 41.8517852, 12.5906581 41.8518274, 12.5905743 41.8521971, 12.5904906 41.8526053, 12.5904585 41.8527618, 12.5903882 41.8530978, 12.5903294 41.853379, 12.5902779 41.8536233, 12.5902355 41.8538249, 12.5902036 41.8540386, 12.5901919 41.8541647, 12.5901909 41.8542177, 12.5901885 41.8543421, 12.590217 41.8546469, 12.5903262 41.854639)",,,,,
1620785408,299617523,0,78675956,2,,cycleway,,False,178.514,"LINESTRING (12.5665726 41.8945464, 12.5666605 41.8944591, 12.5668683 41.8936881, 12.5669517 41.8933748, 12.5670382 41.8930629, 12.5669444 41.893045)",,,,,
1620788312,1617039523,0,148626294,2,,cycleway,,False,330.635,"LINESTRING (12.5903262 41.854639, 12.590217 41.8546469, 12.5901885 41.8543421, 12.5901909 41.8542177, 12.5901919 41.8541647, 12.5902036 41.8540386, 12.5902355 41.8538249, 12.5902779 41.8536233, 12.5903294 41.853379, 12.5903882 41.8530978, 12.5904585 41.8527618, 12.5904906 41.8526053, 12.5905743 41.8521971, 12.5906581 41.8518274, 12.5906364 41.8517852)",,,,,
