u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,bridge,access,width,tunnel,junction,area
5560358637,5560358626,0,580995021,,,service,10,False,4.741,"LINESTRING (12.5299173 41.9034539, 12.5299676 41.9034743)",alley,,,,,,,
5560358638,5560358647,0,51747883,,,service,10,False,5.089,"LINESTRING (12.5301795 41.9035018, 12.5302311 41.9035267)",alley,,,,,,,
5560358638,5560358645,0,51747883,,,service,10,False,3.632,"LINESTRING (12.5301795 41.9035018, 12.5301511 41.9034769)",alley,,,,,,,
5560358639,5560358641,0,580995019,,,service,10,False,3.451,"LINESTRING (12.5301701 41.9035277, 12.5301296 41.9035351)",alley,,,,,,,
5560358639,5560358647,0,580995019,,,service,10,False,5.05,"LINESTRING (12.5301701 41.9035277, 12.5302311 41.9035267)",alley,,,,,,,
5560358640,5560358632,0,580995022,,,service,10,False,4.433,"LINESTRING (12.5301171 41.903381, 12.5300889 41.9034149)",alley,,,,,,,
5560358640,394260093,0,580995023,,,service,10,False,54.697,"LINESTRING (12.5301171 41.903381, 12.5302731 41.902903)",alley,,,,,,,
5560358640,5560358633,0,580995023,,,service,10,False,4.553,"LINESTRING (12.5301171 41.903381, 12.5301198 41.9034219)",alley,,,,,,,
5560358641,5560358622,0,580995018,,,service,10,False,2.293,"LINESTRING (12.5301296 41.9035351, 12.5301464 41.9035187)",alley,,,,,,,
5560358641,5560358013,0,580995019,,,service,10,False,1.606,"LINESTRING (12.5301296 41.9035351, 12.5301131 41.9035427)",alley,,,,,,,
5560358641,5560358639,0,580995019,,,service,10,False,3.451,"LINESTRING (12.5301296 41.9035351, 12.5301701 41.9035277)",alley,,,,,,,
5560358642,5560358643,0,580995019,,,service,10,False,2.448,"LINESTRING (12.5300948 41.9035484, 12.5300729 41.9035632)",alley,,,,,,,
5560358642,5560358013,0,580995019,,,service,10,False,1.642,"LINESTRING (12.5300948 41.9035484, 12.5301131 41.9035427)",alley,,,,,,,
5560358642,5560358019,0,580995020,,,service,10,False,1.841,"LINESTRING (12.5300948 41.9035484, 12.5300726 41.9035495)",alley,,,,,,,
5560358643,5560358631,0,580995019,,,service,10,False,2.971,"LINESTRING (12.5300729 41.9035632, 12.5300514 41.9035846)",alley,,,,,,,
