u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width
5054602487,252524630,0,518091963,True,2,Arturo Prat,residential,200.681,"LINESTRING (-70.64975870000001 -33.4472338, -70.6495303 -33.4482783, -70.6493768 -33.4490102)",,,,
5292080454,386344,0,"[562109577, 519185503]",True,2,"['Tucapel Jiménez', 'Dieciocho']",tertiary,453.707,"LINESTRING (-70.6585924 -33.4456234, -70.6586386 -33.4455181, -70.658672 -33.4454373, -70.65878840000001 -33.4449439, -70.65889060000001 -33.4442665, -70.658959 -33.443751, -70.65903040000001 -33.443104, -70.6590302 -33.4430608, -70.65902819999999 -33.4430358, -70.6590226 -33.4430088, -70.659012 -33.4429768, -70.6589913 -33.4429306, -70.6589737 -33.442892, -70.6589608 -33.4428556, -70.6589561 -33.4428327, -70.65895380000001 -33.4428138, -70.65895449999999 -33.4427631, -70.6591324 -33.4415942)",,,,
5292080454,1857514321,0,"[353008506, 547718580, 547718581, 547718582]",False,,Ciclovía Alameda,cycleway,711.926,"LINESTRING (-70.6585924 -33.4456234, -70.65874119999999 -33.4456553, -70.65942200000001 -33.4458238, -70.659486 -33.4459482, -70.6600096 -33.4460777, -70.6601167 -33.4459625, -70.6603448 -33.4459876, -70.6605763 -33.4460403, -70.6605359 -33.4464004, -70.6606013 -33.4464178, -70.66070790000001 -33.4464427, -70.6607951 -33.4464642, -70.6608133 -33.4463726, -70.6608269 -33.4463066, -70.6608722 -33.4463177, -70.6615453 -33.4464822, -70.661556 -33.4464898, -70.66156839999999 -33.4465009, -70.6615778 -33.4465163, -70.6615796 -33.4465305, -70.6615815 -33.4465456, -70.6615638 -33.4465927, -70.6615542 -33.4466145, -70.6615473 -33.4466313, -70.6616523 -33.4466566, -70.6617552 -33.4466786, -70.6618263 -33.4466096, -70.6619938 -33.4465938, -70.66240740000001 -33.446684, -70.6625172 -33.4465302, -70.6626061 -33.4465476, -70.6627589 -33.4465804, -70.66283230000001 -33.4467112, -70.663073 -33.44677, -70.6632073 -33.4468029, -70.6632288 -33.4468984, -70.66327080000001 -33.446942, -70.6635192 -33.4470061, -70.66363269999999 -33.4469727, -70.6642109 -33.4471061, -70.6645547 -33.4471814, -70.66458419999999 -33.4472571, -70.6646351 -33.4472699)",,,,
5292080454,626082080,0,"[547718574, 547718575, 547718576, 547718578, 547718579, 547718582]",False,,Ciclovía Alameda,cycleway,473.47799999999995,"LINESTRING (-70.6585924 -33.4456234, -70.6584799 -33.4455995, -70.65837670000001 -33.4457081, -70.6575385 -33.4455279, -70.6574736 -33.4456306, -70.6572984 -33.4455913, -70.6572469 -33.4455796, -70.65724659999999 -33.445507, -70.6571563 -33.4454302, -70.6565978 -33.4452354, -70.6564503 -33.44519, -70.656291 -33.4451374, -70.6562203 -33.4451802, -70.6557942 -33.4450816, -70.65572210000001 -33.4449637, -70.6556101 -33.4449464, -70.6555012 -33.4449313, -70.655483 -33.4450486, -70.65417119999999 -33.4446982)",,,,
6273398601,1857514346,0,"[483731558, 669870425, 32840233, 208159321, 669870426]",True,"['3', '2']","['Gorbea', 'Puente Toesca']",secondary,675.8829999999999,"LINESTRING (-70.6584785 -33.4524563, -70.65899810000001 -33.4525643, -70.6590508 -33.4525734, -70.6591462 -33.4525951, -70.6592562 -33.4526127, -70.6593226 -33.4526202, -70.6593977 -33.4526146, -70.6594262 -33.4526102, -70.6594875 -33.4525954, -70.6595313 -33.4525781, -70.6595868 -33.4525507, -70.65963189999999 -33.4525171, -70.6596673 -33.4524851, -70.6596989 -33.452451, -70.6597209 -33.4524215, -70.6597453 -33.4523747, -70.65975709999999 -33.4523485, -70.6597823 -33.4522542, -70.6598154 -33.4521033, -70.65984760000001 -33.4519662, -70.65985860000001 -33.4519388, -70.6598745 -33.4519133, -70.6598927 -33.451892, -70.65991409999999 -33.4518732, -70.6599348 -33.4518594, -70.6599659 -33.4518452, -70.66005869999999 -33.4518336, -70.6605459 -33.4519295, -70.6617086 -33.4521582, -70.6630845 -33.4524517, -70.6644297 -33.452762, -70.6649826 -33.4528804)",60,,yes,
7086673173,252524630,0,"[366862512, 23404793]",True,2,"['Marín', 'Eleuterio Ramírez']",tertiary,675.587,"LINESTRING (-70.64231169999999 -33.447547, -70.64233609999999 -33.4475484, -70.6436374 -33.4477919, -70.64372059999999 -33.4478218, -70.644876 -33.4480743, -70.6470427 -33.4485221, -70.6485733 -33.4488314, -70.6493768 -33.4490102)",,,,
7086673173,7086673171,0,758763544,False,,,cycleway,268.048,"LINESTRING (-70.64231169999999 -33.447547, -70.6422948 -33.4476177, -70.6419514 -33.4487311, -70.6419435 -33.4487517, -70.6417905 -33.4491463, -70.6415598 -33.4498378, -70.64154859999999 -33.4498712)",,,,
7086673173,7622691300,0,758763544,False,,,cycleway,157.129,"LINESTRING (-70.64231169999999 -33.447547, -70.6423333 -33.4474701, -70.64244530000001 -33.4469635, -70.64250130000001 -33.4466263, -70.6425287 -33.4465006, -70.6425362 -33.4464663, -70.6425916 -33.4461538)",,,,
7622691300,5054602487,0,"[13858411, 92361438]",True,"['4', '3']","['Curicó', 'Tarapacá']",primary,683.2719999999999,"LINESTRING (-70.6425916 -33.4461538, -70.6426357 -33.4461641, -70.64279209999999 -33.4461467, -70.6432238 -33.4462208, -70.6439917 -33.4462948, -70.6440652 -33.4462865, -70.6441549 -33.4462763, -70.64428770000001 -33.4462397, -70.6444865 -33.4461917, -70.6445492 -33.4461801, -70.6445837 -33.4461781, -70.6447012 -33.4461923, -70.6451457 -33.4462547, -70.64529690000001 -33.446326, -70.64605950000001 -33.4465011, -70.647076 -33.4467262, -70.64810850000001 -33.4469258, -70.64892829999999 -33.4470847, -70.64975870000001 -33.4472338)",,,,
7622691300,7086673173,0,758763544,False,,,cycleway,157.129,"LINESTRING (-70.6425916 -33.4461538, -70.6425362 -33.4464663, -70.6425287 -33.4465006, -70.64250130000001 -33.4466263, -70.64244530000001 -33.4469635, -70.6423333 -33.4474701, -70.64231169999999 -33.447547)",,,,
