u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width
130334544,439269258,0,92361438,,True,Curicó,primary,79.255,"LINESTRING (-70.6335661 -33.4433323, -70.63435459999999 -33.4436064)",4,,,
130334653,4750030788,0,366862512,,True,Marín,tertiary,143.192,"LINESTRING (-70.63599139999999 -33.4461488, -70.6374837 -33.4464772)",2,,,
130334653,252528796,0,41764798,,False,Avenida Portugal,secondary,122.91,"LINESTRING (-70.63599139999999 -33.4461488, -70.63559650000001 -33.4472039)",4,,,
130334653,223862191,0,448515627,,False,Avenida Portugal,secondary,119.044,"LINESTRING (-70.63599139999999 -33.4461488, -70.6365639 -33.4451907)",4,,,
141061128,1857514346,0,208159321,,True,Gorbea,secondary,52.958,"LINESTRING (-70.6644297 -33.452762, -70.6649826 -33.4528804)",2,,,
141061165,141061426,0,208159321,,True,Gorbea,secondary,131.755,"LINESTRING (-70.6617086 -33.4521582, -70.6630845 -33.4524517)",2,,,
141061426,141061128,0,208159321,,True,Gorbea,secondary,129.482,"LINESTRING (-70.6630845 -33.4524517, -70.6644297 -33.452762)",2,,,
141061549,1234856346,0,208159321,,True,Gorbea,secondary,92.323,"LINESTRING (-70.6662587 -33.4531646, -70.6672197 -33.4533802)",2,,,
149809129,4452337004,0,518091963,,True,Arturo Prat,residential,10.095,"LINESTRING (-70.64835549999999 -33.4539739, -70.6483432 -33.4540641)",2,,,
149809404,4773398764,0,477783978,,True,Eleuterio Ramírez,tertiary,66.378,"LINESTRING (-70.6507878 -33.4493522, -70.6514765 -33.4495139)",2,,,
150930592,15092707,0,448570631,,True,Avenida Almirante Blanco Encalada,primary,115.825,"LINESTRING (-70.67365479999999 -33.458398, -70.6748989 -33.4584857)",3,,,
223862209,6096995296,0,92361438,,True,Curicó,primary,28.128,"LINESTRING (-70.6357785 -33.444128, -70.63605560000001 -33.4442306)",4,,,
224458547,13879272,0,366862512,,True,Marín,tertiary,110.814,"LINESTRING (-70.64372059999999 -33.4478218, -70.644876 -33.4480743)",2,,,
227925875,253281645,0,92360510,,True,Avenida Brasil,secondary,142.856,"LINESTRING (-70.66492239999999 -33.4347701, -70.6648448 -33.4360532)",2,,,
250932124,6961192004,0,208159321,,True,Gorbea,secondary,110.429,"LINESTRING (-70.6744822 -33.4548622, -70.67563130000001 -33.4551213)",2,,,
250932321,4401924823,0,208159321,,True,Gorbea,secondary,117.241,"LINESTRING (-70.6756915 -33.4551467, -70.6769233 -33.4553823)",2,,,
250932324,2389929659,0,208159321,,True,Gorbea,secondary,53.165,"LINESTRING (-70.6774838 -33.4554967, -70.6780546 -33.4555393)",2,,,
252524611,252524630,0,23404793,,True,Eleuterio Ramírez,tertiary,77.153,"LINESTRING (-70.6485733 -33.4488314, -70.6493768 -33.4490102)",2,,,
252524625,252524611,0,23404793,,True,Eleuterio Ramírez,tertiary,146.113,"LINESTRING (-70.6470427 -33.4485221, -70.6485733 -33.4488314)",2,,,
