u,v,key,osmid,oneway,name,highway,length,geometry,lanes,access,maxspeed,bridge,tunnel,ref,junction
253359404,6003937122,0,23401445,True,Zenteno,residential,132.779,"LINESTRING (-70.6510875 -33.4571888, -70.650898 -33.4583724)",,,,,,,
253359404,253359449,0,23401447,True,Coquimbo,residential,47.133,"LINESTRING (-70.6510875 -33.4571888, -70.6515857 -33.4572719)",,,50,,,,
253359410,253359413,0,23401445,True,Zenteno,residential,113.341,"LINESTRING (-70.6508548 -33.4586843, -70.650744 -33.4596994)",,,,,,,
253359410,4749683815,0,23401453,True,Aconcagua,residential,96.553,"LINESTRING (-70.6508548 -33.4586843, -70.6518956 -33.4586855)",,,,,,,
253359413,253359416,0,23401445,True,Zenteno,residential,18.831,"LINESTRING (-70.650744 -33.4596994, -70.6507225 -33.4598678)",,,,,,,
253359413,253359380,0,242669471,True,Avenida Manuel Antonio Matta,primary,90.847,"LINESTRING (-70.650744 -33.4596994, -70.65171359999999 -33.4598141)",3,,60,,,,
253359416,663095036,0,23401445,True,Zenteno,residential,47.801,"LINESTRING (-70.6507225 -33.4598678, -70.6506672 -33.4602952)",,,,,,,
253359416,149825290,0,108852579,True,Avenida Manuel Antonio Matta,primary,147.375,"LINESTRING (-70.6507225 -33.4598678, -70.6496124 -33.4597377, -70.6492502 -33.4596911, -70.6491513 -33.4596733)",3,,60,,,,
253359418,265668403,0,23401445,True,Zenteno,residential,143.956,"LINESTRING (-70.6505334 -33.4612371, -70.6503826 -33.4624795, -70.6503756 -33.462525)",,,,,,,
253359418,253360553,0,23401482,True,Santiaguillo,residential,141.58700000000002,"LINESTRING (-70.6505334 -33.4612371, -70.6492239 -33.4611669, -70.6491589 -33.4611614, -70.6490119 -33.4611424)",,,,,,,
253359424,253359398,0,23401446,True,Copiapó,tertiary,42.892,"LINESTRING (-70.65177559999999 -33.4557246, -70.6514536 -33.4556853, -70.6513183 -33.4556678)",2,,,,,,
253359428,5546796424,0,23401446,True,Copiapó,tertiary,81.008,"LINESTRING (-70.6498385 -33.455498, -70.6489739 -33.455396)",2,,,,,,
253359428,149809142,0,627916819,True,San Diego,primary,150.85000000000002,"LINESTRING (-70.6498385 -33.455498, -70.6498613 -33.4554164, -70.64994230000001 -33.4549188, -70.6499896 -33.4546138, -70.65005789999999 -33.4541542)",3,,40,,,,
253359434,253359437,0,23401446,True,Copiapó,tertiary,76.783,"LINESTRING (-70.64811210000001 -33.4552275, -70.64730830000001 -33.4550629)",2,,,,,,
253359434,253359457,0,518091963,True,Arturo Prat,residential,158.148,"LINESTRING (-70.64811210000001 -33.4552275, -70.6478144 -33.4566279)",2,,,,,,
253359437,253338365,0,23401446,True,Copiapó,tertiary,97.327,"LINESTRING (-70.64730830000001 -33.4550629, -70.6462902 -33.4548517)",2,,,,,,
253359437,605181109,0,52101455,True,Serrano,residential,61.574,"LINESTRING (-70.64730830000001 -33.4550629, -70.6474372 -33.4545197)",2,,,,,,
253359440,224458608,0,23401446,True,Copiapó,tertiary,81.321,"LINESTRING (-70.6428744 -33.4542671, -70.6420186 -33.4541089)",2,,,,,,
253359440,265676806,0,24445111,True,Emiliano Figueroa,residential,150.77,"LINESTRING (-70.6428744 -33.4542671, -70.6426216 -33.4556065)",,,,,,,
253359443,265665783,0,157032684,True,Carmen,secondary,146.644,"LINESTRING (-70.64053130000001 -33.4538503, -70.64018470000001 -33.455137)",3,,,,,,
253359443,252528787,0,23401446,True,Copiapó,tertiary,142.721,"LINESTRING (-70.64053130000001 -33.4538503, -70.64049900000001 -33.453846, -70.63956039999999 -33.4537215, -70.639011 -33.4536542)",2,,,,,,
253359447,15754713,0,442925220,False,San Ignacio,tertiary,173.249,"LINESTRING (-70.6556047 -33.4586951, -70.6554603 -33.4602485)",2,,,,,,
253359447,253348615,0,442925220,False,San Ignacio,tertiary,81.624,"LINESTRING (-70.6556047 -33.4586951, -70.6556337 -33.4582934, -70.6556369 -33.4582489, -70.6556514 -33.4579621)",2,,,,,,
253359449,4749683816,0,23401447,True,Coquimbo,residential,47.635,"LINESTRING (-70.6515857 -33.4572719, -70.6520884 -33.4573592)",,,50,,,,
253359449,253359424,0,23401448,True,Alejandro I,residential,172.952,"LINESTRING (-70.6515857 -33.4572719, -70.65177559999999 -33.4557246)",,,,,,,
253359452,6240218397,0,23401447,True,Coquimbo,residential,78.7,"LINESTRING (-70.6487636 -33.45679, -70.6495951 -33.4569303)",,,50,,,,
253359452,5546796424,0,579078004,False,Lincoyán Berrios,residential,156.229,"LINESTRING (-70.6487636 -33.45679, -70.6489739 -33.455396)",,,,,,,
253359457,253359452,0,23401447,True,Coquimbo,residential,89.883,"LINESTRING (-70.6478144 -33.4566279, -70.6487636 -33.45679)",,,50,,,,
